Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
20MICRONS,EQ,2014-12-03,30.40,30.30,30.65,30.30,30.50,30.35,30.44,26953,8.21,319,3645,13.52
20MICRONS,EQ,2014-12-04,30.35,30.55,30.55,30.20,30.35,30.35,30.34,31939,9.69,360,8827,27.64
20MICRONS,EQ,2014-12-05,30.35,31.50,31.50,30.25,30.25,30.30,30.35,65322,19.82,154,49794,76.23
20MICRONS,EQ,2014-12-08,30.30,30.30,30.50,30.25,30.25,30.25,30.35,58700,17.82,101,45494,77.50
20MICRONS,EQ,2014-12-09,30.25,30.50,30.60,30.15,30.15,30.20,30.25,51268,15.51,139,27361,53.37
20MICRONS,EQ,2014-12-10,30.20,30.25,30.50,30.10,30.20,30.15,30.21,54747,16.54,411,43087,78.70
20MICRONS,EQ,2014-12-11,30.15,30.25,30.50,30.15,30.15,30.15,30.25,78919,23.87,237,42835,54.28
20MICRONS,EQ,2014-12-12,30.15,30.45,30.50,30.15,30.20,30.25,30.27,65307,19.77,310,36614,56.06
20MICRONS,EQ,2014-12-15,30.25,30.20,31.30,30.20,30.20,30.20,30.34,47813,14.51,373,18893,39.51
20MICRONS,EQ,2014-12-16,30.20,30.40,30.40,30.00,30.15,30.10,30.11,81793,24.63,358,68102,83.26
20MICRONS,EQ,2014-12-17,30.10,30.00,30.40,27.80,30.40,30.25,30.14,185652,55.95,373,120797,65.07
20MICRONS,EQ,2014-12-18,30.25,30.65,30.95,30.15,30.35,30.30,30.27,127735,38.67,412,96286,75.38
20MICRONS,EQ,2014-12-19,30.30,30.45,30.45,30.10,30.45,30.20,30.25,41186,12.46,236,15902,38.61
20MICRONS,EQ,2014-12-22,30.20,30.50,30.50,30.10,30.40,30.15,30.18,51823,15.64,312,18337,35.38
20MICRONS,EQ,2014-12-23,30.15,30.40,30.90,30.10,30.40,30.30,30.40,119006,36.17,193,87128,73.21
20MICRONS,EQ,2014-12-24,30.30,30.50,30.50,30.15,30.30,30.25,30.24,91034,27.53,358,68885,75.67
20MICRONS,EQ,2014-12-26,30.25,30.40,30.40,30.10,30.30,30.20,30.17,98753,29.80,148,76728,77.70
20MICRONS,EQ,2014-12-29,30.20,30.35,30.40,30.10,30.15,30.20,30.22,55993,16.92,191,49208,87.88
20MICRONS,EQ,2014-12-30,30.20,30.35,31.40,30.15,31.05,30.90,30.48,75329,22.96,355,47565,63.14
20MICRONS,EQ,2014-12-31,30.90,31.00,31.35,30.35,30.40,30.60,30.86,84117,25.96,292,59771,71.06
20MICRONS,EQ,2015-01-01,30.60,30.45,31.00,30.25,30.40,30.40,30.59,37604,11.50,200,25374,67.48
20MICRONS,EQ,2015-01-02,30.40,30.40,30.95,30.35,30.90,30.75,30.73,76443,23.49,367,50983,66.69
20MICRONS,EQ,2015-01-05,30.75,30.90,31.40,30.40,30.75,30.85,31.01,32024,9.93,321,7410,23.14
20MICRONS,EQ,2015-01-06,30.85,30.85,30.90,30.20,30.30,30.25,30.54,58283,17.80,338,33438,57.37
20MICRONS,EQ,2015-01-07,30.25,30.25,30.55,30.25,30.35,30.35,30.39,53013,16.11,175,29796,56.21
20MICRONS,EQ,2015-01-08,30.35,30.85,31.00,30.40,31.00,30.90,30.70,39491,12.12,222,24058,60.92
20MICRONS,EQ,2015-01-09,30.90,31.00,31.00,30.35,30.75,30.60,30.66,20967,6.43,152,6172,29.44
20MICRONS,EQ,2015-01-12,30.60,30.75,36.70,30.35,36.70,36.70,34.43,255207,87.87,1509,124979,48.97
20MICRONS,EQ,2015-01-13,36.70,37.00,44.00,37.00,44.00,43.85,42.07,792926,333.61,5640,175573,22.14
20MICRONS,EQ,2015-01-14,43.85,45.40,46.90,43.00,45.50,45.70,45.57,319962,145.80,3459,93195,29.13
20MICRONS,EQ,2015-01-15,45.70,46.00,47.50,42.15,45.90,45.65,46.06,103198,47.54,1327,33188,32.16
20MICRONS,EQ,2015-01-16,45.65,46.60,46.60,43.90,44.75,44.35,44.63,57398,25.62,435,35246,61.41
20MICRONS,EQ,2015-01-19,44.35,44.60,45.00,42.00,42.25,42.30,43.26,52476,22.70,449,32488,61.91
20MICRONS,EQ,2015-01-20,42.30,42.50,44.80,42.20,43.50,43.60,43.45,67217,29.20,541,49403,73.50
20MICRONS,EQ,2015-01-21,43.60,43.60,44.00,42.20,43.15,43.10,43.04,28818,12.40,249,12543,43.52
20MICRONS,EQ,2015-01-22,43.10,43.00,43.00,40.40,42.50,42.50,42.31,46766,19.79,462,24481,52.35
20MICRONS,EQ,2015-01-23,42.50,42.50,42.95,40.10,40.85,41.30,41.68,32714,13.63,379,18055,55.19
20MICRONS,EQ,2015-01-27,41.30,40.25,41.20,39.10,40.40,40.55,40.36,40002,16.14,360,25654,64.13
20MICRONS,EQ,2015-01-28,40.55,40.00,41.50,39.00,41.40,41.15,40.33,41930,16.91,276,23594,56.27
20MICRONS,EQ,2015-01-29,41.15,40.65,41.00,39.55,39.60,40.25,40.44,40327,16.31,300,33779,83.76
20MICRONS,EQ,2015-01-30,40.25,39.40,40.80,39.00,39.05,39.10,39.77,24678,9.82,228,9485,38.44
20MICRONS,EQ,2015-02-02,39.10,39.00,40.25,39.00,39.00,39.15,39.38,19889,7.83,236,7769,39.06
20MICRONS,EQ,2015-02-03,39.15,39.05,39.95,38.30,39.30,38.50,39.19,42886,16.81,709,28639,66.78
20MICRONS,EQ,2015-02-04,38.50,39.00,39.45,38.50,39.10,39.30,39.15,36198,14.17,176,23340,64.48
20MICRONS,EQ,2015-02-05,39.30,40.00,40.00,38.25,38.50,38.50,38.89,32503,12.64,187,15265,46.96
