Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AARTIDRUGS,EQ,2014-12-03,787.10,790.05,817.70,790.05,808.55,814.55,813.22,7336,59.66,452,4744,64.67
AARTIDRUGS,EQ,2014-12-04,814.55,806.40,825.00,806.40,820.00,814.35,815.61,3384,27.60,321,2160,63.83
AARTIDRUGS,EQ,2014-12-05,814.35,812.05,828.00,801.05,801.05,804.90,809.12,4630,37.46,368,2885,62.31
AARTIDRUGS,EQ,2014-12-08,804.90,807.00,814.05,799.00,806.50,807.15,801.63,5881,47.14,379,3999,68.00
AARTIDRUGS,EQ,2014-12-09,807.15,799.15,817.95,788.60,805.00,797.75,800.78,3484,27.90,280,2004,57.52
AARTIDRUGS,EQ,2014-12-10,797.75,792.00,800.00,784.10,800.00,792.40,791.70,4861,38.48,321,3196,65.75
AARTIDRUGS,EQ,2014-12-11,792.40,784.50,797.95,784.00,790.00,792.35,791.86,4538,35.93,189,3779,83.27
AARTIDRUGS,EQ,2014-12-12,792.35,795.90,795.90,781.00,785.00,786.00,786.85,3373,26.54,270,2198,65.16
AARTIDRUGS,EQ,2014-12-15,786.00,786.00,800.00,765.05,797.00,794.50,783.47,7174,56.21,570,4087,56.97
AARTIDRUGS,EQ,2014-12-16,794.50,794.50,804.95,758.00,766.25,766.25,776.63,14338,111.35,891,11646,81.22
AARTIDRUGS,EQ,2014-12-17,766.25,750.15,776.00,699.70,760.00,755.30,739.31,16354,120.91,1042,9538,58.32
AARTIDRUGS,EQ,2014-12-18,755.30,750.05,820.00,750.05,820.00,814.15,800.05,11963,95.71,733,7669,64.11
AARTIDRUGS,EQ,2014-12-19,814.15,810.05,832.30,788.70,796.50,800.35,816.96,7518,61.42,523,3972,52.83
AARTIDRUGS,EQ,2014-12-22,800.35,795.00,814.00,795.00,800.00,801.10,802.58,3596,28.86,257,2817,78.34
AARTIDRUGS,EQ,2014-12-23,801.10,802.45,804.00,768.00,779.00,778.45,784.24,7817,61.30,587,4801,61.42
AARTIDRUGS,EQ,2014-12-24,778.45,783.55,798.15,775.00,778.05,785.00,782.85,3698,28.95,285,2366,63.98
AARTIDRUGS,EQ,2014-12-26,785.00,785.05,797.40,777.00,784.95,784.55,783.10,6279,49.17,479,3471,55.28
AARTIDRUGS,EQ,2014-12-29,784.55,789.95,793.00,780.30,789.10,784.35,786.09,6325,49.72,239,4669,73.82
AARTIDRUGS,EQ,2014-12-30,784.35,790.00,795.30,786.00,795.00,789.25,790.10,2601,20.55,174,1846,70.97
AARTIDRUGS,EQ,2014-12-31,789.25,784.10,887.90,784.10,853.00,854.10,851.81,56258,479.21,3382,23320,41.45
AARTIDRUGS,EQ,2015-01-01,854.10,856.00,878.50,848.00,878.50,873.45,867.63,14326,124.30,873,8449,58.98
AARTIDRUGS,EQ,2015-01-02,873.45,870.05,961.00,870.00,951.10,954.00,935.59,78565,735.05,2898,42277,53.81
AARTIDRUGS,EQ,2015-01-05,954.00,958.90,985.80,930.25,952.90,954.75,962.34,37784,363.61,2011,15626,41.36
AARTIDRUGS,EQ,2015-01-06,954.75,949.00,949.00,907.60,917.50,913.65,922.66,20562,189.72,1087,11784,57.31
AARTIDRUGS,EQ,2015-01-07,913.65,927.95,928.00,892.00,908.10,907.10,904.42,13320,120.47,1012,7505,56.34
AARTIDRUGS,EQ,2015-01-08,907.10,939.85,1009.00,914.45,1008.00,993.50,976.26,36096,352.39,1728,22119,61.28
AARTIDRUGS,EQ,2015-01-09,993.50,1000.05,1045.00,995.05,1003.00,1003.30,1017.17,25114,255.45,1934,10609,42.24
AARTIDRUGS,EQ,2015-01-12,1003.30,981.00,1060.00,981.00,1004.00,1010.60,1025.97,91687,940.68,2717,43357,47.29
AARTIDRUGS,EQ,2015-01-13,1010.60,1014.20,1052.30,1012.00,1027.00,1032.30,1024.60,202082,2070.54,2121,142413,70.47
AARTIDRUGS,EQ,2015-01-14,1032.30,1033.20,1046.40,1020.00,1030.00,1029.75,1030.47,46920,483.50,859,28189,60.08
AARTIDRUGS,EQ,2015-01-15,1029.75,1024.55,1069.85,1024.55,1048.00,1045.75,1047.40,51431,538.69,1364,39591,76.98
