Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AARTIIND,EQ,2014-12-03,287.00,286.05,292.00,277.15,286.05,286.55,287.89,35231,101.43,801,22725,64.50
AARTIIND,EQ,2014-12-04,286.55,284.00,297.40,280.00,294.80,294.95,292.31,58579,171.24,1481,27924,47.67
AARTIIND,EQ,2014-12-05,294.95,297.00,298.85,294.35,294.75,295.00,295.56,17674,52.24,459,13372,75.66
AARTIIND,EQ,2014-12-08,295.00,295.00,311.65,292.10,299.00,297.85,303.72,94638,287.43,1911,48062,50.79
AARTIIND,EQ,2014-12-09,297.85,294.90,298.75,288.15,290.25,292.20,294.31,23834,70.15,556,14897,62.50
AARTIIND,EQ,2014-12-10,292.20,290.00,298.00,288.00,296.90,293.70,292.32,27976,81.78,609,22052,78.82
AARTIIND,EQ,2014-12-11,293.70,291.00,298.00,288.00,291.65,292.90,292.34,19346,56.56,601,9761,50.45
AARTIIND,EQ,2014-12-12,292.90,294.60,294.70,286.10,287.90,287.55,290.19,9417,27.33,319,5648,59.98
AARTIIND,EQ,2014-12-15,287.55,285.00,285.35,280.00,283.50,283.55,283.13,19042,53.91,627,12180,63.96
AARTIIND,EQ,2014-12-16,283.55,282.10,284.90,274.50,281.80,278.30,278.02,28037,77.95,627,19054,67.96
AARTIIND,EQ,2014-12-17,278.30,276.00,282.75,273.30,276.00,276.05,276.75,42215,116.83,802,33342,78.98
AARTIIND,EQ,2014-12-18,276.05,285.50,288.50,281.30,283.80,284.90,285.02,17763,50.63,742,10457,58.87
AARTIIND,EQ,2014-12-19,284.90,286.15,292.95,274.55,279.00,282.80,286.57,31944,91.54,948,16395,51.32
AARTIIND,EQ,2014-12-22,282.80,289.70,289.70,280.00,283.00,281.95,282.93,23169,65.55,510,17892,77.22
AARTIIND,EQ,2014-12-23,281.95,280.10,289.65,280.10,286.00,285.35,284.96,16907,48.18,1036,8513,50.35
AARTIIND,EQ,2014-12-24,285.35,286.00,292.00,275.05,276.00,276.05,281.47,67340,189.54,1692,54383,80.76
AARTIIND,EQ,2014-12-26,276.05,278.00,280.10,268.05,270.00,269.60,271.97,37531,102.07,931,27715,73.85
AARTIIND,EQ,2014-12-29,269.60,272.00,277.00,263.00,263.55,264.70,268.28,38009,101.97,1180,25409,66.85
AARTIIND,EQ,2014-12-30,264.70,265.10,268.65,258.00,258.30,259.70,261.77,77577,203.07,1204,66685,85.96
AARTIIND,EQ,2014-12-31,259.70,258.00,261.80,249.00,253.00,252.15,254.75,84658,215.67,4251,50800,60.01
AARTIIND,EQ,2015-01-01,252.15,254.00,259.80,252.80,258.40,257.25,257.41,52907,136.19,2498,33400,63.13
AARTIIND,EQ,2015-01-02,257.25,258.40,265.00,255.55,257.30,259.55,261.44,116169,303.72,3926,71779,61.79
