Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PFRL,EQ,2014-12-03,120.45,120.00,121.50,117.70,120.70,121.00,120.10,10982,13.19,315,4133,37.63
PFRL,EQ,2014-12-04,121.00,122.00,122.00,118.65,118.70,118.95,120.09,7841,9.42,240,6285,80.16
PFRL,EQ,2014-12-05,118.95,119.90,120.15,114.05,115.00,115.70,116.70,8713,10.17,215,7606,87.29
PFRL,EQ,2014-12-08,115.70,114.05,116.30,112.60,113.10,113.90,114.31,7165,8.19,193,4933,68.85
PFRL,EQ,2014-12-09,113.90,114.55,114.60,109.00,109.45,111.45,112.37,4964,5.58,175,3587,72.26
PFRL,EQ,2014-12-10,111.45,111.45,114.50,110.00,113.00,112.70,112.32,7794,8.75,135,7071,90.72
PFRL,EQ,2014-12-11,112.70,111.90,111.90,110.00,110.10,110.15,110.82,1643,1.82,99,612,37.25
PFRL,EQ,2014-12-12,110.15,110.00,111.00,108.25,109.25,109.35,109.59,4246,4.65,116,3320,78.19
PFRL,EQ,2014-12-15,109.35,108.00,110.00,103.30,105.00,105.25,106.46,4639,4.94,204,3012,64.93
PFRL,EQ,2014-12-16,105.25,104.05,108.00,104.05,106.10,106.05,105.20,5771,6.07,150,4861,84.23
PFRL,EQ,2014-12-17,106.05,108.95,109.30,102.20,109.30,108.15,107.58,4383,4.72,164,2929,66.83
PFRL,EQ,2014-12-18,108.15,108.05,113.00,107.20,109.00,108.85,108.64,5836,6.34,137,3311,56.73
PFRL,EQ,2014-12-19,108.85,110.00,114.75,110.00,114.75,112.80,111.13,8030,8.92,122,5725,71.30
PFRL,EQ,2014-12-22,112.80,112.00,118.00,111.00,115.60,115.95,114.28,3164,3.62,200,871,27.53
PFRL,EQ,2014-12-23,115.95,115.65,118.00,113.00,114.00,113.85,115.13,20020,23.05,211,17365,86.74
PFRL,EQ,2014-12-24,113.85,115.05,119.00,113.55,119.00,117.40,115.20,34662,39.93,303,33652,97.09
PFRL,EQ,2014-12-26,117.40,118.00,124.00,117.90,124.00,123.05,120.65,8024,9.68,237,6366,79.34
PFRL,EQ,2014-12-29,123.05,123.00,124.90,120.00,120.30,120.35,121.70,5454,6.64,184,1822,33.41
PFRL,EQ,2014-12-30,120.35,122.00,129.00,121.50,122.00,122.10,124.08,5663,7.03,85,3895,68.78
PFRL,EQ,2014-12-31,122.10,122.05,125.00,119.00,119.10,120.15,122.16,13693,16.73,2349,11237,82.06
PFRL,EQ,2015-01-01,120.15,119.00,122.65,119.00,119.60,119.90,120.46,2077,2.50,67,1220,58.74
PFRL,EQ,2015-01-02,119.90,124.00,124.00,118.00,119.40,118.85,119.61,5897,7.05,141,4878,82.72
PFRL,EQ,2015-01-05,118.85,118.00,122.95,118.00,120.65,120.00,120.40,2048,2.47,125,1491,72.80
PFRL,EQ,2015-01-06,120.00,120.00,123.40,117.95,118.00,118.00,118.47,9252,10.96,90,7816,84.48
