Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ADANIPOWER,EQ,2014-12-03,44.45,44.50,45.90,44.50,45.55,45.60,45.35,4229309,1918.07,12556,1589320,37.58
ADANIPOWER,EQ,2014-12-04,45.60,45.70,46.05,44.20,44.80,44.65,44.89,3211545,1441.56,9952,1243353,38.72
ADANIPOWER,EQ,2014-12-05,44.65,44.70,45.25,44.40,44.45,44.50,44.77,2260662,1012.01,7994,912674,40.37
ADANIPOWER,EQ,2014-12-08,44.50,44.35,45.10,43.80,44.85,44.85,44.58,3612587,1610.38,11465,1180500,32.68
ADANIPOWER,EQ,2014-12-09,44.85,44.40,45.45,43.10,43.65,43.60,44.19,3247264,1434.81,13666,825158,25.41
ADANIPOWER,EQ,2014-12-10,43.60,43.20,45.40,43.20,45.00,44.90,44.51,4076474,1814.54,11503,1100530,27.00
ADANIPOWER,EQ,2014-12-11,44.90,44.85,45.30,44.00,44.45,44.45,44.59,2863008,1276.49,11899,613303,21.42
ADANIPOWER,EQ,2014-12-12,44.45,44.50,44.90,43.55,43.70,43.65,44.11,2370708,1045.81,9061,634125,26.75
ADANIPOWER,EQ,2014-12-15,43.65,43.50,44.05,43.20,43.40,43.35,43.58,3126180,1362.46,7637,1817091,58.12
ADANIPOWER,EQ,2014-12-16,43.35,43.35,43.70,39.80,40.30,40.20,41.02,5705256,2340.15,20481,2192568,38.43
ADANIPOWER,EQ,2014-12-17,40.20,40.20,40.80,38.75,39.95,40.00,39.91,4665688,1862.20,15364,997532,21.38
ADANIPOWER,EQ,2014-12-18,40.00,40.85,41.75,40.85,41.60,41.55,41.36,2535991,1048.90,9295,626503,24.70
ADANIPOWER,EQ,2014-12-19,41.55,41.65,42.65,41.65,42.35,42.15,42.28,3024423,1278.75,9898,625929,20.70
ADANIPOWER,EQ,2014-12-22,42.15,42.50,42.80,42.05,42.75,42.60,42.38,1750588,741.95,6226,437202,24.97
ADANIPOWER,EQ,2014-12-23,42.60,42.45,42.95,41.15,41.35,41.40,41.96,2636244,1106.17,8117,847217,32.14
ADANIPOWER,EQ,2014-12-24,41.40,41.30,43.10,41.10,42.70,42.45,42.19,5509850,2324.83,10714,2271481,41.23
