Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AGCNET,EQ,2014-12-03,87.40,88.00,94.00,88.00,92.70,92.60,91.82,18639,17.11,430,13275,71.22
AGCNET,EQ,2014-12-04,92.60,90.85,95.90,90.40,95.90,94.00,92.55,8530,7.89,348,6853,80.34
AGCNET,EQ,2014-12-05,94.00,95.95,96.00,89.55,90.05,90.05,91.22,12213,11.14,286,5649,46.25
AGCNET,EQ,2014-12-08,90.05,89.00,91.50,87.00,90.00,89.45,89.15,5074,4.52,192,3400,67.01
AGCNET,EQ,2014-12-09,89.45,86.80,92.15,86.80,92.00,89.10,89.20,6518,5.81,259,4537,69.61
AGCNET,EQ,2014-12-10,89.10,86.70,88.80,85.00,85.05,85.65,86.45,4987,4.31,144,3324,66.65
AGCNET,EQ,2014-12-11,85.65,87.60,87.70,82.60,84.00,84.00,84.42,4432,3.74,383,2589,58.42
AGCNET,EQ,2014-12-12,84.00,87.00,87.00,82.20,83.00,82.95,84.18,2973,2.50,176,1930,64.92
AGCNET,EQ,2014-12-15,82.95,83.00,83.50,80.20,80.60,80.55,81.36,4119,3.35,440,2361,57.32
AGCNET,EQ,2014-12-16,80.55,80.00,80.25,75.30,75.30,75.55,77.03,10791,8.31,240,8591,79.61
AGCNET,EQ,2014-12-17,75.55,79.00,81.80,73.30,81.30,80.75,78.09,6345,4.95,228,5010,78.96
AGCNET,EQ,2014-12-18,80.75,78.20,84.05,78.00,83.90,83.40,81.76,5941,4.86,120,3504,58.98
AGCNET,EQ,2014-12-19,83.40,85.90,86.90,82.50,83.75,83.55,85.12,7797,6.64,307,4268,54.74
AGCNET,EQ,2014-12-22,83.55,84.30,84.30,81.50,84.10,82.80,82.87,986,0.82,149,382,38.74
AGCNET,EQ,2014-12-23,82.80,82.00,85.45,82.00,84.20,83.90,83.40,2410,2.01,111,1988,82.49
AGCNET,EQ,2014-12-24,83.90,83.00,83.40,80.05,80.20,81.30,81.51,2794,2.28,136,1695,60.67
AGCNET,EQ,2014-12-26,81.30,81.00,81.75,79.85,80.00,80.50,80.76,1752,1.42,35,1300,74.20
