Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AHLUCONT,EQ,2014-12-03,205.05,207.20,211.90,204.00,207.10,209.25,208.06,299389,622.89,4659,128461,42.91
AHLUCONT,EQ,2014-12-04,209.25,209.50,237.15,207.00,231.40,229.00,222.04,1794935,3985.49,30496,386797,21.55
AHLUCONT,EQ,2014-12-05,229.00,232.80,232.80,211.60,214.50,215.35,222.92,881573,1965.21,13465,242745,27.54
AHLUCONT,EQ,2014-12-08,215.35,215.95,225.90,212.20,219.00,218.35,220.01,368210,810.11,6441,119978,32.58
AHLUCONT,EQ,2014-12-09,218.35,217.30,221.90,199.00,206.00,205.95,210.42,214511,451.36,3547,97540,45.47
AHLUCONT,EQ,2014-12-10,205.95,205.70,223.00,202.55,223.00,219.80,214.43,343347,736.24,5699,134215,39.09
AHLUCONT,EQ,2014-12-11,219.80,219.85,223.90,213.00,218.00,218.35,218.41,164781,359.90,3029,70698,42.90
AHLUCONT,EQ,2014-12-12,218.35,218.90,225.70,214.15,215.50,216.45,219.90,196679,432.49,3413,72755,36.99
AHLUCONT,EQ,2014-12-15,216.45,214.70,222.40,212.50,213.00,214.00,216.72,127590,276.52,2759,60739,47.60
AHLUCONT,EQ,2014-12-16,214.00,214.00,219.30,209.00,214.50,211.75,213.30,207155,441.85,2111,135051,65.19
AHLUCONT,EQ,2014-12-17,211.75,210.30,216.50,192.10,199.20,200.95,204.17,171424,350.00,3179,77039,44.94
AHLUCONT,EQ,2014-12-18,200.95,204.70,212.90,202.30,209.25,210.85,208.81,100786,210.45,2139,51496,51.09
AHLUCONT,EQ,2014-12-19,210.85,213.00,218.00,212.00,213.00,215.90,215.37,81366,175.24,1406,46379,57.00
AHLUCONT,EQ,2014-12-22,215.90,216.00,216.00,207.35,210.20,210.10,211.44,202735,428.66,2171,137376,67.76
AHLUCONT,EQ,2014-12-23,210.10,208.50,216.90,206.10,213.65,214.15,210.99,144313,304.48,3045,65432,45.34
AHLUCONT,EQ,2014-12-24,214.15,215.30,223.70,212.30,218.00,218.15,219.23,123665,271.11,1830,54939,44.43
AHLUCONT,EQ,2014-12-26,218.15,219.50,219.50,211.10,214.40,213.40,213.96,53046,113.50,1147,24562,46.30
AHLUCONT,EQ,2014-12-29,213.40,215.00,218.00,212.00,213.30,213.40,215.41,42862,92.33,1026,17548,40.94
AHLUCONT,EQ,2014-12-30,213.40,214.95,222.40,214.00,222.35,220.95,219.47,122772,269.45,2084,56653,46.14
AHLUCONT,EQ,2014-12-31,220.95,221.45,227.00,220.80,226.50,224.65,224.43,101321,227.39,2294,42541,41.99
