Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AKSHOPTFBR,EQ,2014-12-03,17.30,17.45,17.95,17.20,17.70,17.70,17.71,623891,110.46,1244,363429,58.25
AKSHOPTFBR,EQ,2014-12-04,17.70,17.85,17.95,17.30,17.35,17.45,17.62,282654,49.82,800,126463,44.74
AKSHOPTFBR,EQ,2014-12-05,17.45,17.40,17.80,17.05,17.15,17.15,17.38,326337,56.72,809,192552,59.00
AKSHOPTFBR,EQ,2014-12-08,17.15,17.20,17.40,16.50,16.95,16.80,16.88,463227,78.21,810,305867,66.03
AKSHOPTFBR,EQ,2014-12-09,16.80,16.80,17.00,15.90,16.35,16.20,16.52,452496,74.76,910,221817,49.02
AKSHOPTFBR,EQ,2014-12-10,16.20,16.20,16.90,16.00,16.70,16.70,16.59,228814,37.95,814,117315,51.27
AKSHOPTFBR,EQ,2014-12-11,16.70,16.70,16.75,16.10,16.25,16.30,16.32,270095,44.08,685,179469,66.45
AKSHOPTFBR,EQ,2014-12-12,16.30,16.35,16.80,15.50,15.80,15.80,16.07,495927,79.67,1306,303956,61.29
AKSHOPTFBR,EQ,2014-12-15,15.80,15.50,16.30,15.50,15.70,15.80,15.88,236795,37.61,599,137181,57.93
AKSHOPTFBR,EQ,2014-12-16,15.80,15.55,15.80,14.55,14.75,14.85,15.07,556951,83.92,946,426304,76.54
AKSHOPTFBR,EQ,2014-12-17,14.85,14.90,15.00,13.50,14.00,14.00,14.23,445684,63.42,942,282902,63.48
AKSHOPTFBR,EQ,2014-12-18,14.00,14.60,14.80,13.90,14.05,14.05,14.20,847506,120.37,1792,471615,55.65
AKSHOPTFBR,EQ,2014-12-19,14.05,14.15,15.10,14.10,14.35,14.55,14.63,566214,82.86,1242,361657,63.87
AKSHOPTFBR,EQ,2014-12-22,14.55,14.70,16.65,14.35,16.35,16.25,15.79,1385820,218.78,3261,531612,38.36
AKSHOPTFBR,EQ,2014-12-23,16.25,16.40,16.95,15.55,16.25,16.15,16.31,699876,114.14,1566,363381,51.92
AKSHOPTFBR,EQ,2014-12-24,16.15,16.00,16.55,15.75,15.95,16.00,16.17,213320,34.48,866,115776,54.27
AKSHOPTFBR,EQ,2014-12-26,16.00,16.00,16.50,15.60,16.10,16.05,16.10,231650,37.30,864,80980,34.96
AKSHOPTFBR,EQ,2014-12-29,16.05,15.90,16.30,15.45,15.55,15.65,15.93,178874,28.50,535,122299,68.37
AKSHOPTFBR,EQ,2014-12-30,15.65,15.70,16.20,15.35,15.55,15.45,15.57,134258,20.90,667,63245,47.11
AKSHOPTFBR,EQ,2014-12-31,15.45,15.50,15.95,15.45,15.55,15.50,15.61,172129,26.87,722,83661,48.60
AKSHOPTFBR,EQ,2015-01-01,15.50,15.30,15.90,15.30,15.70,15.75,15.66,194264,30.43,997,106460,54.80
AKSHOPTFBR,EQ,2015-01-02,15.75,15.80,16.40,15.70,16.15,16.10,16.03,261705,41.96,692,161474,61.70
AKSHOPTFBR,EQ,2015-01-05,16.10,16.50,16.70,15.30,16.10,16.05,16.03,541076,86.71,2016,150453,27.81
AKSHOPTFBR,EQ,2015-01-06,16.05,16.10,16.10,14.90,15.15,15.10,15.32,509177,77.98,1521,279368,54.87
AKSHOPTFBR,EQ,2015-01-07,15.10,15.30,15.50,14.80,15.30,15.35,15.13,157597,23.84,539,89864,57.02
AKSHOPTFBR,EQ,2015-01-08,15.35,15.50,15.90,15.40,15.75,15.65,15.71,187840,29.50,445,114577,61.00
AKSHOPTFBR,EQ,2015-01-09,15.65,15.70,16.05,15.35,15.65,15.50,15.66,154045,24.12,452,79259,51.45
AKSHOPTFBR,EQ,2015-01-12,15.50,15.70,15.70,15.25,15.55,15.50,15.46,180083,27.84,464,127193,70.63
AKSHOPTFBR,EQ,2015-01-13,15.50,15.70,16.10,14.75,15.20,15.30,15.42,532464,82.08,1067,213212,40.04
AKSHOPTFBR,EQ,2015-01-14,15.30,15.50,15.70,15.10,15.25,15.20,15.32,144221,22.09,439,84902,58.87
AKSHOPTFBR,EQ,2015-01-15,15.20,15.05,15.55,15.05,15.20,15.15,15.28,110206,16.84,386,75068,68.12
AKSHOPTFBR,EQ,2015-01-16,15.15,15.50,15.50,15.05,15.05,15.20,15.25,126757,19.33,399,64141,50.60
AKSHOPTFBR,EQ,2015-01-19,15.20,15.10,16.00,15.10,15.65,15.75,15.76,346229,54.56,742,216837,62.63
AKSHOPTFBR,EQ,2015-01-20,15.75,15.95,16.30,15.85,16.00,16.00,16.11,362294,58.37,888,235089,64.89
AKSHOPTFBR,EQ,2015-01-21,16.00,16.30,16.30,15.70,15.85,15.90,15.96,172495,27.53,509,113831,65.99
AKSHOPTFBR,EQ,2015-01-22,15.90,15.70,17.45,15.60,16.75,16.90,16.80,1513127,254.24,2674,858365,56.73
AKSHOPTFBR,EQ,2015-01-23,16.90,17.00,17.15,16.15,16.50,16.40,16.56,308910,51.17,919,213277,69.04
AKSHOPTFBR,EQ,2015-01-27,16.40,16.40,16.60,16.00,16.05,16.10,16.22,126625,20.54,396,90015,71.09
