Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ALBERTDAVD,EQ,2016-06-14,313.35,334.00,334.00,311.00,311.00,312.25,323.23,2885,9.33,86,1253,43.43
ALBERTDAVD,EQ,2016-06-15,312.25,286.00,322.50,286.00,315.80,313.30,308.88,965,2.98,39,660,68.39
ALBERTDAVD,EQ,2016-06-16,313.30,304.55,320.00,304.55,315.00,311.50,310.30,1498,4.65,22,1374,91.72
ALBERTDAVD,EQ,2016-06-17,311.50,322.00,322.00,310.05,320.00,320.00,312.86,335,1.05,17,295,88.06
ALBERTDAVD,EQ,2016-06-20,320.00,321.00,321.00,305.15,315.00,315.55,313.09,232,0.73,13,182,78.45
ALBERTDAVD,EQ,2016-06-21,315.55,306.50,320.45,306.50,313.00,313.00,314.10,245,0.77,19,241,98.37
ALBERTDAVD,EQ,2016-06-22,313.00,305.50,314.90,297.00,312.80,312.75,310.92,317,0.99,23,216,68.14
ALBERTDAVD,EQ,2016-06-23,312.75,312.50,312.80,300.30,300.30,300.80,304.97,626,1.91,36,575,91.85
ALBERTDAVD,EQ,2016-06-24,300.80,295.00,308.95,291.05,301.00,301.00,297.75,782,2.33,30,695,88.87
ALBERTDAVD,EQ,2016-06-27,301.00,305.95,308.00,300.00,308.00,304.85,305.00,647,1.97,17,623,96.29
ALBERTDAVD,EQ,2016-06-28,304.85,300.50,310.50,300.00,310.50,310.50,307.79,502,1.55,19,371,73.90
ALBERTDAVD,EQ,2016-06-29,310.50,301.00,308.50,292.10,303.00,304.75,301.27,3813,11.49,79,2826,74.11
ALBERTDAVD,EQ,2016-06-30,304.75,307.00,314.00,307.00,311.00,311.00,312.37,701,2.19,15,650,92.72
ALBERTDAVD,EQ,2016-07-01,311.00,312.95,312.95,303.00,307.50,304.25,304.75,1012,3.08,48,861,85.08
ALBERTDAVD,EQ,2016-07-04,304.25,309.95,326.00,303.10,310.00,310.00,310.42,4734,14.70,113,2988,63.12
ALBERTDAVD,EQ,2016-07-05,310.00,303.00,319.50,303.00,306.10,306.55,307.87,1499,4.61,92,538,35.89
ALBERTDAVD,EQ,2016-07-07,306.55,310.95,336.60,308.00,321.50,322.45,325.96,5714,18.63,203,2871,50.25
ALBERTDAVD,EQ,2016-07-08,322.45,328.60,331.00,323.00,325.00,325.55,325.83,1539,5.01,68,1081,70.24
ALBERTDAVD,EQ,2016-07-11,325.55,329.95,336.50,322.00,322.00,324.50,326.49,1501,4.90,87,1048,69.82
ALBERTDAVD,EQ,2016-07-12,324.50,326.05,328.90,318.25,324.00,322.15,325.93,1420,4.63,44,1230,86.62
ALBERTDAVD,EQ,2016-07-13,322.15,312.00,327.95,312.00,321.00,322.50,316.27,1561,4.94,20,1476,94.55
ALBERTDAVD,EQ,2016-07-14,322.50,318.50,323.00,315.30,316.00,316.25,318.32,1694,5.39,55,1075,63.46
ALBERTDAVD,EQ,2016-07-15,316.25,322.10,322.10,314.20,320.00,318.95,321.03,1678,5.39,80,1402,83.55
ALBERTDAVD,EQ,2016-07-18,318.95,325.95,325.95,315.00,315.00,315.75,317.04,363,1.15,22,298,82.09
ALBERTDAVD,EQ,2016-07-19,315.75,320.00,320.95,310.10,311.95,311.95,316.10,656,2.07,35,491,74.85
ALBERTDAVD,EQ,2016-07-20,311.95,312.50,319.90,312.20,319.50,318.10,315.65,932,2.94,30,828,88.84
ALBERTDAVD,EQ,2016-07-21,318.10,318.00,318.80,309.95,316.50,316.55,313.11,3007,9.42,80,1925,64.02
ALBERTDAVD,EQ,2016-07-22,316.55,314.25,317.90,313.00,315.00,315.00,314.48,527,1.66,32,424,80.46
ALBERTDAVD,EQ,2016-07-25,315.00,316.00,322.80,312.00,313.50,313.05,314.66,1322,4.16,45,956,72.31
ALBERTDAVD,EQ,2016-07-26,313.05,319.95,319.95,311.00,312.80,312.80,313.18,975,3.05,35,681,69.85
ALBERTDAVD,EQ,2016-07-27,312.80,313.00,315.50,311.00,312.95,312.85,312.97,592,1.85,34,379,64.02
ALBERTDAVD,EQ,2016-07-28,312.85,315.65,315.65,309.10,311.40,311.40,311.52,1367,4.26,30,1247,91.22
ALBERTDAVD,EQ,2016-07-29,311.40,311.40,328.00,310.10,315.00,315.00,314.39,1035,3.25,37,883,85.31
ALBERTDAVD,EQ,2016-08-01,315.00,316.00,323.00,315.00,315.05,315.05,317.42,1652,5.24,57,1135,68.70
ALBERTDAVD,EQ,2016-08-02,315.05,319.00,331.00,313.00,320.00,319.95,323.86,5681,18.40,163,2373,41.77
ALBERTDAVD,EQ,2016-08-03,319.95,320.00,321.45,314.00,318.00,315.60,318.12,691,2.20,42,397,57.45
ALBERTDAVD,EQ,2016-08-04,315.60,318.00,319.50,312.00,319.50,315.05,314.89,1225,3.86,77,761,62.12
ALBERTDAVD,EQ,2016-08-05,315.05,321.80,323.90,317.00,322.90,320.50,320.08,799,2.56,40,639,79.97
ALBERTDAVD,EQ,2016-08-08,320.50,321.00,325.00,317.00,323.00,322.10,321.23,2786,8.95,57,2372,85.14
ALBERTDAVD,EQ,2016-08-09,322.10,324.85,336.60,324.60,330.00,330.05,330.60,8425,27.85,238,4098,48.64
ALBERTDAVD,EQ,2016-08-10,330.05,335.50,337.00,328.00,333.00,330.80,333.55,2911,9.71,62,1991,68.40
ALBERTDAVD,EQ,2016-08-11,330.80,335.50,335.50,325.30,325.30,326.00,329.58,715,2.36,45,411,57.48
ALBERTDAVD,EQ,2016-08-12,326.00,325.25,332.00,301.05,322.05,324.60,324.00,2288,7.41,66,1307,57.12
ALBERTDAVD,EQ,2016-08-16,324.60,316.05,317.95,291.00,291.05,294.05,301.26,10986,33.10,359,9233,84.04
ALBERTDAVD,EQ,2016-08-17,294.05,295.00,303.00,277.60,282.95,282.75,283.78,19746,56.04,443,16742,84.79
ALBERTDAVD,EQ,2016-08-18,282.75,287.50,297.00,283.00,292.70,293.70,293.00,2683,7.86,212,1300,48.45
ALBERTDAVD,EQ,2016-08-19,293.70,292.75,293.80,287.00,291.00,291.05,289.46,1773,5.13,116,1256,70.84
