Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ALBK,EQ,2014-12-03,127.50,128.00,132.80,127.85,130.10,130.20,130.64,6625468,8655.64,44676,2222622,33.55
ALBK,EQ,2014-12-04,130.20,131.00,135.90,126.00,134.25,134.50,131.00,4967345,6507.03,29621,766088,15.42
ALBK,EQ,2014-12-05,134.50,133.80,136.70,130.10,130.50,132.10,134.09,4486676,6016.23,29143,830332,18.51
ALBK,EQ,2014-12-08,132.10,131.50,134.40,128.40,129.10,129.00,131.17,4119751,5403.91,25680,641541,15.57
ALBK,EQ,2014-12-09,129.00,128.15,131.75,123.95,125.80,125.45,127.67,2858739,3649.62,19884,470537,16.46
ALBK,EQ,2014-12-10,125.45,125.00,132.80,124.90,132.65,131.40,129.37,3643541,4713.67,24792,561306,15.41
ALBK,EQ,2014-12-11,131.40,130.90,132.95,127.10,129.65,129.10,129.87,4994759,6486.85,33694,432797,8.67
ALBK,EQ,2014-12-12,129.10,130.25,130.80,124.60,125.10,125.35,127.26,3620487,4607.36,25356,725479,20.04
ALBK,EQ,2014-12-15,125.35,124.95,128.35,122.70,124.40,124.20,125.54,2605041,3270.26,20214,409931,15.74
ALBK,EQ,2014-12-16,124.20,123.40,125.00,117.05,117.20,117.70,120.14,4087902,4911.15,33870,837869,20.50
ALBK,EQ,2014-12-17,117.70,116.55,120.45,112.00,118.10,118.40,116.89,5625870,6575.86,50376,954002,16.96
ALBK,EQ,2014-12-18,118.40,121.00,125.25,120.15,124.95,124.30,123.00,3827015,4707.33,32439,1043866,27.28
ALBK,EQ,2014-12-19,124.30,126.00,127.00,123.05,123.05,124.00,124.71,3922547,4891.72,25811,1247797,31.81
ALBK,EQ,2014-12-22,124.00,124.65,126.40,122.20,126.10,125.95,124.20,1938303,2407.29,14356,362235,18.69
ALBK,EQ,2014-12-23,125.95,127.30,129.20,123.60,123.70,124.60,126.59,4070587,5152.87,33408,892838,21.93
ALBK,EQ,2014-12-24,124.60,124.40,125.90,123.10,125.45,125.15,124.84,3173100,3961.32,15744,891938,28.11
ALBK,EQ,2014-12-26,125.15,126.40,130.70,125.10,130.35,130.30,128.75,4337576,5584.55,28170,859790,19.82
ALBK,EQ,2014-12-29,130.30,132.15,132.15,129.10,129.35,129.35,130.47,2346626,3061.71,15573,413712,17.63
ALBK,EQ,2014-12-30,129.35,130.25,133.35,127.65,132.95,133.00,131.19,3703356,4858.60,24037,670053,18.09
ALBK,EQ,2014-12-31,133.00,133.50,134.50,132.20,132.65,132.80,133.30,2632477,3509.01,16375,808222,30.70
ALBK,EQ,2015-01-01,132.80,132.90,136.00,132.50,134.10,134.35,134.67,2497992,3364.06,18711,575047,23.02
ALBK,EQ,2015-01-02,134.35,134.70,135.80,131.55,132.20,132.00,134.07,3053724,4094.00,19220,685687,22.45
ALBK,EQ,2015-01-05,132.00,132.85,133.50,129.25,130.00,129.85,131.17,2379793,3121.51,16631,617663,25.95
ALBK,EQ,2015-01-06,129.85,129.00,129.00,124.00,124.50,124.50,126.55,2847656,3603.60,19828,615830,21.63
ALBK,EQ,2015-01-07,124.50,124.50,126.75,121.50,123.65,123.60,123.75,2766667,3423.70,21066,253157,9.15
ALBK,EQ,2015-01-08,123.60,126.00,128.40,125.25,127.35,127.25,127.04,2445669,3106.92,16232,541251,22.13
ALBK,EQ,2015-01-09,127.25,128.95,129.75,125.30,126.75,126.80,126.94,2423716,3076.65,17862,449283,18.54
ALBK,EQ,2015-01-12,126.80,126.90,131.10,125.65,129.90,130.00,129.44,2619983,3391.41,18969,721944,27.56
