Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AMBIKCO,EQ,2014-12-03,527.55,530.00,543.00,526.10,535.00,536.05,537.67,10494,56.42,561,6976,66.48
AMBIKCO,EQ,2014-12-04,536.05,535.00,544.00,528.40,537.00,535.20,535.22,4350,23.28,314,2019,46.41
AMBIKCO,EQ,2014-12-05,535.20,535.00,542.05,531.00,542.00,534.65,535.09,4418,23.64,347,2469,55.89
AMBIKCO,EQ,2014-12-08,534.65,534.95,545.80,528.00,533.00,535.05,537.20,6897,37.05,353,5661,82.08
AMBIKCO,EQ,2014-12-09,535.05,539.90,542.90,519.00,525.00,524.30,530.99,4835,25.67,506,2793,57.77
AMBIKCO,EQ,2014-12-10,524.30,530.00,541.00,520.30,539.00,538.10,533.19,3305,17.62,222,2331,70.53
AMBIKCO,EQ,2014-12-11,538.10,535.00,540.00,530.00,530.10,534.55,534.61,4886,26.12,387,3440,70.41
AMBIKCO,EQ,2014-12-12,534.55,520.00,548.00,515.00,534.50,533.95,538.31,3456,18.60,281,2523,73.00
AMBIKCO,EQ,2014-12-15,533.95,533.95,533.95,503.00,516.00,514.85,518.72,2752,14.28,361,1124,40.84
AMBIKCO,EQ,2014-12-16,514.85,503.05,518.75,493.75,505.00,503.95,502.41,6215,31.22,319,4852,78.07
AMBIKCO,EQ,2014-12-17,503.95,502.50,511.00,480.00,494.00,492.60,490.32,4240,20.79,314,2567,60.54
AMBIKCO,EQ,2014-12-18,492.60,489.10,517.05,489.10,513.25,512.65,505.72,2427,12.27,227,846,34.86
AMBIKCO,EQ,2014-12-19,512.65,516.00,529.90,510.25,510.25,517.10,521.69,1667,8.70,169,947,56.81
AMBIKCO,EQ,2014-12-22,517.10,519.00,544.95,516.70,541.00,541.25,534.57,6427,34.36,327,5083,79.09
AMBIKCO,EQ,2014-12-23,541.25,538.00,555.00,538.00,550.00,551.20,550.23,10555,58.08,277,9394,89.00
AMBIKCO,EQ,2014-12-24,551.20,550.00,554.90,535.10,535.10,545.45,548.89,3891,21.36,220,3063,78.72
AMBIKCO,EQ,2014-12-26,545.45,542.05,548.35,535.00,545.00,542.05,543.25,2380,12.93,165,1516,63.70
AMBIKCO,EQ,2014-12-29,542.05,546.00,546.00,536.00,536.95,540.70,542.95,1301,7.06,236,899,69.10
AMBIKCO,EQ,2014-12-30,540.70,540.00,540.00,525.00,529.50,529.80,531.23,1385,7.36,214,836,60.36
AMBIKCO,EQ,2014-12-31,529.80,532.95,532.95,518.25,529.90,528.35,526.11,2109,11.10,255,1296,61.45
AMBIKCO,EQ,2015-01-01,528.35,532.00,535.00,525.15,526.00,527.50,529.68,989,5.24,136,653,66.03
AMBIKCO,EQ,2015-01-02,527.50,526.00,529.00,509.25,523.00,526.85,519.53,5793,30.10,611,2561,44.21
AMBIKCO,EQ,2015-01-05,526.85,530.25,530.25,518.10,521.20,521.10,523.33,2293,12.00,258,1960,85.48
AMBIKCO,EQ,2015-01-06,521.10,524.90,533.60,514.00,520.95,514.85,519.60,3904,20.29,356,2943,75.38
AMBIKCO,EQ,2015-01-07,514.85,519.95,533.95,517.25,517.25,520.75,524.34,4191,21.97,261,3060,73.01
