Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ANANTRAJ,EQ,2014-12-03,51.65,52.00,52.20,51.40,51.85,51.80,51.82,1219128,631.76,12018,593704,48.70
ANANTRAJ,EQ,2014-12-04,51.80,52.40,52.95,51.50,51.80,51.70,51.92,870182,451.83,7454,417550,47.98
ANANTRAJ,EQ,2014-12-05,51.70,51.50,53.50,51.50,51.80,51.75,52.33,1208405,632.39,5079,390236,32.29
ANANTRAJ,EQ,2014-12-08,51.75,51.90,52.70,50.35,50.85,50.80,51.46,835870,430.16,5073,372435,44.56
ANANTRAJ,EQ,2014-12-09,50.80,50.45,51.35,49.00,49.40,49.40,50.09,771305,386.32,4731,354775,46.00
ANANTRAJ,EQ,2014-12-10,49.40,49.05,50.65,48.80,49.20,49.30,49.65,779861,387.17,3797,392627,50.35
ANANTRAJ,EQ,2014-12-11,49.30,49.10,49.85,48.35,49.00,48.80,48.95,768174,376.00,5208,336665,43.83
ANANTRAJ,EQ,2014-12-12,48.80,49.10,49.40,47.50,47.80,47.80,48.57,1051028,510.51,7669,603585,57.43
ANANTRAJ,EQ,2014-12-15,47.80,47.50,47.95,46.75,46.95,46.90,47.19,561251,264.88,3870,273464,48.72
ANANTRAJ,EQ,2014-12-16,46.90,46.35,46.75,44.50,45.30,44.85,45.45,714394,324.73,8589,422291,59.11
ANANTRAJ,EQ,2014-12-17,44.85,44.40,45.25,42.50,44.25,44.05,43.98,787258,346.20,7212,360144,45.75
ANANTRAJ,EQ,2014-12-18,44.05,44.55,48.90,44.55,46.85,47.35,46.43,758484,352.16,7016,355201,46.83
ANANTRAJ,EQ,2014-12-19,47.35,47.45,48.75,44.55,45.15,44.95,46.31,813228,376.64,6080,470049,57.80
ANANTRAJ,EQ,2014-12-22,44.95,45.05,46.10,45.05,45.95,45.80,45.70,443594,202.72,2977,200262,45.15
ANANTRAJ,EQ,2014-12-23,45.80,45.85,46.40,44.60,45.00,45.00,45.41,410343,186.32,2222,208722,50.87
ANANTRAJ,EQ,2014-12-24,45.00,44.75,45.20,44.00,44.45,44.40,44.50,638143,283.95,11024,331199,51.90
ANANTRAJ,EQ,2014-12-26,44.40,44.30,45.70,44.30,44.70,44.75,44.90,450023,202.06,2652,171894,38.20
ANANTRAJ,EQ,2014-12-29,44.75,44.85,46.40,44.85,45.40,45.35,45.67,491938,224.69,2950,212185,43.13
ANANTRAJ,EQ,2014-12-30,45.35,45.45,47.20,45.10,45.80,45.80,46.16,1722311,795.07,11659,744972,43.25
ANANTRAJ,EQ,2014-12-31,45.80,45.45,47.40,45.45,47.00,46.85,46.71,899027,419.92,5227,307060,34.15
ANANTRAJ,EQ,2015-01-01,46.85,46.80,47.65,46.45,47.25,47.20,47.16,530910,250.40,2868,196671,37.04
ANANTRAJ,EQ,2015-01-02,47.20,47.30,48.35,47.10,47.40,47.45,47.69,1104608,526.81,5048,446307,40.40
ANANTRAJ,EQ,2015-01-05,47.45,47.45,48.35,46.85,47.20,47.15,47.55,821679,390.74,4008,317929,38.69
ANANTRAJ,EQ,2015-01-06,47.15,46.75,46.75,43.55,43.90,43.85,44.58,1447124,645.14,10726,880435,60.84
ANANTRAJ,EQ,2015-01-07,43.85,44.00,44.45,42.40,43.25,43.20,43.30,1471933,637.40,17542,866282,58.85
ANANTRAJ,EQ,2015-01-08,43.20,44.25,45.00,43.30,43.45,43.45,43.79,1077250,471.72,18454,671089,62.30
ANANTRAJ,EQ,2015-01-09,43.45,44.10,44.35,42.35,42.85,42.60,43.12,1346660,580.74,14707,784368,58.25
ANANTRAJ,EQ,2015-01-12,42.60,43.40,43.40,41.80,41.95,42.00,42.31,1042355,441.06,11071,623452,59.81
ANANTRAJ,EQ,2015-01-13,42.00,42.30,43.25,41.85,42.65,42.80,42.49,1151113,489.12,8307,535214,46.50
ANANTRAJ,EQ,2015-01-14,42.80,42.60,43.10,41.80,42.05,42.15,42.40,622157,263.78,3610,332580,53.46
ANANTRAJ,EQ,2015-01-15,42.15,43.05,46.30,42.80,45.50,45.75,45.04,4276306,1926.20,17958,1587748,37.13
ANANTRAJ,EQ,2015-01-16,45.75,46.00,47.75,45.50,46.30,46.15,46.52,3142638,1462.06,15178,1276728,40.63
ANANTRAJ,EQ,2015-01-19,46.15,46.75,47.90,46.50,47.50,47.05,47.10,1332714,627.65,6556,713538,53.54
ANANTRAJ,EQ,2015-01-20,47.05,47.45,47.80,46.25,47.00,46.90,47.16,938381,442.50,4693,492905,52.53
ANANTRAJ,EQ,2015-01-21,46.90,47.00,47.35,43.30,45.10,44.95,45.51,811734,369.46,4936,459608,56.62
ANANTRAJ,EQ,2015-01-22,44.95,45.05,47.80,45.00,47.00,47.05,46.83,1824669,854.52,8830,679780,37.25
ANANTRAJ,EQ,2015-01-23,47.05,47.45,47.65,45.55,46.10,46.30,46.53,1256296,584.52,5795,581030,46.25
ANANTRAJ,EQ,2015-01-27,46.30,46.70,47.15,44.90,45.30,45.65,45.66,2504544,1143.56,6025,1743509,69.61
ANANTRAJ,EQ,2015-01-28,45.65,45.65,46.30,44.65,45.75,45.70,45.50,1107338,503.79,5828,443447,40.05
ANANTRAJ,EQ,2015-01-29,45.70,45.95,49.35,45.50,48.30,48.30,48.09,2065379,993.29,10077,943714,45.69
ANANTRAJ,EQ,2015-01-30,48.30,48.70,51.90,48.50,50.25,50.15,50.38,4101912,2066.55,18549,1358367,33.12
ANANTRAJ,EQ,2015-02-02,50.15,49.90,51.90,49.80,50.40,50.60,50.98,1934921,986.40,9504,786384,40.64
ANANTRAJ,EQ,2015-02-03,50.60,50.90,51.00,48.00,48.60,48.45,49.24,1241014,611.13,5708,626272,50.46
ANANTRAJ,EQ,2015-02-04,48.45,48.50,52.25,47.65,50.70,50.40,50.15,3004150,1506.65,14546,1143098,38.05
ANANTRAJ,EQ,2015-02-05,50.40,50.65,51.80,47.90,48.35,48.55,50.34,1537064,773.75,8388,677619,44.09
ANANTRAJ,EQ,2015-02-06,48.55,48.35,49.90,47.90,49.20,49.05,48.99,1137363,557.18,6558,426609,37.51
ANANTRAJ,EQ,2015-02-09,49.05,48.50,48.65,46.75,47.15,47.05,47.71,707792,337.69,3877,418090,59.07
ANANTRAJ,EQ,2015-02-10,47.05,46.55,48.75,44.90,47.70,46.85,46.96,884733,415.48,5982,374261,42.30
ANANTRAJ,EQ,2015-02-11,46.85,47.15,49.30,46.85,48.95,48.80,48.26,607871,293.34,3676,258115,42.46
ANANTRAJ,EQ,2015-02-12,48.80,49.15,51.20,48.50,51.10,50.65,50.03,1108826,554.71,8388,494924,44.63
ANANTRAJ,EQ,2015-02-13,50.65,50.55,51.95,47.60,48.35,48.70,50.15,1198296,600.97,5952,562624,46.95
ANANTRAJ,EQ,2015-02-16,48.70,47.20,49.25,47.20,48.30,48.10,48.36,1230144,594.90,4960,691734,56.23
ANANTRAJ,EQ,2015-02-18,48.10,48.50,49.95,48.50,48.70,48.95,49.21,904343,445.04,4738,408650,45.19
ANANTRAJ,EQ,2015-02-19,48.95,49.15,49.65,47.50,48.25,48.25,48.34,644068,311.33,3572,280964,43.62
ANANTRAJ,EQ,2015-02-20,48.25,48.35,49.75,48.00,48.80,48.85,49.12,1089279,535.06,5104,452319,41.52
ANANTRAJ,EQ,2015-02-23,48.85,49.10,49.45,47.50,48.00,47.85,48.37,685024,331.35,3253,363964,53.13
ANANTRAJ,EQ,2015-02-24,47.85,47.65,48.55,47.30,47.90,47.75,47.95,646075,309.82,3255,294245,45.54
ANANTRAJ,EQ,2015-02-25,47.75,48.00,48.15,45.85,46.35,46.15,47.00,794561,373.44,3883,525895,66.19
ANANTRAJ,EQ,2015-02-26,46.15,46.40,47.00,45.85,47.00,46.70,46.57,479742,223.40,4243,216032,45.03
ANANTRAJ,EQ,2015-02-27,46.70,47.10,48.50,46.70,47.85,47.90,47.87,832687,398.59,4493,384965,46.23
ANANTRAJ,EQ,2015-02-28,47.90,49.40,49.60,45.30,46.00,46.30,47.20,2703128,1276.01,10943,990889,36.66
ANANTRAJ,EQ,2015-03-02,46.30,46.70,46.90,45.50,45.90,45.80,46.09,729251,336.12,5335,404086,55.41
ANANTRAJ,EQ,2015-03-03,45.80,46.00,46.90,45.60,46.00,46.00,46.27,853610,394.98,4161,438917,51.42
ANANTRAJ,EQ,2015-03-04,46.00,47.25,47.90,45.30,45.70,45.60,46.48,964017,448.08,4570,414417,42.99
ANANTRAJ,EQ,2015-03-05,45.60,45.85,45.85,44.50,44.90,44.85,44.96,572276,257.32,3019,349144,61.01
ANANTRAJ,EQ,2015-03-09,44.85,44.40,44.50,43.50,43.55,43.60,43.88,573772,251.74,3192,358128,62.42
ANANTRAJ,EQ,2015-03-10,43.60,43.55,44.30,43.05,44.10,43.45,43.50,1289223,560.86,3393,975093,75.63
ANANTRAJ,EQ,2015-03-11,43.45,44.00,44.25,42.80,42.90,42.90,43.14,667344,287.89,3730,343823,51.52
ANANTRAJ,EQ,2015-03-12,42.90,43.00,43.50,42.95,43.45,43.35,43.26,470715,203.61,2696,246242,52.31
