Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ANSALHSG,EQ,2014-12-03,30.45,30.20,30.70,30.10,30.40,30.35,30.38,31409,9.54,200,16411,52.25
ANSALHSG,EQ,2014-12-04,30.35,30.75,31.70,30.45,30.60,30.45,30.67,20939,6.42,78,16130,77.03
ANSALHSG,EQ,2014-12-05,30.45,30.90,31.40,30.15,30.25,30.55,30.62,40773,12.49,221,27689,67.91
ANSALHSG,EQ,2014-12-08,30.55,30.25,31.00,29.90,30.00,30.00,30.39,23511,7.15,216,14138,60.13
ANSALHSG,EQ,2014-12-09,30.00,30.00,30.25,29.10,29.30,29.40,29.54,14973,4.42,112,12247,81.79
ANSALHSG,EQ,2014-12-10,29.40,29.75,30.90,29.50,30.30,30.25,30.00,56779,17.03,185,15807,27.84
ANSALHSG,EQ,2014-12-11,30.25,30.25,30.25,29.25,29.40,29.45,29.56,29051,8.59,161,17952,61.79
ANSALHSG,EQ,2014-12-12,29.45,29.65,29.80,28.90,28.90,29.00,29.43,15618,4.60,93,11137,71.31
ANSALHSG,EQ,2014-12-15,29.00,28.85,29.40,28.05,28.55,28.70,28.86,18378,5.30,121,11853,64.50
ANSALHSG,EQ,2014-12-16,28.70,28.60,28.75,27.10,27.30,27.45,27.87,24312,6.78,158,16314,67.10
ANSALHSG,EQ,2014-12-17,27.45,28.00,28.00,26.00,26.85,26.65,26.90,27498,7.40,186,20711,75.32
ANSALHSG,EQ,2014-12-18,26.65,27.10,27.85,27.00,27.85,27.65,27.50,26134,7.19,125,18496,70.77
ANSALHSG,EQ,2014-12-19,27.65,28.00,28.55,27.20,27.50,27.50,27.76,23274,6.46,142,17844,76.67
ANSALHSG,EQ,2014-12-22,27.50,27.30,27.90,27.30,27.55,27.55,27.53,13298,3.66,82,6151,46.26
ANSALHSG,EQ,2014-12-23,27.55,27.85,27.95,26.95,27.95,27.60,27.47,14258,3.92,97,11259,78.97
ANSALHSG,EQ,2014-12-24,27.60,27.80,27.80,27.25,27.80,27.35,27.35,11079,3.03,44,8801,79.44
ANSALHSG,EQ,2014-12-26,27.35,27.00,28.25,27.00,28.00,27.95,27.55,13722,3.78,105,10221,74.49
ANSALHSG,EQ,2014-12-29,27.95,26.75,28.45,26.75,28.35,28.10,27.98,14667,4.10,128,9181,62.60
ANSALHSG,EQ,2014-12-30,28.10,28.50,28.50,27.75,28.00,27.95,28.08,6881,1.93,57,6155,89.45
