Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
APARINDS,EQ,2014-12-03,420.50,422.00,429.30,420.30,423.80,421.65,424.82,55949,237.68,1269,42012,75.09
APARINDS,EQ,2014-12-04,421.65,424.00,448.40,423.30,436.00,436.30,438.13,119700,524.44,3293,67390,56.30
APARINDS,EQ,2014-12-05,436.30,433.30,443.60,419.50,422.05,422.15,432.36,45189,195.38,2324,27476,60.80
APARINDS,EQ,2014-12-08,422.15,425.00,432.00,415.60,425.00,421.20,423.66,24214,102.58,1361,13543,55.93
APARINDS,EQ,2014-12-09,421.20,424.75,439.10,417.90,420.00,419.90,427.62,87763,375.29,5270,51806,59.03
APARINDS,EQ,2014-12-10,419.90,411.00,425.00,411.00,422.00,419.60,419.29,21238,89.05,985,7430,34.98
APARINDS,EQ,2014-12-11,419.60,417.65,421.40,408.00,410.00,410.75,414.23,48686,201.67,850,38604,79.29
APARINDS,EQ,2014-12-12,410.75,412.00,419.00,403.00,405.00,404.10,408.57,13580,55.48,554,8370,61.63
APARINDS,EQ,2014-12-15,404.10,407.00,412.00,396.10,397.00,399.80,404.87,20007,81.00,998,11445,57.20
APARINDS,EQ,2014-12-16,399.80,397.00,401.45,381.00,382.10,383.25,387.78,28052,108.78,1184,15997,57.03
APARINDS,EQ,2014-12-17,383.25,384.90,388.00,360.00,369.50,371.90,372.89,30535,113.86,1186,16023,52.47
APARINDS,EQ,2014-12-18,371.90,375.10,389.00,375.10,384.00,380.20,382.45,26724,102.21,1419,12047,45.08
APARINDS,EQ,2014-12-19,380.20,385.00,393.40,380.10,383.50,382.70,386.52,17027,65.81,833,8140,47.81
APARINDS,EQ,2014-12-22,382.70,385.00,388.80,365.10,372.05,379.40,380.76,27469,104.59,1543,14092,51.30
APARINDS,EQ,2014-12-23,379.40,379.80,383.70,377.00,382.00,381.70,380.30,17261,65.64,1083,10892,63.10
APARINDS,EQ,2014-12-24,381.70,382.80,399.50,380.00,391.30,391.20,392.39,52058,204.27,1441,28030,53.84
APARINDS,EQ,2014-12-26,391.20,388.00,394.00,385.00,387.00,387.00,388.90,7506,29.19,310,5037,67.11
APARINDS,EQ,2014-12-29,387.00,384.00,410.00,383.10,404.35,404.70,403.24,48646,196.16,1308,31714,65.19
APARINDS,EQ,2014-12-30,404.70,405.05,405.05,393.00,395.00,395.20,399.19,18511,73.89,711,9382,50.68
APARINDS,EQ,2014-12-31,395.20,396.95,411.95,395.00,410.35,408.85,406.39,32423,131.76,1237,18536,57.17
APARINDS,EQ,2015-01-01,408.85,406.00,414.40,406.00,410.45,409.90,409.90,16230,66.53,634,10212,62.92
APARINDS,EQ,2015-01-02,409.90,411.00,424.65,409.00,414.95,415.85,418.25,31030,129.78,1324,11852,38.20
APARINDS,EQ,2015-01-05,415.85,417.75,419.00,400.10,407.90,406.05,407.37,19090,77.77,792,10400,54.48
APARINDS,EQ,2015-01-06,406.05,405.05,405.50,383.50,387.00,386.65,392.08,23204,90.98,928,14154,61.00
APARINDS,EQ,2015-01-07,386.65,388.05,393.50,380.00,387.70,385.55,383.99,19569,75.14,682,8386,42.85
APARINDS,EQ,2015-01-08,385.55,391.50,401.00,390.00,393.00,392.40,394.66,22445,88.58,900,8352,37.21
APARINDS,EQ,2015-01-09,392.40,396.00,398.00,386.10,386.35,389.05,391.11,15988,62.53,989,6369,39.84
APARINDS,EQ,2015-01-12,389.05,389.90,396.00,386.00,387.95,387.35,389.52,15467,60.25,829,7845,50.72
APARINDS,EQ,2015-01-13,387.35,395.00,395.00,380.00,382.60,382.80,387.77,13087,50.75,639,6354,48.55
APARINDS,EQ,2015-01-14,382.80,384.95,387.75,381.20,381.25,382.20,383.83,8961,34.39,444,3989,44.52
APARINDS,EQ,2015-01-15,382.20,384.95,390.10,378.00,382.90,382.75,385.33,25136,96.86,887,17891,71.18
APARINDS,EQ,2015-01-16,382.75,384.85,406.80,380.10,383.00,383.35,384.87,20715,79.73,749,12139,58.60
APARINDS,EQ,2015-01-19,383.35,388.00,394.15,383.40,387.00,386.35,388.20,71167,276.27,1353,58154,81.71
APARINDS,EQ,2015-01-20,386.35,398.90,409.45,386.00,386.10,386.95,393.19,154899,609.05,3984,95496,61.65
APARINDS,EQ,2015-01-21,386.95,394.00,395.45,386.00,387.00,386.95,388.67,64400,250.30,1027,49800,77.33
APARINDS,EQ,2015-01-22,386.95,388.35,392.00,382.50,386.00,385.35,386.63,44548,172.24,5584,26701,59.94
APARINDS,EQ,2015-01-23,385.35,389.00,391.50,380.00,382.00,382.65,385.12,63058,242.85,5868,46358,73.52
APARINDS,EQ,2015-01-27,382.65,383.90,396.80,383.00,387.25,387.55,389.62,40350,157.21,1612,16824,41.70
APARINDS,EQ,2015-01-28,387.55,386.00,393.00,375.50,379.00,381.25,387.48,83301,322.78,959,70600,84.75
APARINDS,EQ,2015-01-29,381.25,381.00,385.00,376.60,379.60,378.95,379.33,16569,62.85,563,8883,53.61
APARINDS,EQ,2015-01-30,378.95,380.55,383.90,370.05,371.00,371.85,376.00,16165,60.78,702,8133,50.31
APARINDS,EQ,2015-02-02,371.85,372.00,376.00,362.10,371.00,369.30,370.32,14033,51.97,864,7165,51.06
APARINDS,EQ,2015-02-03,369.30,372.00,377.00,365.05,372.85,373.10,371.53,19603,72.83,675,8941,45.61
APARINDS,EQ,2015-02-04,373.10,371.90,375.15,362.50,363.00,363.90,366.92,20941,76.84,747,10675,50.98
APARINDS,EQ,2015-02-05,363.90,365.50,378.00,349.10,356.00,356.00,364.48,156309,569.71,2478,75520,48.31
APARINDS,EQ,2015-02-06,356.00,345.00,345.00,326.30,336.00,330.30,335.90,91692,307.99,2394,52636,57.41
