Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
APLLTD,EQ,2014-12-03,430.80,434.70,459.65,433.10,458.65,455.55,448.51,336618,1509.76,12119,160440,47.66
APLLTD,EQ,2014-12-04,455.55,457.00,468.75,457.00,461.90,461.80,461.37,228550,1054.46,6389,136659,59.79
APLLTD,EQ,2014-12-05,461.80,462.00,466.00,440.00,443.40,443.65,452.49,137094,620.34,10412,80523,58.74
APLLTD,EQ,2014-12-08,443.65,446.00,449.20,434.05,435.75,435.45,439.87,59151,260.19,3065,32312,54.63
APLLTD,EQ,2014-12-09,435.45,431.45,439.50,424.25,427.00,428.40,431.33,56700,244.56,3010,27522,48.54
APLLTD,EQ,2014-12-10,428.40,427.15,444.50,422.00,442.50,443.30,436.26,93177,406.49,3237,39253,42.13
APLLTD,EQ,2014-12-11,443.30,440.00,444.95,428.00,433.00,434.25,435.76,78610,342.55,2624,32302,41.09
APLLTD,EQ,2014-12-12,434.25,432.00,442.90,431.00,432.50,433.75,436.23,50192,218.95,1543,20173,40.19
APLLTD,EQ,2014-12-15,433.75,430.25,434.50,420.00,430.00,430.95,429.45,70264,301.75,2300,31904,45.41
APLLTD,EQ,2014-12-16,430.95,425.00,429.60,419.75,421.85,422.70,424.85,67447,286.55,1981,41004,60.79
APLLTD,EQ,2014-12-17,422.70,418.90,429.40,405.00,422.00,422.95,419.03,87484,366.59,4063,45880,52.44
APLLTD,EQ,2014-12-18,422.95,424.60,439.30,424.60,427.00,429.00,433.58,50799,220.25,1921,27627,54.38
APLLTD,EQ,2014-12-19,429.00,432.00,436.90,421.00,423.45,423.30,428.73,70343,301.58,2902,45645,64.89
APLLTD,EQ,2014-12-22,423.30,423.50,434.90,423.50,429.00,429.40,431.19,49841,214.91,1597,26434,53.04
APLLTD,EQ,2014-12-23,429.40,429.00,437.00,427.00,428.00,429.10,432.52,60953,263.64,1822,27453,45.04
APLLTD,EQ,2014-12-24,429.10,425.50,434.90,425.20,426.00,426.80,429.71,64026,275.12,962,48919,76.40
APLLTD,EQ,2014-12-26,426.80,424.30,432.00,424.30,425.55,427.20,428.29,37985,162.69,1182,19770,52.05
APLLTD,EQ,2014-12-29,427.20,426.10,442.75,426.10,438.00,437.95,437.67,100234,438.69,3269,57722,57.59
APLLTD,EQ,2014-12-30,437.95,438.00,444.00,432.10,444.00,440.70,438.07,67414,295.32,2116,36813,54.61
APLLTD,EQ,2014-12-31,440.70,440.55,449.10,440.55,444.65,445.15,444.99,52200,232.28,1346,28114,53.86
APLLTD,EQ,2015-01-01,445.15,447.60,450.00,440.00,445.70,445.20,446.54,46955,209.67,1666,21905,46.65
APLLTD,EQ,2015-01-02,445.20,447.80,458.90,446.00,458.00,457.10,454.76,109741,499.06,3013,66928,60.99
APLLTD,EQ,2015-01-05,457.10,460.00,460.00,452.00,455.65,454.60,455.79,53334,243.09,1864,33112,62.08
APLLTD,EQ,2015-01-06,454.60,452.75,458.50,445.00,453.00,449.65,450.61,96448,434.60,3408,54536,56.54
APLLTD,EQ,2015-01-07,449.65,445.35,458.45,445.15,451.00,450.95,451.53,82908,374.36,2669,48524,58.53
APLLTD,EQ,2015-01-08,450.95,451.60,456.60,446.70,451.90,450.45,451.17,59937,270.42,1782,45040,75.15
APLLTD,EQ,2015-01-09,450.45,452.10,493.90,449.95,473.00,473.40,477.45,683782,3264.69,16974,147058,21.51
APLLTD,EQ,2015-01-12,473.40,473.95,478.70,461.20,468.40,467.45,469.42,147223,691.09,4578,51628,35.07
APLLTD,EQ,2015-01-13,467.45,470.60,470.60,461.10,461.15,463.00,466.11,65844,306.91,2026,31106,47.24
APLLTD,EQ,2015-01-14,463.00,464.55,471.00,455.25,456.50,459.10,462.62,44247,204.70,2294,18385,41.55
APLLTD,EQ,2015-01-15,459.10,465.95,470.45,456.00,465.00,465.30,463.96,62693,290.87,2060,26924,42.95
APLLTD,EQ,2015-01-16,465.30,467.60,469.85,459.00,459.05,460.95,463.54,36418,168.81,1411,18871,51.82
APLLTD,EQ,2015-01-19,460.95,460.95,479.40,460.00,469.00,469.25,472.70,99098,468.43,4584,34465,34.78
APLLTD,EQ,2015-01-20,469.25,466.90,479.00,466.90,468.95,470.25,473.49,73459,347.82,2658,28681,39.04
APLLTD,EQ,2015-01-21,470.25,468.50,474.00,462.00,470.25,470.25,469.19,61198,287.13,3026,33882,55.36
APLLTD,EQ,2015-01-22,470.25,467.05,494.00,467.05,485.90,483.35,483.72,327273,1583.07,8561,158181,48.33
APLLTD,EQ,2015-01-23,483.35,487.00,493.00,475.00,475.00,477.85,481.09,61991,298.23,1736,28097,45.32
APLLTD,EQ,2015-01-27,477.85,480.00,494.50,478.70,481.00,481.40,486.96,130963,637.73,3702,69178,52.82
APLLTD,EQ,2015-01-28,481.40,480.05,492.00,480.05,488.50,488.85,488.55,243727,1190.72,4353,196904,80.79
APLLTD,EQ,2015-01-29,488.85,485.20,489.70,476.00,479.45,478.75,481.36,98369,473.51,3511,64783,65.86
APLLTD,EQ,2015-01-30,478.75,478.15,484.85,468.95,469.10,470.10,472.34,81130,383.21,3689,54395,67.05
APLLTD,EQ,2015-02-02,470.10,472.00,485.00,468.00,472.90,473.10,476.35,88644,422.25,3007,51075,57.62
APLLTD,EQ,2015-02-03,473.10,476.50,488.90,475.20,479.75,483.30,480.99,93453,449.50,4940,50076,53.58
APLLTD,EQ,2015-02-04,483.30,480.00,480.00,424.10,430.55,430.25,449.84,896815,4034.25,21401,359364,40.07
APLLTD,EQ,2015-02-05,430.25,432.10,443.70,424.50,437.00,434.85,434.52,311516,1353.59,10498,173320,55.64
APLLTD,EQ,2015-02-06,434.85,430.10,435.00,418.10,422.75,421.65,429.31,180592,775.30,8896,139968,77.51
APLLTD,EQ,2015-02-09,421.65,421.00,421.00,396.00,406.05,404.50,401.35,480167,1927.16,16622,393027,81.85
APLLTD,EQ,2015-02-10,404.50,408.40,415.05,392.20,404.90,406.35,407.34,434136,1768.43,6411,358434,82.56
APLLTD,BL,2015-02-11,70.35,406.35,406.35,406.35,406.35,406.35,406.35,358000,1454.73,1,358000,100.00
APLLTD,EQ,2015-02-11,406.35,403.50,427.00,403.50,424.45,420.55,412.00,312074,1285.73,3088,264253,84.68
APLLTD,EQ,2015-02-12,420.55,422.50,437.00,422.50,424.00,426.00,424.68,306663,1302.33,3812,266239,86.82
APLLTD,EQ,2015-02-13,426.00,428.55,429.50,420.00,424.15,424.05,427.13,353137,1508.36,2390,306451,86.78
APLLTD,EQ,2015-02-16,424.05,424.75,430.00,418.00,427.00,427.40,423.07,138248,584.88,5693,89869,65.01
APLLTD,EQ,2015-02-18,427.40,428.00,437.80,423.50,431.55,434.45,431.34,123392,532.23,3473,84654,68.61
APLLTD,EQ,2015-02-19,434.45,436.65,440.00,429.50,434.30,433.05,433.86,123147,534.29,3880,88568,71.92
APLLTD,EQ,2015-02-20,433.05,436.00,436.00,421.50,423.85,425.15,430.20,189672,815.96,2377,141734,74.73
APLLTD,EQ,2015-02-23,425.15,435.00,435.00,408.70,411.35,413.20,425.03,265438,1128.20,2564,225965,85.13
APLLTD,EQ,2015-02-24,413.20,414.80,417.30,407.00,409.45,409.30,411.05,119265,490.24,1994,97068,81.39
APLLTD,EQ,2015-02-25,409.30,410.00,415.50,392.25,397.20,399.90,402.50,249720,1005.13,5307,196777,78.80
APLLTD,EQ,2015-02-26,399.90,402.80,406.50,381.25,391.00,390.00,387.43,311229,1205.79,9751,213306,68.54
APLLTD,EQ,2015-02-27,390.00,398.00,414.80,394.55,411.75,410.75,404.56,362894,1468.13,6745,276925,76.31
APLLTD,EQ,2015-02-28,410.75,412.35,416.40,401.15,405.00,404.35,406.84,72370,294.43,1972,32975,45.56
APLLTD,EQ,2015-03-02,404.35,406.00,414.75,401.55,413.00,408.25,408.93,207517,848.60,4403,163970,79.02
APLLTD,EQ,2015-03-03,408.25,410.00,425.30,410.00,420.25,422.25,419.30,248496,1041.94,7894,130391,52.47
APLLTD,EQ,2015-03-04,422.25,423.90,424.90,414.00,422.25,422.05,419.68,184685,775.08,3796,129377,70.05
APLLTD,EQ,2015-03-05,422.05,424.10,433.75,422.75,431.00,431.30,426.75,469254,2002.53,4791,379332,80.84
APLLTD,EQ,2015-03-09,431.30,432.00,436.85,425.75,432.85,430.95,431.74,312367,1348.62,4630,251765,80.60
APLLTD,EQ,2015-03-10,430.95,430.00,447.00,430.00,440.00,440.45,440.70,201286,887.06,6465,127245,63.22
APLLTD,EQ,2015-03-11,440.45,440.00,444.10,431.25,441.95,439.60,439.11,177798,780.73,8390,108371,60.95
APLLTD,EQ,2015-03-12,439.60,448.90,448.90,437.65,440.00,440.25,441.07,117938,520.19,7503,64565,54.74
APLLTD,EQ,2015-03-13,440.25,440.10,447.50,434.50,446.00,445.05,442.90,141734,627.74,9798,95152,67.13
APLLTD,EQ,2015-03-16,445.05,446.00,452.00,437.50,448.00,448.30,447.71,113053,506.15,5571,67555,59.76
APLLTD,EQ,2015-03-17,448.30,452.00,458.90,447.50,449.75,450.55,451.63,164657,743.64,7078,94271,57.25
APLLTD,EQ,2015-03-18,450.55,451.90,459.05,446.00,449.85,448.65,451.55,71113,321.11,3254,27061,38.05
APLLTD,EQ,2015-03-19,448.65,450.05,457.30,445.25,449.50,448.70,449.80,62712,282.08,2453,34706,55.34
APLLTD,EQ,2015-03-20,448.70,443.00,462.50,443.00,450.00,448.00,450.17,598180,2692.83,10888,508751,85.05
APLLTD,EQ,2015-03-23,448.00,446.00,448.85,442.00,443.00,443.10,443.21,106726,473.02,1979,86376,80.93
APLLTD,EQ,2015-03-24,443.10,441.00,454.00,439.50,452.50,449.20,447.45,125310,560.70,4316,92599,73.90
APLLTD,EQ,2015-03-25,449.20,449.10,454.00,445.00,449.50,449.50,449.52,66046,296.89,3486,49201,74.50
APLLTD,EQ,2015-03-26,449.50,447.00,449.95,444.70,448.00,447.85,447.83,38451,172.20,2731,28288,73.57
APLLTD,EQ,2015-03-27,447.85,448.00,453.90,445.35,447.05,447.20,447.46,150207,672.11,7310,126760,84.39
APLLTD,EQ,2015-03-30,447.20,450.00,451.35,446.20,448.50,448.85,448.42,91035,408.21,2717,71503,78.54
APLLTD,EQ,2015-03-31,448.85,447.45,465.80,447.45,452.50,454.60,455.71,123143,561.17,4293,77280,62.76
APLLTD,EQ,2015-04-01,454.60,458.90,464.00,450.00,454.00,454.70,455.77,72075,328.49,2926,32782,45.48
APLLTD,EQ,2015-04-06,454.70,455.00,462.00,454.00,459.00,460.05,459.27,66176,303.93,2207,37694,56.96
APLLTD,EQ,2015-04-07,460.05,461.90,461.90,451.00,451.90,452.60,455.65,51166,233.14,1655,31876,62.30
APLLTD,EQ,2015-04-08,452.60,452.60,470.00,452.55,469.50,465.85,462.35,216283,999.98,5468,116302,53.77
APLLTD,EQ,2015-04-09,465.85,471.00,478.85,469.00,476.00,476.15,475.25,170743,811.46,6924,85661,50.17
APLLTD,EQ,2015-04-10,476.15,479.40,487.55,475.15,485.00,484.95,483.25,132314,639.41,6101,67982,51.38
APLLTD,EQ,2015-04-13,484.95,487.90,496.00,481.55,491.00,490.00,489.78,216299,1059.40,6009,185950,85.97
APLLTD,EQ,2015-04-15,490.00,495.90,495.90,485.00,487.50,487.90,489.77,248251,1215.87,3383,221459,89.21
APLLTD,EQ,2015-04-16,487.90,489.90,489.90,478.95,480.05,480.10,480.65,141327,679.29,6085,123185,87.16
APLLTD,EQ,2015-04-17,480.10,482.50,492.50,475.25,484.00,483.95,484.68,104521,506.59,2474,80390,76.91
APLLTD,EQ,2015-04-20,483.95,485.00,493.35,467.30,478.00,477.10,475.22,107726,511.93,5578,67164,62.35
APLLTD,EQ,2015-04-21,477.10,477.15,483.25,467.05,479.95,479.95,477.73,61568,294.13,3734,35203,57.18
APLLTD,EQ,2015-04-22,479.95,489.50,508.00,471.50,498.50,498.20,494.19,273412,1351.16,7375,154967,56.68
APLLTD,EQ,2015-04-23,498.20,501.90,510.00,482.50,486.50,487.45,494.60,173353,857.41,5047,83977,48.44
APLLTD,EQ,2015-04-24,487.45,490.00,490.00,479.00,486.00,485.30,484.74,67523,327.31,3757,42301,62.65
APLLTD,EQ,2015-04-27,485.30,477.50,490.00,448.00,456.00,470.75,475.78,392452,1867.20,9092,221987,56.56
APLLTD,EQ,2015-04-28,470.75,453.10,464.40,441.20,451.40,451.25,450.01,330516,1487.34,8141,282401,85.44
APLLTD,EQ,2015-04-29,451.25,481.20,497.50,467.20,481.00,480.65,482.16,1088077,5246.27,20838,610701,56.13
APLLTD,EQ,2015-04-30,480.65,480.00,490.00,471.00,471.40,473.35,478.14,186742,892.90,11955,136957,73.34
APLLTD,EQ,2015-05-04,473.35,478.40,491.90,466.25,472.00,472.85,477.20,228398,1089.93,3839,154092,67.47
APLLTD,EQ,2015-05-05,472.85,475.95,479.50,470.05,472.00,471.85,474.03,107595,510.03,1841,85535,79.50
APLLTD,EQ,2015-05-06,471.85,472.00,475.90,464.75,469.45,469.60,470.83,128697,605.94,3413,95869,74.49
APLLTD,EQ,2015-05-07,469.60,472.35,472.35,451.00,459.95,460.15,459.95,146177,672.34,4295,100984,69.08
APLLTD,EQ,2015-05-08,460.15,458.00,475.20,458.00,470.55,470.65,469.31,45468,213.39,1645,27942,61.45
APLLTD,EQ,2015-05-11,470.65,477.95,478.55,465.45,470.50,470.00,470.04,49839,234.26,2158,27969,56.12
APLLTD,EQ,2015-05-12,470.00,469.60,476.80,465.10,476.80,475.10,471.65,106973,504.54,2669,82910,77.51
APLLTD,EQ,2015-05-13,475.10,479.90,490.80,471.55,484.00,484.05,481.11,137219,660.17,11665,101138,73.71
APLLTD,EQ,2015-05-14,484.05,486.00,493.10,480.00,486.25,488.60,487.94,54590,266.36,2003,33660,61.66
APLLTD,EQ,2015-05-15,488.60,490.00,502.00,484.10,497.05,498.85,492.04,531782,2616.60,6268,443365,83.37
APLLTD,EQ,2015-05-18,498.85,494.50,514.50,494.50,512.50,511.00,501.99,424539,2131.13,10186,272726,64.24
APLLTD,EQ,2015-05-19,511.00,513.00,536.00,506.05,531.25,531.40,526.87,324976,1712.22,9321,98783,30.40
APLLTD,EQ,2015-05-20,531.40,536.00,543.00,526.55,538.00,539.80,537.45,230264,1237.56,7943,103129,44.79
APLLTD,EQ,2015-05-21,539.80,539.80,559.70,527.40,558.45,556.70,545.90,190503,1039.95,6004,70007,36.75
APLLTD,EQ,2015-05-22,556.70,552.65,562.20,540.00,540.15,542.15,547.84,119673,655.62,3770,65818,55.00
APLLTD,EQ,2015-05-25,542.15,543.35,545.00,529.05,538.00,537.70,536.37,55100,295.54,2989,24562,44.58
APLLTD,EQ,2015-05-26,537.70,541.65,544.95,534.60,542.05,543.60,543.39,126891,689.51,2542,90004,70.93
APLLTD,EQ,2015-05-27,543.60,537.00,542.40,528.15,528.80,531.25,534.90,42830,229.10,2262,21836,50.98
APLLTD,EQ,2015-05-28,531.25,535.00,543.50,531.75,537.00,539.40,538.19,38162,205.39,2126,22779,59.69
APLLTD,EQ,2015-05-29,539.40,535.00,554.00,534.05,554.00,552.05,549.02,141942,779.28,7052,81469,57.40
APLLTD,EQ,2015-06-01,552.05,550.35,557.30,538.30,546.75,541.60,546.07,185923,1015.26,6341,144091,77.50
APLLTD,EQ,2015-06-02,541.60,541.00,554.80,541.00,550.00,550.30,548.45,273805,1501.68,3778,244776,89.40
APLLTD,EQ,2015-06-03,550.30,545.00,567.70,533.30,546.85,544.85,553.07,148487,821.24,6112,51337,34.57
APLLTD,EQ,2015-06-04,544.85,544.00,558.70,544.00,548.00,550.10,551.87,39404,217.46,3004,16673,42.31
APLLTD,EQ,2015-06-05,550.10,550.15,582.75,545.60,555.40,557.80,564.81,285146,1610.54,13406,158357,55.54
APLLTD,EQ,2015-06-08,557.80,559.90,572.40,545.20,552.90,549.05,557.33,89930,501.21,4139,55872,62.13
APLLTD,EQ,2015-06-09,549.05,545.55,558.50,540.00,549.00,548.75,545.53,174308,950.89,4815,151310,86.81
APLLTD,EQ,2015-06-10,548.75,547.00,577.00,545.00,572.55,571.10,567.30,153292,869.63,6540,69565,45.38
APLLTD,EQ,2015-06-11,571.10,580.00,596.00,541.55,552.00,549.45,580.07,317560,1842.08,12523,140067,44.11
APLLTD,EQ,2015-06-12,549.45,546.05,568.00,540.00,564.30,562.05,552.82,102514,566.72,4770,36362,35.47
APLLTD,EQ,2015-06-15,562.05,562.00,574.95,562.00,563.00,565.30,568.64,49257,280.09,3344,13524,27.46
APLLTD,EQ,2015-06-16,565.30,567.25,585.80,562.00,570.00,570.95,577.24,215507,1244.00,6066,114870,53.30
APLLTD,EQ,2015-06-17,570.95,572.95,593.85,572.95,588.00,584.40,585.11,317932,1860.25,9765,215710,67.85
APLLTD,EQ,2015-06-18,584.40,586.25,619.40,586.25,616.45,614.60,611.85,413550,2530.31,20483,186950,45.21
APLLTD,EQ,2015-06-19,614.60,620.90,693.60,618.30,667.00,662.75,657.95,1168005,7684.87,36762,442195,37.86
APLLTD,EQ,2015-06-22,662.75,669.45,682.30,646.30,658.10,659.80,664.81,454396,3020.87,30718,246181,54.18
APLLTD,EQ,2015-06-23,659.80,664.70,665.80,645.80,653.90,652.90,651.72,107349,699.62,4411,42541,39.63
APLLTD,EQ,2015-06-24,652.90,655.00,696.95,655.00,672.00,668.70,679.11,435260,2955.91,15109,141931,32.61
APLLTD,EQ,2015-06-25,668.70,668.70,688.00,668.70,678.75,678.00,677.72,192367,1303.70,5683,102044,53.05
APLLTD,EQ,2015-06-26,678.00,698.75,698.80,656.00,659.00,661.00,671.83,407496,2737.70,12604,138986,34.11
