Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
APOLLOHOSP,EQ,2014-12-03,1201.25,1190.00,1211.45,1190.00,1200.10,1203.45,1203.60,152098,1830.65,11438,57143,37.57
APOLLOHOSP,EQ,2014-12-04,1203.45,1209.40,1210.00,1171.00,1180.05,1181.30,1182.73,112758,1333.63,11652,52116,46.22
APOLLOHOSP,EQ,2014-12-05,1181.30,1176.05,1197.85,1150.15,1151.00,1161.10,1176.21,125290,1473.68,12777,66707,53.24
APOLLOHOSP,EQ,2014-12-08,1161.10,1165.00,1169.00,1142.15,1152.00,1151.05,1152.65,99561,1147.59,6274,43913,44.11
APOLLOHOSP,EQ,2014-12-09,1151.05,1152.00,1157.50,1123.00,1125.30,1126.80,1138.09,127088,1446.37,20777,73018,57.45
APOLLOHOSP,EQ,2014-12-10,1126.80,1127.70,1140.00,1112.00,1140.00,1131.45,1129.11,115718,1306.58,14542,52244,45.15
APOLLOHOSP,EQ,2014-12-11,1131.45,1132.55,1166.00,1130.30,1141.00,1148.85,1152.81,133961,1544.32,8691,48008,35.84
APOLLOHOSP,EQ,2014-12-12,1148.85,1148.85,1158.65,1131.10,1158.15,1145.00,1147.46,97598,1119.90,6887,47120,48.28
APOLLOHOSP,EQ,2014-12-15,1145.00,1145.90,1174.45,1144.95,1159.00,1154.40,1159.22,130121,1508.39,8681,52425,40.29
APOLLOHOSP,EQ,2014-12-16,1154.40,1155.00,1170.00,1118.05,1130.00,1124.35,1143.14,227532,2601.00,22490,102400,45.00
APOLLOHOSP,EQ,2014-12-17,1124.35,1129.90,1168.00,1062.00,1151.00,1141.80,1131.18,195090,2206.81,19824,96566,49.50
APOLLOHOSP,EQ,2014-12-18,1141.80,1149.00,1184.95,1149.00,1174.20,1175.60,1176.62,217477,2558.87,9874,111869,51.44
APOLLOHOSP,EQ,2014-12-19,1175.60,1177.00,1191.45,1155.75,1158.00,1168.10,1172.23,137104,1607.17,7545,60236,43.93
APOLLOHOSP,EQ,2014-12-22,1168.10,1161.00,1190.00,1102.95,1160.60,1160.70,1170.66,85688,1003.12,4628,37073,43.27
APOLLOHOSP,EQ,2014-12-23,1160.70,1163.20,1167.80,1138.05,1143.85,1141.80,1146.19,96817,1109.71,8633,45915,47.42
APOLLOHOSP,EQ,2014-12-24,1141.80,1148.00,1151.35,1132.35,1137.05,1138.40,1139.58,127378,1451.57,6877,72732,57.10
APOLLOHOSP,EQ,2014-12-26,1138.40,1134.25,1144.10,1125.15,1127.00,1128.80,1131.08,39680,448.81,2916,13208,33.29
APOLLOHOSP,EQ,2014-12-29,1128.80,1128.90,1144.00,1124.60,1133.00,1133.10,1132.92,124287,1408.08,8646,68156,54.84
APOLLOHOSP,EQ,2014-12-30,1133.10,1134.35,1150.50,1133.15,1140.00,1138.70,1142.07,99295,1134.02,8904,49834,50.19
APOLLOHOSP,EQ,2014-12-31,1138.70,1147.00,1153.00,1116.00,1129.00,1129.70,1131.76,148296,1678.35,8133,81104,54.69
APOLLOHOSP,EQ,2015-01-01,1129.70,1131.00,1137.00,1119.00,1126.00,1125.90,1128.54,76848,867.26,2868,45954,59.80
APOLLOHOSP,EQ,2015-01-02,1125.90,1125.05,1139.00,1123.55,1130.90,1127.85,1128.38,172991,1951.99,7890,126990,73.41
APOLLOHOSP,EQ,2015-01-05,1127.85,1127.85,1144.50,1126.05,1134.00,1131.60,1136.07,137885,1566.47,8162,77441,56.16
APOLLOHOSP,EQ,2015-01-06,1131.60,1129.55,1135.60,1090.75,1100.00,1097.90,1107.62,164585,1822.98,11623,66776,40.57
APOLLOHOSP,EQ,2015-01-07,1097.90,1110.00,1114.00,1079.75,1105.55,1106.50,1096.77,208499,2286.76,24528,105950,50.82
APOLLOHOSP,EQ,2015-01-08,1106.50,1110.05,1139.00,1103.70,1122.90,1126.35,1122.72,228503,2565.45,18900,123304,53.96
APOLLOHOSP,EQ,2015-01-09,1126.35,1134.30,1136.80,1106.05,1125.00,1124.65,1125.61,148255,1668.78,19905,73941,49.87
APOLLOHOSP,EQ,2015-01-12,1124.65,1126.00,1129.85,1112.00,1122.90,1118.45,1120.35,59612,667.86,5668,29071,48.77
APOLLOHOSP,EQ,2015-01-13,1118.45,1119.00,1157.20,1119.00,1149.15,1150.10,1147.87,327470,3758.92,25842,170609,52.10
APOLLOHOSP,EQ,2015-01-14,1150.10,1154.40,1178.65,1152.00,1158.15,1160.55,1166.65,338840,3953.07,33459,186921,55.16
APOLLOHOSP,EQ,2015-01-15,1160.55,1162.05,1168.55,1140.00,1151.55,1147.90,1147.40,117612,1349.48,15999,64397,54.75
APOLLOHOSP,EQ,2015-01-16,1147.90,1155.75,1191.50,1151.80,1185.00,1185.80,1176.83,343994,4048.22,35844,219645,63.85
APOLLOHOSP,EQ,2015-01-19,1185.80,1203.00,1209.00,1192.10,1200.00,1200.25,1201.03,417946,5019.64,20565,326640,78.15
APOLLOHOSP,EQ,2015-01-20,1200.25,1201.10,1220.00,1195.45,1217.15,1210.70,1208.84,194900,2356.02,14747,133168,68.33
APOLLOHOSP,EQ,2015-01-21,1210.70,1220.00,1237.95,1212.35,1224.25,1224.90,1225.35,257565,3156.08,18428,184486,71.63
APOLLOHOSP,EQ,2015-01-22,1224.90,1224.90,1248.80,1224.90,1241.00,1241.70,1238.37,192743,2386.87,14670,99383,51.56
APOLLOHOSP,EQ,2015-01-23,1241.70,1246.00,1307.80,1242.05,1298.00,1294.10,1271.01,241916,3074.78,21799,144568,59.76
APOLLOHOSP,EQ,2015-01-27,1294.10,1285.00,1367.05,1276.55,1340.10,1349.15,1318.23,372173,4906.08,33790,209205,56.21
APOLLOHOSP,EQ,2015-01-28,1349.15,1345.00,1439.90,1332.00,1397.00,1421.50,1411.03,473816,6685.70,29678,208420,43.99
APOLLOHOSP,EQ,2015-01-29,1421.50,1411.00,1416.85,1353.20,1369.30,1359.35,1371.49,228610,3135.36,17603,141577,61.93
APOLLOHOSP,EQ,2015-01-30,1359.35,1389.95,1390.10,1301.65,1310.00,1313.55,1324.73,294980,3907.70,24350,157937,53.54
APOLLOHOSP,EQ,2015-02-02,1313.55,1350.00,1359.20,1310.10,1353.00,1349.35,1339.67,202501,2712.85,10418,116797,57.68
APOLLOHOSP,EQ,2015-02-03,1349.35,1354.00,1356.50,1287.05,1300.00,1296.75,1313.03,161039,2114.50,19869,84661,52.57
APOLLOHOSP,EQ,2015-02-04,1296.75,1300.90,1328.35,1298.45,1305.25,1309.50,1313.50,151396,1988.59,10224,78508,51.86
APOLLOHOSP,EQ,2015-02-05,1309.50,1315.00,1332.00,1288.55,1292.65,1294.65,1311.60,127358,1670.43,11557,67082,52.67
APOLLOHOSP,EQ,2015-02-06,1294.65,1299.00,1301.90,1257.55,1267.00,1263.30,1277.71,108730,1389.25,15093,62150,57.16
APOLLOHOSP,EQ,2015-02-09,1263.30,1250.00,1259.85,1226.90,1229.90,1232.40,1243.47,86314,1073.29,11359,44777,51.88
APOLLOHOSP,EQ,2015-02-10,1232.40,1226.25,1244.55,1211.00,1220.55,1215.25,1225.12,144598,1771.49,15563,88765,61.39
APOLLOHOSP,EQ,2015-02-11,1215.25,1221.00,1289.00,1217.50,1281.80,1277.50,1269.52,259947,3300.07,15422,121913,46.90
APOLLOHOSP,EQ,2015-02-12,1277.50,1289.70,1310.00,1272.70,1279.00,1295.15,1293.89,207270,2681.85,9621,81432,39.29
APOLLOHOSP,EQ,2015-02-13,1295.15,1296.00,1302.00,1287.60,1296.80,1297.40,1297.64,101960,1323.07,6191,54560,53.51
APOLLOHOSP,EQ,2015-02-16,1297.40,1305.00,1321.25,1276.80,1296.05,1298.65,1301.30,174397,2269.43,8187,76503,43.87
APOLLOHOSP,EQ,2015-02-18,1298.65,1312.00,1312.00,1295.00,1306.80,1306.00,1307.00,311680,4073.65,6082,256044,82.15
APOLLOHOSP,EQ,2015-02-19,1306.00,1310.00,1317.95,1292.25,1300.00,1305.55,1304.70,45964,599.69,3900,14910,32.44
APOLLOHOSP,EQ,2015-02-20,1305.55,1307.00,1348.90,1292.65,1338.00,1335.90,1333.19,188335,2510.86,9368,85879,45.60
APOLLOHOSP,EQ,2015-02-23,1335.90,1349.95,1382.60,1349.45,1350.00,1357.40,1369.07,314114,4300.45,17227,157637,50.18
APOLLOHOSP,EQ,2015-02-24,1357.40,1357.30,1383.25,1345.00,1345.00,1352.90,1363.57,175082,2387.36,13769,98163,56.07
APOLLOHOSP,EQ,2015-02-25,1352.90,1360.00,1369.90,1308.00,1308.00,1313.15,1330.64,92279,1227.90,8705,42906,46.50
APOLLOHOSP,EQ,2015-02-26,1313.15,1314.00,1328.00,1290.55,1303.00,1299.85,1304.26,220880,2880.86,21092,121111,54.83
APOLLOHOSP,EQ,2015-02-27,1299.85,1303.00,1321.80,1290.10,1300.00,1302.15,1302.92,184480,2403.63,13209,124522,67.50
APOLLOHOSP,EQ,2015-02-28,1302.15,1305.25,1321.00,1294.00,1318.75,1314.20,1306.61,57980,757.57,3543,13272,22.89
APOLLOHOSP,EQ,2015-03-02,1314.20,1313.00,1362.00,1312.00,1350.10,1348.10,1344.29,214128,2878.49,13198,95164,44.44
APOLLOHOSP,EQ,2015-03-03,1348.10,1349.55,1412.95,1349.50,1411.00,1404.30,1386.34,261983,3631.97,23598,125868,48.04
APOLLOHOSP,EQ,2015-03-04,1404.30,1420.00,1428.85,1375.20,1416.30,1417.90,1403.66,314313,4411.88,26615,160455,51.05
APOLLOHOSP,EQ,2015-03-05,1417.90,1425.00,1453.35,1387.15,1410.00,1408.50,1421.15,229156,3256.65,11615,93154,40.65
APOLLOHOSP,EQ,2015-03-09,1408.50,1408.50,1408.50,1357.00,1368.60,1363.15,1371.95,156149,2142.29,18821,92928,59.51
APOLLOHOSP,EQ,2015-03-10,1363.15,1370.25,1388.85,1342.25,1384.95,1358.05,1370.04,106063,1453.10,12745,39829,37.55
APOLLOHOSP,EQ,2015-03-11,1358.05,1363.00,1382.50,1337.50,1339.90,1347.10,1359.48,130472,1773.74,8389,65079,49.88
APOLLOHOSP,EQ,2015-03-12,1347.10,1350.00,1377.00,1324.60,1377.00,1361.35,1345.41,117807,1584.99,9967,40501,34.38
