Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
APOLLOTYRE,EQ,2014-12-03,235.30,234.00,239.90,234.00,239.00,238.45,237.30,3276098,7774.19,30468,886493,27.06
APOLLOTYRE,EQ,2014-12-04,238.45,240.00,242.75,235.25,237.45,237.40,238.62,2889738,6895.52,24510,672759,23.28
APOLLOTYRE,EQ,2014-12-05,237.40,238.90,240.90,235.00,235.90,235.65,237.92,2209794,5257.49,15715,372609,16.86
APOLLOTYRE,EQ,2014-12-08,235.65,236.80,237.45,230.30,231.60,232.15,233.59,1630894,3809.63,16549,507997,31.15
APOLLOTYRE,EQ,2014-12-09,232.15,230.75,231.95,220.00,222.50,222.10,225.23,2326433,5239.83,22897,492182,21.16
APOLLOTYRE,EQ,2014-12-10,222.10,220.20,228.80,220.20,227.50,227.70,225.97,2054901,4643.46,18027,464186,22.59
APOLLOTYRE,EQ,2014-12-11,227.70,225.30,227.20,222.20,225.95,225.15,224.68,1444923,3246.47,13292,168420,11.66
APOLLOTYRE,EQ,2014-12-12,225.15,224.80,229.80,216.30,227.20,222.20,223.36,2707903,6048.27,16476,965973,35.67
APOLLOTYRE,EQ,2014-12-15,222.20,219.80,228.65,219.40,228.30,227.30,224.16,1751324,3925.79,19788,388179,22.16
APOLLOTYRE,EQ,2014-12-16,227.30,228.00,231.30,219.25,223.55,223.25,225.51,3917662,8834.83,37126,1063196,27.14
APOLLOTYRE,EQ,2014-12-17,223.25,221.00,223.25,205.15,208.05,207.90,211.63,4590334,9714.33,43059,1226819,26.73
APOLLOTYRE,EQ,2014-12-18,207.90,212.40,217.85,210.00,217.00,216.35,213.80,3765932,8051.47,49323,1017495,27.02
APOLLOTYRE,EQ,2014-12-19,216.35,218.65,227.60,217.70,222.70,222.60,224.22,3988140,8942.25,34158,795801,19.95
APOLLOTYRE,EQ,2014-12-22,222.60,223.50,224.15,217.20,222.00,221.00,220.20,2743800,6041.81,23598,907400,33.07
