Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
APOLSINHOT,BE,2015-02-16,106.00,132.50,139.10,132.50,139.10,139.10,136.46,125,0.17,13,-,-
APOLSINHOT,BE,2015-02-18,139.10,146.05,146.05,146.05,146.05,146.05,146.05,100,0.15,7,-,-
APOLSINHOT,BE,2015-02-19,146.05,153.35,153.35,153.35,153.35,153.35,153.35,25,0.04,1,-,-
APOLSINHOT,BE,2015-02-20,153.35,161.00,161.00,161.00,161.00,161.00,161.00,1,0.00,1,-,-
APOLSINHOT,BE,2015-02-23,161.00,169.05,169.05,169.05,169.05,169.05,169.05,25,0.04,4,-,-
APOLSINHOT,BE,2015-02-24,169.05,177.50,177.50,177.50,177.50,177.50,177.50,1,0.00,1,-,-
APOLSINHOT,BE,2015-02-25,177.50,186.35,186.35,186.35,186.35,186.35,186.35,35,0.07,2,-,-
APOLSINHOT,BE,2015-02-26,186.35,195.65,195.65,195.65,195.65,195.65,195.65,60,0.12,5,-,-
APOLSINHOT,BE,2015-02-27,195.65,205.40,205.40,205.40,205.40,205.40,205.40,1295,2.66,36,-,-
APOLSINHOT,BE,2015-02-28,205.40,215.65,215.65,205.40,214.70,214.70,211.22,570,1.20,29,-,-
APOLSINHOT,BE,2015-03-02,214.70,224.00,225.40,220.00,225.40,225.40,223.80,389,0.87,17,-,-
APOLSINHOT,BE,2015-03-03,225.40,236.65,236.65,235.00,236.65,236.65,235.81,116,0.27,7,-,-
APOLSINHOT,BE,2015-03-04,236.65,240.00,248.45,231.10,248.00,241.50,247.38,706,1.75,35,-,-
APOLSINHOT,BE,2015-03-05,241.50,253.55,253.55,253.10,253.55,253.55,253.55,538,1.36,19,-,-
APOLSINHOT,BE,2015-03-09,253.55,265.00,266.20,262.00,262.00,263.15,265.95,871,2.32,19,-,-
