Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
APTECHT,EQ,2014-12-03,77.10,76.70,79.50,76.70,78.00,78.00,78.56,358876,281.92,2524,77685,21.65
APTECHT,EQ,2014-12-04,78.00,78.00,80.45,78.00,79.05,79.25,79.48,347065,275.85,4273,115261,33.21
APTECHT,EQ,2014-12-05,79.25,79.05,79.75,77.45,77.65,77.75,78.60,163799,128.75,1573,69126,42.20
APTECHT,EQ,2014-12-08,77.75,77.20,78.35,76.30,77.20,76.70,77.22,119994,92.66,1673,59114,49.26
APTECHT,EQ,2014-12-09,76.70,76.00,77.40,74.50,75.30,74.95,75.70,119272,90.29,1506,65032,54.52
APTECHT,EQ,2014-12-10,74.95,74.30,75.40,74.10,74.70,74.70,74.79,114132,85.36,1837,48849,42.80
APTECHT,EQ,2014-12-11,74.70,74.00,74.85,73.20,73.60,73.50,73.79,90989,67.14,1627,36898,40.55
APTECHT,EQ,2014-12-12,73.50,73.40,74.85,71.80,71.80,71.95,73.29,148348,108.72,2342,60435,40.74
APTECHT,EQ,2014-12-15,71.95,71.75,75.70,70.50,72.80,73.00,73.02,515893,376.72,6396,101624,19.70
APTECHT,EQ,2014-12-16,73.00,71.30,72.45,66.60,67.15,67.40,69.52,374554,260.38,4517,187259,50.00
APTECHT,EQ,2014-12-17,67.40,66.20,68.00,64.25,65.40,65.45,66.00,264814,174.78,3208,114344,43.18
APTECHT,EQ,2014-12-18,65.45,66.70,68.75,66.70,68.65,68.35,67.78,219283,148.64,2716,97678,44.54
APTECHT,EQ,2014-12-19,68.35,69.30,70.45,69.15,69.20,69.40,69.69,174425,121.56,1668,98243,56.32
APTECHT,EQ,2014-12-22,69.40,69.95,71.90,69.95,70.80,70.85,70.99,161944,114.96,2058,63076,38.95
APTECHT,EQ,2014-12-23,70.85,70.95,71.20,68.50,68.70,68.80,69.69,125888,87.73,1787,58718,46.64
APTECHT,EQ,2014-12-24,68.80,69.00,71.15,68.45,69.10,68.95,69.54,289719,201.48,2458,59381,20.50
APTECHT,EQ,2014-12-26,68.95,69.80,71.30,68.90,69.45,69.40,69.90,172093,120.29,2420,61883,35.96
