Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ARIES,EQ,2014-12-03,121.55,122.80,141.65,122.10,134.60,134.90,133.26,1665944,2220.10,18301,471656,28.31
ARIES,EQ,2014-12-04,134.90,135.20,136.25,128.60,132.00,131.40,132.27,579776,766.84,5862,226088,39.00
ARIES,EQ,2014-12-05,131.40,131.75,138.40,130.50,135.25,134.30,134.79,688646,928.21,7113,189713,27.55
ARIES,EQ,2014-12-08,134.30,134.60,143.45,131.05,136.70,136.40,138.07,721456,996.15,9143,213958,29.66
ARIES,EQ,2014-12-09,136.40,136.00,140.00,128.65,132.20,131.40,135.16,334718,452.40,3930,114045,34.07
ARIES,EQ,2014-12-10,131.40,132.20,135.85,131.50,132.20,132.90,133.57,184575,246.53,2410,47176,25.56
ARIES,EQ,2014-12-11,132.90,132.50,133.70,127.80,129.50,129.10,130.83,152261,199.21,2057,59057,38.79
ARIES,EQ,2014-12-12,129.10,129.50,132.80,121.20,122.50,122.45,128.14,208937,267.73,3072,68910,32.98
ARIES,EQ,2014-12-15,122.45,122.50,128.40,117.40,125.70,126.00,123.66,328630,406.39,4333,78627,23.93
ARIES,EQ,2014-12-16,126.00,124.00,125.55,115.10,116.00,116.05,119.34,195712,233.57,2866,92692,47.36
ARIES,EQ,2014-12-17,116.05,115.15,118.75,109.60,113.10,114.30,114.90,189577,217.83,2593,51815,27.33
ARIES,EQ,2014-12-18,114.30,116.20,121.60,116.20,119.10,119.30,119.03,153954,183.25,2225,52352,34.00
ARIES,EQ,2014-12-19,119.30,121.30,123.70,119.70,121.00,120.30,121.73,106616,129.79,1167,39278,36.84
ARIES,EQ,2014-12-22,120.30,121.00,123.85,118.75,120.55,120.50,121.44,97886,118.87,1438,34450,35.19
ARIES,EQ,2014-12-23,120.50,119.60,122.25,115.75,117.70,117.60,118.58,86760,102.88,1207,37605,43.34
ARIES,EQ,2014-12-24,117.60,118.00,119.80,116.50,117.25,117.95,118.07,50331,59.43,772,19563,38.87
ARIES,EQ,2014-12-26,117.95,118.00,118.65,113.20,114.75,115.05,115.75,69014,79.88,1018,32550,47.16
ARIES,EQ,2014-12-29,115.05,114.25,119.00,114.25,114.50,115.45,116.71,79050,92.26,1006,34640,43.82
ARIES,EQ,2014-12-30,115.45,115.10,116.90,112.00,115.50,115.10,115.52,55029,63.57,814,22779,41.39
ARIES,EQ,2014-12-31,115.10,115.00,119.90,115.00,117.35,117.50,118.28,129008,152.59,1791,38644,29.95
ARIES,EQ,2015-01-01,117.50,117.05,124.90,115.40,123.50,123.05,121.83,159114,193.85,2006,55541,34.91
ARIES,EQ,2015-01-02,123.05,122.10,126.15,119.50,120.65,120.35,122.90,98714,121.32,1215,46091,46.69
ARIES,EQ,2015-01-05,120.35,121.95,123.00,118.50,119.55,119.45,120.73,63940,77.19,805,33401,52.24
ARIES,EQ,2015-01-06,119.45,120.95,120.95,112.30,114.30,113.25,115.39,79308,91.51,1135,42737,53.89
ARIES,EQ,2015-01-07,113.25,113.90,115.05,112.10,113.85,113.45,113.67,51000,57.97,751,24671,48.37
ARIES,EQ,2015-01-08,113.45,116.75,124.70,114.50,119.05,119.65,120.35,214873,258.61,3321,70003,32.58
ARIES,EQ,2015-01-09,119.65,120.60,122.95,116.10,118.10,117.65,118.24,152294,180.08,1139,99698,65.46
ARIES,EQ,2015-01-12,117.65,118.05,141.15,116.60,141.15,140.95,133.97,1365685,1829.65,15927,391324,28.65
ARIES,EQ,2015-01-13,140.95,143.80,145.70,134.40,136.50,136.05,140.01,1024399,1434.26,12888,228068,22.26
ARIES,EQ,2015-01-14,136.05,134.05,146.40,134.05,140.90,141.30,142.21,570003,810.59,7946,136693,23.98
ARIES,EQ,2015-01-15,141.30,142.90,145.80,139.20,140.00,140.20,142.06,183250,260.32,2341,66022,36.03
ARIES,EQ,2015-01-16,140.20,140.00,154.40,138.10,151.95,151.90,149.77,901740,1350.52,10162,215140,23.86
ARIES,EQ,2015-01-19,151.90,152.70,158.45,148.10,151.00,150.05,153.74,534705,822.06,7460,115794,21.66
ARIES,EQ,2015-01-20,150.05,150.65,154.05,147.70,149.75,150.00,150.80,165238,249.18,2045,84617,51.21
ARIES,EQ,2015-01-21,150.00,148.25,151.25,142.00,145.40,144.60,145.75,144722,210.94,2026,62184,42.97
ARIES,EQ,2015-01-22,144.60,141.30,148.85,141.30,144.25,144.55,145.56,85665,124.70,1349,31088,36.29
ARIES,EQ,2015-01-23,144.55,146.70,151.60,142.00,146.00,145.85,147.00,200128,294.18,3121,62742,31.35
ARIES,EQ,2015-01-27,145.85,146.20,152.75,144.00,150.95,150.60,149.79,237195,355.30,2682,110807,46.72
ARIES,EQ,2015-01-28,150.60,149.90,151.70,144.50,144.50,145.30,148.04,82386,121.96,1721,31792,38.59
ARIES,EQ,2015-01-29,145.30,145.00,160.80,143.30,154.50,154.40,154.92,419504,649.89,6444,104953,25.02
ARIES,EQ,2015-01-30,154.40,154.40,164.65,152.00,155.85,155.90,159.62,464863,742.03,6334,112100,24.11
ARIES,EQ,2015-02-02,155.90,155.00,163.95,153.65,158.60,157.50,158.92,190028,302.00,3075,51698,27.21
ARIES,EQ,2015-02-03,157.50,158.00,160.50,152.35,153.50,153.75,156.18,92957,145.18,1383,34872,37.51
ARIES,EQ,2015-02-04,153.75,153.00,159.00,151.30,151.65,152.35,155.44,91450,142.15,1710,28912,31.62
ARIES,EQ,2015-02-05,152.35,152.40,158.90,148.25,149.45,150.60,155.14,168458,261.35,2826,37898,22.50
ARIES,EQ,2015-02-06,150.60,151.00,153.00,140.45,142.50,141.65,145.86,125936,183.70,1982,50710,40.27
ARIES,EQ,2015-02-09,141.65,140.45,140.45,132.10,132.10,134.35,136.33,48709,66.41,630,24461,50.22
ARIES,EQ,2015-02-10,134.35,132.10,141.50,129.25,137.90,136.65,138.14,73302,101.26,1112,24673,33.66
ARIES,EQ,2015-02-11,136.65,136.50,144.00,136.50,142.00,142.50,140.76,71043,100.00,1363,18651,26.25
ARIES,EQ,2015-02-12,142.50,144.00,145.85,143.50,144.10,144.35,144.39,51770,74.75,1035,16193,31.28
ARIES,EQ,2015-02-13,144.35,145.40,149.80,140.10,140.90,141.35,145.58,79724,116.06,1099,31940,40.06
ARIES,EQ,2015-02-16,141.35,138.00,141.25,135.95,136.50,137.00,137.95,78989,108.96,1386,35087,44.42
ARIES,EQ,2015-02-18,137.00,137.00,140.75,131.60,135.70,136.50,136.86,157031,214.91,2613,50725,32.30
ARIES,EQ,2015-02-19,136.50,136.15,139.85,132.05,134.50,134.30,135.37,86391,116.94,1955,33786,39.11
ARIES,EQ,2015-02-20,134.30,133.75,139.25,133.25,136.00,135.65,136.59,96231,131.44,2306,24232,25.18
ARIES,EQ,2015-02-23,135.65,136.25,137.55,130.00,130.50,131.00,133.79,55170,73.81,1330,23048,41.78
ARIES,EQ,2015-02-24,131.00,130.20,132.80,127.00,127.50,128.30,130.18,51411,66.93,1204,20882,40.62
ARIES,EQ,2015-02-25,128.30,129.80,131.00,123.05,123.15,123.65,127.15,71992,91.54,2050,32010,44.46
ARIES,EQ,2015-02-26,123.65,123.05,130.80,121.00,126.05,126.60,126.39,103292,130.56,2183,33271,32.21
ARIES,EQ,2015-02-27,126.60,127.00,131.00,125.20,129.60,129.95,128.41,73187,93.98,1564,25212,34.45
ARIES,EQ,2015-02-28,129.95,130.75,133.75,125.25,128.05,127.55,130.38,82837,108.00,1528,27071,32.68
ARIES,EQ,2015-03-02,127.55,125.05,132.20,125.05,130.35,130.35,130.67,63368,82.81,1163,21656,34.17
ARIES,EQ,2015-03-03,130.35,130.75,134.90,128.00,131.50,131.15,131.93,54748,72.23,1231,16233,29.65
ARIES,EQ,2015-03-04,131.15,132.00,133.85,125.75,126.50,126.40,130.43,50584,65.98,1190,24898,49.22
ARIES,EQ,2015-03-05,126.40,123.00,127.70,121.60,122.25,122.25,124.19,54962,68.26,1616,27932,50.82
ARIES,EQ,2015-03-09,122.25,121.10,125.00,120.25,122.30,122.70,122.79,57446,70.54,1439,30280,52.71
ARIES,EQ,2015-03-10,122.70,122.00,124.00,120.00,121.10,121.15,121.69,47623,57.95,1163,21759,45.69
ARIES,EQ,2015-03-11,121.15,120.85,125.50,120.00,120.40,120.55,122.56,62488,76.59,1406,21772,34.84
ARIES,EQ,2015-03-12,120.55,120.10,124.80,120.10,121.50,121.65,122.51,95478,116.97,1068,56904,59.60
ARIES,EQ,2015-03-13,121.65,122.00,122.95,117.00,118.00,117.55,119.70,45461,54.42,888,23539,51.78
ARIES,EQ,2015-03-16,117.55,116.50,118.35,114.05,114.20,114.80,115.74,38702,44.79,1141,16517,42.68
ARIES,EQ,2015-03-17,114.80,114.60,118.00,112.50,113.00,114.30,115.82,44560,51.61,1402,13039,29.26
ARIES,EQ,2015-03-18,114.30,113.70,114.50,107.80,109.00,109.00,111.55,96903,108.10,1800,62560,64.56
ARIES,EQ,2015-03-19,109.00,110.00,117.50,109.65,112.50,112.00,112.51,176720,198.83,2873,89346,50.56
ARIES,EQ,2015-03-20,112.00,111.95,114.50,109.85,111.00,110.65,113.24,100872,114.23,2527,75346,74.69
ARIES,EQ,2015-03-23,110.65,114.70,114.70,107.00,107.00,107.20,110.58,117601,130.04,1881,78247,66.54
ARIES,EQ,2015-03-24,107.20,106.30,108.50,100.55,102.25,101.95,103.72,80374,83.36,1189,50014,62.23
ARIES,EQ,2015-03-25,101.95,103.90,105.50,99.90,103.40,103.15,103.38,55865,57.75,1262,21338,38.20
ARIES,EQ,2015-03-26,103.15,102.00,102.90,99.90,100.90,100.30,100.99,47913,48.39,1078,23406,48.85
ARIES,EQ,2015-03-27,100.30,100.05,103.55,96.30,98.00,98.70,98.89,67821,67.07,905,40577,59.83
ARIES,EQ,2015-03-30,98.70,101.85,108.70,99.50,108.00,107.40,105.12,97387,102.37,1294,37154,38.15
ARIES,EQ,2015-03-31,107.40,105.55,110.90,102.10,104.50,105.40,107.38,109272,117.33,1684,40767,37.31
ARIES,EQ,2015-04-01,105.40,106.75,113.90,105.00,113.20,112.70,110.41,96825,106.90,2039,39662,40.96
ARIES,EQ,2015-04-06,112.70,116.65,117.40,111.40,115.10,114.70,114.64,90328,103.55,1198,52272,57.87
ARIES,EQ,2015-04-07,114.70,115.60,120.45,115.00,116.30,116.70,117.18,97966,114.79,1468,42820,43.71
ARIES,EQ,2015-04-08,116.70,117.45,121.00,116.00,116.00,116.20,118.00,87049,102.72,1960,40405,46.42
ARIES,EQ,2015-04-09,116.20,119.75,125.40,119.60,124.95,124.50,122.83,357434,439.03,5377,140546,39.32
ARIES,EQ,2015-04-10,124.50,124.90,128.00,123.00,124.20,123.90,125.61,91352,114.74,1280,47615,52.12
ARIES,EQ,2015-04-13,123.90,127.80,132.95,126.45,128.95,128.45,128.88,186389,240.22,2675,61200,32.83
ARIES,EQ,2015-04-15,128.45,128.75,130.90,125.00,125.25,125.90,127.49,66058,84.22,1404,32572,49.31
ARIES,EQ,2015-04-16,125.90,123.30,126.35,120.80,122.00,122.30,122.64,48518,59.50,701,28109,57.94
ARIES,EQ,2015-04-17,122.30,123.55,128.80,121.00,124.55,123.50,125.50,71783,90.09,1803,30303,42.21
ARIES,EQ,2015-04-20,123.50,124.40,127.90,121.15,124.95,123.85,124.21,74854,92.98,1264,29120,38.90
ARIES,EQ,2015-04-21,123.85,124.00,129.70,122.00,125.50,125.50,125.21,81519,102.07,1404,25182,30.89
ARIES,EQ,2015-04-22,125.50,126.50,127.80,122.75,124.45,123.65,125.05,58651,73.34,1240,28505,48.60
ARIES,EQ,2015-04-23,123.65,124.60,126.85,123.50,124.50,124.65,125.12,29315,36.68,903,10809,36.87
ARIES,EQ,2015-04-24,124.65,123.10,125.40,117.10,117.75,117.40,119.26,45064,53.74,818,25333,56.22
ARIES,EQ,2015-04-27,117.40,116.25,117.90,109.65,110.00,110.80,112.67,28274,31.86,711,15714,55.58
