Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ARTNIRMAN,SM,2016-10-19,25.00,27.55,30.00,27.50,30.00,30.00,27.85,720000,200.54,113,624000,86.67
ARTNIRMAN,SM,2016-10-20,30.00,32.50,36.00,32.50,36.00,36.00,34.98,78000,27.28,13,60000,76.92
ARTNIRMAN,SM,2016-10-21,36.00,33.10,36.00,33.10,35.95,35.95,35.02,18000,6.30,3,18000,100.00
ARTNIRMAN,SM,2016-10-24,35.95,34.50,34.50,30.10,30.10,30.10,32.24,36000,11.61,6,30000,83.33
ARTNIRMAN,SM,2016-10-25,30.10,27.55,28.75,27.35,28.75,28.75,27.89,36000,10.04,6,24000,66.67
ARTNIRMAN,SM,2016-10-26,28.75,30.25,30.25,30.25,30.25,30.25,30.25,6000,1.82,1,6000,100.00
ARTNIRMAN,SM,2016-10-28,30.25,29.75,29.75,29.75,29.75,29.75,29.75,6000,1.79,1,6000,100.00
ARTNIRMAN,SM,2016-11-04,29.75,28.50,28.50,28.50,28.50,28.50,28.50,18000,5.13,3,18000,100.00
ARTNIRMAN,SM,2016-11-09,28.50,27.00,28.00,27.00,28.00,28.00,27.67,18000,4.98,3,18000,100.00
ARTNIRMAN,SM,2016-11-15,28.00,28.00,28.00,28.00,28.00,28.00,28.00,6000,1.68,1,6000,100.00
ARTNIRMAN,SM,2016-11-21,28.00,28.00,28.00,28.00,28.00,28.00,28.00,12000,3.36,2,12000,100.00
ARTNIRMAN,SM,2016-11-30,28.00,27.00,27.00,27.00,27.00,27.00,27.00,6000,1.62,1,6000,100.00
ARTNIRMAN,SM,2016-12-05,27.00,27.00,27.00,26.50,27.00,27.00,26.88,24000,6.45,4,24000,100.00
ARTNIRMAN,SM,2016-12-06,27.00,26.75,26.75,26.75,26.75,26.75,26.75,6000,1.61,1,6000,100.00
ARTNIRMAN,SM,2016-12-07,26.75,27.00,27.00,27.00,27.00,27.00,27.00,6000,1.62,1,6000,100.00
ARTNIRMAN,SM,2016-12-08,27.00,28.50,28.75,27.50,27.50,27.50,28.31,24000,6.80,4,18000,75.00
ARTNIRMAN,SM,2016-12-12,27.50,26.75,26.75,26.75,26.75,26.75,26.75,6000,1.61,1,6000,100.00
ARTNIRMAN,SM,2016-12-13,26.75,26.80,26.80,26.80,26.80,26.80,26.80,6000,1.61,1,6000,100.00
ARTNIRMAN,SM,2016-12-14,26.80,27.95,27.95,27.95,27.95,27.95,27.95,6000,1.68,1,6000,100.00
ARTNIRMAN,SM,2016-12-15,27.95,28.00,28.00,27.50,27.50,27.50,27.75,12000,3.33,2,6000,50.00
ARTNIRMAN,SM,2016-12-21,27.50,27.50,27.50,27.50,27.50,27.50,27.50,6000,1.65,1,6000,100.00
ARTNIRMAN,SM,2016-12-23,27.50,28.00,28.00,28.00,28.00,28.00,28.00,12000,3.36,2,12000,100.00
ARTNIRMAN,SM,2016-12-27,28.00,28.00,28.00,28.00,28.00,28.00,28.00,6000,1.68,1,6000,100.00
ARTNIRMAN,SM,2016-12-28,28.00,28.25,28.25,28.00,28.00,28.00,28.08,18000,5.06,3,18000,100.00
ARTNIRMAN,SM,2017-01-05,28.00,28.50,28.50,28.05,28.05,28.05,28.28,12000,3.39,2,12000,100.00
ARTNIRMAN,SM,2017-02-17,28.05,27.50,27.50,27.50,27.50,27.50,27.50,18000,4.95,1,18000,100.00
