Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ASIANHOTNR,EQ,2014-12-03,125.55,125.00,141.40,123.00,136.00,135.00,132.38,18616,24.64,349,8449,45.39
ASIANHOTNR,EQ,2014-12-04,135.00,132.65,139.40,130.15,139.00,136.85,134.78,4866,6.56,81,1700,34.94
ASIANHOTNR,EQ,2014-12-05,136.85,134.95,139.95,132.30,133.00,133.30,135.25,3033,4.10,67,341,11.24
ASIANHOTNR,EQ,2014-12-08,133.30,136.00,137.50,131.00,135.90,133.90,134.54,5984,8.05,90,634,10.59
ASIANHOTNR,EQ,2014-12-09,133.90,132.00,137.95,132.00,135.60,133.80,134.47,2992,4.02,22,930,31.08
ASIANHOTNR,EQ,2014-12-10,133.80,131.00,139.00,128.05,129.00,129.90,131.12,3325,4.36,81,2445,73.53
ASIANHOTNR,EQ,2014-12-11,129.90,127.50,131.90,125.25,125.55,127.60,127.56,2341,2.99,16,338,14.44
ASIANHOTNR,EQ,2014-12-12,127.60,128.00,132.00,123.00,125.25,125.25,126.58,4341,5.49,90,843,19.42
ASIANHOTNR,EQ,2014-12-15,125.25,128.00,130.00,118.00,118.00,119.40,122.83,7093,8.71,212,1701,23.98
ASIANHOTNR,EQ,2014-12-16,119.40,118.10,123.90,115.15,115.25,116.30,117.22,5503,6.45,105,1869,33.96
ASIANHOTNR,EQ,2014-12-17,116.30,120.00,120.00,113.50,114.50,114.65,116.34,1898,2.21,69,304,16.02
ASIANHOTNR,EQ,2014-12-18,114.65,115.25,120.95,115.25,120.00,119.10,118.80,3313,3.94,37,129,3.89
ASIANHOTNR,EQ,2014-12-19,119.10,117.00,122.00,117.00,122.00,120.65,120.11,1374,1.65,39,349,25.40
ASIANHOTNR,EQ,2014-12-22,120.65,130.00,130.00,118.50,120.30,120.30,120.86,2550,3.08,31,2016,79.06
ASIANHOTNR,EQ,2014-12-23,120.30,120.00,121.40,116.55,117.05,117.40,119.45,2423,2.89,16,350,14.44
ASIANHOTNR,EQ,2014-12-24,117.40,116.70,118.80,115.45,116.00,118.20,117.06,2494,2.92,28,303,12.15
ASIANHOTNR,EQ,2014-12-26,118.20,116.00,120.00,115.05,116.60,118.15,117.39,238,0.28,12,203,85.29
ASIANHOTNR,EQ,2014-12-29,118.15,116.50,117.35,116.40,116.55,116.65,116.66,353,0.41,19,267,75.64
ASIANHOTNR,EQ,2014-12-30,116.65,116.55,123.00,116.55,123.00,121.50,119.52,980,1.17,23,860,87.76
ASIANHOTNR,EQ,2014-12-31,121.50,120.15,126.50,120.10,126.00,125.65,124.92,1816,2.27,59,1784,98.24
ASIANHOTNR,EQ,2015-01-01,125.65,125.00,131.40,125.00,127.40,127.40,128.24,2409,3.09,51,1870,77.63
ASIANHOTNR,EQ,2015-01-02,127.40,128.35,132.35,128.25,132.30,132.30,130.56,449,0.59,25,282,62.81
ASIANHOTNR,EQ,2015-01-05,132.30,131.00,137.90,130.10,133.90,133.05,132.94,14243,18.93,127,9696,68.08
ASIANHOTNR,EQ,2015-01-06,133.05,131.00,132.00,128.00,129.00,129.00,130.11,1824,2.37,29,1439,78.89
ASIANHOTNR,EQ,2015-01-07,129.00,130.00,133.90,128.30,129.00,129.00,129.24,814,1.05,16,784,96.31
ASIANHOTNR,EQ,2015-01-08,129.00,126.15,131.85,126.15,130.10,130.10,129.89,1229,1.60,18,946,76.97
ASIANHOTNR,EQ,2015-01-09,130.10,129.00,132.95,129.00,130.50,131.70,130.96,4065,5.32,31,1815,44.65
ASIANHOTNR,EQ,2015-01-12,131.70,128.55,132.50,128.55,129.55,129.50,129.11,1780,2.30,17,1543,86.69
ASIANHOTNR,EQ,2015-01-13,129.50,128.10,131.00,128.00,128.00,128.05,129.28,1967,2.54,16,343,17.44
ASIANHOTNR,EQ,2015-01-14,128.05,126.30,128.90,125.10,128.85,128.85,127.22,10455,13.30,47,5464,52.26
ASIANHOTNR,EQ,2015-01-15,128.85,126.75,130.05,126.75,130.00,130.00,129.84,4830,6.27,25,2989,61.88
ASIANHOTNR,EQ,2015-01-16,130.00,130.00,130.00,127.05,127.20,127.20,127.83,486,0.62,18,446,91.77
ASIANHOTNR,EQ,2015-01-19,127.20,131.50,131.50,125.20,125.35,125.80,126.60,284,0.36,27,222,78.17
ASIANHOTNR,EQ,2015-01-20,125.80,132.00,132.00,125.55,127.00,127.40,127.67,971,1.24,38,601,61.89
ASIANHOTNR,EQ,2015-01-21,127.40,125.55,130.00,125.55,130.00,129.60,128.99,260,0.34,13,215,82.69
ASIANHOTNR,EQ,2015-01-22,129.60,126.95,128.35,125.75,125.75,125.75,127.24,722,0.92,20,390,54.02
ASIANHOTNR,EQ,2015-01-23,125.75,126.70,128.00,122.05,128.00,127.45,123.89,14300,17.72,117,11675,81.64
ASIANHOTNR,EQ,2015-01-27,127.45,125.00,129.90,123.00,128.55,128.10,126.24,761,0.96,29,318,41.79
ASIANHOTNR,EQ,2015-01-28,128.10,125.00,129.95,125.00,125.85,125.70,126.94,354,0.45,13,228,64.41
ASIANHOTNR,EQ,2015-01-29,125.70,124.65,124.95,122.10,122.60,123.00,123.84,1292,1.60,44,1249,96.67
ASIANHOTNR,EQ,2015-01-30,123.00,122.00,124.95,121.25,124.90,122.90,121.99,939,1.15,49,707,75.29
ASIANHOTNR,EQ,2015-02-02,122.90,125.00,127.50,118.20,126.15,126.20,123.70,1323,1.64,37,170,12.85
ASIANHOTNR,EQ,2015-02-03,126.20,125.40,127.20,124.00,126.55,125.30,125.33,3311,4.15,41,1279,38.63
ASIANHOTNR,EQ,2015-02-04,125.30,129.85,129.85,123.65,123.65,124.05,126.54,552,0.70,62,260,47.10
ASIANHOTNR,EQ,2015-02-05,124.05,131.80,131.90,123.25,123.25,123.25,125.36,422,0.53,15,390,92.42
ASIANHOTNR,EQ,2015-02-06,123.25,124.45,124.45,122.10,122.30,122.30,122.93,1294,1.59,16,1280,98.92
ASIANHOTNR,EQ,2015-02-09,122.30,120.15,123.50,116.05,116.75,120.45,119.95,2177,2.61,74,891,40.93
ASIANHOTNR,EQ,2015-02-10,120.45,120.00,122.50,120.00,122.50,122.50,120.70,201,0.24,6,200,99.50
ASIANHOTNR,EQ,2015-02-11,122.50,120.00,120.00,112.00,115.00,115.65,116.30,3324,3.87,77,3101,93.29
ASIANHOTNR,EQ,2015-02-12,115.65,115.70,116.80,114.05,116.80,114.50,115.30,593,0.68,17,465,78.41
ASIANHOTNR,EQ,2015-02-13,114.50,113.15,116.95,110.85,113.85,112.45,113.03,6587,7.45,140,4925,74.77
ASIANHOTNR,EQ,2015-02-16,112.45,112.60,114.85,108.05,110.00,110.00,110.61,1199,1.33,36,1172,97.75
ASIANHOTNR,EQ,2015-02-18,110.00,109.00,114.95,105.65,114.95,110.00,109.72,2514,2.76,70,2294,91.25
ASIANHOTNR,EQ,2015-02-19,110.00,112.00,114.00,109.15,111.40,110.95,110.17,689,0.76,54,471,68.36
ASIANHOTNR,EQ,2015-02-20,110.95,109.40,112.00,109.40,109.50,109.70,110.28,2084,2.30,30,1918,92.03
ASIANHOTNR,EQ,2015-02-23,109.70,105.00,108.95,105.00,108.90,108.90,107.79,136,0.15,15,111,81.62
ASIANHOTNR,EQ,2015-02-24,108.90,115.90,115.90,109.00,110.00,110.00,109.24,570,0.62,32,485,85.09
ASIANHOTNR,EQ,2015-02-25,110.00,116.85,116.85,107.55,108.05,108.05,109.30,1246,1.36,67,838,67.26
ASIANHOTNR,EQ,2015-02-26,108.05,110.00,113.45,109.00,111.00,110.10,110.42,2056,2.27,33,1309,63.67
ASIANHOTNR,EQ,2015-02-27,110.10,108.05,113.40,108.05,113.40,111.50,109.89,1314,1.44,23,1105,84.09
ASIANHOTNR,EQ,2015-02-28,111.50,108.70,114.95,108.70,110.15,110.00,112.04,2044,2.29,33,894,43.74
ASIANHOTNR,EQ,2015-03-02,110.00,110.35,111.85,110.30,110.35,110.35,111.66,338,0.38,8,301,89.05
ASIANHOTNR,EQ,2015-03-03,110.35,111.95,112.00,108.95,109.80,109.15,109.87,2524,2.77,25,883,34.98
ASIANHOTNR,EQ,2015-03-04,109.15,110.00,110.00,107.20,108.45,108.00,108.12,1188,1.28,42,941,79.21
ASIANHOTNR,EQ,2015-03-05,108.00,108.00,108.00,105.25,106.05,105.90,106.97,1766,1.89,48,1666,94.34
ASIANHOTNR,EQ,2015-03-09,105.90,107.00,107.00,106.00,106.00,106.00,106.04,2385,2.53,6,2385,100.00
ASIANHOTNR,EQ,2015-03-10,106.00,108.05,108.05,107.00,107.00,107.95,107.95,358,0.39,11,348,97.21
ASIANHOTNR,EQ,2015-03-11,107.95,108.00,108.90,103.05,104.35,104.65,106.11,2088,2.22,43,809,38.75
ASIANHOTNR,EQ,2015-03-12,104.65,105.00,105.00,101.05,105.00,105.00,103.28,135,0.14,18,79,58.52
ASIANHOTNR,EQ,2015-03-13,105.00,103.65,109.00,103.10,108.85,104.85,104.62,2352,2.46,49,1930,82.06
ASIANHOTNR,EQ,2015-03-16,104.85,105.85,105.95,100.15,102.80,102.80,103.78,209,0.22,22,189,90.43
ASIANHOTNR,EQ,2015-03-17,102.80,101.05,106.00,100.30,102.10,102.05,102.60,1399,1.44,42,360,25.73
ASIANHOTNR,EQ,2015-03-18,102.05,102.10,104.90,101.35,101.35,101.50,102.15,308,0.31,23,196,63.64
ASIANHOTNR,EQ,2015-03-19,101.50,101.85,104.10,101.55,102.00,102.05,103.62,2240,2.32,56,1190,53.12
ASIANHOTNR,EQ,2015-03-20,102.05,101.40,103.90,100.50,103.90,102.65,101.71,3994,4.06,34,2755,68.98
ASIANHOTNR,EQ,2015-03-23,102.65,101.15,107.05,101.15,104.00,105.35,104.17,12061,12.56,44,10793,89.49
