Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ASIANTILES,EQ,2014-12-03,143.05,144.00,150.20,144.00,147.90,149.95,149.86,107330,160.84,824,72771,67.80
ASIANTILES,EQ,2014-12-04,149.95,147.95,149.40,142.50,143.05,142.95,144.82,82524,119.51,887,51873,62.86
ASIANTILES,EQ,2014-12-05,142.95,144.90,148.50,142.20,143.30,144.90,146.15,34468,50.38,825,18817,54.59
ASIANTILES,EQ,2014-12-08,144.90,142.00,147.50,131.65,138.00,137.35,138.91,66373,92.20,1086,44918,67.68
ASIANTILES,EQ,2014-12-09,137.35,136.00,144.50,134.00,135.00,135.60,139.10,42733,59.44,806,25946,60.72
ASIANTILES,EQ,2014-12-10,135.60,131.20,144.75,131.20,140.90,140.15,140.72,37925,53.37,604,22512,59.36
ASIANTILES,EQ,2014-12-11,140.15,141.00,143.40,134.50,142.85,141.80,140.69,21266,29.92,484,12080,56.80
ASIANTILES,EQ,2014-12-12,141.80,143.00,154.00,135.00,137.80,137.60,144.25,81292,117.27,1032,50708,62.38
ASIANTILES,EQ,2014-12-15,137.60,136.00,142.00,127.60,130.55,129.85,133.83,81414,108.96,702,64666,79.43
ASIANTILES,EQ,2014-12-16,129.85,129.00,133.80,117.55,124.50,124.75,123.42,95748,118.17,996,63679,66.51
ASIANTILES,EQ,2014-12-17,124.75,126.00,129.90,117.00,129.20,128.80,123.68,45395,56.15,890,20133,44.35
ASIANTILES,EQ,2014-12-18,128.80,132.05,141.65,132.05,141.65,141.25,139.88,78410,109.68,1114,45001,57.39
ASIANTILES,EQ,2014-12-19,141.25,144.40,148.85,135.00,136.50,136.30,141.01,52087,73.45,532,36422,69.93
ASIANTILES,EQ,2014-12-22,136.30,138.50,140.90,133.00,134.00,135.00,136.52,15569,21.26,229,12228,78.54
ASIANTILES,EQ,2014-12-23,135.00,129.00,138.50,129.00,133.00,133.65,135.07,16002,21.61,155,12123,75.76
ASIANTILES,EQ,2014-12-24,133.65,132.30,137.00,132.15,135.60,134.00,134.22,22107,29.67,370,13417,60.69
ASIANTILES,EQ,2014-12-26,134.00,134.65,144.30,133.00,141.00,139.15,137.97,10772,14.86,203,8065,74.87
ASIANTILES,EQ,2014-12-29,139.15,143.50,149.00,140.00,144.10,144.35,144.69,51855,75.03,868,31279,60.32
ASIANTILES,EQ,2014-12-30,144.35,143.05,147.50,143.00,146.10,146.20,145.59,35160,51.19,489,23769,67.60
ASIANTILES,EQ,2014-12-31,146.20,145.00,147.45,144.10,145.70,145.05,145.76,22895,33.37,309,17864,78.03
ASIANTILES,EQ,2015-01-01,145.05,145.00,146.20,142.10,144.55,143.40,144.44,13745,19.85,173,12310,89.56
ASIANTILES,EQ,2015-01-02,143.40,144.10,153.80,142.95,149.75,148.95,149.88,45814,68.67,784,32508,70.96
ASIANTILES,EQ,2015-01-05,148.95,147.00,159.70,147.00,149.30,149.80,152.07,112557,171.16,1419,69854,62.06
ASIANTILES,EQ,2015-01-06,149.80,149.90,149.95,143.20,144.95,144.30,146.66,40639,59.60,711,29877,73.52
ASIANTILES,EQ,2015-01-07,144.30,144.05,147.75,143.00,145.00,144.85,144.63,17664,25.55,268,12636,71.54
ASIANTILES,EQ,2015-01-08,144.85,150.00,154.00,144.60,152.00,151.50,150.68,39753,59.90,555,27812,69.96
ASIANTILES,EQ,2015-01-09,151.50,163.85,163.85,148.50,150.35,150.15,153.27,56949,87.29,592,33326,58.52
ASIANTILES,EQ,2015-01-12,150.15,150.05,154.90,150.00,153.55,152.65,153.05,47861,73.25,621,34276,71.62
ASIANTILES,EQ,2015-01-13,152.65,150.25,155.40,147.95,149.30,149.45,153.53,94209,144.64,745,66852,70.96
