Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ASTEC,EQ,2014-12-03,113.90,113.05,118.55,113.05,115.55,115.85,116.57,289294,337.24,2210,90316,31.22
ASTEC,EQ,2014-12-04,115.85,116.00,120.80,113.70,117.25,117.40,117.74,274437,323.13,2526,89592,32.65
ASTEC,EQ,2014-12-05,117.40,118.45,119.40,113.05,113.35,113.75,116.60,170403,198.68,1937,77654,45.57
ASTEC,EQ,2014-12-08,113.75,112.75,115.75,108.15,108.50,109.75,111.78,162255,181.36,2043,85330,52.59
ASTEC,EQ,2014-12-09,109.75,109.00,112.00,105.00,109.10,107.50,108.28,180583,195.53,2162,82183,45.51
ASTEC,EQ,2014-12-10,107.50,109.00,112.00,107.60,108.00,108.60,109.54,116625,127.75,1419,56865,48.76
ASTEC,EQ,2014-12-11,108.60,108.90,110.50,104.75,107.00,107.20,107.46,107641,115.67,1283,44677,41.51
ASTEC,EQ,2014-12-12,107.20,108.90,113.00,103.00,104.90,104.20,108.26,221970,240.30,2794,121328,54.66
ASTEC,EQ,2014-12-15,104.20,104.00,108.55,104.00,105.00,105.90,106.61,71571,76.30,667,47265,66.04
ASTEC,EQ,2014-12-16,105.90,105.90,107.60,97.10,98.90,98.40,102.10,233255,238.16,1986,147607,63.28
ASTEC,EQ,2014-12-17,98.40,96.80,100.00,86.00,94.40,95.30,93.57,195916,183.31,2546,83786,42.77
ASTEC,EQ,2014-12-18,95.30,97.05,103.05,97.05,102.00,101.90,100.47,123545,124.12,1694,67588,54.71
ASTEC,EQ,2014-12-19,101.90,104.95,107.90,101.65,103.20,104.10,104.65,318759,333.58,3262,123505,38.75
ASTEC,EQ,2014-12-22,104.10,106.10,106.10,103.10,104.40,104.00,104.53,101655,106.26,1295,55998,55.09
ASTEC,EQ,2014-12-23,104.00,104.75,104.90,98.00,98.00,99.05,101.13,88117,89.11,1148,55300,62.76
