Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ASTRAMICRO,EQ,2014-12-03,122.20,123.40,134.25,123.05,128.05,128.10,129.29,3919611,5067.78,31848,1474708,37.62
ASTRAMICRO,EQ,2014-12-04,128.10,128.40,137.80,125.10,130.75,130.50,131.89,4057459,5351.28,33866,862865,21.27
ASTRAMICRO,EQ,2014-12-05,130.50,130.80,136.00,123.35,124.50,125.35,131.15,1989169,2608.75,16834,683339,34.35
ASTRAMICRO,EQ,2014-12-08,125.35,126.25,129.25,123.90,125.80,125.45,126.28,905178,1143.10,10037,291576,32.21
ASTRAMICRO,EQ,2014-12-09,125.45,126.70,129.00,121.60,124.00,124.05,126.10,1002820,1264.59,11058,241782,24.11
ASTRAMICRO,EQ,2014-12-10,124.05,123.90,125.00,122.00,124.95,123.70,123.35,524429,646.87,5929,136827,26.09
ASTRAMICRO,EQ,2014-12-11,123.70,124.20,124.75,121.05,123.25,122.85,122.67,498287,611.23,5311,153559,30.82
ASTRAMICRO,EQ,2014-12-12,122.85,122.80,125.00,118.00,118.85,118.50,121.97,556086,678.27,6487,192263,34.57
ASTRAMICRO,EQ,2014-12-15,118.50,117.45,119.80,116.00,116.75,116.45,117.18,364764,427.42,4834,124812,34.22
ASTRAMICRO,EQ,2014-12-16,116.45,115.40,116.25,109.40,109.90,109.90,112.01,523178,586.02,7384,239668,45.81
ASTRAMICRO,EQ,2014-12-17,109.90,109.70,111.70,104.20,107.30,107.80,108.35,720136,780.29,9491,262310,36.43
ASTRAMICRO,EQ,2014-12-18,107.80,112.70,116.00,111.75,115.30,115.20,114.11,611498,697.80,9005,238514,39.00
ASTRAMICRO,EQ,2014-12-19,115.20,117.00,119.00,114.00,114.60,114.50,116.77,506584,591.54,6574,183168,36.16
ASTRAMICRO,EQ,2014-12-22,114.50,114.50,116.40,113.80,116.10,115.40,115.22,243322,280.36,3246,84516,34.73
ASTRAMICRO,EQ,2014-12-23,115.40,115.40,118.40,113.20,113.75,114.10,115.60,321184,371.30,3953,113772,35.42
ASTRAMICRO,EQ,2014-12-24,114.10,113.60,114.75,112.30,113.50,113.10,113.64,224177,254.76,3205,78190,34.88
ASTRAMICRO,EQ,2014-12-26,113.10,113.20,114.30,112.00,112.95,112.75,113.14,244381,276.50,3427,95499,39.08
ASTRAMICRO,EQ,2014-12-29,112.75,113.60,115.50,112.45,112.60,112.75,114.07,310992,354.74,4233,127237,40.91
ASTRAMICRO,EQ,2014-12-30,112.75,113.45,117.35,113.45,116.00,116.05,115.81,566433,655.99,7211,175121,30.92
ASTRAMICRO,EQ,2014-12-31,116.05,115.30,120.95,115.30,118.00,118.00,118.24,969933,1146.84,9004,283361,29.21
ASTRAMICRO,EQ,2015-01-01,118.00,117.95,122.50,117.10,121.50,121.05,120.52,639586,770.81,6812,201782,31.55
ASTRAMICRO,EQ,2015-01-02,121.05,121.10,125.70,121.10,122.90,122.70,123.44,833878,1029.32,8867,265321,31.82
ASTRAMICRO,EQ,2015-01-05,122.70,123.20,124.90,120.00,121.80,121.70,122.68,378874,464.81,4276,146786,38.74
ASTRAMICRO,EQ,2015-01-06,121.70,119.90,119.90,114.25,115.75,115.25,116.92,525019,613.88,5329,227684,43.37
ASTRAMICRO,EQ,2015-01-07,115.25,114.05,122.15,110.90,121.40,120.25,117.32,1802045,2114.10,15365,409863,22.74
ASTRAMICRO,EQ,2015-01-08,120.25,122.50,127.30,122.00,123.20,123.65,124.46,1770495,2203.59,16411,470187,26.56
ASTRAMICRO,EQ,2015-01-09,123.65,124.15,127.75,121.60,122.65,123.35,125.62,1715376,2154.92,16016,622772,36.31
ASTRAMICRO,EQ,2015-01-12,123.35,123.65,129.00,121.70,128.10,128.25,127.01,1819866,2311.37,17550,566966,31.15
ASTRAMICRO,EQ,2015-01-13,128.25,129.50,131.45,123.60,125.90,125.70,128.58,1516075,1949.35,14602,561892,37.06
ASTRAMICRO,EQ,2015-01-14,125.70,125.15,128.00,123.30,128.00,127.00,126.00,897366,1130.65,11129,409467,45.63
ASTRAMICRO,EQ,2015-01-15,127.00,128.00,138.70,127.00,133.60,134.60,135.12,4824316,6518.62,42871,1506203,31.22
ASTRAMICRO,EQ,2015-01-16,134.60,133.35,141.35,131.15,141.00,140.20,138.69,3456919,4794.51,32477,976623,28.25
ASTRAMICRO,EQ,2015-01-19,140.20,141.20,145.80,141.20,143.70,143.90,143.81,2287852,3290.07,21061,668797,29.23
ASTRAMICRO,EQ,2015-01-20,143.90,144.30,144.90,136.75,138.80,139.35,139.80,1118579,1563.73,12245,454107,40.60
ASTRAMICRO,EQ,2015-01-21,139.35,139.40,140.25,132.05,135.50,134.45,135.15,999919,1351.42,10897,355636,35.57
ASTRAMICRO,EQ,2015-01-22,134.45,134.70,138.10,134.00,136.10,136.80,136.02,962158,1308.75,9265,412106,42.83
ASTRAMICRO,EQ,2015-01-23,136.80,137.55,138.85,134.10,135.95,135.30,135.79,860277,1168.17,9106,307042,35.69
ASTRAMICRO,EQ,2015-01-27,135.30,138.20,141.70,135.00,136.20,136.25,138.66,1558764,2161.43,15887,650144,41.71
ASTRAMICRO,EQ,2015-01-28,136.25,135.80,135.80,131.00,135.15,134.70,133.88,647693,867.16,7959,250435,38.67
ASTRAMICRO,EQ,2015-01-29,134.70,134.10,139.00,132.20,136.80,136.85,136.96,781628,1070.53,9948,262217,33.55
ASTRAMICRO,EQ,2015-01-30,136.85,137.80,137.80,130.00,130.60,131.90,133.87,628814,841.80,6410,300913,47.85
ASTRAMICRO,EQ,2015-02-02,131.90,128.90,128.90,125.80,126.65,126.30,127.63,636296,812.13,8086,274612,43.16
ASTRAMICRO,EQ,2015-02-03,126.30,127.00,128.90,122.45,123.95,123.60,125.10,559532,699.98,6389,215617,38.54
ASTRAMICRO,EQ,2015-02-04,123.60,123.25,125.40,120.10,120.95,121.00,123.31,385649,475.54,3904,153641,39.84
ASTRAMICRO,EQ,2015-02-05,121.00,121.50,125.80,120.05,121.25,120.85,122.84,465446,571.75,5978,117831,25.32
ASTRAMICRO,EQ,2015-02-06,120.85,121.00,121.35,116.25,117.05,117.10,118.26,381865,451.61,4153,168622,44.16
ASTRAMICRO,EQ,2015-02-09,117.10,116.80,119.25,115.00,116.75,116.15,117.00,355537,415.98,3410,117095,32.93
ASTRAMICRO,EQ,2015-02-10,116.15,115.90,120.75,115.50,119.05,118.55,118.68,369146,438.10,3767,171296,46.40
ASTRAMICRO,EQ,2015-02-11,118.55,120.00,131.00,120.00,130.50,129.50,126.34,1229676,1553.61,12727,342494,27.85
ASTRAMICRO,EQ,2015-02-12,129.50,130.80,136.40,130.10,131.60,131.70,132.80,1341238,1781.19,13479,365628,27.26
ASTRAMICRO,EQ,2015-02-13,131.70,132.25,132.25,127.60,128.30,128.25,129.58,363726,471.33,4621,148833,40.92
ASTRAMICRO,EQ,2015-02-16,128.25,128.65,133.20,128.10,132.25,132.05,131.69,689689,908.23,9088,259719,37.66
ASTRAMICRO,EQ,2015-02-18,132.05,133.40,156.50,133.40,154.15,153.85,148.05,8233274,12189.48,80281,2201999,26.75
ASTRAMICRO,EQ,2015-02-19,153.85,155.75,165.80,155.40,159.90,160.20,160.78,5010839,8056.19,49856,1004975,20.06
ASTRAMICRO,EQ,2015-02-20,160.20,160.30,160.90,142.20,154.00,153.15,153.79,1509836,2322.02,17933,466115,30.87
ASTRAMICRO,EQ,2015-02-23,153.15,153.70,156.80,146.00,149.40,149.05,151.66,1015519,1540.09,10914,384954,37.91
ASTRAMICRO,EQ,2015-02-24,149.05,149.00,154.90,147.30,149.60,149.25,150.48,1187383,1786.79,14421,308490,25.98
ASTRAMICRO,EQ,2015-02-25,149.25,151.15,153.00,148.15,150.00,149.30,150.63,841472,1267.54,11621,210107,24.97
ASTRAMICRO,EQ,2015-02-26,149.30,150.05,152.90,147.95,149.85,148.85,149.95,848657,1272.55,10212,209941,24.74
ASTRAMICRO,EQ,2015-02-27,148.85,149.05,160.00,149.05,156.00,155.75,156.51,2238028,3502.78,23475,588369,26.29
ASTRAMICRO,EQ,2015-02-28,155.75,157.55,162.75,145.10,149.00,149.05,153.61,2196235,3373.69,21236,735024,33.47
ASTRAMICRO,EQ,2015-03-02,149.05,150.65,151.30,143.70,145.50,145.40,146.74,770249,1130.29,10234,354023,45.96
ASTRAMICRO,EQ,2015-03-03,145.40,145.40,145.75,141.75,142.80,142.45,143.23,639846,916.43,9902,269897,42.18
