Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ASTRAZEN,EQ,2014-12-03,826.05,827.00,842.90,820.20,823.00,824.50,829.99,13559,112.54,1125,8718,64.30
ASTRAZEN,EQ,2014-12-04,824.50,826.05,832.05,815.00,824.00,822.70,824.56,13075,107.81,853,8014,61.29
ASTRAZEN,EQ,2014-12-05,822.70,820.00,874.00,820.00,848.20,848.95,854.39,30838,263.48,3308,12542,40.67
ASTRAZEN,EQ,2014-12-08,848.95,852.00,857.30,831.45,837.00,837.25,840.90,17458,146.80,786,7899,45.25
ASTRAZEN,EQ,2014-12-09,837.25,835.25,840.00,825.25,829.45,827.80,832.17,7320,60.92,444,4555,62.23
ASTRAZEN,EQ,2014-12-10,827.80,821.35,844.00,821.35,831.10,832.10,834.11,4493,37.48,424,1831,40.75
ASTRAZEN,EQ,2014-12-11,832.10,833.10,836.90,827.25,828.65,831.65,831.91,6156,51.21,272,4530,73.59
ASTRAZEN,EQ,2014-12-12,831.65,830.00,838.90,825.00,833.00,828.35,832.20,5437,45.25,476,2965,54.53
ASTRAZEN,EQ,2014-12-15,828.35,830.00,837.00,820.15,822.30,825.20,829.92,5917,49.11,431,2178,36.81
ASTRAZEN,EQ,2014-12-16,825.20,817.10,830.00,801.00,810.00,809.80,817.67,12093,98.88,744,8333,68.91
ASTRAZEN,EQ,2014-12-17,809.80,803.05,818.00,781.00,801.25,806.40,803.59,12062,96.93,692,8186,67.87
ASTRAZEN,EQ,2014-12-18,806.40,803.05,820.00,803.05,815.65,812.20,813.12,3065,24.92,304,2151,70.18
ASTRAZEN,EQ,2014-12-19,812.20,811.00,818.65,803.00,804.40,806.15,811.09,1824,14.79,188,1223,67.05
ASTRAZEN,EQ,2014-12-22,806.15,808.05,817.00,804.00,809.00,807.30,808.50,4259,34.43,459,1998,46.91
ASTRAZEN,EQ,2014-12-23,807.30,806.35,813.00,802.00,805.05,803.40,806.20,2189,17.65,216,1449,66.19
ASTRAZEN,EQ,2014-12-24,803.40,804.10,806.00,801.40,805.60,802.60,803.77,4384,35.24,202,1624,37.04
ASTRAZEN,EQ,2014-12-26,802.60,807.00,814.70,801.00,808.00,804.80,804.26,2202,17.71,217,1148,52.13
ASTRAZEN,EQ,2014-12-29,804.80,804.80,809.00,801.00,804.90,802.45,804.32,3565,28.67,256,2263,63.48
ASTRAZEN,EQ,2014-12-30,802.45,800.05,846.40,800.00,833.90,826.35,821.39,13843,113.70,889,7238,52.29
ASTRAZEN,EQ,2014-12-31,826.35,830.00,867.85,829.90,859.20,860.40,856.60,55258,473.34,2469,23110,41.82
ASTRAZEN,EQ,2015-01-01,860.40,877.00,883.05,867.00,867.00,870.80,875.42,35058,306.90,1637,10947,31.23
ASTRAZEN,EQ,2015-01-02,870.80,870.00,901.55,870.00,884.10,884.05,890.16,50714,451.44,2131,17139,33.80
ASTRAZEN,EQ,2015-01-05,884.05,883.70,899.80,876.95,883.00,882.80,891.21,23772,211.86,990,6120,25.74
ASTRAZEN,EQ,2015-01-06,882.80,882.00,882.00,850.10,855.00,854.95,866.46,10088,87.41,598,4957,49.14
ASTRAZEN,EQ,2015-01-07,854.95,862.85,862.85,839.00,849.65,847.55,848.05,5388,45.69,436,2788,51.74
ASTRAZEN,EQ,2015-01-08,847.55,858.90,907.00,848.90,885.00,887.10,891.13,68170,607.48,2765,17164,25.18
ASTRAZEN,EQ,2015-01-09,887.10,876.00,897.45,860.00,870.00,865.70,880.35,10733,94.49,1041,3952,36.82
ASTRAZEN,EQ,2015-01-12,865.70,867.00,899.00,852.55,875.00,878.00,882.29,8386,73.99,869,3399,40.53
ASTRAZEN,EQ,2015-01-13,878.00,874.00,883.00,860.00,863.00,864.95,870.65,4218,36.72,336,2893,68.59
ASTRAZEN,EQ,2015-01-14,864.95,867.00,876.40,853.55,868.10,871.20,867.21,4718,40.92,339,1740,36.88
ASTRAZEN,EQ,2015-01-15,871.20,884.90,884.90,855.00,863.00,864.10,865.27,1960,16.96,339,1079,55.05
ASTRAZEN,EQ,2015-01-16,864.10,871.20,871.20,850.00,859.00,860.80,857.30,3448,29.56,402,2098,60.85
ASTRAZEN,EQ,2015-01-19,860.80,883.80,884.00,851.00,851.10,856.85,861.54,4734,40.79,367,3451,72.90
ASTRAZEN,EQ,2015-01-20,856.85,861.45,874.00,857.95,866.00,867.40,864.79,5719,49.46,476,4161,72.76
ASTRAZEN,EQ,2015-01-21,867.40,860.00,876.05,855.35,857.85,856.85,861.33,3253,28.02,322,1768,54.35
ASTRAZEN,EQ,2015-01-22,856.85,862.05,904.95,856.00,880.00,879.95,885.52,13259,117.41,1054,4302,32.45
ASTRAZEN,EQ,2015-01-23,879.95,880.00,895.00,862.80,862.80,867.75,876.59,5166,45.28,477,2651,51.32
