Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ATLASCYCLE,EQ,2014-12-03,268.05,266.50,278.65,266.50,271.30,271.10,274.00,133887,366.85,3232,16969,12.67
ATLASCYCLE,EQ,2014-12-04,271.10,272.30,277.90,268.00,272.90,272.65,273.98,62612,171.54,1602,11364,18.15
ATLASCYCLE,EQ,2014-12-05,272.65,271.50,275.10,267.55,267.55,268.85,271.70,23228,63.11,536,7284,31.36
ATLASCYCLE,EQ,2014-12-08,268.85,267.50,271.05,263.50,264.20,264.10,266.95,18573,49.58,603,5914,31.84
ATLASCYCLE,EQ,2014-12-09,264.10,262.70,268.90,259.55,260.15,260.35,263.40,31277,82.38,865,5942,19.00
ATLASCYCLE,EQ,2014-12-10,260.35,260.00,267.35,260.00,263.80,263.70,263.96,26615,70.25,710,5767,21.67
ATLASCYCLE,EQ,2014-12-11,263.70,261.65,276.90,256.00,268.95,270.90,269.07,119014,320.23,3030,21069,17.70
ATLASCYCLE,EQ,2014-12-12,270.90,270.00,275.90,255.25,258.40,259.00,269.28,81525,219.53,2206,20892,25.63
ATLASCYCLE,EQ,2014-12-15,259.00,257.20,264.50,256.25,262.70,260.00,260.23,24707,64.29,820,6919,28.00
ATLASCYCLE,EQ,2014-12-16,260.00,256.00,259.35,241.35,244.00,243.90,249.61,30739,76.73,1108,14422,46.92
ATLASCYCLE,EQ,2014-12-17,243.90,242.70,245.25,221.80,223.40,227.30,230.96,79544,183.71,2431,25879,32.53
ATLASCYCLE,EQ,2014-12-18,227.30,229.40,237.00,228.00,233.90,233.35,232.59,52160,121.32,1701,15132,29.01
ATLASCYCLE,EQ,2014-12-19,233.35,234.50,240.10,234.15,234.25,235.70,236.59,30831,72.94,893,10585,34.33
ATLASCYCLE,EQ,2014-12-22,235.70,234.15,238.90,234.15,238.00,237.75,237.06,20086,47.62,610,4956,24.67
ATLASCYCLE,EQ,2014-12-23,237.75,236.00,239.90,230.65,233.30,233.95,235.46,26190,61.67,841,8948,34.17
ATLASCYCLE,EQ,2014-12-24,233.95,235.00,237.30,233.00,234.00,234.20,234.94,13241,31.11,613,3653,27.59
ATLASCYCLE,EQ,2014-12-26,234.20,234.00,242.35,233.05,234.50,234.00,236.88,34501,81.73,1131,5703,16.53
ATLASCYCLE,EQ,2014-12-29,234.00,235.60,237.40,233.70,235.00,234.30,235.51,10469,24.66,420,3310,31.62
ATLASCYCLE,EQ,2014-12-30,234.30,234.95,238.90,233.10,234.00,233.80,235.68,36837,86.82,914,7998,21.71
ATLASCYCLE,EQ,2014-12-31,233.80,234.75,238.10,233.30,236.00,235.35,235.47,42979,101.20,981,7008,16.31
ATLASCYCLE,EQ,2015-01-01,235.35,235.35,241.65,234.05,239.00,238.35,238.43,31462,75.02,1112,6623,21.05
ATLASCYCLE,EQ,2015-01-02,238.35,239.00,248.80,239.00,243.95,243.65,244.94,76286,186.86,2068,18403,24.12
ATLASCYCLE,EQ,2015-01-05,243.65,243.00,246.95,240.95,242.85,241.90,243.65,26603,64.82,926,8910,33.49
ATLASCYCLE,EQ,2015-01-06,241.90,239.95,243.00,233.05,235.55,235.00,238.34,35862,85.47,1348,6618,18.45
ATLASCYCLE,EQ,2015-01-07,235.00,233.50,237.25,231.10,234.65,233.90,234.37,18816,44.10,749,4439,23.59
ATLASCYCLE,EQ,2015-01-08,233.90,236.25,241.80,235.85,237.20,236.95,238.20,26635,63.44,773,3492,13.11
ATLASCYCLE,EQ,2015-01-09,236.95,239.05,240.90,233.00,235.00,234.95,236.56,20091,47.53,723,5598,27.86
ATLASCYCLE,EQ,2015-01-12,234.95,234.90,237.05,232.55,235.05,235.00,235.19,14828,34.87,557,3705,24.99
ATLASCYCLE,EQ,2015-01-13,235.00,236.25,239.00,234.15,235.40,235.25,236.28,12790,30.22,431,3940,30.81
ATLASCYCLE,EQ,2015-01-14,235.25,234.55,236.95,231.50,232.70,232.95,233.77,9751,22.79,505,2712,27.81
ATLASCYCLE,EQ,2015-01-15,232.95,235.90,237.70,233.50,237.70,236.20,236.01,14371,33.92,474,6077,42.29
ATLASCYCLE,EQ,2015-01-16,236.20,236.75,246.00,234.50,239.00,239.30,241.68,59808,144.54,1495,11191,18.71
ATLASCYCLE,EQ,2015-01-19,239.30,239.75,263.80,239.65,255.00,254.90,254.78,358681,913.83,8374,46202,12.88
ATLASCYCLE,EQ,2015-01-20,254.90,257.40,260.40,252.05,253.55,253.95,256.22,77246,197.92,2622,17746,22.97
ATLASCYCLE,EQ,2015-01-21,253.95,253.95,255.05,242.20,243.00,243.00,246.26,29427,72.47,1142,13130,44.62
ATLASCYCLE,EQ,2015-01-22,243.00,244.10,247.10,241.10,242.50,242.75,244.03,20393,49.77,712,5506,27.00
ATLASCYCLE,EQ,2015-01-23,242.75,244.25,246.50,239.10,240.10,240.05,242.03,16686,40.38,564,5554,33.29
ATLASCYCLE,EQ,2015-01-27,240.05,241.35,243.80,238.00,238.50,238.85,240.24,12499,30.03,467,3805,30.44
ATLASCYCLE,EQ,2015-01-28,238.85,238.00,241.40,237.25,238.15,238.80,239.03,12874,30.77,408,3972,30.85
ATLASCYCLE,EQ,2015-01-29,238.80,238.10,241.80,236.80,239.95,238.15,239.16,15158,36.25,433,3703,24.43
ATLASCYCLE,EQ,2015-01-30,238.15,240.70,246.95,236.05,237.60,236.95,240.56,33018,79.43,1025,6274,19.00
ATLASCYCLE,EQ,2015-02-02,236.95,236.20,238.50,231.50,234.60,233.55,234.92,14803,34.77,518,6726,45.44
ATLASCYCLE,EQ,2015-02-03,233.55,234.35,238.80,229.00,230.10,230.05,231.89,30355,70.39,744,14281,47.05
ATLASCYCLE,EQ,2015-02-04,230.05,231.70,235.45,222.15,222.55,223.20,228.14,60359,137.70,1562,22324,36.99
ATLASCYCLE,EQ,2015-02-05,223.20,223.70,230.20,222.05,224.00,222.95,226.30,32111,72.67,938,7903,24.61
ATLASCYCLE,EQ,2015-02-06,222.95,223.75,223.95,219.65,220.25,220.30,221.64,10596,23.48,452,5185,48.93
ATLASCYCLE,EQ,2015-02-09,220.30,218.00,220.90,216.50,217.05,217.05,218.68,9248,20.22,369,3928,42.47
ATLASCYCLE,EQ,2015-02-10,217.05,213.40,221.40,213.40,219.60,217.95,218.28,16029,34.99,491,6353,39.63
ATLASCYCLE,EQ,2015-02-11,217.95,217.75,221.00,217.75,219.10,219.50,219.65,10050,22.07,418,3069,30.54
ATLASCYCLE,EQ,2015-02-12,219.50,220.75,241.85,220.00,230.00,229.75,233.01,213355,497.14,5491,23285,10.91
ATLASCYCLE,EQ,2015-02-13,229.75,229.75,275.70,225.15,259.20,263.10,261.34,698465,1825.35,16740,86845,12.43
ATLASCYCLE,EQ,2015-02-16,263.10,259.50,259.50,243.35,245.95,246.20,249.12,142673,355.43,4954,30493,21.37
ATLASCYCLE,EQ,2015-02-18,246.20,246.20,260.90,242.20,249.25,250.20,251.31,139825,351.40,4083,27195,19.45
ATLASCYCLE,EQ,2015-02-19,250.20,251.90,261.70,245.30,246.45,247.60,252.17,126147,318.10,3497,24616,19.51
ATLASCYCLE,EQ,2015-02-20,247.60,247.60,250.95,243.15,244.10,244.15,246.92,25160,62.12,947,9045,35.95
ATLASCYCLE,EQ,2015-02-23,244.15,244.00,254.20,242.35,243.00,244.25,248.83,62644,155.88,2046,10584,16.90
ATLASCYCLE,EQ,2015-02-24,244.25,244.70,247.90,238.10,239.20,238.80,242.31,23169,56.14,790,8598,37.11
ATLASCYCLE,EQ,2015-02-25,238.80,240.70,245.20,236.40,239.50,239.30,241.57,25270,61.05,862,6234,24.67
ATLASCYCLE,EQ,2015-02-26,239.30,240.05,252.90,237.70,244.80,243.80,245.86,95847,235.65,2826,17871,18.65
ATLASCYCLE,EQ,2015-02-27,243.80,242.95,245.60,242.00,243.25,243.45,243.84,16899,41.21,666,5449,32.24
ATLASCYCLE,EQ,2015-02-28,243.45,247.70,253.95,238.05,242.00,241.45,246.94,86381,213.31,2912,20871,24.16
ATLASCYCLE,EQ,2015-03-02,241.45,242.45,245.40,240.05,241.05,240.95,242.52,16121,39.10,494,7399,45.90
ATLASCYCLE,EQ,2015-03-03,240.95,240.65,246.00,240.65,242.10,242.45,243.87,30434,74.22,777,8278,27.20
ATLASCYCLE,EQ,2015-03-04,242.45,244.50,245.35,239.00,240.00,239.40,242.24,13709,33.21,472,7119,51.93
ATLASCYCLE,EQ,2015-03-05,239.40,238.65,241.75,235.95,236.90,236.75,237.96,12010,28.58,441,5070,42.21
ATLASCYCLE,EQ,2015-03-09,236.75,235.35,235.40,230.00,230.55,230.25,232.54,10489,24.39,358,6826,65.08
ATLASCYCLE,EQ,2015-03-10,230.25,231.00,234.50,227.80,228.20,228.30,230.46,14631,33.72,464,6603,45.13
ATLASCYCLE,EQ,2015-03-11,228.30,228.20,229.65,222.65,223.80,223.95,226.14,13083,29.59,622,5139,39.28
ATLASCYCLE,EQ,2015-03-12,223.95,224.45,235.70,224.45,228.00,228.30,230.46,61382,141.46,2031,9585,15.62
ATLASCYCLE,EQ,2015-03-13,228.30,229.00,230.70,222.05,222.70,222.65,226.02,17240,38.97,719,7276,42.20
ATLASCYCLE,EQ,2015-03-16,222.65,222.65,225.90,222.25,225.00,223.80,223.92,10573,23.68,389,4152,39.27
ATLASCYCLE,EQ,2015-03-17,223.80,224.40,226.60,222.00,224.00,223.60,224.15,11510,25.80,439,4597,39.94
ATLASCYCLE,EQ,2015-03-18,223.60,223.85,226.90,220.35,222.40,222.80,224.23,16630,37.29,531,3916,23.55
ATLASCYCLE,EQ,2015-03-19,222.80,224.00,229.50,220.20,221.65,221.15,225.35,33529,75.56,955,9677,28.86
ATLASCYCLE,EQ,2015-03-20,221.15,220.05,221.05,211.00,213.00,213.15,216.56,16566,35.88,637,8338,50.33
ATLASCYCLE,EQ,2015-03-23,213.15,213.50,214.95,208.80,209.25,209.70,211.59,11974,25.34,576,4836,40.39
ATLASCYCLE,EQ,2015-03-24,209.70,209.50,211.70,206.00,206.20,206.55,207.90,17005,35.35,786,6193,36.42
ATLASCYCLE,EQ,2015-03-25,206.55,207.80,207.80,201.10,201.50,202.10,205.05,18293,37.51,586,12815,70.05
ATLASCYCLE,EQ,2015-03-26,202.10,200.80,205.50,196.65,200.80,199.45,200.62,34008,68.23,1365,14899,43.81
ATLASCYCLE,EQ,2015-03-27,199.45,200.15,202.60,194.05,196.90,196.35,198.00,23704,46.93,826,12209,51.51
ATLASCYCLE,EQ,2015-03-30,196.35,198.75,207.75,196.50,204.50,203.85,204.66,74813,153.12,1835,15885,21.23
ATLASCYCLE,EQ,2015-03-31,203.85,204.10,208.65,203.75,204.30,204.85,206.23,26521,54.69,797,6878,25.93
ATLASCYCLE,EQ,2015-04-01,204.85,203.90,210.40,203.00,208.00,208.05,207.47,25208,52.30,792,6266,24.86
ATLASCYCLE,EQ,2015-04-06,208.05,210.70,215.80,210.70,213.50,213.15,212.96,41349,88.06,1266,10058,24.32
ATLASCYCLE,EQ,2015-04-07,213.15,213.70,227.45,213.70,220.25,221.15,222.59,80473,179.13,2343,14514,18.04
ATLASCYCLE,EQ,2015-04-08,221.15,221.40,223.70,217.00,218.25,218.05,220.71,12701,28.03,525,5479,43.14
ATLASCYCLE,EQ,2015-04-09,218.05,219.40,237.80,218.00,235.60,232.60,226.62,101163,229.25,2281,35543,35.13
ATLASCYCLE,EQ,2015-04-10,232.60,235.10,254.90,235.10,252.05,253.30,246.64,138734,342.17,4141,43957,31.68
ATLASCYCLE,EQ,2015-04-13,253.30,252.95,257.40,246.10,248.30,247.95,253.59,63429,160.85,1505,29559,46.60
ATLASCYCLE,EQ,2015-04-15,247.95,249.90,249.90,236.15,240.25,239.60,242.24,27260,66.04,1081,10587,38.84
ATLASCYCLE,EQ,2015-04-16,239.60,240.45,240.85,231.55,235.60,235.50,235.83,11251,26.53,502,4739,42.12
ATLASCYCLE,EQ,2015-04-17,235.50,235.75,242.90,231.90,239.85,237.60,237.68,25356,60.27,974,5926,23.37
ATLASCYCLE,EQ,2015-04-20,237.60,233.00,237.80,227.00,228.00,228.20,231.20,9129,21.11,491,5851,64.09
ATLASCYCLE,EQ,2015-04-21,228.20,226.25,229.35,219.20,221.10,221.10,223.52,11609,25.95,591,5628,48.48
ATLASCYCLE,EQ,2015-04-22,221.10,218.00,224.90,218.00,224.00,222.55,222.52,10255,22.82,398,4054,39.53
