Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AURIONPRO,EQ,2014-12-03,301.95,301.55,304.90,298.30,303.00,302.55,301.15,45017,135.57,860,29113,64.67
AURIONPRO,EQ,2014-12-04,302.55,303.00,308.95,301.00,302.50,302.80,303.84,33425,101.56,433,25243,75.52
AURIONPRO,EQ,2014-12-05,302.80,302.80,303.60,294.55,298.00,296.00,297.91,34015,101.33,461,22263,65.45
AURIONPRO,EQ,2014-12-08,296.00,297.65,299.75,289.05,289.05,291.15,292.79,18351,53.73,488,12849,70.02
AURIONPRO,EQ,2014-12-09,291.15,288.20,290.85,274.95,278.00,279.55,283.16,27134,76.83,590,22457,82.76
AURIONPRO,EQ,2014-12-10,279.55,279.90,286.90,278.50,284.00,283.65,283.51,22300,63.22,584,17330,77.71
AURIONPRO,EQ,2014-12-11,283.65,284.70,284.80,274.75,275.00,275.80,278.91,16099,44.90,441,12195,75.75
AURIONPRO,EQ,2014-12-12,275.80,277.75,279.70,265.05,265.60,266.70,270.46,19515,52.78,646,14275,73.15
AURIONPRO,EQ,2014-12-15,266.70,265.00,269.00,231.65,259.00,253.10,259.52,26708,69.31,1021,9793,36.67
AURIONPRO,EQ,2014-12-16,253.10,255.00,259.90,237.00,240.00,239.10,246.04,37344,91.88,1055,21638,57.94
AURIONPRO,EQ,2014-12-17,239.10,236.70,238.20,230.50,232.25,234.15,234.14,29415,68.87,730,20138,68.46
AURIONPRO,EQ,2014-12-18,234.15,232.00,249.90,231.80,240.00,239.65,241.42,23027,55.59,931,14342,62.28
AURIONPRO,EQ,2014-12-19,239.65,244.80,244.95,234.40,242.00,242.75,241.91,26055,63.03,637,18018,69.15
AURIONPRO,EQ,2014-12-22,242.75,241.00,244.55,239.45,241.00,241.30,241.77,15436,37.32,545,9903,64.16
AURIONPRO,EQ,2014-12-23,241.30,239.15,244.90,238.00,239.50,239.85,241.32,11793,28.46,324,6999,59.35
AURIONPRO,EQ,2014-12-24,239.85,238.35,241.90,238.05,239.85,239.00,239.87,8578,20.58,239,6902,80.46
AURIONPRO,EQ,2014-12-26,239.00,240.00,243.05,236.10,241.75,240.10,240.66,17651,42.48,302,14506,82.18
AURIONPRO,EQ,2014-12-29,240.10,241.50,243.90,231.00,231.05,232.30,236.91,16028,37.97,614,10369,64.69
AURIONPRO,EQ,2014-12-30,232.30,234.00,235.45,230.10,234.40,232.60,233.42,20870,48.72,393,15698,75.22
AURIONPRO,EQ,2014-12-31,232.60,233.40,234.25,228.10,231.80,231.20,230.73,44590,102.88,635,31294,70.18
AURIONPRO,EQ,2015-01-01,231.20,234.60,274.00,233.20,266.00,266.15,255.92,80901,207.04,2427,26145,32.32
AURIONPRO,EQ,2015-01-02,266.15,268.00,275.90,256.00,270.50,270.05,271.04,27916,75.66,922,15684,56.18
AURIONPRO,EQ,2015-01-05,270.05,268.00,273.75,252.00,255.00,255.55,262.31,29981,78.64,727,19573,65.28
AURIONPRO,EQ,2015-01-06,255.55,254.00,262.90,247.20,247.75,249.70,251.14,25116,63.08,642,19710,78.48
AURIONPRO,EQ,2015-01-07,249.70,250.45,269.80,246.05,263.00,263.85,261.97,57800,151.42,1551,25436,44.01
AURIONPRO,EQ,2015-01-08,263.85,266.85,275.25,264.10,267.10,269.80,271.22,40941,111.04,1177,19468,47.55
AURIONPRO,EQ,2015-01-09,269.80,267.20,273.05,263.60,264.30,265.35,268.26,31264,83.87,927,15361,49.13
AURIONPRO,EQ,2015-01-12,265.35,266.90,270.05,264.30,266.80,265.45,267.47,16263,43.50,470,7266,44.68
AURIONPRO,EQ,2015-01-13,265.45,267.45,268.25,263.60,265.50,265.05,265.50,23191,61.57,578,11262,48.56
AURIONPRO,EQ,2015-01-14,265.05,269.45,277.60,264.00,273.65,273.10,270.87,49770,134.81,799,22512,45.23
AURIONPRO,EQ,2015-01-15,273.10,278.30,289.30,272.05,279.00,284.15,281.84,63836,179.91,1335,31588,49.48
AURIONPRO,EQ,2015-01-16,284.15,282.05,284.90,273.95,280.00,280.50,278.12,94946,264.06,1008,47071,49.58
AURIONPRO,EQ,2015-01-19,280.50,277.70,288.65,277.70,282.20,280.95,283.29,66629,188.76,1410,32895,49.37
AURIONPRO,EQ,2015-01-20,280.95,282.60,298.90,282.55,294.00,293.50,294.19,117750,346.41,2468,74302,63.10
AURIONPRO,EQ,2015-01-21,293.50,292.00,296.35,287.10,289.40,288.45,290.32,52154,151.41,1033,34183,65.54
AURIONPRO,EQ,2015-01-22,288.45,289.80,289.80,285.40,285.60,286.25,287.81,14386,41.40,319,8506,59.13
AURIONPRO,EQ,2015-01-23,286.25,290.80,290.80,279.00,280.00,282.40,284.96,44418,126.57,469,32938,74.15
AURIONPRO,EQ,2015-01-27,282.40,278.00,284.40,276.60,280.00,281.40,282.33,19404,54.78,570,11344,58.46
AURIONPRO,EQ,2015-01-28,281.40,280.05,282.80,275.00,275.50,276.40,277.64,17343,48.15,777,9322,53.75
AURIONPRO,EQ,2015-01-29,276.40,278.90,279.40,274.00,274.00,276.25,276.69,13996,38.73,373,6504,46.47
AURIONPRO,EQ,2015-01-30,276.25,278.90,278.90,271.10,272.75,274.40,274.63,25327,69.55,624,14305,56.48
AURIONPRO,EQ,2015-02-02,274.40,274.90,298.80,274.00,289.00,291.75,288.21,89749,258.67,1622,37100,41.34
AURIONPRO,EQ,2015-02-03,291.75,288.00,291.75,285.10,287.90,287.05,288.24,30199,87.05,611,15730,52.09
AURIONPRO,EQ,2015-02-04,287.05,285.60,288.60,276.00,279.00,279.80,282.59,18001,50.87,300,12440,69.11
AURIONPRO,EQ,2015-02-05,279.80,281.00,282.95,266.65,271.50,271.40,276.19,18844,52.05,486,12383,65.71
AURIONPRO,EQ,2015-02-06,271.40,274.60,285.25,268.25,278.05,279.10,276.17,120626,333.13,1232,41630,34.51
AURIONPRO,EQ,2015-02-09,279.10,277.30,280.00,271.60,275.50,277.80,276.06,11844,32.70,357,5262,44.43
AURIONPRO,EQ,2015-02-10,277.80,284.50,284.50,274.30,275.10,279.35,280.97,23726,66.66,823,8658,36.49
AURIONPRO,EQ,2015-02-11,279.35,282.60,284.00,272.50,275.15,278.25,280.48,46381,130.09,892,21784,46.97
AURIONPRO,EQ,2015-02-12,278.25,279.00,280.00,272.00,273.90,274.75,275.98,23976,66.17,549,14851,61.94
AURIONPRO,EQ,2015-02-13,274.75,275.00,275.95,269.00,271.00,270.75,271.38,12234,33.20,507,7940,64.90
AURIONPRO,EQ,2015-02-16,270.75,270.80,274.90,267.70,269.00,268.80,271.86,8143,22.14,290,6034,74.10
AURIONPRO,EQ,2015-02-18,268.80,272.95,272.95,262.85,266.40,265.40,268.32,10259,27.53,495,6937,67.62
AURIONPRO,EQ,2015-02-19,265.40,267.00,271.70,265.95,269.90,269.20,269.84,25604,69.09,689,13099,51.16
AURIONPRO,EQ,2015-02-20,269.20,271.85,271.90,262.20,262.20,264.70,268.18,20835,55.88,410,16568,79.52
AURIONPRO,EQ,2015-02-23,264.70,268.60,269.90,256.95,260.80,261.70,267.14,18368,49.07,971,12050,65.60
AURIONPRO,EQ,2015-02-24,261.70,263.90,266.75,250.00,251.00,252.60,257.05,10916,28.06,1389,5426,49.71
AURIONPRO,EQ,2015-02-25,252.60,256.50,263.40,253.50,256.00,255.60,258.71,30681,79.37,1245,10390,33.86
AURIONPRO,EQ,2015-02-26,255.60,257.90,258.75,245.10,250.00,248.20,251.37,18532,46.58,1195,10787,58.21
AURIONPRO,EQ,2015-02-27,248.20,250.95,254.85,247.00,248.55,248.55,251.44,20149,50.66,844,11136,55.27
AURIONPRO,EQ,2015-02-28,248.55,251.45,251.45,236.00,239.00,239.55,241.93,35625,86.19,1032,20865,58.57
AURIONPRO,EQ,2015-03-02,239.55,233.00,244.90,229.00,236.70,236.50,237.82,23620,56.17,931,11131,47.13
AURIONPRO,EQ,2015-03-03,236.50,238.75,240.90,234.80,240.00,238.05,237.68,22164,52.68,407,16080,72.55
AURIONPRO,EQ,2015-03-04,238.05,243.00,243.00,234.00,236.80,235.90,237.72,9377,22.29,218,8227,87.74
AURIONPRO,EQ,2015-03-05,235.90,237.95,238.00,231.50,234.40,232.85,234.58,16515,38.74,445,11706,70.88
AURIONPRO,EQ,2015-03-09,232.85,230.00,258.20,225.00,225.20,226.05,229.22,46088,105.64,1276,27248,59.12
AURIONPRO,EQ,2015-03-10,226.05,224.30,230.05,212.00,214.75,216.40,222.87,33157,73.90,1059,20278,61.16
AURIONPRO,EQ,2015-03-11,216.40,217.00,217.00,210.00,213.55,213.50,213.72,83730,178.95,588,75785,90.51
AURIONPRO,EQ,2015-03-12,213.50,214.25,214.40,212.00,213.35,212.70,213.79,85864,183.57,533,69677,81.15
AURIONPRO,EQ,2015-03-13,212.70,217.30,217.30,202.50,204.75,209.00,211.48,25774,54.51,815,15582,60.46
AURIONPRO,EQ,2015-03-16,209.00,209.50,211.60,196.00,196.00,201.20,205.31,83720,171.89,1340,42979,51.34
AURIONPRO,EQ,2015-03-17,201.20,200.45,204.85,164.15,192.00,191.60,184.03,191372,352.19,3604,101101,52.83
AURIONPRO,EQ,2015-03-18,191.60,191.90,197.90,187.95,193.00,191.20,192.17,65583,126.03,1196,51866,79.08
AURIONPRO,EQ,2015-03-19,191.20,191.00,195.90,188.45,190.00,189.65,191.72,22656,43.44,768,15682,69.22
AURIONPRO,EQ,2015-03-20,189.65,194.45,194.45,179.30,185.50,185.45,186.64,28629,53.43,839,16096,56.22
AURIONPRO,EQ,2015-03-23,185.45,184.25,185.40,179.00,183.90,182.40,183.74,69511,127.72,928,52544,75.59
AURIONPRO,EQ,2015-03-24,182.40,185.00,191.00,180.00,182.90,181.10,183.62,20775,38.15,408,12584,60.57
AURIONPRO,EQ,2015-03-25,181.10,182.45,186.00,169.95,171.00,172.15,181.36,84318,152.92,953,52433,62.18
AURIONPRO,EQ,2015-03-26,172.15,174.75,185.60,172.15,183.90,181.90,182.17,82041,149.45,1123,46596,56.80
AURIONPRO,EQ,2015-03-27,181.90,182.65,187.90,175.25,180.20,182.25,181.68,75883,137.87,773,42557,56.08
AURIONPRO,EQ,2015-03-30,182.25,188.00,188.90,183.15,188.90,187.65,186.45,40790,76.05,543,22194,54.41
AURIONPRO,EQ,2015-03-31,187.65,192.45,199.40,186.00,190.10,191.55,195.92,118671,232.50,1412,60269,50.79
AURIONPRO,EQ,2015-04-01,191.55,192.30,224.95,191.80,216.30,217.55,212.26,115464,245.08,2372,41196,35.68
AURIONPRO,EQ,2015-04-06,217.55,221.90,243.65,219.10,241.30,240.40,232.45,87070,202.39,1843,48660,55.89
AURIONPRO,EQ,2015-04-07,240.40,240.40,261.40,236.05,259.35,259.35,253.05,76251,192.95,1635,30128,39.51
AURIONPRO,EQ,2015-04-08,259.35,259.90,270.90,258.15,266.00,267.80,266.37,65558,174.63,1495,26354,40.20
AURIONPRO,EQ,2015-04-09,267.80,269.00,269.00,254.10,257.65,257.60,261.98,49916,130.77,1600,22499,45.07
AURIONPRO,EQ,2015-04-10,257.60,257.60,259.90,247.00,248.10,248.85,253.29,27303,69.16,914,16780,61.46
AURIONPRO,EQ,2015-04-13,248.85,251.80,252.90,237.95,240.05,241.50,248.27,37756,93.74,928,16406,43.45
AURIONPRO,EQ,2015-04-15,241.50,244.30,244.30,234.00,235.05,236.10,239.34,23617,56.53,667,12119,51.31
AURIONPRO,EQ,2015-04-16,236.10,237.05,240.75,220.15,223.00,223.30,229.16,26767,61.34,1357,16606,62.04
AURIONPRO,EQ,2015-04-17,223.30,225.85,225.85,213.55,216.25,215.65,217.60,27792,60.48,985,18297,65.84
AURIONPRO,EQ,2015-04-20,215.65,215.00,218.00,205.05,207.00,207.35,209.80,40986,85.99,925,19498,47.57
AURIONPRO,EQ,2015-04-21,207.35,226.60,228.05,202.00,226.90,226.90,219.67,142145,312.26,2187,35085,24.68
AURIONPRO,EQ,2015-04-22,226.90,227.00,233.00,206.40,215.00,215.20,223.08,59390,132.49,1729,21364,35.97
AURIONPRO,EQ,2015-04-23,215.20,217.00,222.90,215.00,217.60,217.40,220.25,30333,66.81,671,12402,40.89
AURIONPRO,EQ,2015-04-24,217.40,219.50,222.85,207.20,212.10,212.35,217.78,24469,53.29,952,10725,43.83
AURIONPRO,EQ,2015-04-27,212.35,211.00,218.00,201.00,206.85,206.35,206.91,28524,59.02,953,21171,74.22
AURIONPRO,EQ,2015-04-28,206.35,205.00,215.00,197.55,202.00,201.95,204.18,10765,21.98,348,5438,50.52
AURIONPRO,EQ,2015-04-29,201.95,203.50,206.90,203.10,206.00,206.30,206.47,11972,24.72,385,4294,35.87
AURIONPRO,EQ,2015-04-30,206.30,206.10,213.90,206.00,208.00,210.30,211.37,52871,111.75,1181,23281,44.03
AURIONPRO,EQ,2015-05-04,210.30,211.95,214.90,202.75,210.00,208.75,211.32,14307,30.23,644,7005,48.96
