Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAJAJHLDNG,EQ,2014-12-03,1422.25,1426.95,1459.90,1420.00,1426.50,1424.05,1440.07,16544,238.25,1642,11224,67.84
BAJAJHLDNG,EQ,2014-12-04,1424.05,1429.00,1457.95,1420.00,1438.00,1437.95,1438.14,28545,410.52,1182,24355,85.32
BAJAJHLDNG,EQ,2014-12-05,1437.95,1430.35,1460.00,1420.25,1420.25,1429.85,1432.11,36827,527.40,1344,34371,93.33
BAJAJHLDNG,EQ,2014-12-08,1429.85,1432.00,1432.00,1411.10,1429.00,1424.75,1423.36,96085,1367.63,1285,92512,96.28
BAJAJHLDNG,EQ,2014-12-09,1424.75,1424.80,1437.00,1418.10,1420.00,1420.10,1422.69,17823,253.57,1346,14624,82.05
BAJAJHLDNG,EQ,2014-12-10,1420.10,1428.10,1443.00,1409.80,1443.00,1413.30,1417.69,10684,151.47,909,8090,75.72
BAJAJHLDNG,EQ,2014-12-11,1413.30,1422.00,1438.20,1410.00,1435.00,1434.05,1430.00,466376,6669.19,1191,461346,98.92
BAJAJHLDNG,EQ,2014-12-12,1434.05,1436.00,1465.00,1423.00,1440.00,1440.95,1438.76,26886,386.82,908,23272,86.56
BAJAJHLDNG,EQ,2014-12-15,1440.95,1441.00,1441.00,1395.55,1395.55,1406.65,1416.22,7149,101.25,486,5452,76.26
BAJAJHLDNG,EQ,2014-12-16,1406.65,1414.30,1430.00,1361.05,1394.15,1399.40,1392.00,15142,210.78,3585,8891,58.72
BAJAJHLDNG,EQ,2014-12-17,1399.40,1394.90,1399.95,1206.50,1343.00,1349.80,1341.49,13524,181.42,1417,8228,60.84
BAJAJHLDNG,EQ,2014-12-18,1349.80,1350.00,1379.85,1342.30,1360.00,1360.25,1357.77,6144,83.42,473,3975,64.70
BAJAJHLDNG,EQ,2014-12-19,1360.25,1384.00,1391.60,1303.30,1311.85,1320.80,1336.07,21681,289.67,2208,16022,73.90
BAJAJHLDNG,EQ,2014-12-22,1320.80,1325.00,1415.00,1325.00,1402.65,1401.15,1379.16,15839,218.44,1541,7317,46.20
BAJAJHLDNG,EQ,2014-12-23,1401.15,1395.00,1424.75,1351.20,1362.00,1373.35,1419.72,83766,1189.24,1128,74115,88.48
BAJAJHLDNG,EQ,2014-12-24,1373.35,1379.90,1399.90,1367.05,1397.85,1384.60,1382.71,6874,95.05,656,4141,60.24
BAJAJHLDNG,EQ,2014-12-26,1384.60,1390.00,1414.00,1373.00,1378.00,1384.70,1389.66,7803,108.44,1730,2766,35.45
BAJAJHLDNG,EQ,2014-12-29,1384.70,1384.00,1414.00,1384.00,1400.00,1398.90,1400.26,3449,48.29,373,2235,64.80
BAJAJHLDNG,EQ,2014-12-30,1398.90,1397.95,1414.00,1392.00,1395.00,1400.25,1402.43,8880,124.54,1099,5821,65.55
BAJAJHLDNG,EQ,2014-12-31,1400.25,1400.00,1422.70,1400.00,1400.05,1403.85,1411.48,9425,133.03,718,6945,73.69
BAJAJHLDNG,EQ,2015-01-01,1403.85,1400.05,1422.00,1400.00,1400.00,1407.10,1411.32,4619,65.19,312,3472,75.17
BAJAJHLDNG,EQ,2015-01-02,1407.10,1407.00,1450.00,1407.00,1434.00,1436.35,1434.52,16347,234.50,788,12633,77.28
BAJAJHLDNG,EQ,2015-01-05,1436.35,1435.00,1471.00,1427.05,1460.00,1457.35,1460.13,10385,151.63,551,8115,78.14
BAJAJHLDNG,EQ,2015-01-06,1457.35,1448.00,1450.00,1425.00,1434.70,1430.90,1432.98,10257,146.98,1121,8088,78.85
BAJAJHLDNG,EQ,2015-01-07,1430.90,1431.05,1450.00,1416.00,1445.10,1428.65,1431.57,15356,219.83,1653,8185,53.30
