Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BATAINDIA,EQ,2014-12-03,1273.05,1260.30,1319.00,1260.30,1310.00,1311.30,1303.47,220565,2874.99,8489,105291,47.74
BATAINDIA,EQ,2014-12-04,1311.30,1321.90,1336.00,1299.85,1336.00,1329.85,1318.52,214949,2834.14,14201,109678,51.03
BATAINDIA,EQ,2014-12-05,1329.85,1335.05,1344.90,1319.95,1330.00,1329.90,1330.60,160648,2137.59,8520,84304,52.48
BATAINDIA,EQ,2014-12-08,1329.90,1335.00,1340.05,1301.40,1303.60,1308.25,1323.24,121454,1607.13,6762,66572,54.81
BATAINDIA,EQ,2014-12-09,1308.25,1309.40,1309.70,1268.60,1280.00,1279.75,1297.50,224554,2913.58,6912,167442,74.57
BATAINDIA,EQ,2014-12-10,1279.75,1280.00,1289.70,1270.10,1281.30,1282.40,1279.27,91563,1171.34,7392,40261,43.97
BATAINDIA,EQ,2014-12-11,1282.40,1289.40,1327.95,1278.00,1306.10,1312.45,1307.66,148465,1941.42,10921,60094,40.48
BATAINDIA,EQ,2014-12-12,1312.45,1312.50,1325.90,1201.00,1280.00,1278.40,1299.57,174733,2270.77,12359,77666,44.45
BATAINDIA,EQ,2014-12-15,1278.40,1271.60,1299.00,1265.75,1285.00,1290.35,1289.83,57578,742.66,4835,12614,21.91
BATAINDIA,EQ,2014-12-16,1290.35,1280.00,1304.90,1252.55,1252.55,1269.55,1281.06,310863,3982.35,9241,209185,67.29
BATAINDIA,EQ,2014-12-17,1269.55,1269.00,1274.30,1243.45,1260.00,1261.00,1258.90,162802,2049.52,8723,95804,58.85
BATAINDIA,EQ,2014-12-18,1261.00,1270.00,1288.50,1250.00,1277.00,1275.30,1270.65,279609,3552.84,9966,150461,53.81
BATAINDIA,EQ,2014-12-19,1275.30,1280.00,1307.00,1265.00,1274.90,1274.15,1290.75,177540,2291.59,5831,84160,47.40
BATAINDIA,EQ,2014-12-22,1274.15,1278.00,1293.95,1276.15,1288.25,1282.25,1286.38,85265,1096.84,6829,45407,53.25
BATAINDIA,EQ,2014-12-23,1282.25,1281.05,1312.40,1281.05,1295.65,1298.35,1300.30,140672,1829.15,7844,28144,20.01
BATAINDIA,EQ,2014-12-24,1298.35,1290.05,1299.00,1266.25,1280.00,1275.00,1279.15,248420,3177.66,6183,149944,60.36
BATAINDIA,EQ,2014-12-26,1275.00,1270.00,1288.45,1270.00,1278.45,1279.45,1279.26,107027,1369.16,5367,62346,58.25
BATAINDIA,EQ,2014-12-29,1279.45,1274.00,1310.45,1274.00,1306.00,1306.50,1297.16,157368,2041.31,9975,80859,51.38
BATAINDIA,EQ,2014-12-30,1306.50,1307.95,1315.55,1293.00,1295.75,1302.50,1304.26,90371,1178.68,5737,21259,23.52
BATAINDIA,EQ,2014-12-31,1302.50,1303.95,1319.95,1298.15,1303.40,1306.85,1309.97,103742,1358.99,5073,46059,44.40
BATAINDIA,EQ,2015-01-01,1306.85,1305.50,1313.40,1290.00,1298.00,1297.85,1300.37,47208,613.88,2681,13144,27.84
BATAINDIA,EQ,2015-01-02,1297.85,1300.00,1335.00,1300.00,1324.00,1320.30,1323.88,198905,2633.27,8778,79227,39.83
BATAINDIA,EQ,2015-01-05,1320.30,1329.00,1352.50,1319.45,1327.00,1324.30,1334.63,212983,2842.54,11504,81149,38.10
BATAINDIA,EQ,2015-01-06,1324.30,1316.00,1322.70,1265.30,1270.30,1275.50,1296.33,138611,1796.85,7351,58485,42.19
BATAINDIA,EQ,2015-01-07,1275.50,1280.00,1299.00,1260.50,1279.85,1280.90,1281.15,169666,2173.67,9559,94281,55.57
BATAINDIA,EQ,2015-01-08,1280.90,1298.25,1327.95,1288.05,1325.00,1323.05,1312.91,186996,2455.10,10582,76721,41.03
BATAINDIA,EQ,2015-01-09,1323.05,1333.90,1370.55,1310.10,1366.05,1356.90,1340.85,286571,3842.49,13377,119785,41.80
BATAINDIA,EQ,2015-01-12,1356.90,1366.10,1385.00,1366.10,1366.60,1374.25,1376.13,354163,4873.75,18364,197052,55.64
BATAINDIA,EQ,2015-01-13,1374.25,1380.00,1405.05,1359.80,1399.00,1394.40,1380.20,193706,2673.52,9117,72935,37.65
BATAINDIA,EQ,2015-01-14,1394.40,1396.50,1431.00,1373.00,1424.50,1413.55,1396.66,164433,2296.56,9796,65978,40.12
BATAINDIA,EQ,2015-01-15,1413.55,1425.10,1429.80,1401.00,1409.30,1420.75,1419.68,234276,3325.96,16158,126726,54.09
BATAINDIA,EQ,2015-01-16,1420.75,1415.95,1447.00,1406.20,1425.30,1436.25,1434.27,214996,3083.63,11059,127143,59.14
BATAINDIA,EQ,2015-01-19,1436.25,1450.00,1457.95,1428.75,1448.00,1447.55,1445.64,256110,3702.43,10186,154658,60.39
BATAINDIA,EQ,2015-01-20,1447.55,1451.00,1454.85,1425.00,1432.00,1433.80,1439.82,164054,2362.09,11030,88469,53.93
BATAINDIA,EQ,2015-01-21,1433.80,1438.80,1492.90,1423.30,1485.95,1480.55,1457.52,202104,2945.72,12097,89379,44.22
BATAINDIA,EQ,2015-01-22,1480.55,1482.00,1496.00,1462.00,1463.00,1468.30,1475.78,191530,2826.57,10463,96961,50.62
BATAINDIA,EQ,2015-01-23,1468.30,1477.00,1479.90,1445.10,1454.70,1450.45,1454.64,145918,2122.58,11778,61179,41.93
BATAINDIA,EQ,2015-01-27,1450.45,1450.60,1462.00,1430.10,1441.90,1440.10,1444.53,156526,2261.06,7582,72059,46.04
BATAINDIA,EQ,2015-01-28,1440.10,1440.00,1472.00,1431.90,1445.05,1442.45,1450.21,194732,2824.02,14216,85234,43.77
BATAINDIA,EQ,2015-01-29,1442.45,1440.00,1472.10,1436.65,1462.85,1460.95,1451.45,152235,2209.62,16505,71997,47.29
BATAINDIA,EQ,2015-01-30,1460.95,1465.00,1470.00,1415.25,1421.00,1423.05,1434.82,89534,1284.65,7159,22871,25.54
BATAINDIA,EQ,2015-02-02,1423.05,1423.00,1423.00,1380.10,1385.50,1388.15,1398.87,139512,1951.59,11378,62496,44.80
BATAINDIA,EQ,2015-02-03,1388.15,1393.00,1403.30,1365.00,1373.00,1374.45,1381.34,124999,1726.66,13424,51004,40.80
BATAINDIA,EQ,2015-02-04,1374.45,1379.00,1397.90,1346.45,1349.05,1362.20,1381.53,90370,1248.49,9024,23870,26.41
BATAINDIA,EQ,2015-02-05,1362.20,1362.00,1389.70,1345.40,1366.00,1360.70,1371.80,131513,1804.10,10640,37107,28.22
BATAINDIA,EQ,2015-02-06,1360.70,1369.85,1371.00,1338.40,1366.70,1361.90,1355.90,174511,2366.19,10726,83256,47.71
BATAINDIA,EQ,2015-02-09,1361.90,1362.00,1364.15,1318.00,1328.45,1330.40,1337.08,109015,1457.62,6490,49696,45.59
BATAINDIA,EQ,2015-02-10,1330.40,1320.25,1343.00,1297.15,1323.30,1323.25,1318.79,126219,1664.57,7243,37665,29.84
BATAINDIA,EQ,2015-02-11,1323.25,1329.90,1330.00,1280.10,1290.00,1290.85,1300.66,202097,2628.60,14344,50199,24.84
BATAINDIA,EQ,2015-02-12,1290.85,1253.00,1293.50,1238.00,1252.90,1251.40,1265.21,693344,8772.28,41463,378274,54.56
BATAINDIA,EQ,2015-02-13,1251.40,1261.00,1272.00,1250.15,1255.10,1256.60,1263.20,225754,2851.72,24440,125170,55.45
BATAINDIA,EQ,2015-02-16,1256.60,1263.80,1303.50,1260.00,1283.00,1286.35,1286.76,259727,3342.06,17582,109584,42.19
BATAINDIA,EQ,2015-02-18,1286.35,1294.00,1314.65,1276.10,1287.50,1285.15,1299.82,213411,2773.96,15464,63068,29.55
BATAINDIA,EQ,2015-02-19,1285.15,1299.50,1300.00,1270.25,1285.00,1280.10,1281.87,129259,1656.93,7935,62005,47.97
BATAINDIA,EQ,2015-02-20,1280.10,1310.00,1316.70,1295.00,1300.00,1300.10,1301.95,213508,2779.77,15068,99391,46.55
BATAINDIA,EQ,2015-02-23,1300.10,1305.00,1310.00,1265.50,1270.00,1273.15,1292.12,144112,1862.10,9528,75512,52.40
BATAINDIA,EQ,2015-02-24,1273.15,1275.00,1277.00,1241.90,1245.00,1245.90,1250.35,212437,2656.22,14868,140733,66.25
BATAINDIA,EQ,2015-02-25,1245.90,1247.00,1265.90,1240.00,1241.00,1242.95,1250.22,168139,2102.11,10933,77573,46.14
BATAINDIA,EQ,2015-02-26,1242.95,1247.00,1247.00,1200.25,1207.00,1205.35,1211.51,321120,3890.39,23130,144518,45.00
BATAINDIA,EQ,2015-02-27,1205.35,1209.00,1239.00,1196.00,1227.00,1225.15,1216.95,340207,4140.15,23694,163014,47.92
BATAINDIA,EQ,2015-02-28,1225.15,1230.50,1295.00,1222.20,1286.00,1282.35,1269.15,467675,5935.49,18147,109964,23.51
BATAINDIA,EQ,2015-03-02,1282.35,1296.75,1296.75,1258.10,1276.00,1275.60,1272.21,223662,2845.45,14358,109061,48.76
BATAINDIA,EQ,2015-03-03,1275.60,1279.95,1285.00,1259.00,1259.05,1262.00,1269.95,218700,2777.38,18351,130646,59.74
BATAINDIA,EQ,2015-03-04,1262.00,1268.00,1275.00,1226.65,1239.00,1233.15,1251.24,133544,1670.95,8730,61068,45.73
BATAINDIA,EQ,2015-03-05,1233.15,1237.00,1245.40,1225.00,1235.00,1234.90,1235.39,175851,2172.45,11554,96944,55.13
BATAINDIA,EQ,2015-03-09,1234.90,1231.05,1258.00,1225.00,1227.35,1229.75,1240.92,140143,1739.07,11116,60315,43.04
BATAINDIA,EQ,2015-03-10,1229.75,1231.40,1244.40,1215.00,1221.55,1224.65,1232.17,99939,1231.42,7235,44547,44.57
BATAINDIA,EQ,2015-03-11,1224.65,1227.10,1235.90,1207.45,1219.25,1222.35,1222.16,98847,1208.07,9117,50438,51.03
BATAINDIA,EQ,2015-03-12,1222.35,1221.00,1233.85,1213.10,1214.05,1223.65,1224.85,74362,910.82,4759,31450,42.29
BATAINDIA,EQ,2015-03-13,1223.65,1225.00,1225.50,1149.45,1157.80,1157.45,1186.21,387554,4597.21,20082,215970,55.73
BATAINDIA,EQ,2015-03-16,1157.45,1168.00,1181.50,1152.10,1172.65,1175.55,1169.32,149060,1742.98,14795,58357,39.15
BATAINDIA,EQ,2015-03-17,1175.55,1182.10,1198.90,1165.30,1175.10,1182.40,1185.92,315423,3740.68,21526,188446,59.74
BATAINDIA,EQ,2015-03-18,1182.40,1189.00,1204.00,1181.90,1181.90,1189.50,1193.16,225193,2686.91,17715,98197,43.61
BATAINDIA,EQ,2015-03-19,1189.50,1196.00,1197.00,1162.45,1168.00,1166.95,1180.84,154932,1829.49,10913,80948,52.25
BATAINDIA,EQ,2015-03-20,1166.95,1168.00,1185.75,1143.25,1167.00,1168.60,1160.36,205060,2379.44,9149,84048,40.99
BATAINDIA,EQ,2015-03-23,1168.60,1173.00,1178.30,1148.00,1159.80,1159.20,1161.75,131414,1526.70,7697,73176,55.68
BATAINDIA,EQ,2015-03-24,1159.20,1159.00,1179.30,1146.90,1157.65,1163.60,1168.06,204252,2385.79,17882,125183,61.29
BATAINDIA,EQ,2015-03-25,1163.60,1169.95,1171.85,1147.90,1149.65,1154.15,1162.52,165583,1924.94,12143,91797,55.44
BATAINDIA,EQ,2015-03-26,1154.15,1155.00,1155.00,1110.00,1121.00,1119.85,1127.52,361012,4070.48,15614,221950,61.48
BATAINDIA,EQ,2015-03-27,1119.85,1120.30,1130.00,1068.00,1081.90,1079.50,1080.69,583075,6301.26,52058,365866,62.75
BATAINDIA,EQ,2015-03-30,1079.50,1092.55,1095.00,1062.40,1076.45,1076.95,1074.09,468843,5035.77,26479,331306,70.66
BATAINDIA,EQ,2015-03-31,1076.95,1091.75,1114.55,1085.95,1090.00,1090.85,1099.15,408213,4486.85,13317,218844,53.61
BATAINDIA,EQ,2015-04-01,1090.85,1095.00,1104.90,1085.00,1092.25,1094.70,1095.25,137166,1502.30,7744,53495,39.00
BATAINDIA,EQ,2015-04-06,1094.70,1094.00,1137.90,1094.00,1130.00,1132.30,1122.13,266249,2987.67,17644,121790,45.74
BATAINDIA,EQ,2015-04-07,1132.30,1145.00,1146.65,1119.00,1133.00,1132.25,1129.62,154914,1749.94,8713,66603,42.99
BATAINDIA,EQ,2015-04-08,1132.25,1139.00,1140.00,1120.05,1129.00,1128.75,1128.55,117330,1324.13,7089,48838,41.62
BATAINDIA,EQ,2015-04-09,1128.75,1139.00,1165.90,1128.00,1158.00,1160.30,1154.27,301822,3483.83,10425,152914,50.66
BATAINDIA,EQ,2015-04-10,1160.30,1162.00,1166.00,1138.10,1157.00,1157.95,1153.44,198236,2286.54,7146,104884,52.91
BATAINDIA,EQ,2015-04-13,1157.95,1161.00,1178.40,1155.05,1157.10,1159.90,1168.59,128446,1501.01,5856,58874,45.84
BATAINDIA,EQ,2015-04-15,1159.90,1169.25,1172.55,1141.00,1141.00,1147.60,1156.36,139700,1615.44,7901,45095,32.28
BATAINDIA,EQ,2015-04-16,1147.60,1147.00,1154.90,1126.00,1134.00,1135.60,1140.81,167300,1908.57,6651,92088,55.04
BATAINDIA,EQ,2015-04-17,1135.60,1135.10,1140.05,1095.00,1098.90,1099.70,1114.00,172064,1916.80,8635,91789,53.35
BATAINDIA,EQ,2015-04-20,1099.70,1104.95,1104.95,1050.00,1062.00,1057.65,1064.08,294500,3133.70,26468,164855,55.98
BATAINDIA,EQ,2015-04-21,1057.65,1058.00,1066.00,1005.00,1009.80,1009.80,1022.46,560631,5732.22,29625,351965,62.78
