Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAYERCROP,EQ,2014-12-03,2829.10,2805.00,2877.30,2805.00,2860.00,2859.20,2859.22,10139,289.90,756,8669,85.50
BAYERCROP,EQ,2014-12-04,2859.20,2895.00,2980.00,2864.40,2966.00,2957.40,2940.38,12937,380.40,2116,5915,45.72
BAYERCROP,EQ,2014-12-05,2957.40,2966.00,3231.25,2956.05,3108.00,3107.45,3141.62,62693,1969.58,6981,23375,37.28
BAYERCROP,EQ,2014-12-08,3107.45,3138.00,3155.00,3002.20,3010.00,3015.40,3088.28,15457,477.36,2176,7319,47.35
BAYERCROP,EQ,2014-12-09,3015.40,3039.00,3039.00,2970.00,2999.95,3000.70,2998.98,6458,193.67,1178,1971,30.52
BAYERCROP,EQ,2014-12-10,3000.70,2973.00,3024.00,2951.20,2970.00,2971.10,2986.56,3125,93.33,683,1366,43.71
BAYERCROP,EQ,2014-12-11,2971.10,2952.05,2995.40,2952.05,2988.00,2979.45,2974.30,3505,104.25,502,2226,63.51
BAYERCROP,EQ,2014-12-12,2979.45,3008.85,3034.75,2861.00,2870.00,2888.40,2931.79,7280,213.43,1211,4493,61.72
BAYERCROP,EQ,2014-12-15,2888.40,2871.05,2884.35,2790.00,2795.00,2798.90,2803.71,25571,716.94,1986,18835,73.66
BAYERCROP,EQ,2014-12-16,2798.90,2814.95,2820.05,2730.00,2750.00,2746.15,2793.31,32753,914.89,1575,28028,85.57
BAYERCROP,EQ,2014-12-17,2746.15,2722.20,2779.90,2712.25,2750.00,2735.75,2748.31,19909,547.16,1663,12181,61.18
BAYERCROP,EQ,2014-12-18,2735.75,2742.00,2820.00,2735.00,2812.00,2800.45,2795.85,4375,122.32,901,2549,58.26
BAYERCROP,EQ,2014-12-19,2800.45,2828.00,2959.85,2828.00,2885.00,2894.60,2878.66,6199,178.45,1113,3469,55.96
BAYERCROP,EQ,2014-12-22,2894.60,2877.00,2945.00,2877.00,2900.00,2899.00,2911.67,16372,476.70,1115,13100,80.01
BAYERCROP,EQ,2014-12-23,2899.00,2872.00,2934.85,2868.00,2925.00,2916.25,2913.62,4139,120.59,643,2815,68.01
BAYERCROP,EQ,2014-12-24,2916.25,2934.00,2945.00,2890.00,2920.00,2921.25,2919.97,9995,291.85,1461,7122,71.26
BAYERCROP,EQ,2014-12-26,2921.25,2903.00,3120.00,2900.00,3100.00,3037.20,3007.99,16405,493.46,2666,9966,60.75
BAYERCROP,EQ,2014-12-29,3037.20,3136.65,3200.00,3033.00,3148.00,3105.10,3116.50,28083,875.21,3865,9352,33.30
BAYERCROP,EQ,2014-12-30,3105.10,3086.00,3169.00,3076.00,3140.00,3147.05,3132.12,7518,235.47,1019,3179,42.29
BAYERCROP,EQ,2014-12-31,3147.05,3128.20,3197.00,3128.00,3178.00,3182.70,3173.41,8110,257.36,1330,3950,48.71
BAYERCROP,EQ,2015-01-01,3182.70,3155.15,3257.95,3155.15,3205.10,3218.25,3221.65,6977,224.77,1358,2264,32.45
BAYERCROP,EQ,2015-01-02,3218.25,3229.00,3525.00,3224.95,3486.20,3490.00,3469.30,112909,3917.15,8748,68281,60.47
BAYERCROP,EQ,2015-01-05,3490.00,3519.00,3539.90,3300.00,3340.00,3341.85,3427.34,22989,787.91,3571,9124,39.69
BAYERCROP,EQ,2015-01-06,3341.85,3350.00,3350.00,3260.00,3270.05,3279.95,3289.59,8759,288.14,1333,3500,39.96
