Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BEARDSELL,EQ,2014-12-05,57.90,57.90,57.90,57.90,57.90,57.90,57.90,4,0.00,2,4,100.00
BEARDSELL,EQ,2014-12-08,57.90,57.90,57.90,57.90,57.90,57.90,57.90,20,0.01,1,20,100.00
BEARDSELL,EQ,2014-12-10,57.90,59.00,60.75,59.00,60.75,60.75,59.88,2,0.00,2,1,50.00
BEARDSELL,EQ,2014-12-15,60.75,60.90,60.90,60.90,60.90,60.90,60.90,1,0.00,1,1,100.00
BEARDSELL,EQ,2014-12-18,60.90,60.90,60.90,60.90,60.90,60.90,60.90,1,0.00,1,1,100.00
BEARDSELL,EQ,2014-12-19,60.90,63.80,63.80,63.80,63.80,63.80,63.80,1,0.00,1,1,100.00
BEARDSELL,EQ,2014-12-22,63.80,63.60,63.60,63.60,63.60,63.60,63.60,25,0.02,1,25,100.00
BEARDSELL,EQ,2014-12-31,63.60,61.90,61.90,61.90,61.90,61.90,61.90,11,0.01,3,11,100.00
BEARDSELL,EQ,2015-01-01,61.90,60.50,60.50,58.90,60.00,60.00,59.96,119,0.07,5,119,100.00
BEARDSELL,EQ,2015-01-02,60.00,59.90,59.90,59.90,59.90,59.90,59.90,3,0.00,1,3,100.00
BEARDSELL,EQ,2015-01-05,59.90,57.00,62.80,57.00,62.80,62.80,60.56,555,0.34,11,535,96.40
BEARDSELL,EQ,2015-01-06,62.80,59.75,65.00,59.75,65.00,65.00,59.80,350,0.21,4,350,100.00
BEARDSELL,EQ,2015-01-07,65.00,68.25,68.25,68.25,68.25,68.25,68.25,1,0.00,1,1,100.00
BEARDSELL,EQ,2015-01-08,68.25,64.85,66.00,64.85,64.85,64.85,64.97,245,0.16,7,205,83.67
BEARDSELL,EQ,2015-01-09,64.85,65.00,65.00,62.00,62.00,62.00,63.00,40,0.03,4,40,100.00
BEARDSELL,EQ,2015-01-12,62.00,62.00,62.00,58.90,58.90,58.90,60.53,191,0.12,6,100,52.36
BEARDSELL,BE,2015-01-14,58.90,61.75,61.75,61.75,61.75,61.75,61.75,10,0.01,1,-,-
BEARDSELL,BE,2015-01-21,61.75,61.75,64.75,61.75,64.75,64.75,64.40,85,0.05,2,-,-
BEARDSELL,BE,2015-02-02,64.75,62.00,62.00,62.00,62.00,62.00,62.00,5,0.00,1,-,-
BEARDSELL,BE,2015-02-05,62.00,60.00,60.00,60.00,60.00,60.00,60.00,200,0.12,1,-,-
BEARDSELL,BE,2015-02-06,60.00,57.00,57.00,57.00,57.00,57.00,57.00,200,0.11,1,-,-
BEARDSELL,BE,2015-02-09,57.00,57.00,59.85,57.00,59.85,59.85,58.90,300,0.18,2,-,-
BEARDSELL,EQ,2015-02-12,59.85,60.00,60.00,60.00,60.00,60.00,60.00,1,0.00,1,1,100.00
BEARDSELL,EQ,2015-02-18,60.00,60.00,60.00,60.00,60.00,60.00,60.00,59,0.04,1,59,100.00
BEARDSELL,EQ,2015-02-19,60.00,60.00,60.00,60.00,60.00,60.00,60.00,5,0.00,1,5,100.00
BEARDSELL,EQ,2015-02-24,60.00,57.00,57.00,57.00,57.00,57.00,57.00,2,0.00,2,2,100.00
BEARDSELL,EQ,2015-02-25,57.00,59.00,59.00,59.00,59.00,59.00,59.00,100,0.06,1,100,100.00
BEARDSELL,EQ,2015-02-26,59.00,60.00,60.00,60.00,60.00,60.00,60.00,1,0.00,1,1,100.00
BEARDSELL,EQ,2015-03-02,60.00,57.00,57.00,57.00,57.00,57.00,57.00,15,0.01,2,15,100.00
BEARDSELL,EQ,2015-03-04,57.00,58.00,58.00,55.00,55.00,55.00,57.45,69,0.04,4,69,100.00
BEARDSELL,EQ,2015-03-05,55.00,52.50,52.50,52.25,52.25,52.25,52.40,391,0.20,8,391,100.00
BEARDSELL,EQ,2015-03-09,52.25,49.70,49.75,49.70,49.75,49.75,49.73,120,0.06,3,120,100.00
BEARDSELL,EQ,2015-03-10,49.75,49.40,49.75,49.40,49.40,49.40,49.55,802,0.40,10,802,100.00
BEARDSELL,EQ,2015-03-11,49.40,49.40,49.40,49.40,49.40,49.40,49.40,40,0.02,1,40,100.00
BEARDSELL,EQ,2015-03-13,49.40,51.85,51.85,51.85,51.85,51.85,51.85,20,0.01,2,20,100.00
BEARDSELL,EQ,2015-03-16,51.85,52.00,52.00,50.00,50.00,50.00,50.24,132,0.07,6,131,99.24
BEARDSELL,EQ,2015-03-17,50.00,50.00,51.00,49.40,49.40,49.40,50.54,79,0.04,4,79,100.00
BEARDSELL,EQ,2015-03-18,49.40,49.40,49.40,46.95,46.95,46.95,47.27,38,0.02,10,38,100.00
BEARDSELL,EQ,2015-03-19,46.95,47.95,48.95,47.95,48.95,48.95,48.45,2,0.00,2,2,100.00
BEARDSELL,EQ,2015-03-20,48.95,48.95,48.95,48.95,48.95,48.95,48.95,32,0.02,4,32,100.00
BEARDSELL,EQ,2015-04-13,48.95,48.00,48.00,47.00,47.00,47.00,47.20,50,0.02,2,50,100.00
BEARDSELL,EQ,2015-04-15,47.00,46.50,47.00,45.00,45.00,45.25,45.22,148,0.07,10,146,98.65
BEARDSELL,EQ,2015-04-23,45.25,47.50,47.50,47.50,47.50,47.50,47.50,20,0.01,1,20,100.00
BEARDSELL,EQ,2015-04-27,47.50,49.85,49.85,49.85,49.85,49.85,49.85,100,0.05,2,100,100.00
BEARDSELL,EQ,2015-04-28,49.85,52.30,52.30,52.30,52.30,52.30,52.30,5,0.00,1,5,100.00
BEARDSELL,EQ,2015-05-06,52.30,54.80,54.80,54.80,54.80,54.80,54.80,1,0.00,1,1,100.00
BEARDSELL,EQ,2015-05-12,54.80,53.00,54.80,53.00,54.80,54.80,54.76,50,0.03,2,50,100.00
BEARDSELL,EQ,2015-05-14,54.80,57.00,57.50,57.00,57.50,57.50,57.21,100,0.06,2,100,100.00
BEARDSELL,EQ,2015-05-15,57.50,57.00,57.00,57.00,57.00,57.00,57.00,1,0.00,1,1,100.00
BEARDSELL,EQ,2015-05-18,57.00,56.50,56.50,56.50,56.50,56.50,56.50,5,0.00,1,5,100.00
BEARDSELL,EQ,2015-05-19,56.50,56.00,56.20,56.00,56.20,56.20,56.03,6,0.00,6,6,100.00
BEARDSELL,EQ,2015-05-20,56.20,56.00,56.00,56.00,56.00,56.00,56.00,1,0.00,1,1,100.00
BEARDSELL,EQ,2015-05-21,56.00,57.00,58.50,57.00,57.00,57.00,57.10,15,0.01,5,15,100.00
BEARDSELL,EQ,2015-05-26,57.00,56.50,56.50,56.50,56.50,56.50,56.50,1,0.00,1,1,100.00
BEARDSELL,EQ,2015-05-28,56.50,56.30,56.30,56.30,56.30,56.30,56.30,6,0.00,2,6,100.00
BEARDSELL,EQ,2015-05-29,56.30,54.00,54.00,54.00,54.00,54.00,54.00,1,0.00,1,1,100.00
BEARDSELL,EQ,2015-06-02,54.00,56.50,56.50,56.50,56.50,56.50,56.50,8,0.00,4,8,100.00
BEARDSELL,EQ,2015-06-03,56.50,58.50,58.50,57.90,57.90,57.90,58.17,11,0.01,2,11,100.00
BEARDSELL,EQ,2015-06-04,57.90,57.50,57.50,57.00,57.00,57.00,57.36,11,0.01,6,11,100.00
BEARDSELL,EQ,2015-06-08,57.00,59.00,59.00,59.00,59.00,59.00,59.00,3,0.00,3,3,100.00
BEARDSELL,EQ,2015-06-09,59.00,61.75,61.75,61.75,61.75,61.75,61.75,4,0.00,2,4,100.00
BEARDSELL,EQ,2015-06-11,61.75,60.50,60.50,60.50,60.50,60.50,60.50,1,0.00,1,1,100.00
BEARDSELL,EQ,2015-06-12,60.50,60.00,60.00,60.00,60.00,60.00,60.00,2,0.00,1,2,100.00
BEARDSELL,EQ,2015-06-15,60.00,60.00,61.50,60.00,61.50,61.50,60.84,500,0.30,4,500,100.00
BEARDSELL,EQ,2015-06-17,61.50,61.50,61.50,61.50,61.50,61.50,61.50,2,0.00,2,2,100.00
BEARDSELL,EQ,2015-06-18,61.50,59.50,59.50,59.50,59.50,59.50,59.50,2,0.00,2,2,100.00
BEARDSELL,EQ,2015-06-19,59.50,56.55,59.50,56.55,59.50,59.50,59.08,7,0.00,3,6,85.71
BEARDSELL,EQ,2015-06-24,59.50,59.50,59.50,59.50,59.50,59.50,59.50,3,0.00,3,3,100.00
BEARDSELL,EQ,2015-06-25,59.50,59.50,59.50,59.50,59.50,59.50,59.50,2,0.00,2,2,100.00
BEARDSELL,EQ,2015-06-30,59.50,56.55,57.00,56.55,57.00,57.00,56.99,39,0.02,12,39,100.00
BEARDSELL,EQ,2015-07-01,57.00,55.00,55.00,55.00,55.00,55.00,55.00,1,0.00,1,1,100.00
BEARDSELL,EQ,2015-07-06,55.00,54.00,54.00,54.00,54.00,54.00,54.00,2,0.00,2,2,100.00
BEARDSELL,EQ,2015-07-07,54.00,51.30,51.30,51.30,51.30,51.30,51.30,20,0.01,1,20,100.00
BEARDSELL,EQ,2015-07-08,51.30,50.00,50.00,50.00,50.00,50.00,50.00,25,0.01,18,25,100.00
BEARDSELL,EQ,2015-07-10,50.00,49.00,49.00,49.00,49.00,49.00,49.00,3,0.00,3,3,100.00
BEARDSELL,EQ,2015-07-13,49.00,48.00,48.00,46.55,46.55,46.55,47.24,15,0.01,6,15,100.00
BEARDSELL,EQ,2015-07-14,46.55,46.00,46.00,46.00,46.00,46.00,46.00,18,0.01,5,18,100.00
BEARDSELL,EQ,2015-07-15,46.00,46.00,46.00,45.00,45.00,45.00,45.00,267,0.12,5,267,100.00
BEARDSELL,EQ,2015-07-16,45.00,45.00,45.00,45.00,45.00,45.00,45.00,52,0.02,2,52,100.00
BEARDSELL,EQ,2015-07-17,45.00,45.00,47.25,45.00,47.25,47.25,45.05,275,0.12,7,275,100.00
BEARDSELL,EQ,2015-07-20,47.25,49.60,49.60,49.60,49.60,49.60,49.60,10,0.00,1,10,100.00
BEARDSELL,EQ,2015-07-21,49.60,49.55,49.60,49.55,49.60,49.60,49.56,165,0.08,7,165,100.00
