Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BEL,EQ,2014-12-03,2514.95,2558.00,2688.00,2551.05,2634.00,2633.25,2645.75,393330,10406.54,19949,131906,33.54
BEL,EQ,2014-12-04,2633.25,2648.00,2985.00,2627.40,2889.00,2929.90,2857.73,950580,27164.99,56538,211533,22.25
BEL,EQ,2014-12-05,2929.90,2920.00,3140.75,2850.00,2855.00,2894.35,3022.58,661444,19992.67,40843,144175,21.80
BEL,EQ,2014-12-08,2894.35,2870.00,2958.00,2792.00,2803.05,2814.05,2868.50,310944,8919.43,24936,56143,18.06
BEL,EQ,2014-12-09,2814.05,2830.00,2975.00,2808.05,2854.40,2844.80,2890.64,308639,8921.66,23824,53969,17.49
BEL,EQ,2014-12-10,2844.80,2868.95,2934.00,2783.10,2825.00,2812.15,2863.49,196198,5618.11,15314,54293,27.67
BEL,EQ,2014-12-11,2812.15,2835.00,2920.00,2760.00,2913.00,2891.90,2851.14,257851,7351.68,17556,51717,20.06
BEL,EQ,2014-12-12,2891.90,2939.70,2986.00,2760.05,2803.00,2798.45,2870.50,247739,7111.34,18573,73430,29.64
BEL,EQ,2014-12-15,2798.45,2784.00,2828.80,2702.05,2728.00,2716.40,2754.97,146662,4040.50,10770,55452,37.81
BEL,EQ,2014-12-16,2716.40,2690.00,2712.40,2591.30,2655.00,2652.50,2649.84,198649,5263.88,12564,97971,49.32
BEL,EQ,2014-12-17,2652.50,2633.50,2715.00,2612.25,2653.90,2651.65,2664.39,143546,3824.62,11139,47952,33.41
BEL,EQ,2014-12-18,2651.65,2702.00,2802.50,2697.90,2786.10,2785.10,2772.87,213804,5928.51,14025,90696,42.42
BEL,EQ,2014-12-19,2785.10,2836.40,2869.70,2778.00,2805.00,2798.10,2825.47,108465,3064.64,8531,34097,31.44
BEL,EQ,2014-12-22,2798.10,2824.00,2829.10,2737.00,2750.00,2768.50,2780.87,78516,2183.43,6368,33427,42.57
BEL,EQ,2014-12-23,2768.50,2752.00,2774.00,2710.35,2735.00,2736.50,2747.28,56555,1553.73,4083,19111,33.79
BEL,EQ,2014-12-24,2736.50,2719.00,2760.00,2690.00,2725.00,2726.90,2727.68,65569,1788.52,5589,19587,29.87
BEL,EQ,2014-12-26,2726.90,2727.25,2757.00,2720.00,2725.00,2726.75,2731.73,51099,1395.89,3292,18635,36.47
BEL,EQ,2014-12-29,2726.75,2750.00,2788.00,2725.00,2729.90,2730.70,2747.27,84352,2317.38,6419,29307,34.74
BEL,EQ,2014-12-30,2730.70,2740.00,2867.00,2737.05,2805.00,2808.75,2810.42,219229,6161.25,15788,48001,21.90
BEL,EQ,2014-12-31,2808.75,2808.00,2999.00,2808.00,2950.00,2947.55,2935.03,403917,11855.08,34425,91637,22.69
BEL,EQ,2015-01-01,2947.55,2950.00,3033.00,2613.00,2886.80,2939.35,2978.33,167194,4979.58,11155,40384,24.15
BEL,EQ,2015-01-02,2939.35,2926.05,2968.00,2885.00,2928.00,2924.65,2929.94,110066,3224.87,7309,41554,37.75
BEL,EQ,2015-01-05,2924.65,2912.25,2928.00,2861.00,2872.90,2869.40,2890.31,71891,2077.87,5361,27566,38.34
BEL,EQ,2015-01-06,2869.40,2869.00,2914.00,2792.65,2830.00,2831.45,2854.43,143173,4086.78,10227,35005,24.45
BEL,EQ,2015-01-07,2831.45,2841.00,3279.90,2841.00,3168.00,3213.00,3089.96,1080113,33375.02,79527,240371,22.25
BEL,EQ,2015-01-08,3213.00,3208.00,3265.00,3121.10,3146.15,3144.50,3188.10,535550,17073.87,45527,125854,23.50
BEL,EQ,2015-01-09,3144.50,3165.00,3319.00,3151.00,3215.50,3202.20,3231.99,421332,13617.41,31675,62783,14.90
BEL,EQ,2015-01-12,3202.20,3218.90,3269.00,3168.50,3219.00,3215.05,3220.67,303413,9771.92,18182,95248,31.39
BEL,EQ,2015-01-13,3215.05,3232.00,3427.95,3226.00,3325.00,3332.95,3347.60,681982,22830.05,44749,166903,24.47
BEL,EQ,2015-01-14,3332.95,3325.00,3355.00,3266.00,3288.00,3289.05,3303.84,207039,6840.24,16319,57982,28.01
BEL,EQ,2015-01-15,3289.05,3312.00,3338.00,3256.00,3268.00,3270.55,3285.97,111600,3667.15,7820,41338,37.04
BEL,EQ,2015-01-16,3270.55,3297.00,3369.00,3274.50,3296.00,3293.95,3315.16,215845,7155.61,15042,51821,24.01
BEL,EQ,2015-01-19,3293.95,3306.45,3333.00,3240.00,3250.20,3251.00,3283.43,120576,3959.02,9399,46319,38.41
BEL,EQ,2015-01-20,3251.00,3274.00,3281.70,3141.00,3164.00,3163.35,3192.59,179333,5725.38,12506,79062,44.09
BEL,EQ,2015-01-21,3163.35,3176.15,3243.75,3133.00,3157.90,3151.45,3179.18,189277,6017.45,15674,60152,31.78
BEL,EQ,2015-01-22,3151.45,3168.00,3250.00,3149.90,3200.00,3208.45,3196.33,393851,12588.79,19789,228089,57.91
BEL,EQ,2015-01-23,3208.45,3239.00,3280.00,3180.95,3205.00,3216.70,3241.23,284166,9210.47,22200,109758,38.62
