Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BGLOBAL,BE,2014-12-03,3.65,3.55,3.80,3.55,3.70,3.70,3.77,4721,0.18,10,-,-
BGLOBAL,BE,2014-12-04,3.70,3.75,3.85,3.70,3.70,3.70,3.77,47556,1.79,42,-,-
BGLOBAL,BE,2014-12-05,3.70,3.85,3.85,3.85,3.85,3.85,3.85,42600,1.64,28,-,-
BGLOBAL,BE,2014-12-08,3.85,4.00,4.00,4.00,4.00,4.00,4.00,1270,0.05,3,-,-
BGLOBAL,BE,2014-12-09,4.00,4.20,4.20,3.80,3.80,3.85,3.85,9682,0.37,24,-,-
BGLOBAL,BE,2014-12-10,3.85,3.80,4.00,3.70,4.00,3.70,3.73,28220,1.05,30,-,-
BGLOBAL,BE,2014-12-11,3.70,3.70,3.85,3.70,3.70,3.70,3.78,592,0.02,5,-,-
BGLOBAL,BE,2014-12-12,3.70,3.65,3.65,3.65,3.65,3.65,3.65,29,0.00,2,-,-
BGLOBAL,BE,2014-12-15,3.65,3.60,3.60,3.50,3.55,3.55,3.51,3857,0.14,7,-,-
BGLOBAL,BE,2014-12-16,3.55,3.40,3.70,3.40,3.45,3.50,3.55,525,0.02,4,-,-
BGLOBAL,BE,2014-12-17,3.50,3.50,3.50,3.35,3.45,3.45,3.40,10902,0.37,17,-,-
BGLOBAL,BE,2014-12-18,3.45,3.45,3.50,3.40,3.50,3.50,3.45,371,0.01,3,-,-
BGLOBAL,BE,2014-12-19,3.50,3.50,3.55,3.50,3.55,3.55,3.50,730,0.03,7,-,-
BGLOBAL,BE,2014-12-22,3.55,3.50,3.60,3.40,3.40,3.40,3.51,2027,0.07,7,-,-
BGLOBAL,BE,2014-12-23,3.40,3.30,3.55,3.25,3.55,3.55,3.32,6539,0.22,11,-,-
BGLOBAL,BE,2014-12-24,3.55,3.55,3.55,3.50,3.50,3.50,3.52,518,0.02,3,-,-
BGLOBAL,BE,2014-12-29,3.50,3.65,3.65,3.35,3.65,3.40,3.46,20879,0.72,24,-,-
BGLOBAL,BE,2014-12-30,3.40,3.35,3.55,3.25,3.55,3.55,3.42,38810,1.33,35,-,-
BGLOBAL,BE,2014-12-31,3.55,3.40,3.65,3.40,3.55,3.55,3.45,6022,0.21,6,-,-
BGLOBAL,BE,2015-01-01,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3000,0.11,2,-,-
BGLOBAL,BE,2015-01-02,3.55,3.55,3.55,3.40,3.55,3.55,3.47,1330,0.05,10,-,-
BGLOBAL,BE,2015-01-05,3.55,3.55,3.55,3.45,3.50,3.50,3.54,3112,0.11,10,-,-
BGLOBAL,BE,2015-01-07,3.50,3.35,3.45,3.35,3.45,3.45,3.38,150,0.01,2,-,-
BGLOBAL,BE,2015-01-08,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3366,0.12,7,-,-
BGLOBAL,BE,2015-01-09,3.45,3.30,3.55,3.30,3.50,3.50,3.32,8158,0.27,14,-,-
BGLOBAL,BE,2015-01-12,3.50,3.35,3.65,3.35,3.65,3.65,3.45,11900,0.41,14,-,-
BGLOBAL,BE,2015-01-13,3.65,3.50,3.60,3.50,3.50,3.50,3.50,3333,0.12,7,-,-
BGLOBAL,BE,2015-01-14,3.50,3.35,3.55,3.35,3.55,3.55,3.37,1626,0.05,5,-,-
BGLOBAL,BE,2015-01-15,3.55,3.40,3.55,3.40,3.55,3.50,3.47,325,0.01,4,-,-
BGLOBAL,BE,2015-01-16,3.50,3.35,3.35,3.35,3.35,3.35,3.35,1510,0.05,5,-,-
BGLOBAL,BE,2015-01-19,3.35,3.20,3.20,3.20,3.20,3.20,3.20,2700,0.09,6,-,-
BGLOBAL,BE,2015-01-20,3.20,3.05,3.05,3.05,3.05,3.05,3.05,1806,0.06,8,-,-
BGLOBAL,BE,2015-01-21,3.05,3.00,3.20,2.90,3.20,3.20,2.92,14990,0.44,30,-,-
BGLOBAL,BE,2015-01-22,3.20,3.35,3.35,3.05,3.05,3.05,3.07,1000,0.03,3,-,-
BGLOBAL,BE,2015-01-23,3.05,2.90,3.10,2.90,3.00,3.05,2.91,3699,0.11,15,-,-
BGLOBAL,BE,2015-01-27,3.05,3.00,3.00,3.00,3.00,3.00,3.00,1094,0.03,2,-,-
BGLOBAL,BE,2015-01-28,3.00,3.10,3.15,2.85,2.85,2.85,2.93,43458,1.27,28,-,-
BGLOBAL,BE,2015-01-29,2.85,2.95,2.95,2.90,2.95,2.95,2.95,310,0.01,4,-,-
BGLOBAL,BE,2015-01-30,2.95,3.05,3.05,3.05,3.05,3.05,3.05,260,0.01,2,-,-
BGLOBAL,BE,2015-02-02,3.05,3.20,3.20,2.95,3.20,3.20,3.18,848,0.03,7,-,-
BGLOBAL,BE,2015-02-03,3.20,3.20,3.30,3.20,3.30,3.25,3.25,5110,0.17,10,-,-
BGLOBAL,BE,2015-02-04,3.25,3.10,3.40,3.10,3.10,3.10,3.11,7320,0.23,9,-,-
BGLOBAL,BE,2015-02-05,3.10,3.10,3.10,3.10,3.10,3.10,3.10,2110,0.07,5,-,-
BGLOBAL,BE,2015-02-06,3.10,3.25,3.25,3.10,3.10,3.10,3.24,425,0.01,2,-,-
BGLOBAL,BE,2015-02-09,3.10,3.00,3.25,3.00,3.15,3.15,3.14,3244,0.10,6,-,-
BGLOBAL,BE,2015-02-10,3.15,3.20,3.20,3.10,3.10,3.10,3.16,6840,0.22,4,-,-
BGLOBAL,BE,2015-02-11,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3435,0.11,5,-,-
BGLOBAL,BE,2015-02-12,3.10,3.10,3.25,3.10,3.15,3.15,3.22,1420,0.05,4,-,-
