Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BHARATWIRE,BE,2016-04-01,45.00,47.25,47.25,44.90,45.70,45.55,46.39,4470641,2074.06,5256,-,-
BHARATWIRE,BE,2016-04-04,45.55,45.50,45.50,43.35,44.00,43.95,44.33,558140,247.40,708,-,-
BHARATWIRE,BE,2016-04-05,43.95,43.30,44.00,41.80,41.80,41.80,42.51,31748,13.50,304,-,-
BHARATWIRE,BE,2016-04-06,41.80,41.00,41.00,39.75,40.20,40.20,40.13,64852,26.02,249,-,-
BHARATWIRE,BE,2016-04-07,40.20,41.40,42.20,38.50,41.95,42.00,41.99,246683,103.59,306,-,-
BHARATWIRE,BE,2016-04-08,42.00,40.30,44.10,40.30,44.10,44.10,43.07,1391646,599.34,366,-,-
BHARATWIRE,BE,2016-04-11,44.10,45.90,45.90,44.05,44.25,44.55,44.93,24383,10.95,140,-,-
BHARATWIRE,BE,2016-04-12,44.55,44.00,45.00,42.60,44.00,44.20,44.19,1283321,567.15,175,-,-
BHARATWIRE,BE,2016-04-13,44.20,44.00,44.95,44.00,44.45,44.80,44.65,47186,21.07,167,-,-
BHARATWIRE,BE,2016-04-18,44.80,44.55,45.00,42.80,44.80,44.85,44.24,29324,12.97,111,-,-
BHARATWIRE,EQ,2016-04-20,44.85,45.90,45.90,44.00,45.00,45.10,45.17,114959,51.93,314,95904,83.42
BHARATWIRE,EQ,2016-04-21,45.10,45.80,45.80,43.85,44.25,44.25,44.64,58009,25.89,166,46747,80.59
BHARATWIRE,EQ,2016-04-22,44.25,44.25,44.30,43.05,43.05,43.20,43.57,14051,6.12,79,9667,68.80
BHARATWIRE,EQ,2016-04-25,43.20,44.30,44.30,42.00,42.70,42.15,42.55,11632,4.95,117,6816,58.60
BHARATWIRE,EQ,2016-04-26,42.15,42.25,43.30,41.10,41.50,41.60,41.78,14497,6.06,101,10290,70.98
BHARATWIRE,EQ,2016-04-27,41.60,42.80,43.00,41.05,41.05,41.50,42.01,18802,7.90,108,14075,74.86
BHARATWIRE,EQ,2016-04-28,41.50,41.10,42.10,39.70,41.00,40.50,40.67,74586,30.33,367,58686,78.68
BHARATWIRE,EQ,2016-04-29,40.50,41.50,41.80,40.00,41.00,40.65,40.65,32275,13.12,147,27340,84.71
BHARATWIRE,EQ,2016-05-02,40.65,41.50,42.10,39.90,41.00,41.15,41.02,57925,23.76,198,51933,89.66
BHARATWIRE,EQ,2016-05-03,41.15,41.00,42.00,40.20,41.25,40.55,40.96,11123,4.56,115,8533,76.71
BHARATWIRE,EQ,2016-05-04,40.55,40.55,41.30,39.75,40.90,40.50,40.60,9723,3.95,53,9285,95.50
BHARATWIRE,EQ,2016-05-05,40.50,42.00,42.00,40.00,40.50,40.60,40.48,5200,2.10,73,4579,88.06
BHARATWIRE,EQ,2016-05-06,40.60,39.50,41.70,39.50,40.70,40.70,40.17,6271,2.52,60,5663,90.30
BHARATWIRE,EQ,2016-05-09,40.70,41.40,41.50,40.10,40.20,40.35,40.52,5933,2.40,67,4242,71.50
BHARATWIRE,EQ,2016-05-10,40.35,40.10,46.80,40.10,45.15,45.40,44.90,218751,98.21,798,157565,72.03
BHARATWIRE,EQ,2016-05-11,45.40,44.45,47.00,43.05,45.15,45.70,46.13,394923,182.16,1727,303553,76.86
BHARATWIRE,EQ,2016-05-12,45.70,45.90,46.00,43.50,44.50,44.40,44.87,12549,5.63,78,8407,66.99
BHARATWIRE,EQ,2016-05-13,44.40,44.80,44.80,43.55,43.60,43.95,44.17,12900,5.70,81,8589,66.58
BHARATWIRE,EQ,2016-05-16,43.95,44.00,44.75,42.30,43.70,43.70,43.62,7056,3.08,49,6444,91.33
BHARATWIRE,EQ,2016-05-17,43.70,43.50,43.95,43.00,43.20,43.20,43.31,5958,2.58,46,4667,78.33
BHARATWIRE,EQ,2016-05-18,43.20,43.20,43.20,42.60,42.70,42.80,42.87,2762,1.18,23,1990,72.05
BHARATWIRE,EQ,2016-05-19,42.80,42.40,43.50,41.80,41.80,42.05,42.60,8545,3.64,85,5528,64.69
BHARATWIRE,EQ,2016-05-20,42.05,42.00,42.45,39.75,41.45,40.30,40.46,30607,12.38,170,23542,76.92
BHARATWIRE,EQ,2016-05-23,40.30,42.30,42.30,40.15,40.50,40.60,40.65,5229,2.13,40,5129,98.09
BHARATWIRE,EQ,2016-05-24,40.60,40.25,41.35,40.05,40.75,40.75,40.57,3964,1.61,25,3420,86.28
BHARATWIRE,EQ,2016-05-25,40.75,40.00,41.80,40.00,41.25,41.00,41.07,3024,1.24,36,2138,70.70
BHARATWIRE,EQ,2016-05-26,41.00,41.50,42.25,40.00,40.80,40.55,40.98,4805,1.97,65,1774,36.92
BHARATWIRE,EQ,2016-05-27,40.55,42.00,43.20,41.50,42.85,42.40,42.30,23255,9.84,138,14147,60.83
BHARATWIRE,EQ,2016-05-30,42.40,43.00,43.55,40.20,41.00,40.70,41.25,18934,7.81,122,10995,58.07
BHARATWIRE,EQ,2016-05-31,40.70,41.00,41.00,38.25,40.40,40.40,40.20,25050,10.07,196,13803,55.10
BHARATWIRE,EQ,2016-06-01,40.40,41.00,41.00,40.00,40.40,40.25,40.30,5031,2.03,52,3668,72.91
BHARATWIRE,EQ,2016-06-02,40.25,40.10,42.90,40.00,42.45,41.90,42.09,124102,52.24,1331,27991,22.55
BHARATWIRE,EQ,2016-06-03,41.90,42.15,42.30,40.25,41.55,41.40,41.71,45603,19.02,160,39709,87.08
BHARATWIRE,EQ,2016-06-06,41.40,41.95,44.00,40.50,41.70,42.00,42.68,59001,25.18,189,44458,75.35
BHARATWIRE,EQ,2016-06-07,42.00,42.00,43.00,41.10,42.75,42.30,42.35,36359,15.40,118,24592,67.64
BHARATWIRE,EQ,2016-06-08,42.30,42.90,45.70,42.90,44.20,44.00,44.67,826180,369.08,801,767826,92.94
BHARATWIRE,EQ,2016-06-09,44.00,45.45,45.95,44.00,44.50,44.85,45.08,719534,324.34,321,701573,97.50
BHARATWIRE,EQ,2016-06-10,44.85,45.50,45.50,44.10,45.15,44.75,44.80,50912,22.81,195,39356,77.30
BHARATWIRE,EQ,2016-06-13,44.75,44.75,44.75,43.35,44.00,43.60,43.60,108929,47.50,66,107279,98.49
BHARATWIRE,EQ,2016-06-14,43.60,44.85,45.00,43.10,43.50,43.50,43.81,8061,3.53,70,6372,79.05
BHARATWIRE,EQ,2016-06-15,43.50,44.00,44.60,43.50,43.60,43.75,44.03,13514,5.95,109,10496,77.67
BHARATWIRE,EQ,2016-06-16,43.75,43.85,44.85,43.55,44.40,43.75,43.91,9655,4.24,80,6535,67.69
BHARATWIRE,EQ,2016-06-17,43.75,44.00,44.70,43.45,43.45,43.45,43.84,5616,2.46,65,5296,94.30
BHARATWIRE,EQ,2016-06-20,43.45,44.40,44.40,42.50,42.50,42.75,43.05,12080,5.20,62,10224,84.64
BHARATWIRE,EQ,2016-06-21,42.75,42.50,43.25,42.10,42.50,42.60,42.52,29555,12.57,69,28799,97.44
BHARATWIRE,EQ,2016-06-22,42.60,42.00,43.50,41.00,41.05,41.40,42.42,48996,20.78,119,45303,92.46
BHARATWIRE,EQ,2016-06-23,41.40,41.80,43.10,41.50,41.70,41.85,42.72,38063,16.26,193,32811,86.20
BHARATWIRE,EQ,2016-06-24,41.85,40.00,41.80,40.00,41.50,41.20,40.90,13713,5.61,67,10505,76.61
BHARATWIRE,EQ,2016-06-27,41.20,42.60,43.00,41.40,42.90,42.50,42.78,36191,15.48,122,29491,81.49
BHARATWIRE,EQ,2016-06-28,42.50,42.50,43.75,42.20,42.75,42.95,43.41,35746,15.52,53,31826,89.03
BHARATWIRE,EQ,2016-06-29,42.95,43.20,43.85,42.35,43.00,43.05,43.09,10870,4.68,85,7917,72.83
BHARATWIRE,EQ,2016-06-30,43.05,43.75,45.10,43.60,45.00,44.95,44.55,75483,33.63,389,62154,82.34
BHARATWIRE,EQ,2016-07-01,44.95,46.00,46.00,43.05,43.40,44.10,44.44,16371,7.28,154,14957,91.36
BHARATWIRE,EQ,2016-07-04,44.10,45.00,45.00,44.00,44.30,44.15,44.60,16635,7.42,137,13668,82.16
BHARATWIRE,EQ,2016-07-05,44.15,45.65,45.65,43.50,43.95,43.95,44.13,10283,4.54,39,9427,91.68
BHARATWIRE,EQ,2016-07-07,43.95,43.60,45.00,43.50,43.50,43.90,44.34,9736,4.32,92,7065,72.57
BHARATWIRE,EQ,2016-07-08,43.90,43.90,44.30,43.55,44.00,44.20,44.03,3353,1.48,18,3014,89.89
BHARATWIRE,EQ,2016-07-11,44.20,44.95,45.00,43.50,43.50,43.85,44.07,8644,3.81,44,7799,90.22
BHARATWIRE,EQ,2016-07-12,43.85,44.95,44.95,43.40,43.85,43.75,43.88,3344,1.47,26,2760,82.54
BHARATWIRE,EQ,2016-07-13,43.75,43.40,45.00,43.10,44.50,44.95,44.52,10940,4.87,40,10686,97.68
BHARATWIRE,EQ,2016-07-14,44.95,44.25,44.95,43.00,44.80,44.45,44.37,16331,7.25,60,10885,66.65
BHARATWIRE,EQ,2016-07-15,44.45,43.20,45.00,43.10,43.10,43.25,43.85,11302,4.96,42,10340,91.49
BHARATWIRE,EQ,2016-07-18,43.25,44.45,44.45,43.00,43.00,43.35,43.69,1957,0.86,23,1652,84.41
BHARATWIRE,EQ,2016-07-19,43.35,43.95,43.95,42.50,43.00,42.85,43.11,5498,2.37,38,3226,58.68
BHARATWIRE,EQ,2016-07-20,42.85,42.85,43.70,42.85,43.00,43.00,43.17,1935,0.84,17,1915,98.97
BHARATWIRE,EQ,2016-07-21,43.00,43.90,43.90,42.00,43.00,43.00,43.02,2706,1.16,21,2530,93.50
BHARATWIRE,EQ,2016-07-22,43.00,42.40,43.35,42.40,42.55,42.55,42.54,1400,0.60,8,700,50.00
BHARATWIRE,EQ,2016-07-25,42.55,43.80,44.50,42.60,43.75,43.75,44.05,52191,22.99,131,34568,66.23
BHARATWIRE,EQ,2016-07-26,43.75,43.60,44.00,43.35,43.35,43.45,43.85,1411,0.62,9,1065,75.48
BHARATWIRE,EQ,2016-07-27,43.45,44.00,44.00,43.00,43.05,43.05,43.60,5361,2.34,35,4801,89.55
BHARATWIRE,EQ,2016-07-28,43.05,43.05,46.00,43.05,44.00,44.00,44.70,51483,23.01,153,41147,79.92
BHARATWIRE,EQ,2016-07-29,44.00,43.15,44.70,43.15,44.00,44.00,44.18,13105,5.79,35,12475,95.19
BHARATWIRE,EQ,2016-08-01,44.00,44.90,44.90,43.15,44.00,43.70,43.91,21817,9.58,114,17741,81.32
BHARATWIRE,EQ,2016-08-02,43.70,43.15,44.65,43.00,43.65,43.65,43.81,11006,4.82,32,7705,70.01
