Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BHARTIARTL,EQ,2014-12-03,384.35,387.00,387.35,377.00,378.50,378.40,381.41,6746545,25731.75,116820,5214159,77.29
BHARTIARTL,EQ,2014-12-04,378.40,380.00,382.60,368.10,370.10,369.90,372.72,5287286,19706.73,82675,3538974,66.93
BHARTIARTL,EQ,2014-12-05,369.90,373.00,375.75,365.05,368.00,367.80,371.11,4345536,16126.84,64395,2794441,64.31
BHARTIARTL,EQ,2014-12-08,367.80,367.00,374.90,366.50,369.90,369.75,371.36,3842163,14268.30,77852,2574289,67.00
BHARTIARTL,EQ,2014-12-09,369.75,366.20,372.25,352.60,357.00,354.15,360.21,5885614,21200.71,60449,3833989,65.14
BHARTIARTL,EQ,2014-12-10,354.15,360.00,361.65,348.65,353.40,353.30,354.46,5255721,18629.61,59690,3049430,58.02
BHARTIARTL,EQ,2014-12-11,353.30,352.70,357.50,342.00,343.50,343.30,348.26,4516550,15729.32,63467,2646483,58.60
BHARTIARTL,EQ,2014-12-12,343.30,345.05,351.25,345.05,346.50,347.95,348.94,3889039,13570.50,55300,2221910,57.13
BHARTIARTL,EQ,2014-12-15,347.95,344.50,351.45,341.00,350.10,349.95,347.97,3400040,11831.06,56647,2508037,73.76
BHARTIARTL,EQ,2014-12-16,349.95,347.00,351.75,341.00,349.75,350.05,347.76,3402781,11833.61,57357,1968842,57.86
BHARTIARTL,EQ,2014-12-17,350.05,345.10,349.45,340.10,340.20,342.05,343.78,5479412,18836.96,55775,3995654,72.92
BHARTIARTL,EQ,2014-12-18,342.05,344.15,349.20,343.55,347.75,348.20,347.28,4860053,16878.07,77861,3730642,76.76
BHARTIARTL,EQ,2014-12-19,348.20,348.55,348.85,335.80,343.50,343.10,341.95,5042121,17241.29,44959,3530419,70.02
BHARTIARTL,EQ,2014-12-22,343.10,344.95,349.65,344.00,348.75,348.80,348.09,3084702,10737.50,47311,2206749,71.54
BHARTIARTL,EQ,2014-12-23,348.80,350.00,356.50,349.05,355.50,355.20,354.86,4616451,16381.94,71635,3645011,78.96
BHARTIARTL,EQ,2014-12-24,355.20,357.40,357.40,350.50,354.00,353.10,353.42,5499222,19435.32,31826,3553928,64.63
BHARTIARTL,EQ,2014-12-26,353.10,356.00,356.70,349.45,354.00,354.30,353.13,1158205,4089.94,16542,572304,49.41
BHARTIARTL,EQ,2014-12-29,354.30,353.00,359.45,350.00,350.95,351.20,355.31,1209977,4299.18,14455,552132,45.63
BHARTIARTL,EQ,2014-12-30,351.20,353.40,354.00,347.10,350.00,349.75,349.94,1023382,3581.20,13439,555296,54.26
BHARTIARTL,EQ,2014-12-31,349.75,349.80,353.50,349.80,352.00,352.70,352.53,2183671,7698.08,23884,1670703,76.51
