Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BIRLACORPN,EQ,2014-12-03,462.95,458.30,477.65,458.30,467.00,469.00,468.52,15593,73.06,760,8543,54.79
BIRLACORPN,EQ,2014-12-04,469.00,464.30,478.80,464.30,477.85,475.35,473.09,24568,116.23,957,15175,61.77
BIRLACORPN,EQ,2014-12-05,475.35,473.35,474.90,459.90,460.70,461.30,468.54,29479,138.12,614,23902,81.08
BIRLACORPN,EQ,2014-12-08,461.30,460.40,474.00,460.40,466.95,466.30,468.39,14689,68.80,568,6606,44.97
BIRLACORPN,EQ,2014-12-09,466.30,470.00,473.00,444.40,450.00,449.45,450.24,64158,288.86,1272,53037,82.67
BIRLACORPN,EQ,2014-12-10,449.45,446.05,474.50,446.00,470.00,471.65,465.33,27170,126.43,1020,14612,53.78
BIRLACORPN,EQ,2014-12-11,471.65,471.65,471.65,456.80,458.05,460.05,464.59,29865,138.75,456,26344,88.21
BIRLACORPN,EQ,2014-12-12,460.05,455.40,469.50,440.10,458.85,451.15,453.20,26879,121.82,732,15663,58.27
BIRLACORPN,EQ,2014-12-15,451.15,446.60,452.00,441.50,452.00,447.20,447.13,18318,81.91,889,10083,55.04
BIRLACORPN,EQ,2014-12-16,447.20,446.00,451.05,415.40,436.90,430.65,430.65,24709,106.41,946,16371,66.26
BIRLACORPN,EQ,2014-12-17,430.65,431.05,433.80,405.35,433.00,430.30,422.49,19908,84.11,761,11817,59.36
BIRLACORPN,EQ,2014-12-18,430.30,433.00,449.00,424.00,435.05,436.30,432.88,23274,100.75,1397,14284,61.37
BIRLACORPN,EQ,2014-12-19,436.30,487.25,487.25,429.10,429.55,430.70,439.42,14251,62.62,477,9835,69.01
BIRLACORPN,EQ,2014-12-22,430.70,428.20,439.00,428.20,431.65,430.90,431.99,8275,35.75,390,6274,75.82
