Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BLBLIMITED,EQ,2014-12-03,6.25,6.55,6.55,6.00,6.00,6.10,6.15,460,0.03,5,280,60.87
BLBLIMITED,EQ,2014-12-04,6.10,6.10,6.10,6.10,6.10,6.10,6.10,40,0.00,1,40,100.00
BLBLIMITED,EQ,2014-12-05,6.10,6.10,6.35,5.65,6.00,6.00,6.13,1220,0.07,6,920,75.41
BLBLIMITED,EQ,2014-12-08,6.00,5.40,6.15,5.40,5.50,5.50,5.55,1200,0.07,4,1100,91.67
BLBLIMITED,EQ,2014-12-09,5.50,6.00,6.00,5.10,5.10,5.10,5.58,1050,0.06,4,550,52.38
BLBLIMITED,EQ,2014-12-10,5.10,5.60,5.60,5.60,5.60,5.60,5.60,550,0.03,4,550,100.00
BLBLIMITED,EQ,2014-12-11,5.60,5.40,5.95,5.35,5.90,5.90,5.39,5060,0.27,18,5050,99.80
BLBLIMITED,EQ,2014-12-12,5.90,6.45,6.45,5.35,5.35,5.45,5.47,11451,0.63,33,8436,73.67
BLBLIMITED,EQ,2014-12-15,5.45,5.00,5.65,4.95,5.50,5.60,5.05,3287,0.17,13,2944,89.56
BLBLIMITED,EQ,2014-12-16,5.60,5.05,5.40,5.05,5.40,5.30,5.30,555,0.03,6,535,96.40
BLBLIMITED,EQ,2014-12-17,5.30,5.45,5.45,5.45,5.45,5.45,5.45,1,0.00,1,1,100.00
BLBLIMITED,EQ,2014-12-18,5.45,5.75,5.75,5.75,5.75,5.75,5.75,20,0.00,1,20,100.00
BLBLIMITED,EQ,2014-12-19,5.75,5.20,5.60,5.20,5.55,5.55,5.23,5041,0.26,11,4001,79.37
BLBLIMITED,EQ,2014-12-22,5.55,5.90,5.90,5.00,5.35,5.35,5.15,1815,0.09,13,1650,90.91
BLBLIMITED,EQ,2014-12-23,5.35,4.85,5.50,4.85,5.40,5.40,5.30,1746,0.09,9,1741,99.71
BLBLIMITED,EQ,2014-12-24,5.40,4.90,5.40,4.90,5.40,5.40,4.95,1050,0.05,3,550,52.38
BLBLIMITED,EQ,2014-12-26,5.40,4.90,5.35,4.90,5.25,5.10,5.03,4914,0.25,20,2576,52.42
BLBLIMITED,EQ,2014-12-29,5.10,5.50,5.50,4.90,4.90,5.30,5.32,13414,0.71,10,12000,89.46
BLBLIMITED,EQ,2014-12-30,5.30,5.50,5.50,5.10,5.10,5.10,5.33,120,0.01,3,70,58.33
BLBLIMITED,EQ,2014-12-31,5.10,5.10,5.10,4.75,4.75,4.75,4.80,700,0.03,2,700,100.00
BLBLIMITED,EQ,2015-01-01,4.75,4.60,4.60,4.60,4.60,4.60,4.60,7,0.00,1,7,100.00
BLBLIMITED,EQ,2015-01-02,4.60,5.00,5.40,4.20,4.70,4.75,4.67,14686,0.69,14,4625,31.49
BLBLIMITED,EQ,2015-01-05,4.75,5.65,5.65,5.25,5.25,5.25,5.62,3300,0.19,8,2800,84.85
BLBLIMITED,EQ,2015-01-06,5.25,5.75,5.95,5.50,5.65,5.65,5.74,5051,0.29,17,4386,86.83
BLBLIMITED,EQ,2015-01-07,5.65,6.60,6.60,5.65,5.75,5.90,6.07,6171,0.37,16,4290,69.52
