Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BLS,BE,2016-06-15,718.95,895.00,939.00,851.00,875.00,874.05,871.71,6623,57.73,106,-,-
BLS,BE,2016-06-16,874.05,890.00,912.00,850.00,865.00,859.80,869.07,2352,20.44,52,-,-
BLS,BE,2016-06-17,859.80,870.00,875.00,865.00,872.00,872.00,870.53,5204,45.30,121,-,-
BLS,BE,2016-06-20,872.00,875.00,891.50,870.00,891.50,891.05,886.70,6148,54.51,145,-,-
BLS,BE,2016-06-21,891.05,892.00,893.00,888.80,893.00,893.00,891.07,10388,92.56,200,-,-
BLS,BE,2016-06-22,893.00,893.00,926.00,893.00,926.00,925.30,912.92,10882,99.34,249,-,-
BLS,BE,2016-06-23,925.30,927.00,932.00,927.00,931.95,931.95,930.04,10316,95.94,341,-,-
BLS,BE,2016-06-24,931.95,931.95,931.95,914.70,920.50,920.50,918.99,8506,78.17,232,-,-
BLS,BE,2016-06-27,920.50,919.00,928.00,918.80,927.95,927.95,923.45,10829,100.00,298,-,-
BLS,BE,2016-06-28,927.95,928.50,938.00,928.50,937.90,937.90,934.01,6699,62.57,176,-,-
BLS,BE,2016-06-29,937.90,938.50,946.00,938.50,946.00,945.90,944.26,10002,94.45,207,-,-
BLS,BE,2016-06-30,945.90,946.00,960.00,946.00,960.00,959.75,953.66,13688,130.54,248,-,-
BLS,BE,2016-07-01,959.75,962.00,968.50,953.50,968.50,968.50,958.84,12076,115.79,280,-,-
BLS,BE,2016-07-04,968.50,972.00,990.00,967.50,990.00,989.85,976.85,9299,90.84,188,-,-
BLS,BE,2016-07-05,989.85,990.00,994.50,976.00,977.00,976.55,984.31,10014,98.57,443,-,-
BLS,BE,2016-07-07,976.55,970.00,982.50,968.00,979.50,979.95,979.40,12513,122.55,271,-,-
BLS,BE,2016-07-08,979.95,978.00,982.00,973.85,981.00,979.55,977.52,8985,87.83,348,-,-
BLS,BE,2016-07-11,979.55,1027.00,1027.00,988.00,998.35,998.20,991.40,8701,86.26,202,-,-
BLS,BE,2016-07-12,998.20,998.00,1000.00,988.00,991.85,988.25,991.12,9329,92.46,129,-,-
BLS,BE,2016-07-13,988.25,985.00,986.50,981.20,981.20,981.80,982.91,3799,37.34,99,-,-
BLS,BE,2016-07-14,981.80,984.00,985.50,981.00,981.00,981.00,983.33,8881,87.33,259,-,-
BLS,BE,2016-07-15,981.00,1019.00,1019.00,980.00,980.00,980.00,987.67,2380,23.51,28,-,-
BLS,BE,2016-07-18,980.00,980.00,983.00,971.00,979.90,979.90,976.82,2121,20.72,35,-,-
BLS,BE,2016-07-19,979.90,999.00,999.00,961.80,964.50,965.10,965.27,3541,34.18,92,-,-
BLS,BE,2016-07-20,965.10,965.00,966.00,950.00,954.00,954.00,957.01,4273,40.89,86,-,-
BLS,BE,2016-07-21,954.00,954.00,959.00,953.00,957.15,957.15,956.54,9038,86.45,252,-,-
BLS,BE,2016-07-22,957.15,956.00,958.00,953.50,958.00,957.60,956.40,6810,65.13,342,-,-
BLS,BE,2016-07-25,957.60,957.00,960.00,956.00,960.00,960.00,958.67,7535,72.24,261,-,-
BLS,BE,2016-07-26,960.00,962.00,968.00,962.00,968.00,967.80,964.01,7836,75.54,280,-,-
BLS,BE,2016-07-27,967.80,962.30,966.00,962.00,966.00,966.00,964.29,8304,80.07,286,-,-
BLS,BE,2016-07-28,966.00,966.50,977.00,966.00,977.00,977.00,971.33,9211,89.47,271,-,-
BLS,BE,2016-07-29,977.00,972.00,975.00,928.15,928.15,928.15,966.74,7393,71.47,96,-,-
BLS,BE,2016-08-01,928.15,929.00,960.00,882.00,960.00,957.20,915.30,7882,72.14,165,-,-
BLS,BE,2016-08-02,957.20,980.00,998.90,975.00,998.90,990.55,984.36,10783,106.14,270,-,-
BLS,BE,2016-08-03,990.55,993.50,994.00,983.00,987.00,985.45,988.50,7356,72.71,135,-,-
BLS,BE,2016-08-04,985.45,994.00,999.95,993.00,993.00,996.15,997.39,13296,132.61,245,-,-
BLS,BE,2016-08-05,996.15,998.00,998.50,990.00,993.50,993.50,993.41,8894,88.35,218,-,-
BLS,BE,2016-08-08,993.50,999.00,999.00,980.00,980.00,982.85,991.55,8973,88.97,255,-,-
BLS,BE,2016-08-09,982.85,981.00,983.00,944.00,970.20,970.90,974.37,7816,76.16,148,-,-
