Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BROOKS,EQ,2014-12-03,44.50,45.00,49.00,44.55,47.45,46.95,47.49,186258,88.45,1486,72492,38.92
BROOKS,EQ,2014-12-04,46.95,47.15,49.70,46.20,48.15,48.20,48.35,228550,110.51,1730,106857,46.75
BROOKS,EQ,2014-12-05,48.20,47.70,48.50,46.40,46.60,46.85,47.34,72170,34.17,423,52572,72.84
BROOKS,EQ,2014-12-08,46.85,46.40,47.95,45.60,45.60,45.75,46.37,35288,16.36,265,20763,58.84
BROOKS,EQ,2014-12-09,45.75,45.50,46.00,44.25,44.70,44.55,45.04,55206,24.87,357,36211,65.59
BROOKS,EQ,2014-12-10,44.55,45.50,45.80,43.40,44.55,44.75,44.85,36715,16.47,282,22757,61.98
BROOKS,EQ,2014-12-11,44.75,44.30,45.40,43.55,43.75,44.05,44.44,55432,24.63,355,42747,77.12
BROOKS,EQ,2014-12-12,44.05,44.10,45.60,43.05,43.05,43.40,44.59,60413,26.94,430,35992,59.58
BROOKS,EQ,2014-12-15,43.40,43.00,44.40,42.30,42.80,42.95,43.17,33865,14.62,273,18784,55.47
BROOKS,EQ,2014-12-16,42.95,42.15,43.50,40.10,40.60,40.95,41.83,75697,31.66,456,58169,76.84
BROOKS,EQ,2014-12-17,40.95,40.60,41.95,38.25,40.00,39.75,39.84,65394,26.05,444,35932,54.95
BROOKS,EQ,2014-12-18,39.75,40.90,41.85,40.30,41.85,41.35,41.06,53757,22.07,315,29240,54.39
BROOKS,EQ,2014-12-19,41.35,41.60,42.55,41.15,41.40,41.70,41.97,63017,26.45,322,39904,63.32
BROOKS,EQ,2014-12-22,41.70,41.55,42.40,40.85,40.85,41.05,41.34,28844,11.92,225,19460,67.47
BROOKS,EQ,2014-12-23,41.05,40.80,41.65,40.55,41.00,40.90,41.05,34346,14.10,235,25749,74.97
BROOKS,EQ,2014-12-24,40.90,41.00,41.65,40.50,40.50,40.60,40.82,27916,11.40,198,19782,70.86
BROOKS,EQ,2014-12-26,40.60,40.40,41.40,40.15,40.20,40.30,40.47,27775,11.24,198,19372,69.75
BROOKS,EQ,2014-12-29,40.30,40.35,41.00,39.95,40.10,40.10,40.40,40056,16.18,282,25409,63.43
BROOKS,EQ,2014-12-30,40.10,40.10,46.75,40.10,44.25,44.25,44.68,371473,165.99,3591,109190,29.39
BROOKS,EQ,2014-12-31,44.25,44.80,46.70,43.60,44.60,44.90,45.33,120146,54.46,1149,39804,33.13
BROOKS,EQ,2015-01-01,44.90,45.00,45.50,44.30,45.00,44.95,45.04,41012,18.47,386,20984,51.17
BROOKS,EQ,2015-01-02,44.95,44.80,45.40,44.20,44.40,44.40,44.77,40826,18.28,296,28271,69.25
BROOKS,EQ,2015-01-05,44.40,44.80,45.90,43.55,43.90,43.75,44.59,61842,27.57,478,37844,61.19
BROOKS,EQ,2015-01-06,43.75,43.50,43.50,41.65,42.00,42.15,42.49,51205,21.76,358,36406,71.10
BROOKS,EQ,2015-01-07,42.15,41.80,43.00,41.50,41.95,41.95,42.11,29411,12.38,295,17331,58.93
BROOKS,EQ,2015-01-08,41.95,41.65,45.50,41.65,43.40,43.60,43.86,78415,34.39,787,25248,32.20
BROOKS,EQ,2015-01-09,43.60,43.30,44.50,42.55,42.95,42.80,43.52,44743,19.47,346,22925,51.24
BROOKS,EQ,2015-01-12,42.80,43.00,44.80,42.70,43.00,43.10,43.64,58613,25.58,388,33058,56.40
BROOKS,EQ,2015-01-13,43.10,42.00,42.50,38.10,41.50,41.25,40.92,158035,64.67,1000,75508,47.78
BROOKS,EQ,2015-01-14,41.25,41.25,41.90,40.10,40.35,40.35,40.86,82144,33.56,558,45806,55.76
BROOKS,EQ,2015-01-15,40.35,40.00,41.60,39.60,40.30,40.35,40.72,35695,14.53,263,27040,75.75
BROOKS,EQ,2015-01-16,40.35,40.35,40.90,39.80,40.90,40.75,40.63,32330,13.13,302,22464,69.48
BROOKS,EQ,2015-01-19,40.75,41.50,41.60,40.90,41.00,41.00,41.22,29548,12.18,225,18672,63.19
BROOKS,EQ,2015-01-20,41.00,41.00,41.80,40.50,40.90,40.90,41.08,53423,21.95,289,37871,70.89
BROOKS,EQ,2015-01-21,40.90,40.50,45.50,40.50,43.30,43.00,43.91,237748,104.39,1966,91525,38.50
BROOKS,EQ,2015-01-22,43.00,43.50,43.75,42.30,42.30,42.35,42.98,23187,9.96,249,11475,49.49
BROOKS,EQ,2015-01-23,42.35,42.10,42.95,41.05,41.40,41.35,41.60,47323,19.69,294,36306,76.72
BROOKS,EQ,2015-01-27,41.35,41.30,42.55,40.60,41.00,40.95,41.22,38368,15.82,287,26607,69.35
BROOKS,EQ,2015-01-28,40.95,40.95,43.00,40.60,41.00,41.05,41.57,35676,14.83,341,13556,38.00
BROOKS,EQ,2015-01-29,41.05,42.00,43.00,41.00,42.00,42.10,42.02,47020,19.76,347,28237,60.05
BROOKS,EQ,2015-01-30,42.10,43.40,43.40,41.25,41.30,41.45,41.81,25193,10.53,279,14493,57.53
BROOKS,EQ,2015-02-02,41.45,41.00,42.40,40.90,41.60,41.45,41.72,21415,8.93,199,12942,60.43
BROOKS,EQ,2015-02-03,41.45,42.90,42.90,40.55,40.95,40.85,41.10,45467,18.69,323,33659,74.03
BROOKS,EQ,2015-02-04,40.85,41.00,42.10,40.70,40.95,40.95,41.11,21071,8.66,154,12031,57.10
BROOKS,EQ,2015-02-05,40.95,40.50,41.50,40.50,40.90,40.90,41.01,30877,12.66,191,20471,66.30
BROOKS,EQ,2015-02-06,40.90,41.90,41.90,40.50,40.95,40.75,40.81,49186,20.07,286,35327,71.82
BROOKS,EQ,2015-02-09,40.75,40.25,40.90,39.20,39.30,39.70,40.25,25631,10.32,166,19744,77.03
BROOKS,EQ,2015-02-10,39.70,39.60,40.70,39.25,39.35,39.45,39.85,29319,11.68,152,24459,83.42
BROOKS,EQ,2015-02-11,39.45,39.45,40.60,39.45,39.90,40.00,40.11,34671,13.91,152,23343,67.33
BROOKS,EQ,2015-02-12,40.00,40.90,41.90,40.05,41.30,41.20,41.11,49696,20.43,514,32476,65.35
BROOKS,EQ,2015-02-13,41.20,42.25,44.20,40.80,42.00,41.95,42.70,155470,66.39,1001,69463,44.68
BROOKS,EQ,2015-02-16,41.95,41.60,42.75,40.70,41.20,41.15,41.53,43995,18.27,413,28336,64.41
BROOKS,EQ,2015-02-18,41.15,40.70,41.30,40.15,40.60,40.45,40.58,33647,13.65,260,26505,78.77
BROOKS,EQ,2015-02-19,40.45,40.55,41.90,40.20,40.45,40.45,40.71,42543,17.32,288,23905,56.19
BROOKS,EQ,2015-02-20,40.45,40.35,40.80,39.20,40.25,40.20,40.20,32434,13.04,188,24850,76.62
BROOKS,EQ,2015-02-23,40.20,39.50,40.80,37.25,38.40,38.55,38.97,51086,19.91,324,35342,69.18
BROOKS,EQ,2015-02-24,38.55,38.55,39.70,38.00,38.10,38.20,38.54,22402,8.63,226,14189,63.34
BROOKS,EQ,2015-02-25,38.20,37.80,38.90,37.30,37.50,37.50,37.87,21567,8.17,214,17315,80.28
BROOKS,EQ,2015-02-26,37.50,37.50,38.20,36.20,37.00,36.95,36.90,38954,14.37,235,21000,53.91
BROOKS,EQ,2015-02-27,36.95,36.40,38.50,36.40,37.60,37.70,37.73,47702,18.00,266,31091,65.18
BROOKS,EQ,2015-02-28,37.70,38.50,38.50,36.05,36.55,36.95,36.99,21936,8.11,250,16329,74.44
