Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BSELINFRA,EQ,2014-12-03,3.00,3.00,3.15,3.00,3.15,3.10,3.10,56089,1.74,81,44109,78.64
BSELINFRA,EQ,2014-12-04,3.10,3.05,3.20,3.00,3.00,3.05,3.09,75499,2.33,102,46734,61.90
BSELINFRA,EQ,2014-12-05,3.05,3.05,3.25,2.95,2.95,3.00,3.04,43123,1.31,87,30150,69.92
BSELINFRA,EQ,2014-12-08,3.00,2.95,3.25,2.95,3.00,3.00,3.00,60315,1.81,74,47124,78.13
BSELINFRA,EQ,2014-12-09,3.00,3.20,3.20,2.80,2.90,2.85,2.93,78656,2.30,81,52964,67.34
BSELINFRA,EQ,2014-12-10,2.85,3.00,3.20,2.90,2.90,2.90,2.95,27494,0.81,37,13977,50.84
BSELINFRA,EQ,2014-12-11,2.90,3.00,3.00,2.85,2.85,2.85,2.87,22360,0.64,44,11550,51.65
BSELINFRA,EQ,2014-12-12,2.85,2.80,3.00,2.75,2.80,2.80,2.84,41159,1.17,75,24676,59.95
BSELINFRA,EQ,2014-12-15,2.80,2.90,2.90,2.70,2.75,2.75,2.74,24658,0.68,37,17413,70.62
BSELINFRA,EQ,2014-12-16,2.75,2.60,2.75,2.55,2.70,2.70,2.64,92172,2.43,75,78884,85.58
BSELINFRA,EQ,2014-12-17,2.70,2.75,3.00,2.45,2.50,2.50,2.52,51894,1.31,82,28643,55.20
BSELINFRA,EQ,2014-12-18,2.50,2.80,2.80,2.50,2.60,2.55,2.63,111962,2.94,146,81280,72.60
BSELINFRA,EQ,2014-12-19,2.55,2.70,2.70,2.55,2.65,2.60,2.61,17723,0.46,33,16223,91.54
BSELINFRA,EQ,2014-12-22,2.60,2.55,2.75,2.50,2.65,2.60,2.56,69750,1.78,39,63960,91.70
BSELINFRA,EQ,2014-12-23,2.60,2.75,2.75,2.55,2.70,2.65,2.60,23444,0.61,80,17661,75.33
BSELINFRA,EQ,2014-12-24,2.65,2.65,2.95,2.65,2.90,2.80,2.80,53756,1.50,85,45291,84.25
BSELINFRA,EQ,2014-12-26,2.80,2.75,2.95,2.75,2.80,2.75,2.81,34727,0.98,75,25248,72.70
BSELINFRA,EQ,2014-12-29,2.75,2.65,2.85,2.20,2.45,2.40,2.45,359008,8.78,279,251558,70.07
BSELINFRA,EQ,2014-12-30,2.40,2.35,2.65,2.35,2.60,2.65,2.55,28554,0.73,65,27873,97.62
BSELINFRA,EQ,2014-12-31,2.65,2.40,2.65,2.40,2.60,2.60,2.60,42259,1.10,78,30124,71.28
BSELINFRA,EQ,2015-01-01,2.60,2.60,2.80,2.55,2.80,2.75,2.69,22122,0.59,41,20506,92.70
BSELINFRA,EQ,2015-01-02,2.75,2.60,2.85,2.60,2.80,2.80,2.74,41776,1.14,72,29294,70.12
BSELINFRA,EQ,2015-01-05,2.80,2.80,2.85,2.70,2.85,2.80,2.78,45207,1.26,69,27570,60.99
BSELINFRA,EQ,2015-01-06,2.80,2.65,2.70,2.25,2.65,2.60,2.44,94286,2.30,116,64439,68.34
BSELINFRA,EQ,2015-01-07,2.60,2.40,2.70,2.40,2.55,2.50,2.54,13871,0.35,40,10966,79.06
BSELINFRA,EQ,2015-01-08,2.50,2.45,2.70,2.45,2.60,2.60,2.64,25501,0.67,50,21721,85.18
BSELINFRA,EQ,2015-01-09,2.60,2.60,2.75,2.55,2.70,2.70,2.62,15643,0.41,54,11436,73.11
BSELINFRA,EQ,2015-01-12,2.70,2.75,2.75,2.45,2.50,2.50,2.52,58255,1.47,81,48755,83.69
BSELINFRA,EQ,2015-01-13,2.50,2.50,2.80,2.50,2.70,2.70,2.72,39060,1.06,70,33780,86.48
BSELINFRA,EQ,2015-01-14,2.70,2.60,2.85,2.60,2.75,2.70,2.71,45676,1.24,84,30341,66.43
BSELINFRA,EQ,2015-01-15,2.70,2.75,3.00,2.65,2.95,2.95,2.82,118073,3.33,168,98367,83.31
BSELINFRA,EQ,2015-01-16,2.95,2.75,3.25,2.75,2.90,2.85,3.05,206634,6.30,456,125797,60.88
BSELINFRA,EQ,2015-01-19,2.85,2.55,2.95,2.55,2.85,2.90,2.85,46291,1.32,58,28262,61.05
BSELINFRA,EQ,2015-01-20,2.90,2.70,3.00,2.70,2.95,2.95,2.94,31235,0.92,71,28816,92.26
BSELINFRA,EQ,2015-01-21,2.95,2.60,3.00,2.60,2.80,2.75,2.81,57253,1.61,101,53798,93.97
BSELINFRA,EQ,2015-01-22,2.75,2.90,2.90,2.75,2.80,2.75,2.79,14159,0.40,43,10376,73.28
BSELINFRA,EQ,2015-01-23,2.75,2.80,2.80,2.65,2.80,2.75,2.73,45588,1.25,65,40002,87.75
BSELINFRA,EQ,2015-01-27,2.75,2.80,2.90,2.65,2.80,2.80,2.79,24236,0.68,55,21027,86.76
BSELINFRA,EQ,2015-01-28,2.80,2.80,2.80,2.70,2.70,2.75,2.73,40332,1.10,41,33140,82.17
BSELINFRA,EQ,2015-01-29,2.75,2.55,2.95,2.55,2.95,2.80,2.72,36868,1.00,61,31462,85.34
BSELINFRA,EQ,2015-01-30,2.80,2.80,3.00,2.65,2.95,2.95,2.86,81544,2.33,91,63041,77.31
BSELINFRA,EQ,2015-02-02,2.95,2.95,3.00,2.70,2.90,2.80,2.86,47803,1.37,85,28948,60.56
BSELINFRA,EQ,2015-02-03,2.80,2.90,3.00,2.70,3.00,2.95,2.87,18143,0.52,46,14723,81.15
BSELINFRA,EQ,2015-02-04,2.95,2.80,2.95,2.80,2.90,2.85,2.86,24620,0.70,65,21144,85.88
BSELINFRA,EQ,2015-02-05,2.85,2.75,2.95,2.70,2.80,2.80,2.84,18784,0.53,53,15596,83.03
BSELINFRA,EQ,2015-02-06,2.80,2.70,2.90,2.55,2.60,2.65,2.69,47934,1.29,81,44026,91.85
BSELINFRA,EQ,2015-02-09,2.65,2.65,2.85,2.50,2.60,2.60,2.63,30206,0.80,80,23448,77.63
BSELINFRA,EQ,2015-02-10,2.60,2.60,2.80,2.55,2.55,2.60,2.58,15822,0.41,38,15394,97.29
BSELINFRA,EQ,2015-02-11,2.60,2.55,2.65,2.50,2.60,2.60,2.54,15048,0.38,56,12940,85.99
BSELINFRA,EQ,2015-02-12,2.60,2.70,2.75,2.60,2.70,2.70,2.67,34508,0.92,63,24477,70.93
BSELINFRA,EQ,2015-02-13,2.70,2.75,2.80,2.50,2.60,2.60,2.56,58290,1.49,88,42788,73.41
BSELINFRA,EQ,2015-02-16,2.60,2.75,3.10,2.60,2.95,2.90,2.89,113089,3.27,183,81481,72.05
BSELINFRA,EQ,2015-02-18,2.90,2.70,2.95,2.70,2.80,2.85,2.87,54623,1.57,102,45230,82.80
BSELINFRA,EQ,2015-02-19,2.85,2.85,2.95,2.70,2.90,2.90,2.86,44921,1.29,82,35395,78.79
BSELINFRA,EQ,2015-02-20,2.90,2.75,3.05,2.70,2.90,2.85,2.90,34661,1.01,68,29812,86.01
BSELINFRA,EQ,2015-02-23,2.85,2.80,2.95,2.75,2.90,2.80,2.82,27151,0.77,50,21670,79.81
BSELINFRA,EQ,2015-02-24,2.80,2.95,2.95,2.80,2.80,2.80,2.84,23474,0.67,42,21514,91.65
BSELINFRA,EQ,2015-02-25,2.80,2.75,2.85,2.70,2.80,2.80,2.78,31365,0.87,51,25205,80.36
BSELINFRA,EQ,2015-02-26,2.80,2.80,2.80,2.50,2.70,2.65,2.63,159416,4.19,139,117791,73.89
BSELINFRA,EQ,2015-02-27,2.65,2.65,2.75,2.50,2.75,2.75,2.63,85614,2.25,103,59342,69.31
BSELINFRA,EQ,2015-02-28,2.75,2.65,2.95,2.65,2.75,2.75,2.84,94168,2.67,90,67225,71.39
BSELINFRA,EQ,2015-03-02,2.75,2.65,2.85,2.65,2.75,2.70,2.72,30845,0.84,54,18969,61.50
BSELINFRA,EQ,2015-03-03,2.70,2.85,2.85,2.65,2.70,2.65,2.68,21149,0.57,43,18117,85.66
BSELINFRA,EQ,2015-03-04,2.65,2.90,2.90,2.60,2.75,2.65,2.68,34518,0.93,59,22843,66.18
BSELINFRA,EQ,2015-03-05,2.65,2.75,2.75,2.55,2.65,2.65,2.62,68125,1.78,96,42918,63.00
BSELINFRA,EQ,2015-03-09,2.65,2.60,2.75,2.55,2.70,2.65,2.69,45181,1.21,44,43173,95.56
BSELINFRA,EQ,2015-03-10,2.65,2.60,2.75,2.50,2.65,2.60,2.62,43827,1.15,50,32050,73.13
BSELINFRA,EQ,2015-03-11,2.60,2.60,2.70,2.50,2.70,2.60,2.58,54020,1.40,66,32927,60.95
BSELINFRA,EQ,2015-03-12,2.60,2.60,2.70,2.55,2.60,2.60,2.61,10424,0.27,69,8562,82.14
BSELINFRA,EQ,2015-03-13,2.60,2.70,2.70,2.50,2.65,2.65,2.61,68696,1.79,88,53243,77.51
BSELINFRA,EQ,2015-03-16,2.65,2.65,2.65,2.45,2.45,2.55,2.54,56583,1.44,89,44884,79.32
BSELINFRA,EQ,2015-03-17,2.55,2.50,2.60,2.40,2.40,2.45,2.50,15642,0.39,33,12286,78.54
BSELINFRA,EQ,2015-03-18,2.45,2.60,2.60,2.30,2.35,2.40,2.38,87686,2.09,98,66123,75.41
BSELINFRA,EQ,2015-03-19,2.40,2.30,2.45,2.30,2.40,2.40,2.38,25487,0.61,58,19883,78.01
BSELINFRA,EQ,2015-03-20,2.40,2.30,2.45,2.20,2.30,2.25,2.30,57207,1.32,91,39005,68.18
BSELINFRA,EQ,2015-03-23,2.25,2.20,2.30,2.10,2.15,2.10,2.18,55876,1.22,84,51362,91.92
BSELINFRA,EQ,2015-03-24,2.10,2.00,2.20,1.95,2.10,2.00,2.05,29905,0.61,82,26016,87.00
BSELINFRA,EQ,2015-03-25,2.00,2.25,2.25,2.05,2.10,2.15,2.10,31603,0.66,75,24683,78.10
BSELINFRA,EQ,2015-03-26,2.15,2.05,2.25,2.00,2.15,2.10,2.12,81725,1.73,109,73575,90.03
BSELINFRA,EQ,2015-03-27,2.10,2.00,2.15,1.80,1.95,1.90,1.90,99606,1.89,104,80778,81.10
BSELINFRA,EQ,2015-03-30,1.90,1.90,2.00,1.90,1.90,1.90,1.97,37337,0.73,60,32331,86.59
BSELINFRA,EQ,2015-03-31,1.90,2.25,2.25,1.80,1.80,1.85,1.90,48168,0.92,63,40453,83.98
BSELINFRA,EQ,2015-04-01,1.85,1.90,2.15,1.85,2.05,2.05,2.03,97575,1.98,104,64683,66.29
BSELINFRA,EQ,2015-04-06,2.05,1.90,2.20,1.90,2.10,2.15,2.11,43232,0.91,64,41617,96.26
BSELINFRA,EQ,2015-04-07,2.15,2.15,2.35,2.05,2.25,2.25,2.18,28277,0.62,65,18536,65.55
BSELINFRA,EQ,2015-04-08,2.25,2.10,2.60,2.10,2.45,2.45,2.40,166767,4.01,119,109382,65.59
BSELINFRA,EQ,2015-04-09,2.45,2.45,2.50,2.35,2.45,2.35,2.38,65846,1.57,65,46733,70.97
BSELINFRA,EQ,2015-04-10,2.35,2.55,2.55,2.30,2.35,2.35,2.38,38587,0.92,77,23585,61.12
BSELINFRA,EQ,2015-04-13,2.35,2.35,2.45,2.30,2.40,2.40,2.36,37411,0.88,80,28155,75.26
BSELINFRA,EQ,2015-04-15,2.40,2.35,2.45,2.30,2.30,2.35,2.37,39613,0.94,59,29986,75.70
BSELINFRA,EQ,2015-04-16,2.35,2.30,2.40,2.25,2.25,2.25,2.31,16376,0.38,52,11172,68.22
BSELINFRA,EQ,2015-04-17,2.25,2.25,2.50,2.25,2.45,2.40,2.43,104383,2.54,165,76919,73.69
BSELINFRA,EQ,2015-04-20,2.40,2.25,2.50,2.25,2.30,2.40,2.39,80644,1.93,102,58856,72.98
BSELINFRA,EQ,2015-04-21,2.40,2.30,2.45,2.30,2.40,2.40,2.40,29632,0.71,38,24085,81.28
BSELINFRA,EQ,2015-04-22,2.40,2.30,2.40,2.25,2.30,2.30,2.33,37416,0.87,60,26924,71.96
BSELINFRA,EQ,2015-04-23,2.30,2.25,2.45,2.15,2.30,2.20,2.29,49640,1.14,78,47067,94.82
BSELINFRA,EQ,2015-04-24,2.20,2.20,2.35,2.05,2.10,2.10,2.14,69468,1.48,88,50731,73.03
BSELINFRA,EQ,2015-04-27,2.10,2.10,2.10,1.75,2.10,2.05,1.93,100856,1.95,138,64868,64.32
BSELINFRA,EQ,2015-04-28,2.05,1.90,2.15,1.85,2.15,2.10,2.00,52401,1.05,119,33031,63.04
BSELINFRA,EQ,2015-04-29,2.10,2.00,2.20,1.95,2.20,2.15,2.05,50448,1.03,69,36532,72.42
BSELINFRA,EQ,2015-04-30,2.15,2.15,2.20,2.00,2.15,2.15,2.08,28078,0.58,42,19913,70.92
BSELINFRA,EQ,2015-05-04,2.15,2.05,2.25,2.05,2.15,2.15,2.16,19688,0.43,28,17588,89.33
BSELINFRA,EQ,2015-05-05,2.15,2.10,2.20,2.10,2.20,2.15,2.16,11072,0.24,28,8072,72.90
BSELINFRA,EQ,2015-05-06,2.15,2.20,2.20,1.90,2.10,2.05,2.04,16298,0.33,37,13180,80.87
BSELINFRA,EQ,2015-05-07,2.05,2.20,2.20,2.00,2.10,2.05,2.03,26895,0.55,48,23691,88.09
BSELINFRA,EQ,2015-05-08,2.05,2.00,2.40,2.00,2.25,2.15,2.19,60828,1.33,125,41689,68.54
BSELINFRA,EQ,2015-05-11,2.15,2.50,2.50,2.05,2.25,2.25,2.21,22443,0.50,79,19582,87.25
BSELINFRA,EQ,2015-05-12,2.25,2.10,2.20,2.00,2.15,2.10,2.10,32742,0.69,71,30387,92.81
BSELINFRA,EQ,2015-05-13,2.10,2.25,2.25,2.05,2.20,2.15,2.16,31223,0.67,49,16787,53.76
BSELINFRA,EQ,2015-05-14,2.15,2.05,2.20,2.05,2.15,2.15,2.09,11092,0.23,44,8292,74.76
BSELINFRA,EQ,2015-05-15,2.15,2.20,2.20,2.05,2.10,2.05,2.11,11911,0.25,30,7602,63.82
BSELINFRA,EQ,2015-05-18,2.05,2.20,2.35,1.85,2.10,2.05,2.03,13900,0.28,43,6916,49.76
BSELINFRA,EQ,2015-05-19,2.05,2.20,2.20,1.90,2.10,2.00,2.01,27319,0.55,43,25058,91.72
BSELINFRA,EQ,2015-05-20,2.00,2.20,2.20,2.00,2.10,2.05,2.07,13239,0.27,54,9377,70.83
BSELINFRA,EQ,2015-05-21,2.05,2.05,2.15,2.00,2.10,2.05,2.06,4395,0.09,36,4326,98.43
BSELINFRA,EQ,2015-05-22,2.05,2.00,2.15,2.00,2.10,2.05,2.06,24434,0.50,50,15616,63.91
BSELINFRA,EQ,2015-05-25,2.05,2.15,2.25,2.05,2.25,2.20,2.18,143938,3.14,119,111108,77.19
BSELINFRA,EQ,2015-05-26,2.20,2.40,2.40,2.15,2.20,2.20,2.19,63598,1.39,66,50326,79.13
BSELINFRA,EQ,2015-05-27,2.20,2.15,2.25,2.05,2.15,2.10,2.13,38027,0.81,84,24335,63.99
BSELINFRA,EQ,2015-05-28,2.10,2.05,2.20,2.05,2.10,2.10,2.12,24033,0.51,37,14922,62.09
BSELINFRA,EQ,2015-05-29,2.10,2.10,2.40,2.10,2.35,2.30,2.27,60676,1.38,113,40609,66.93
BSELINFRA,EQ,2015-06-01,2.30,2.20,2.30,2.15,2.20,2.20,2.21,22399,0.50,25,14196,63.38
BSELINFRA,EQ,2015-06-02,2.20,2.20,2.30,2.00,2.10,2.00,2.12,40239,0.85,106,26878,66.80
BSELINFRA,EQ,2015-06-03,2.00,2.20,2.20,1.70,1.95,1.90,1.85,63426,1.17,120,42467,66.96
BSELINFRA,EQ,2015-06-04,1.90,1.80,2.10,1.80,2.05,1.90,1.95,16044,0.31,81,11363,70.82
BSELINFRA,EQ,2015-06-05,1.90,2.00,2.25,1.90,2.20,2.10,2.17,58895,1.28,192,37512,63.69
BSELINFRA,EQ,2015-06-08,2.10,2.00,2.05,2.00,2.00,2.00,2.02,22910,0.46,49,18830,82.19
BSELINFRA,EQ,2015-06-09,2.00,1.90,2.05,1.90,2.05,2.05,1.95,22636,0.44,106,13224,58.42
BSELINFRA,EQ,2015-06-10,2.05,2.15,2.15,1.90,2.10,2.05,1.98,14661,0.29,36,10005,68.24
BSELINFRA,EQ,2015-06-11,2.05,2.00,2.10,1.90,2.00,1.95,1.96,14148,0.28,33,7561,53.44
BSELINFRA,EQ,2015-06-12,1.95,1.90,2.10,1.90,2.00,2.00,1.96,5630,0.11,34,4234,75.20
BSELINFRA,EQ,2015-06-15,2.00,1.90,2.00,1.90,1.90,1.90,1.93,9812,0.19,22,4771,48.62
BSELINFRA,EQ,2015-06-16,1.90,2.10,2.10,1.80,2.00,1.95,1.95,11645,0.23,27,6580,56.50
BSELINFRA,EQ,2015-06-17,1.95,1.90,2.15,1.85,1.95,2.00,2.00,42462,0.85,460,25713,60.56
BSELINFRA,EQ,2015-06-18,2.00,1.95,2.05,1.90,1.95,2.00,1.98,12409,0.25,559,4774,38.47
BSELINFRA,EQ,2015-06-19,2.00,1.95,2.10,1.95,2.10,2.05,2.03,31062,0.63,516,20391,65.65
BSELINFRA,EQ,2015-06-22,2.05,2.00,2.20,1.95,2.05,2.05,2.06,41638,0.86,333,31095,74.68
BSELINFRA,EQ,2015-06-23,2.05,1.95,2.10,1.95,2.05,2.00,2.03,29213,0.59,38,24111,82.54
BSELINFRA,EQ,2015-06-24,2.00,2.10,2.10,2.00,2.10,2.10,2.09,21759,0.45,30,14091,64.76
BSELINFRA,EQ,2015-06-25,2.10,2.00,2.10,2.00,2.10,2.00,2.02,14916,0.30,27,14666,98.32
BSELINFRA,EQ,2015-06-26,2.00,2.10,2.10,2.00,2.10,2.05,2.03,4280,0.09,124,2353,54.98
BSELINFRA,EQ,2015-06-29,2.05,1.90,2.05,1.85,2.00,1.95,1.93,21888,0.42,74,17243,78.78
BSELINFRA,EQ,2015-06-30,1.95,2.05,2.20,1.95,2.10,2.00,2.07,38010,0.79,76,24872,65.44
BSELINFRA,EQ,2015-07-01,2.00,1.95,2.30,1.95,2.00,2.00,2.01,59164,1.19,73,38021,64.26
BSELINFRA,EQ,2015-07-02,2.00,2.00,2.15,2.00,2.05,2.05,2.10,28703,0.60,51,23230,80.93
BSELINFRA,EQ,2015-07-03,2.05,2.15,2.20,2.00,2.05,2.00,2.04,49065,1.00,134,34022,69.34
BSELINFRA,EQ,2015-07-06,2.00,2.10,2.10,1.90,1.95,1.95,1.98,78331,1.55,60,46137,58.90
BSELINFRA,EQ,2015-07-07,1.95,2.00,2.10,1.95,2.00,2.00,2.00,91842,1.83,269,78480,85.45
BSELINFRA,EQ,2015-07-08,2.00,2.05,2.10,1.85,1.95,2.00,1.96,113300,2.22,76,63952,56.44
BSELINFRA,EQ,2015-07-09,2.00,2.00,2.05,1.95,2.00,2.00,2.01,21550,0.43,27,21150,98.14
BSELINFRA,EQ,2015-07-10,2.00,2.00,2.20,2.00,2.15,2.10,2.08,104279,2.17,153,85930,82.40
BSELINFRA,EQ,2015-07-13,2.10,2.10,2.15,1.95,2.05,2.05,2.02,98911,2.00,145,78295,79.16
BSELINFRA,EQ,2015-07-14,2.05,2.05,2.05,1.90,1.95,1.95,1.95,140154,2.73,152,118270,84.39
BSELINFRA,EQ,2015-07-15,1.95,1.90,2.05,1.85,1.95,1.95,1.92,128530,2.46,106,73640,57.29
