Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BUTTERFLY,EQ,2014-12-03,259.95,259.00,264.35,257.00,258.00,257.85,259.31,3017,7.82,96,1906,63.18
BUTTERFLY,EQ,2014-12-04,257.85,267.50,267.80,259.00,259.00,259.20,260.87,3826,9.98,116,3034,79.30
BUTTERFLY,EQ,2014-12-05,259.20,262.85,263.00,255.00,255.00,255.50,259.13,9980,25.86,146,7766,77.82
BUTTERFLY,EQ,2014-12-08,255.50,255.55,259.95,254.50,255.00,254.95,256.74,2913,7.48,121,2177,74.73
BUTTERFLY,EQ,2014-12-09,254.95,262.95,262.95,252.00,257.75,256.20,256.66,3096,7.95,96,2385,77.03
BUTTERFLY,EQ,2014-12-10,256.20,260.00,260.05,243.50,245.05,246.30,254.44,11901,30.28,177,9500,79.83
BUTTERFLY,EQ,2014-12-11,246.30,242.60,253.00,222.70,243.10,243.55,246.91,5077,12.54,122,2878,56.69
BUTTERFLY,EQ,2014-12-12,243.55,240.00,243.15,230.50,234.80,233.90,236.41,3063,7.24,135,2408,78.62
BUTTERFLY,EQ,2014-12-15,233.90,250.00,250.00,227.00,232.00,227.75,231.41,9870,22.84,118,8568,86.81
BUTTERFLY,EQ,2014-12-16,227.75,230.10,230.10,207.55,212.95,213.15,218.67,7814,17.09,168,6510,83.31
BUTTERFLY,EQ,2014-12-17,213.15,214.00,219.40,207.00,214.00,214.75,210.70,11591,24.42,191,9676,83.48
BUTTERFLY,EQ,2014-12-18,214.75,216.95,225.10,216.95,220.00,220.00,220.61,3814,8.41,118,2761,72.39
BUTTERFLY,EQ,2014-12-19,220.00,220.00,231.90,218.05,223.70,221.75,221.64,2193,4.86,83,1315,59.96
BUTTERFLY,EQ,2014-12-22,221.75,220.00,220.00,215.05,219.75,219.40,219.26,1865,4.09,40,1473,78.98
BUTTERFLY,EQ,2014-12-23,219.40,218.00,219.65,211.00,211.00,214.95,214.24,647,1.39,59,382,59.04
BUTTERFLY,EQ,2014-12-24,214.95,213.00,228.95,212.35,222.00,216.90,220.00,978,2.15,96,541,55.32
BUTTERFLY,EQ,2014-12-26,216.90,215.00,225.00,213.30,225.00,222.00,217.57,2239,4.87,94,750,33.50
BUTTERFLY,EQ,2014-12-29,222.00,224.00,224.95,216.95,220.60,219.50,220.04,1640,3.61,48,1170,71.34
BUTTERFLY,EQ,2014-12-30,219.50,220.00,221.00,215.10,215.15,215.25,218.17,426,0.93,27,267,62.68
BUTTERFLY,EQ,2014-12-31,215.25,217.00,229.00,212.00,219.90,218.15,222.31,5411,12.03,207,3411,63.04
