Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CAPF,EQ,2014-12-03,356.55,357.00,364.60,355.50,360.00,359.45,359.77,160719,578.22,4302,56338,35.05
CAPF,EQ,2014-12-04,359.45,360.00,362.70,352.15,354.00,353.90,355.99,76890,273.72,2235,33793,43.95
CAPF,EQ,2014-12-05,353.90,353.00,358.40,348.30,350.05,349.05,353.06,103141,364.15,1956,57354,55.61
CAPF,EQ,2014-12-08,349.05,347.00,350.95,335.70,339.00,339.05,342.92,70544,241.91,1762,45094,63.92
CAPF,EQ,2014-12-09,339.05,345.50,345.50,327.30,329.80,329.10,332.74,103201,343.39,2016,69865,67.70
CAPF,EQ,2014-12-10,329.10,329.10,344.00,325.15,341.90,341.10,337.45,136705,461.32,3086,66289,48.49
CAPF,EQ,2014-12-11,341.10,339.80,341.50,331.60,338.00,336.15,336.58,103954,349.89,2714,37345,35.92
CAPF,EQ,2014-12-12,336.15,337.55,342.70,327.00,330.40,328.70,333.45,95823,319.52,2169,50463,52.66
CAPF,EQ,2014-12-15,328.70,325.00,344.80,323.55,340.80,340.60,338.40,219004,741.11,10371,119458,54.55
CAPF,EQ,2014-12-16,340.60,333.10,341.80,327.40,329.00,329.70,333.89,222952,744.42,7628,121818,54.64
CAPF,EQ,2014-12-17,329.70,326.50,329.90,307.95,318.40,318.80,319.61,238469,762.16,4923,112519,47.18
CAPF,EQ,2014-12-18,318.80,328.00,349.65,325.25,348.20,345.75,338.42,307476,1040.55,5138,148971,48.45
CAPF,EQ,2014-12-19,345.75,354.40,363.65,346.10,360.40,360.75,356.64,484973,1729.59,8249,252375,52.04
CAPF,EQ,2014-12-22,360.75,362.90,366.75,357.80,360.50,359.80,362.83,229416,832.40,6305,120987,52.74
CAPF,EQ,2014-12-23,359.80,362.25,364.50,354.20,356.00,356.10,358.71,158403,568.21,3872,101152,63.86
CAPF,EQ,2014-12-24,356.10,356.00,362.00,348.10,357.00,357.60,356.00,98819,351.79,3127,37984,38.44
CAPF,EQ,2014-12-26,357.60,360.35,360.35,344.55,349.55,348.00,350.57,85803,300.80,1805,45305,52.80
CAPF,EQ,2014-12-29,348.00,354.70,360.70,350.40,356.05,355.50,356.56,118239,421.59,2395,58501,49.48
CAPF,EQ,2014-12-30,355.50,355.15,359.00,352.00,352.60,353.70,355.42,93353,331.80,5272,60478,64.78
CAPF,EQ,2014-12-31,353.70,352.00,370.75,351.00,367.00,367.05,364.13,423643,1542.59,9675,214959,50.74
CAPF,EQ,2015-01-01,367.05,368.80,375.00,366.15,373.60,372.35,371.10,320264,1188.49,5005,131508,41.06
CAPF,EQ,2015-01-02,372.35,375.50,384.40,370.50,379.00,379.20,378.00,534456,2020.24,7895,192675,36.05
CAPF,EQ,2015-01-05,379.20,380.50,387.00,374.25,382.75,382.80,382.51,234992,898.87,5022,78780,33.52
CAPF,EQ,2015-01-06,382.80,379.00,379.00,356.35,362.00,359.90,366.58,182115,667.59,4092,91203,50.08
CAPF,EQ,2015-01-07,359.90,360.50,369.00,355.80,360.50,359.30,361.69,165144,597.31,4324,50116,30.35
CAPF,EQ,2015-01-08,359.30,368.75,373.00,363.25,372.65,371.45,368.42,193778,713.91,6602,81020,41.81
CAPF,EQ,2015-01-09,371.45,373.90,376.05,366.45,370.00,369.75,371.08,76736,284.75,1632,37894,49.38
CAPF,EQ,2015-01-12,369.75,368.10,370.50,362.50,363.55,364.50,366.73,70862,259.87,1947,35486,50.08
CAPF,EQ,2015-01-13,364.50,365.50,371.70,360.85,363.50,363.25,367.09,113930,418.23,2897,41474,36.40
CAPF,EQ,2015-01-14,363.25,364.40,403.50,361.50,398.00,393.65,386.94,790720,3059.57,14558,281921,35.65
CAPF,EQ,2015-01-15,393.65,402.40,404.90,390.15,390.15,392.40,397.81,434544,1728.67,9566,176774,40.68
CAPF,EQ,2015-01-16,392.40,393.00,419.20,386.30,415.50,414.85,407.82,728187,2969.73,15321,181641,24.94
CAPF,EQ,2015-01-19,414.85,417.40,425.00,411.50,416.00,417.15,418.59,357505,1496.47,7746,123821,34.63
CAPF,EQ,2015-01-20,417.15,417.70,430.70,414.30,418.50,418.25,422.67,337556,1426.75,6494,144338,42.76
CAPF,EQ,2015-01-21,418.25,418.80,420.55,407.10,412.70,414.10,414.38,156533,648.64,4330,79042,50.50
CAPF,EQ,2015-01-22,414.10,415.15,417.35,405.00,411.90,409.20,409.85,109559,449.02,4439,48096,43.90
CAPF,EQ,2015-01-23,409.20,414.90,417.00,390.10,398.20,398.05,401.19,259186,1039.82,5641,106043,40.91
CAPF,EQ,2015-01-27,398.05,399.00,412.80,392.50,404.00,407.30,405.47,185812,753.42,5109,74851,40.28
CAPF,EQ,2015-01-28,407.30,401.30,421.10,401.30,409.20,408.90,412.70,307795,1270.28,6942,122557,39.82
CAPF,EQ,2015-01-29,408.90,409.80,415.60,405.25,409.50,409.30,410.71,135201,555.28,3972,65000,48.08
CAPF,EQ,2015-01-30,409.30,412.70,415.00,401.10,403.70,403.05,407.08,127374,518.52,3592,51577,40.49
CAPF,EQ,2015-02-02,403.05,402.90,407.00,397.65,400.20,401.75,402.81,81214,327.14,3389,32699,40.26
CAPF,EQ,2015-02-03,401.75,404.85,409.50,400.15,401.75,402.30,403.88,74271,299.97,2976,29826,40.16
CAPF,EQ,2015-02-04,402.30,404.35,407.95,394.05,395.55,396.90,401.56,75993,305.15,2531,33345,43.88
CAPF,EQ,2015-02-05,396.90,397.90,403.60,384.10,385.00,390.05,396.36,107635,426.62,2381,41118,38.20
CAPF,EQ,2015-02-06,390.05,388.80,389.55,375.35,383.90,382.20,383.45,106606,408.78,2615,42895,40.24
CAPF,EQ,2015-02-09,382.20,380.00,400.00,372.95,392.10,391.25,391.76,118854,465.62,6313,47250,39.75
CAPF,EQ,2015-02-10,391.25,389.95,404.50,385.35,396.20,391.80,396.19,115739,458.54,4102,54531,47.12
CAPF,EQ,2015-02-11,391.80,406.50,423.25,406.00,415.60,416.25,414.86,482322,2000.94,12924,143501,29.75
CAPF,EQ,2015-02-12,416.25,419.80,422.45,411.10,414.00,416.00,417.86,145463,607.83,4029,76803,52.80
CAPF,EQ,2015-02-13,416.00,415.05,417.00,403.25,411.00,408.80,411.53,81962,337.30,2436,41366,50.47
CAPF,EQ,2015-02-16,408.80,409.00,419.90,407.10,410.00,410.35,414.03,129164,534.78,3779,69358,53.70
CAPF,EQ,2015-02-18,410.35,413.95,413.95,404.00,405.20,406.10,407.49,90881,370.33,2682,48862,53.76
CAPF,EQ,2015-02-19,406.10,410.15,414.50,401.25,406.50,407.25,408.44,99405,406.01,2791,45652,45.93
CAPF,EQ,2015-02-20,407.25,407.80,419.00,404.00,409.60,409.70,413.35,139142,575.14,3322,68046,48.90
CAPF,EQ,2015-02-23,409.70,410.20,431.40,410.00,417.00,417.75,424.35,355505,1508.57,8095,135397,38.09
CAPF,EQ,2015-02-24,417.75,415.50,424.75,412.35,414.70,415.90,417.99,91545,382.65,2465,34837,38.05
CAPF,EQ,2015-02-25,415.90,417.10,419.70,410.00,412.45,411.90,413.41,80432,332.51,2429,31549,39.22
CAPF,EQ,2015-02-26,411.90,413.50,414.00,398.05,400.85,401.20,405.23,79034,320.27,2121,43748,55.35
CAPF,EQ,2015-02-27,401.20,403.00,417.00,402.00,415.00,414.05,409.78,107654,441.14,3201,50005,46.45
CAPF,EQ,2015-02-28,414.05,419.00,427.35,398.00,425.00,420.95,414.18,175193,725.61,3796,78273,44.68
CAPF,EQ,2015-03-02,420.95,426.10,438.40,423.75,429.25,430.65,431.78,211579,913.56,5057,111469,52.68
CAPF,EQ,2015-03-03,430.65,431.25,435.00,425.10,431.10,432.45,430.95,94933,409.12,2933,48592,51.19
CAPF,EQ,2015-03-04,432.45,438.25,440.00,415.00,417.75,418.40,429.13,137180,588.68,3961,72035,52.51
CAPF,EQ,2015-03-05,418.40,414.00,428.35,414.00,425.00,426.00,420.91,97706,411.25,3428,38291,39.19
CAPF,EQ,2015-03-09,426.00,424.00,430.00,410.75,416.60,416.50,421.40,88755,374.01,3789,32363,36.46
CAPF,EQ,2015-03-10,416.50,417.75,423.75,409.00,413.15,413.35,417.13,211612,882.71,3199,161321,76.23
CAPF,EQ,2015-03-11,413.35,413.35,418.70,409.50,410.15,410.80,413.80,61262,253.50,2054,33324,54.40
CAPF,EQ,2015-03-12,410.80,412.70,418.40,410.00,412.20,411.20,413.31,111686,461.61,3193,58039,51.97
CAPF,EQ,2015-03-13,411.20,414.90,418.00,400.35,402.00,403.45,410.25,187197,767.97,4311,118806,63.47
CAPF,EQ,2015-03-16,403.45,403.45,403.45,389.55,390.90,391.60,393.95,96934,381.88,3837,52711,54.38
CAPF,EQ,2015-03-17,391.60,394.60,403.40,392.00,396.50,396.90,397.22,127419,506.13,4303,57357,45.01
CAPF,EQ,2015-03-18,396.90,395.00,407.70,390.05,406.00,400.10,396.78,112030,444.51,2529,60824,54.29
CAPF,EQ,2015-03-19,400.10,403.10,411.90,395.10,397.00,397.60,404.44,97160,392.95,4463,38432,39.56
CAPF,EQ,2015-03-20,397.60,398.95,409.00,385.00,389.25,387.50,396.61,176303,699.24,6045,78464,44.51
CAPF,EQ,2015-03-23,387.50,389.00,396.05,383.05,386.50,384.70,386.98,66458,257.18,2733,31360,47.19
