Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CAPLIPOINT,EQ,2014-12-03,435.00,437.00,447.00,428.05,435.75,435.05,436.85,10023,43.79,490,5746,57.33
CAPLIPOINT,EQ,2014-12-04,435.05,428.10,445.95,428.10,438.20,441.35,440.85,10715,47.24,568,7315,68.27
CAPLIPOINT,EQ,2014-12-05,441.35,439.85,439.85,430.00,430.50,431.05,433.85,7481,32.46,408,4116,55.02
CAPLIPOINT,EQ,2014-12-08,431.05,432.30,438.75,424.00,424.00,425.15,430.39,9161,39.43,328,7145,77.99
CAPLIPOINT,EQ,2014-12-09,425.15,422.00,427.75,415.00,422.00,421.20,420.04,4593,19.29,246,3016,65.67
CAPLIPOINT,EQ,2014-12-10,421.20,420.00,432.80,415.00,432.00,428.20,423.88,5537,23.47,297,3670,66.28
CAPLIPOINT,EQ,2014-12-11,428.20,430.00,437.00,418.10,425.50,422.55,422.56,4124,17.43,250,2987,72.43
CAPLIPOINT,EQ,2014-12-12,422.55,420.05,436.95,415.00,415.50,416.45,421.55,4314,18.19,247,2950,68.38
CAPLIPOINT,EQ,2014-12-15,416.45,416.00,435.00,412.00,428.10,430.05,428.46,9603,41.14,399,7496,78.06
CAPLIPOINT,EQ,2014-12-16,430.05,435.00,435.00,399.80,404.00,405.35,413.51,18363,75.93,814,14357,78.18
CAPLIPOINT,EQ,2014-12-17,405.35,409.75,413.00,382.20,398.00,393.25,395.55,10218,40.42,538,5658,55.37
CAPLIPOINT,EQ,2014-12-18,393.25,408.80,419.80,408.00,410.00,413.40,414.00,3686,15.26,284,2073,56.24
CAPLIPOINT,EQ,2014-12-19,413.40,414.95,424.25,405.10,406.10,407.20,411.64,7961,32.77,413,6091,76.51
CAPLIPOINT,EQ,2014-12-22,407.20,419.35,419.35,390.20,399.95,399.00,399.10,11889,47.45,570,6837,57.51
CAPLIPOINT,EQ,2014-12-23,399.00,400.00,400.00,391.00,396.50,394.60,394.20,5666,22.34,318,4148,73.21
CAPLIPOINT,EQ,2014-12-24,394.60,378.10,400.00,378.10,391.75,390.20,391.77,7313,28.65,293,5270,72.06
CAPLIPOINT,EQ,2014-12-26,390.20,387.00,396.40,380.30,381.05,382.15,385.17,8154,31.41,411,5859,71.85
CAPLIPOINT,EQ,2014-12-29,382.15,385.00,400.00,385.00,398.15,397.60,393.58,7130,28.06,396,4922,69.03
CAPLIPOINT,EQ,2014-12-30,397.60,406.00,410.00,391.55,407.95,404.85,403.45,7965,32.13,319,3498,43.92
CAPLIPOINT,EQ,2014-12-31,404.85,407.75,409.00,403.00,403.00,403.90,405.52,5552,22.51,213,3879,69.87
CAPLIPOINT,EQ,2015-01-01,403.90,402.05,407.25,401.00,401.55,402.45,403.21,1940,7.82,153,1394,71.86
CAPLIPOINT,EQ,2015-01-02,402.45,405.00,415.00,402.20,403.10,404.85,408.14,5584,22.79,320,3601,64.49
CAPLIPOINT,EQ,2015-01-05,404.85,411.00,412.00,401.80,412.00,410.35,408.64,10782,44.06,577,6791,62.98
CAPLIPOINT,EQ,2015-01-06,410.35,417.00,417.00,389.00,403.80,394.20,399.39,16095,64.28,738,8941,55.55
CAPLIPOINT,EQ,2015-01-07,394.20,403.95,406.70,394.95,400.25,400.70,399.91,5560,22.23,420,4175,75.09
CAPLIPOINT,EQ,2015-01-08,400.70,402.10,434.95,400.00,429.00,428.35,420.44,16510,69.41,786,10909,66.08
CAPLIPOINT,EQ,2015-01-09,428.35,430.00,439.90,425.05,433.00,431.75,432.33,8815,38.11,601,5369,60.91
CAPLIPOINT,EQ,2015-01-12,431.75,441.90,441.90,414.90,420.00,420.35,422.76,13235,55.95,603,9937,75.08
CAPLIPOINT,EQ,2015-01-13,420.35,426.40,426.50,413.80,415.50,416.00,417.27,4985,20.80,337,2736,54.88
CAPLIPOINT,EQ,2015-01-14,416.00,412.75,424.00,412.70,417.95,417.45,419.57,3138,13.17,229,1879,59.88
CAPLIPOINT,EQ,2015-01-15,417.45,417.90,426.00,414.00,418.80,418.05,420.58,10502,44.17,479,6159,58.65
CAPLIPOINT,EQ,2015-01-16,418.05,432.00,432.00,420.10,428.00,429.65,425.76,4878,20.77,310,3838,78.68
CAPLIPOINT,EQ,2015-01-19,429.65,435.00,444.20,415.00,429.90,427.70,433.14,12454,53.94,654,7911,63.52
CAPLIPOINT,EQ,2015-01-20,427.70,442.00,442.00,422.00,433.00,428.45,428.50,3206,13.74,233,2044,63.76
CAPLIPOINT,EQ,2015-01-21,428.45,429.90,435.00,426.00,427.00,428.70,430.27,3725,16.03,251,2394,64.27
CAPLIPOINT,EQ,2015-01-22,428.70,441.70,441.70,423.05,426.85,425.65,427.84,6680,28.58,418,4747,71.06
CAPLIPOINT,EQ,2015-01-23,425.65,430.00,435.00,419.00,435.00,430.95,427.22,10795,46.12,514,8378,77.61
CAPLIPOINT,EQ,2015-01-27,430.95,439.00,439.00,425.10,438.00,436.35,432.97,7086,30.68,324,5531,78.06
CAPLIPOINT,EQ,2015-01-28,436.35,439.00,439.00,431.00,435.90,435.25,435.15,6682,29.08,286,5848,87.52
CAPLIPOINT,EQ,2015-01-29,435.25,436.90,522.30,436.90,522.30,522.30,504.99,161783,817.00,6732,55212,34.13
CAPLIPOINT,EQ,2015-01-30,522.30,528.00,626.00,486.00,606.00,600.75,580.65,307761,1787.02,15196,47661,15.49
CAPLIPOINT,EQ,2015-02-02,600.75,600.00,607.50,570.00,599.00,595.45,588.15,43880,258.08,2929,12340,28.12
CAPLIPOINT,EQ,2015-02-03,595.45,603.95,654.95,590.05,654.90,651.85,642.54,139700,897.62,6152,60342,43.19
CAPLIPOINT,EQ,2015-02-04,651.85,654.00,686.70,605.00,682.80,677.75,655.80,120722,791.69,6270,41099,34.04
CAPLIPOINT,EQ,2015-02-05,677.75,617.50,630.75,610.00,610.00,610.00,610.98,20608,125.91,564,15035,72.96
CAPLIPOINT,EQ,2015-02-06,610.00,549.00,589.45,549.00,560.00,561.40,561.23,74261,416.77,4180,34349,46.25
CAPLIPOINT,EQ,2015-02-09,561.40,540.10,614.00,538.00,602.55,600.85,590.58,40467,238.99,2164,16995,42.00
CAPLIPOINT,EQ,2015-02-10,600.85,599.05,660.90,599.05,656.10,658.15,648.85,79414,515.28,2911,44639,56.21
CAPLIPOINT,EQ,2015-02-11,658.15,672.00,690.00,608.00,618.00,616.30,642.86,67892,436.45,4347,39681,58.45
CAPLIPOINT,EQ,2015-02-12,616.30,619.75,653.00,619.75,647.00,642.70,638.73,27283,174.26,1371,16909,61.98
CAPLIPOINT,EQ,2015-02-13,642.70,667.00,706.95,647.00,706.95,706.95,687.80,41801,287.51,2256,26833,64.19
CAPLIPOINT,EQ,2015-02-16,706.95,741.80,742.25,711.00,715.00,714.35,731.48,50747,371.20,1493,30622,60.34
CAPLIPOINT,EQ,2015-02-18,714.35,711.20,750.05,711.20,750.05,750.05,740.25,29696,219.82,1145,21439,72.19
CAPLIPOINT,EQ,2015-02-19,750.05,778.00,787.55,758.80,769.50,772.35,777.38,59425,461.96,2733,35177,59.20
CAPLIPOINT,EQ,2015-02-20,772.35,776.00,810.95,764.85,810.95,810.95,795.99,45377,361.20,2449,26880,59.24
CAPLIPOINT,EQ,2015-02-23,810.95,830.00,851.45,810.90,817.00,827.90,845.47,65284,551.96,2511,31389,48.08
CAPLIPOINT,EQ,2015-02-24,827.90,828.75,848.30,786.55,786.55,786.55,799.66,30301,242.30,1973,15844,52.29
CAPLIPOINT,EQ,2015-02-25,786.55,780.00,799.90,747.25,759.75,765.90,760.79,18973,144.34,1371,9889,52.12
CAPLIPOINT,EQ,2015-02-26,765.90,752.00,803.00,738.30,765.00,763.85,775.67,21504,166.80,1950,7310,33.99
CAPLIPOINT,EQ,2015-02-27,763.85,770.00,779.80,742.00,756.00,750.40,754.83,13679,103.25,1218,7372,53.89
CAPLIPOINT,EQ,2015-02-28,750.40,750.50,787.90,740.05,775.00,774.85,776.76,15488,120.30,1317,6484,41.86
CAPLIPOINT,EQ,2015-03-02,774.85,790.00,790.00,756.00,756.10,761.50,769.86,6191,47.66,570,3918,63.29
CAPLIPOINT,EQ,2015-03-03,761.50,772.35,775.00,743.00,750.00,746.70,752.18,3695,27.79,466,2597,70.28
CAPLIPOINT,EQ,2015-03-04,746.70,747.10,784.00,739.20,784.00,782.40,779.94,19644,153.21,803,11284,57.44
CAPLIPOINT,EQ,2015-03-05,782.40,797.00,821.50,784.00,821.50,819.35,813.93,21791,177.36,1308,11404,52.33
CAPLIPOINT,EQ,2015-03-09,819.35,834.90,850.10,790.00,811.00,816.95,820.16,35177,288.51,2918,15650,44.49
CAPLIPOINT,EQ,2015-03-10,816.95,819.90,823.80,781.20,800.00,800.10,802.10,35999,288.75,2145,27618,76.72
