Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CARBORUNIV,EQ,2014-12-03,169.30,170.00,175.00,170.00,174.15,174.50,174.48,127121,221.80,1823,98774,77.70
CARBORUNIV,EQ,2014-12-04,174.50,177.00,177.00,173.95,174.10,174.55,174.85,84113,147.07,782,73893,87.85
CARBORUNIV,EQ,2014-12-05,174.55,173.10,189.60,173.10,184.30,185.00,179.38,572782,1027.47,5458,375709,65.59
CARBORUNIV,EQ,2014-12-08,185.00,185.20,186.95,176.50,177.65,177.70,180.81,135147,244.36,3097,85949,63.60
CARBORUNIV,EQ,2014-12-09,177.70,178.25,180.00,172.10,173.50,173.65,176.75,51496,91.02,1144,32929,63.94
CARBORUNIV,EQ,2014-12-10,173.65,173.65,176.95,173.00,173.50,174.05,174.88,44748,78.26,806,30839,68.92
CARBORUNIV,EQ,2014-12-11,174.05,174.15,177.70,172.20,175.35,175.80,175.24,67485,118.26,1158,35838,53.11
CARBORUNIV,EQ,2014-12-12,175.80,177.00,177.75,172.00,172.05,173.00,174.57,46254,80.75,1335,27225,58.86
CARBORUNIV,EQ,2014-12-15,173.00,174.15,174.15,171.05,173.85,172.90,172.32,37862,65.24,885,26604,70.27
CARBORUNIV,EQ,2014-12-16,172.90,172.00,172.40,166.00,170.05,169.70,169.13,102347,173.10,1976,68874,67.29
CARBORUNIV,EQ,2014-12-17,169.70,169.90,174.55,162.00,173.00,173.50,169.58,68442,116.06,1562,36752,53.70
CARBORUNIV,EQ,2014-12-18,173.50,173.50,179.80,168.25,170.50,170.45,171.21,107272,183.66,2845,61302,57.15
CARBORUNIV,EQ,2014-12-19,170.45,174.75,174.75,167.10,171.00,170.75,171.03,33346,57.03,717,21009,63.00
CARBORUNIV,EQ,2014-12-22,170.75,171.00,172.70,169.10,169.50,170.05,170.30,23089,39.32,380,16785,72.70
CARBORUNIV,EQ,2014-12-23,170.05,170.10,171.85,164.60,167.25,167.45,167.48,42014,70.37,1031,24383,58.04
CARBORUNIV,EQ,2014-12-24,167.45,168.30,170.40,166.10,169.05,168.35,168.07,452334,760.23,1508,418080,92.43
CARBORUNIV,EQ,2014-12-26,168.35,173.00,173.00,167.30,171.00,171.40,170.04,639774,1087.86,4478,590033,92.23
CARBORUNIV,EQ,2014-12-29,171.40,171.35,178.50,171.05,173.15,173.85,173.62,200967,348.93,1821,155739,77.49
CARBORUNIV,EQ,2014-12-30,173.85,174.65,176.30,172.60,173.10,173.80,175.55,120869,212.18,826,105070,86.93
CARBORUNIV,EQ,2014-12-31,173.80,175.35,179.90,175.00,178.50,178.85,177.60,153824,273.19,2855,58459,38.00
CARBORUNIV,EQ,2015-01-01,178.85,179.00,182.00,175.10,180.20,181.00,180.17,65077,117.25,1468,26506,40.73
CARBORUNIV,EQ,2015-01-02,181.00,180.00,185.10,179.20,182.50,182.10,183.16,70427,128.99,1070,45165,64.13
CARBORUNIV,EQ,2015-01-05,182.10,183.10,186.00,178.20,178.20,178.80,182.21,57895,105.49,1055,37098,64.08
CARBORUNIV,EQ,2015-01-06,178.80,180.00,181.00,175.55,176.05,177.45,178.39,65334,116.55,1072,40393,61.83
CARBORUNIV,EQ,2015-01-07,177.45,175.10,176.90,172.60,173.85,173.80,174.52,36763,64.16,891,18997,51.67
CARBORUNIV,EQ,2015-01-08,173.80,174.05,179.50,174.05,177.90,177.80,177.52,44971,79.83,1244,19875,44.20
CARBORUNIV,EQ,2015-01-09,177.80,182.00,183.25,177.80,179.30,179.80,181.23,40181,72.82,845,24492,60.95
CARBORUNIV,EQ,2015-01-12,179.80,183.95,183.95,175.60,176.10,176.30,176.86,227784,402.85,1677,201958,88.66
CARBORUNIV,EQ,2015-01-13,176.30,176.00,178.40,173.50,174.20,174.45,175.83,28532,50.17,733,16280,57.06
CARBORUNIV,EQ,2015-01-14,174.45,175.05,177.90,172.40,174.00,174.05,174.02,583236,1014.97,1360,558433,95.75
CARBORUNIV,EQ,2015-01-15,174.05,176.45,177.00,172.10,173.05,173.70,174.72,32716,57.16,647,24277,74.21
CARBORUNIV,EQ,2015-01-16,173.70,175.45,175.45,165.75,168.50,167.20,169.56,91637,155.38,1855,56120,61.24
CARBORUNIV,EQ,2015-01-19,167.20,168.15,173.95,167.00,168.40,168.80,170.27,80056,136.31,1344,45179,56.43
CARBORUNIV,EQ,2015-01-20,168.80,172.00,175.65,168.05,175.35,175.10,173.92,113672,197.70,1482,88438,77.80
CARBORUNIV,EQ,2015-01-21,175.10,175.00,176.95,173.00,175.00,175.15,175.40,26222,45.99,755,19982,76.20
CARBORUNIV,EQ,2015-01-22,175.15,175.10,177.80,175.00,175.80,175.90,175.91,27625,48.59,483,20107,72.79
CARBORUNIV,EQ,2015-01-23,175.90,175.30,176.80,175.00,175.00,175.30,175.18,40265,70.54,400,34100,84.69
CARBORUNIV,EQ,2015-01-27,175.30,175.00,177.95,174.00,177.10,176.40,175.67,34159,60.01,762,25004,73.20
CARBORUNIV,EQ,2015-01-28,176.40,175.05,177.45,175.00,175.00,175.05,175.34,40241,70.56,540,33610,83.52
CARBORUNIV,EQ,2015-01-29,175.05,175.05,176.90,173.10,175.00,175.50,175.20,47611,83.41,462,37808,79.41
CARBORUNIV,EQ,2015-01-30,175.50,177.90,186.40,176.30,177.50,178.95,179.07,153665,275.17,4408,59587,38.78
CARBORUNIV,EQ,2015-02-02,178.95,179.00,181.55,178.30,180.00,180.30,180.08,52760,95.01,735,38541,73.05
CARBORUNIV,EQ,2015-02-03,180.30,178.20,193.00,178.20,187.55,188.45,188.27,284167,534.99,5361,133234,46.89
CARBORUNIV,EQ,2015-02-04,188.45,188.45,189.65,183.20,183.25,184.80,185.76,59765,111.02,1241,41220,68.97
CARBORUNIV,EQ,2015-02-05,184.80,186.05,187.60,185.00,185.00,185.05,185.11,67988,125.86,1172,47686,70.14
CARBORUNIV,EQ,2015-02-06,185.05,186.65,186.65,182.30,185.00,185.05,185.10,89524,165.71,981,76148,85.06
CARBORUNIV,EQ,2015-02-09,185.05,185.05,186.10,184.00,185.00,185.00,185.08,48697,90.13,518,41233,84.67
CARBORUNIV,EQ,2015-02-10,185.00,184.00,186.95,183.20,186.90,186.20,185.26,53519,99.15,677,38704,72.32
CARBORUNIV,EQ,2015-02-11,186.20,186.85,188.40,185.00,185.00,185.15,185.89,81861,152.17,1269,40345,49.28
CARBORUNIV,EQ,2015-02-12,185.15,185.20,187.90,183.85,186.30,186.05,185.84,38314,71.20,959,24228,63.24
CARBORUNIV,EQ,2015-02-13,186.05,187.65,187.70,185.00,185.50,185.00,185.55,63046,116.98,590,42949,68.12
CARBORUNIV,EQ,2015-02-16,185.00,185.00,186.50,184.10,185.00,185.05,185.13,36598,67.76,302,29373,80.26
CARBORUNIV,EQ,2015-02-18,185.05,184.10,190.45,184.10,187.70,187.60,187.43,101330,189.92,1576,58163,57.40
CARBORUNIV,EQ,2015-02-19,187.60,188.00,189.95,185.45,186.00,185.65,187.01,31268,58.48,414,17805,56.94
CARBORUNIV,EQ,2015-02-20,185.65,185.00,189.80,185.00,186.30,185.90,186.08,108673,202.22,1016,79664,73.31
CARBORUNIV,EQ,2015-02-23,185.90,185.30,187.70,185.00,187.70,185.80,185.41,60410,112.01,985,40912,67.72
CARBORUNIV,EQ,2015-02-24,185.80,185.00,188.95,184.20,188.90,186.35,185.72,106960,198.64,1293,66922,62.57
CARBORUNIV,EQ,2015-02-25,186.35,186.55,189.25,185.00,185.00,185.00,185.29,69285,128.38,594,43458,62.72
CARBORUNIV,EQ,2015-02-26,185.00,184.60,185.90,184.20,185.00,185.00,185.06,59658,110.40,545,38829,65.09
CARBORUNIV,EQ,2015-02-27,185.00,184.50,185.90,184.50,185.00,185.00,185.04,64498,119.34,368,46024,71.36
CARBORUNIV,EQ,2015-02-28,185.00,185.90,187.00,185.00,185.00,185.00,185.14,45755,84.71,443,29910,65.37
CARBORUNIV,EQ,2015-03-02,185.00,185.00,186.90,185.00,185.05,185.15,185.32,20563,38.11,297,11508,55.96
CARBORUNIV,EQ,2015-03-03,185.15,185.60,186.50,185.00,185.60,185.00,185.08,39405,72.93,378,26188,66.46
CARBORUNIV,EQ,2015-03-04,185.00,185.00,187.00,185.00,185.00,185.00,185.17,78007,144.45,552,53043,68.00
CARBORUNIV,EQ,2015-03-05,185.00,185.60,187.80,185.00,185.00,185.00,185.38,30439,56.43,369,16762,55.07
CARBORUNIV,EQ,2015-03-09,185.00,186.00,186.00,185.00,185.00,185.05,185.08,28637,53.00,328,20985,73.28
CARBORUNIV,EQ,2015-03-10,185.05,185.55,185.75,180.50,182.00,182.20,184.48,79845,147.30,741,60138,75.32
