Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CARERATING,EQ,2014-12-03,1421.05,1412.25,1435.00,1406.20,1411.00,1408.05,1416.49,21645,306.60,3016,16588,76.64
CARERATING,EQ,2014-12-04,1408.05,1401.00,1430.00,1401.00,1412.80,1410.95,1419.57,15922,226.02,1487,9873,62.01
CARERATING,EQ,2014-12-05,1410.95,1422.80,1422.80,1378.00,1389.95,1383.20,1399.38,20628,288.66,2004,13804,66.92
CARERATING,EQ,2014-12-08,1383.20,1385.05,1418.90,1385.00,1400.00,1395.55,1400.98,22036,308.72,3398,14267,64.74
CARERATING,EQ,2014-12-09,1395.55,1390.05,1416.70,1317.00,1338.20,1326.70,1366.25,104081,1422.01,6263,34543,33.19
CARERATING,EQ,2014-12-10,1326.70,1347.00,1404.40,1334.00,1393.50,1392.45,1382.93,67126,928.31,2603,16392,24.42
CARERATING,EQ,2014-12-11,1392.45,1385.00,1405.00,1365.00,1385.00,1382.30,1387.55,22607,313.68,2378,13586,60.10
CARERATING,EQ,2014-12-12,1382.30,1391.35,1409.90,1378.00,1393.00,1389.35,1388.90,18077,251.07,1303,14534,80.40
CARERATING,EQ,2014-12-15,1389.35,1408.00,1470.00,1391.05,1460.00,1465.85,1442.63,120401,1736.94,15989,78004,64.79
CARERATING,EQ,2014-12-16,1465.85,1469.25,1499.60,1456.10,1465.00,1471.15,1479.51,223949,3313.35,13958,166373,74.29
CARERATING,EQ,2014-12-17,1471.15,1466.00,1490.00,1442.10,1465.00,1469.90,1472.91,146442,2156.96,9780,102800,70.20
CARERATING,EQ,2014-12-18,1469.90,1470.25,1495.00,1434.00,1444.05,1452.40,1463.60,116294,1702.08,3243,95333,81.98
CARERATING,EQ,2014-12-19,1452.40,1463.00,1489.00,1427.00,1465.00,1470.05,1463.64,183653,2688.02,9269,139370,75.89
CARERATING,EQ,2014-12-22,1470.05,1490.00,1490.00,1450.30,1477.00,1475.95,1474.26,28046,413.47,2148,13353,47.61
CARERATING,EQ,2014-12-23,1475.95,1463.10,1480.00,1442.25,1448.00,1455.20,1461.25,19317,282.27,1351,12597,65.21
CARERATING,EQ,2014-12-24,1455.20,1474.00,1474.00,1435.00,1440.00,1440.05,1441.13,27118,390.81,870,23761,87.62
CARERATING,EQ,2014-12-26,1440.05,1448.00,1461.00,1428.00,1428.00,1435.30,1447.23,24264,351.16,1829,15435,63.61
CARERATING,EQ,2014-12-29,1435.30,1440.00,1467.70,1405.70,1415.00,1418.30,1434.00,39153,561.45,1733,33282,85.00
CARERATING,EQ,2014-12-30,1418.30,1449.50,1455.00,1415.00,1429.50,1429.80,1434.17,39602,567.96,3190,23758,59.99
CARERATING,EQ,2014-12-31,1429.80,1448.50,1499.00,1432.00,1499.00,1481.75,1443.70,181974,2627.16,3103,162633,89.37
CARERATING,EQ,2015-01-01,1481.75,1462.00,1535.00,1462.00,1525.00,1525.05,1512.44,38176,577.39,3567,18401,48.20
CARERATING,EQ,2015-01-02,1525.05,1545.00,1609.00,1528.95,1570.00,1562.40,1571.82,87817,1380.32,7969,48651,55.40
CARERATING,EQ,2015-01-05,1562.40,1613.95,1684.00,1575.00,1608.75,1609.15,1638.96,93849,1538.14,7953,31859,33.95
CARERATING,EQ,2015-01-06,1609.15,1610.00,1633.00,1585.00,1605.00,1605.40,1610.81,67940,1094.39,5599,44841,66.00
CARERATING,EQ,2015-01-07,1605.40,1625.00,1653.00,1581.60,1642.00,1617.75,1615.36,42601,688.16,3747,23281,54.65
CARERATING,EQ,2015-01-08,1617.75,1659.90,1715.65,1645.65,1690.00,1687.75,1690.02,182034,3076.41,9992,117140,64.35
CARERATING,EQ,2015-01-09,1687.75,1709.00,1724.70,1645.00,1666.00,1656.45,1674.41,41304,691.60,5981,21759,52.68
CARERATING,EQ,2015-01-12,1656.45,1687.00,1693.20,1630.00,1636.10,1637.00,1667.85,80225,1338.04,7443,51783,64.55
CARERATING,EQ,2015-01-13,1637.00,1640.00,1652.80,1561.60,1585.00,1591.05,1578.58,175560,2771.36,5653,139480,79.45
CARERATING,EQ,2015-01-14,1591.05,1594.70,1615.00,1566.00,1597.00,1578.65,1580.42,38284,605.05,2538,25294,66.07
CARERATING,EQ,2015-01-15,1578.65,1599.00,1605.80,1570.00,1583.10,1577.15,1583.22,68679,1087.34,4371,54169,78.87
CARERATING,EQ,2015-01-16,1577.15,1595.00,1595.00,1566.00,1567.00,1569.20,1574.89,38410,604.91,2464,29848,77.71
CARERATING,EQ,2015-01-19,1569.20,1597.00,1597.00,1565.00,1574.05,1575.75,1583.58,36021,570.42,1854,27284,75.74
CARERATING,EQ,2015-01-20,1575.75,1581.00,1592.00,1570.00,1576.95,1575.30,1577.67,27159,428.48,1933,21548,79.34
CARERATING,EQ,2015-01-21,1575.30,1570.00,1645.00,1570.00,1645.00,1632.40,1616.36,60333,975.20,6676,39567,65.58
CARERATING,EQ,2015-01-22,1632.40,1635.00,1652.85,1612.50,1620.00,1619.45,1627.20,39357,640.42,5527,28910,73.46
CARERATING,EQ,2015-01-23,1619.45,1625.00,1638.00,1556.25,1565.00,1562.80,1585.20,52712,835.59,4999,36648,69.52
CARERATING,EQ,2015-01-27,1562.80,1560.00,1644.50,1559.95,1637.90,1631.95,1613.79,118788,1916.98,8979,96102,80.90
CARERATING,EQ,2015-01-28,1631.95,1635.00,1664.50,1631.65,1655.00,1652.40,1647.82,47842,788.35,3983,29762,62.21
CARERATING,EQ,2015-01-29,1652.40,1658.90,1695.00,1636.30,1680.00,1677.25,1666.15,47857,797.37,3661,28652,59.87
CARERATING,EQ,2015-01-30,1677.25,1683.00,1692.35,1639.65,1664.50,1671.10,1664.41,34867,580.33,4295,22140,63.50
CARERATING,EQ,2015-02-02,1671.10,1680.00,1684.25,1605.00,1628.00,1634.65,1634.03,44330,724.36,4052,33523,75.62
CARERATING,EQ,2015-02-03,1634.65,1634.95,1635.00,1613.70,1624.95,1623.45,1621.48,13575,220.12,1869,9311,68.59
CARERATING,EQ,2015-02-04,1623.45,1624.00,1635.10,1615.00,1621.00,1615.90,1623.37,24650,400.16,3038,17010,69.01
CARERATING,EQ,2015-02-05,1615.90,1620.65,1645.00,1591.00,1600.00,1607.75,1618.35,28754,465.34,3163,22253,77.39
CARERATING,EQ,2015-02-06,1607.75,1613.00,1620.00,1565.70,1601.90,1596.90,1596.90,16827,268.71,2558,9836,58.45
CARERATING,EQ,2015-02-09,1596.90,1602.00,1635.00,1591.65,1605.20,1602.50,1613.60,27240,439.54,3252,16856,61.88
CARERATING,EQ,2015-02-10,1602.50,1610.00,1638.00,1600.00,1616.00,1611.35,1623.31,44426,721.17,3912,30990,69.76
CARERATING,EQ,2015-02-11,1611.35,1588.70,1619.00,1540.00,1617.00,1613.75,1574.83,63835,1005.30,4399,34113,53.44
CARERATING,EQ,2015-02-12,1613.75,1619.00,1652.00,1608.00,1640.00,1645.35,1634.55,63661,1040.57,4004,50016,78.57
CARERATING,EQ,2015-02-13,1645.35,1645.35,1658.00,1606.60,1620.00,1638.75,1637.76,37132,608.13,2812,25305,68.15
CARERATING,EQ,2015-02-16,1638.75,1639.00,1644.00,1590.00,1600.00,1600.20,1598.05,166586,2662.12,2470,158849,95.36
CARERATING,EQ,2015-02-18,1600.20,1600.20,1624.00,1598.25,1610.00,1617.25,1609.53,59542,958.35,2457,50006,83.98
CARERATING,EQ,2015-02-19,1617.25,1615.00,1625.00,1603.95,1622.00,1619.75,1614.60,20269,327.26,812,16394,80.88
CARERATING,EQ,2015-02-20,1619.75,1622.00,1635.00,1609.00,1616.00,1615.60,1623.53,27858,452.28,2205,17734,63.66
CARERATING,EQ,2015-02-23,1615.60,1612.00,1625.50,1600.00,1601.00,1607.70,1616.69,76665,1239.43,1962,65886,85.94
CARERATING,EQ,2015-02-24,1607.70,1603.10,1613.00,1580.20,1604.00,1604.65,1607.61,141691,2277.84,1789,134565,94.97
CARERATING,EQ,2015-02-25,1604.65,1605.65,1610.00,1555.00,1556.05,1563.55,1589.44,56990,905.82,2660,50478,88.57
CARERATING,EQ,2015-02-26,1563.55,1569.00,1602.80,1551.00,1600.00,1593.40,1575.87,33332,525.27,3683,27049,81.15
CARERATING,EQ,2015-02-27,1593.40,1593.25,1597.75,1565.00,1588.00,1585.35,1578.71,17698,279.40,3138,13039,73.67
CARERATING,EQ,2015-02-28,1585.35,1600.00,1614.50,1569.00,1575.90,1576.30,1596.99,30591,488.53,2184,14687,48.01
CARERATING,EQ,2015-03-02,1576.30,1580.00,1605.00,1575.05,1600.00,1599.15,1592.88,95098,1514.80,3642,81070,85.25
CARERATING,EQ,2015-03-03,1599.15,1604.00,1611.95,1580.15,1610.00,1607.45,1603.73,35434,568.27,1496,31322,88.40
CARERATING,EQ,2015-03-04,1607.45,1611.00,1625.00,1605.20,1615.00,1615.35,1616.40,17999,290.94,1505,12559,69.78
CARERATING,EQ,2015-03-05,1615.35,1614.00,1621.00,1580.00,1598.00,1591.10,1599.81,11565,185.02,1257,7600,65.72
CARERATING,EQ,2015-03-09,1591.10,1595.00,1596.05,1551.00,1558.00,1564.05,1588.38,36224,575.38,1135,33124,91.44
CARERATING,EQ,2015-03-10,1564.05,1569.00,1577.00,1530.00,1539.00,1542.30,1557.13,10300,160.38,1112,6334,61.50
CARERATING,EQ,2015-03-11,1542.30,1551.00,1568.00,1512.00,1541.00,1554.10,1551.01,23065,357.74,3106,15630,67.77
CARERATING,EQ,2015-03-12,1554.10,1559.00,1565.00,1537.85,1543.05,1546.90,1553.21,23639,367.16,3730,19690,83.29
CARERATING,EQ,2015-03-13,1546.90,1552.00,1555.00,1529.30,1538.50,1537.45,1546.60,74034,1145.01,2909,67200,90.77
CARERATING,EQ,2015-03-16,1537.45,1540.00,1544.85,1528.00,1530.00,1532.10,1539.63,136594,2103.04,1902,133367,97.64
CARERATING,EQ,2015-03-17,1532.10,1541.90,1549.85,1490.00,1497.20,1498.85,1511.92,24407,369.02,2062,18417,75.46
CARERATING,EQ,2015-03-18,1498.85,1502.00,1528.00,1470.00,1486.00,1498.35,1507.13,62775,946.10,5561,40035,63.78
CARERATING,EQ,2015-03-19,1498.35,1517.95,1539.80,1508.00,1526.00,1525.85,1528.24,181685,2776.58,4899,156072,85.90
CARERATING,EQ,2015-03-20,1525.85,1535.00,1549.00,1517.60,1540.05,1529.35,1526.86,49998,763.40,6700,40784,81.57
CARERATING,EQ,2015-03-23,1529.35,1535.00,1539.45,1508.00,1510.00,1512.45,1520.40,23543,357.95,1985,19469,82.70
CARERATING,EQ,2015-03-24,1512.45,1524.90,1524.90,1475.00,1478.05,1484.55,1492.37,11916,177.83,1606,7176,60.22
CARERATING,EQ,2015-03-25,1484.55,1501.00,1545.00,1481.20,1490.00,1490.10,1502.70,22610,339.76,2263,11004,48.67
CARERATING,EQ,2015-03-26,1490.10,1486.25,1502.10,1451.10,1475.00,1473.65,1484.79,58478,868.28,2466,53858,92.10
CARERATING,EQ,2015-03-27,1473.65,1488.80,1488.80,1450.20,1456.75,1458.95,1469.89,42810,629.26,2037,38676,90.34
CARERATING,EQ,2015-03-30,1458.95,1480.00,1480.00,1445.20,1454.00,1450.75,1456.19,14550,211.87,1487,9544,65.59
