Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AMTEKINDIA,EQ,2014-12-03,83.35,83.50,87.50,83.50,86.50,85.75,85.89,722814,620.84,4536,314007,43.44
AMTEKINDIA,EQ,2014-12-04,85.75,86.60,87.60,83.50,84.35,84.20,84.90,408580,346.90,2141,217805,53.31
AMTEKINDIA,EQ,2014-12-05,84.20,84.05,84.80,81.60,82.60,82.80,83.65,522202,436.81,2246,252170,48.29
AMTEKINDIA,EQ,2014-12-08,82.80,82.90,83.35,78.20,78.75,79.20,79.90,681321,544.38,3395,403353,59.20
AMTEKINDIA,EQ,2014-12-09,79.20,79.40,80.15,76.00,76.25,76.35,77.87,740836,576.92,3069,359700,48.55
AMTEKINDIA,EQ,2014-12-10,76.35,75.65,77.10,75.00,76.40,76.50,75.85,710532,538.95,3284,311904,43.90
AMTEKINDIA,EQ,2014-12-11,76.50,77.00,78.90,76.05,78.35,78.20,77.42,720899,558.11,5912,258337,35.84
AMTEKINDIA,EQ,2014-12-12,78.20,78.90,79.00,74.70,74.70,75.45,76.23,417018,317.91,2362,213333,51.16
AMTEKINDIA,EQ,2014-12-15,75.45,74.60,74.90,73.00,74.25,74.00,73.87,377999,279.22,1922,191714,50.72
AMTEKINDIA,EQ,2014-12-16,74.00,73.85,73.85,68.95,69.70,69.40,70.31,593530,417.30,3292,394714,66.50
AMTEKINDIA,EQ,2014-12-17,69.40,70.45,70.70,65.95,67.35,68.00,67.76,537896,364.48,2795,256127,47.62
AMTEKINDIA,EQ,2014-12-18,68.00,69.05,73.45,68.00,72.40,72.55,70.91,954997,677.23,5746,357468,37.43
AMTEKINDIA,EQ,2014-12-19,72.55,74.05,74.95,70.15,70.65,70.85,72.85,534023,389.02,2640,284598,53.29
AMTEKINDIA,EQ,2014-12-22,70.85,71.40,71.60,68.50,69.50,69.70,69.50,563044,391.32,2231,346647,61.57
AMTEKINDIA,EQ,2014-12-23,69.70,69.45,69.75,67.25,67.55,67.55,68.19,415735,283.49,2339,219410,52.78
AMTEKINDIA,EQ,2014-12-24,67.55,67.55,68.90,67.30,68.30,68.15,68.16,437985,298.53,1316,322848,73.71
AMTEKINDIA,EQ,2014-12-26,68.15,68.65,69.00,67.50,67.90,67.75,68.04,123274,83.87,1031,82826,67.19
AMTEKINDIA,EQ,2014-12-29,67.75,67.20,69.40,66.95,67.50,67.25,67.87,256840,174.33,1912,156891,61.09
AMTEKINDIA,EQ,2014-12-30,67.25,67.90,69.00,67.25,67.80,67.70,67.89,119226,80.94,1217,65953,55.32
AMTEKINDIA,EQ,2014-12-31,67.70,68.35,79.15,68.35,76.25,76.75,75.58,2932309,2216.29,21985,711450,24.26
AMTEKINDIA,EQ,2015-01-01,76.75,77.50,81.00,76.05,77.55,77.75,78.51,2280463,1790.49,18026,593435,26.02
AMTEKINDIA,EQ,2015-01-02,77.75,78.00,78.30,72.25,73.60,73.90,75.60,1113785,842.02,6878,417166,37.45
AMTEKINDIA,EQ,2015-01-05,73.90,74.35,74.90,72.50,73.55,73.45,73.76,704409,519.57,4696,273637,38.85
AMTEKINDIA,EQ,2015-01-06,73.45,72.80,73.00,69.90,69.90,70.30,71.44,372267,265.94,3070,208582,56.03
AMTEKINDIA,EQ,2015-01-07,70.30,70.70,71.55,68.30,69.80,69.75,69.95,385302,269.53,2694,187450,48.65
AMTEKINDIA,EQ,2015-01-08,69.75,70.35,71.80,69.40,69.95,70.05,70.57,334608,236.14,2103,189020,56.49
AMTEKINDIA,EQ,2015-01-09,70.05,70.90,73.10,70.40,70.85,70.85,71.56,496076,354.99,4014,197317,39.78
AMTEKINDIA,EQ,2015-01-12,70.85,71.40,71.60,69.45,69.70,69.75,70.25,265323,186.39,1765,148384,55.93
AMTEKINDIA,EQ,2015-01-13,69.75,70.00,71.00,69.50,70.00,69.85,70.34,249685,175.64,1711,130175,52.14
AMTEKINDIA,EQ,2015-01-14,69.85,69.75,70.55,68.10,68.65,68.50,68.97,316314,218.16,1667,178600,56.46
AMTEKINDIA,EQ,2015-01-15,68.50,70.30,70.70,68.55,68.85,69.00,69.22,768376,531.84,3003,250522,32.60
AMTEKINDIA,EQ,2015-01-16,69.00,69.00,69.45,68.15,68.80,68.60,68.60,807495,553.97,2380,230170,28.50
AMTEKINDIA,EQ,2015-01-19,68.60,69.20,69.50,68.25,68.75,68.65,68.63,983559,674.98,2545,173687,17.66
AMTEKINDIA,EQ,2015-01-20,68.65,69.40,69.80,68.25,68.75,69.05,68.69,1657366,1138.48,4076,251715,15.19
AMTEKINDIA,EQ,2015-01-21,69.05,69.60,69.80,68.25,68.95,68.95,68.98,1350669,931.62,2533,166241,12.31
AMTEKINDIA,EQ,2015-01-22,68.95,69.00,69.95,68.10,69.35,68.45,68.82,2991632,2058.73,4222,281851,9.42
AMTEKINDIA,EQ,2015-01-23,68.45,69.45,69.50,68.10,68.15,68.35,68.67,182937,125.62,1246,102245,55.89
AMTEKINDIA,EQ,2015-01-27,68.35,68.30,68.95,66.50,68.90,67.40,67.72,2202894,1491.91,3207,241075,10.94
AMTEKINDIA,EQ,2015-01-28,67.40,68.40,68.80,66.30,67.30,67.40,67.61,1904459,1287.64,3871,184025,9.66
AMTEKINDIA,EQ,2015-01-29,67.40,68.10,68.25,65.70,66.50,66.35,66.82,2581746,1725.20,2977,210175,8.14
AMTEKINDIA,EQ,2015-01-30,66.35,67.00,70.60,66.45,66.85,66.90,67.92,977319,663.83,4384,326642,33.42
AMTEKINDIA,EQ,2015-02-02,66.90,67.30,69.00,66.90,68.55,68.40,68.27,389394,265.84,2694,192978,49.56
AMTEKINDIA,EQ,2015-02-03,68.40,68.80,69.40,67.60,67.80,67.95,68.38,191776,131.13,1222,110018,57.37
AMTEKINDIA,EQ,2015-02-04,67.95,68.40,68.50,66.75,66.95,66.90,67.17,646872,434.47,2002,228663,35.35
AMTEKINDIA,EQ,2015-02-05,66.90,67.35,67.90,64.80,65.45,65.30,66.11,649960,429.66,2313,343521,52.85
AMTEKINDIA,EQ,2015-02-06,65.30,65.90,65.90,60.00,61.50,60.75,62.18,664285,413.06,4127,383229,57.69
AMTEKINDIA,EQ,2015-02-09,60.75,61.40,62.95,59.50,60.90,60.55,61.27,345999,212.01,1986,204985,59.24
AMTEKINDIA,EQ,2015-02-10,60.55,60.20,62.90,60.10,60.65,60.85,61.59,729751,449.43,2123,365679,50.11
AMTEKINDIA,EQ,2015-02-11,60.85,61.65,62.90,60.90,62.90,62.55,61.92,240100,148.67,1339,111409,46.40
