Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CNOVAPETRO,EQ,2014-12-10,16.10,16.75,16.75,15.45,15.45,15.45,16.20,1060,0.17,13,700,66.04
CNOVAPETRO,EQ,2014-12-11,15.45,16.20,16.20,16.20,16.20,16.20,16.20,28,0.00,1,28,100.00
CNOVAPETRO,EQ,2014-12-16,16.20,16.50,16.50,15.70,15.70,15.70,15.71,13186,2.07,3,13186,100.00
CNOVAPETRO,EQ,2014-12-17,15.70,16.00,16.00,16.00,16.00,16.00,16.00,220,0.04,2,220,100.00
CNOVAPETRO,EQ,2014-12-22,16.00,16.00,16.00,16.00,16.00,16.00,16.00,100,0.02,1,100,100.00
CNOVAPETRO,EQ,2014-12-24,16.00,16.00,16.00,16.00,16.00,16.00,16.00,50,0.01,1,50,100.00
CNOVAPETRO,EQ,2014-12-30,16.00,16.00,16.00,16.00,16.00,16.00,16.00,250,0.04,3,250,100.00
CNOVAPETRO,EQ,2015-01-01,16.00,16.75,16.80,16.75,16.80,16.80,16.80,15,0.00,2,15,100.00
CNOVAPETRO,EQ,2015-01-02,16.80,16.00,16.00,16.00,16.00,16.00,16.00,100,0.02,1,100,100.00
CNOVAPETRO,EQ,2015-01-06,16.00,17.00,17.00,17.00,17.00,17.00,17.00,14500,2.47,3,14500,100.00
CNOVAPETRO,EQ,2015-01-07,17.00,17.00,17.00,17.00,17.00,17.00,17.00,12050,2.05,6,12050,100.00
CNOVAPETRO,EQ,2015-01-08,17.00,18.70,18.70,17.05,17.05,17.05,17.09,15381,2.63,16,15360,99.86
CNOVAPETRO,EQ,2015-01-09,17.05,17.15,18.75,17.15,18.75,18.75,17.20,7019,1.21,10,7019,100.00
CNOVAPETRO,EQ,2015-01-12,18.75,18.70,18.70,18.70,18.70,18.70,18.70,50,0.01,1,50,100.00
CNOVAPETRO,EQ,2015-01-13,18.70,18.65,18.65,17.80,17.80,17.80,18.44,400,0.07,4,400,100.00
CNOVAPETRO,EQ,2015-01-14,17.80,19.50,19.55,19.50,19.55,19.55,19.53,21,0.00,3,11,52.38
CNOVAPETRO,EQ,2015-01-15,19.55,18.00,18.00,18.00,18.00,18.00,18.00,90,0.02,1,90,100.00
CNOVAPETRO,EQ,2015-01-16,18.00,19.30,19.30,16.20,18.60,18.60,18.69,236,0.04,6,225,95.34
CNOVAPETRO,EQ,2015-01-19,18.60,20.00,20.00,17.05,20.00,20.00,18.72,90,0.02,3,90,100.00
CNOVAPETRO,EQ,2015-01-20,20.00,19.95,22.00,19.95,20.00,20.70,20.86,465,0.10,9,386,83.01
CNOVAPETRO,EQ,2015-01-21,20.70,19.05,19.05,19.05,19.05,19.05,19.05,21,0.00,1,21,100.00
CNOVAPETRO,EQ,2015-01-23,19.05,19.05,20.00,18.75,20.00,20.00,18.90,370,0.07,4,370,100.00
CNOVAPETRO,EQ,2015-01-28,20.00,18.05,18.05,18.05,18.05,18.05,18.05,5,0.00,1,5,100.00
CNOVAPETRO,EQ,2015-01-29,18.05,18.50,19.80,18.50,19.80,19.80,18.51,101,0.02,2,101,100.00
CNOVAPETRO,EQ,2015-01-30,19.80,19.80,19.80,19.80,19.80,19.80,19.80,1,0.00,1,1,100.00
CNOVAPETRO,EQ,2015-02-02,19.80,21.75,21.75,18.10,18.25,18.25,18.69,1430,0.27,11,1129,78.95
CNOVAPETRO,EQ,2015-02-03,18.25,18.25,18.25,18.25,18.25,18.25,18.25,110,0.02,2,110,100.00
CNOVAPETRO,EQ,2015-02-04,18.25,18.10,19.95,18.10,19.90,19.90,18.19,508,0.09,6,467,91.93
CNOVAPETRO,EQ,2015-02-06,19.90,18.50,18.50,16.75,16.75,16.75,18.30,1201,0.22,7,1201,100.00
CNOVAPETRO,EQ,2015-02-09,16.75,18.00,20.00,18.00,18.00,19.00,18.53,190,0.04,4,150,78.95
CNOVAPETRO,EQ,2015-02-11,19.00,19.00,21.90,17.40,17.40,17.40,19.04,445,0.08,6,445,100.00
CNOVAPETRO,EQ,2015-02-12,17.40,20.85,20.85,16.00,19.45,18.75,18.45,5101,0.94,12,200,3.92
