Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
COMPUSOFT,EQ,2014-12-03,11.20,11.00,11.50,10.95,11.25,11.45,11.25,15265,1.72,70,13251,86.81
COMPUSOFT,EQ,2014-12-04,11.45,11.20,13.25,11.10,12.65,12.65,12.82,250525,32.12,748,174805,69.78
COMPUSOFT,EQ,2014-12-05,12.65,12.40,12.75,12.10,12.15,12.25,12.42,35893,4.46,183,24130,67.23
COMPUSOFT,EQ,2014-12-08,12.25,12.25,12.25,11.90,12.10,11.90,12.03,37794,4.55,109,34461,91.18
COMPUSOFT,EQ,2014-12-09,11.90,11.90,11.95,11.15,11.35,11.30,11.49,57473,6.60,218,50722,88.25
COMPUSOFT,EQ,2014-12-10,11.30,11.75,11.75,11.25,11.50,11.30,11.44,13253,1.52,123,5300,39.99
COMPUSOFT,EQ,2014-12-11,11.30,11.65,11.65,11.40,11.45,11.40,11.46,28165,3.23,94,26455,93.93
COMPUSOFT,EQ,2014-12-12,11.40,11.40,11.65,11.10,11.10,11.10,11.22,24709,2.77,96,23562,95.36
COMPUSOFT,EQ,2014-12-15,11.10,11.00,12.65,10.90,12.45,12.30,12.01,79941,9.60,483,45835,57.34
COMPUSOFT,EQ,2014-12-16,12.30,12.15,12.30,11.15,11.35,11.25,11.52,28579,3.29,195,17017,59.54
COMPUSOFT,EQ,2014-12-17,11.25,11.20,11.45,10.90,11.40,11.25,11.14,48336,5.38,108,43023,89.01
COMPUSOFT,EQ,2014-12-18,11.25,11.30,11.70,11.25,11.55,11.35,11.40,7593,0.87,50,4616,60.79
COMPUSOFT,EQ,2014-12-19,11.35,11.90,11.90,11.05,11.25,11.30,11.37,8436,0.96,79,5879,69.69
COMPUSOFT,EQ,2014-12-22,11.30,11.70,11.70,10.90,11.35,11.15,11.26,20751,2.34,111,17147,82.63
COMPUSOFT,EQ,2014-12-23,11.15,11.40,11.40,10.85,11.30,11.20,11.18,8567,0.96,76,6153,71.82
COMPUSOFT,EQ,2014-12-24,11.20,11.30,11.55,11.00,11.20,11.20,11.20,4471,0.50,79,2385,53.34
COMPUSOFT,EQ,2014-12-26,11.20,11.15,11.55,11.00,11.45,11.30,11.37,14862,1.69,84,11421,76.85
COMPUSOFT,EQ,2014-12-29,11.30,11.45,12.05,11.20,11.55,11.55,11.81,55341,6.54,281,25683,46.41
COMPUSOFT,EQ,2014-12-30,11.55,11.80,11.80,11.50,11.75,11.75,11.65,28142,3.28,91,20341,72.28
COMPUSOFT,EQ,2014-12-31,11.75,11.80,11.85,11.35,11.70,11.55,11.54,13653,1.58,72,9303,68.14
COMPUSOFT,EQ,2015-01-01,11.55,11.95,12.25,11.40,11.70,11.70,11.70,13882,1.62,94,7838,56.46
COMPUSOFT,EQ,2015-01-02,11.70,11.90,11.90,11.50,11.75,11.70,11.80,12437,1.47,53,11932,95.94
