Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
COSMOFILMS,EQ,2014-12-03,103.30,103.00,107.60,103.00,107.60,106.45,105.73,23632,24.99,431,12440,52.64
COSMOFILMS,EQ,2014-12-04,106.45,108.70,108.70,104.10,106.75,105.90,106.12,17060,18.10,369,6958,40.79
COSMOFILMS,EQ,2014-12-05,105.90,106.05,109.00,105.70,106.50,106.70,107.70,14770,15.91,329,8108,54.90
COSMOFILMS,EQ,2014-12-08,106.70,106.10,108.60,105.20,105.70,105.60,106.66,22174,23.65,297,14196,64.02
COSMOFILMS,EQ,2014-12-09,105.60,105.40,105.90,100.50,101.70,101.25,103.00,29225,30.10,566,15471,52.94
COSMOFILMS,EQ,2014-12-10,101.25,101.45,106.40,101.00,103.20,103.65,104.23,18524,19.31,318,8580,46.32
COSMOFILMS,EQ,2014-12-11,103.65,106.00,108.75,103.65,104.35,104.75,105.82,22725,24.05,413,9286,40.86
COSMOFILMS,EQ,2014-12-12,104.75,105.45,107.80,102.10,102.30,103.70,104.93,29398,30.85,458,16644,56.62
COSMOFILMS,EQ,2014-12-15,103.70,105.00,105.00,99.65,100.05,100.10,100.96,15880,16.03,302,9339,58.81
COSMOFILMS,EQ,2014-12-16,100.10,100.00,100.00,95.20,95.25,95.70,96.82,16633,16.10,375,9998,60.11
COSMOFILMS,EQ,2014-12-17,95.70,95.15,95.15,88.70,92.40,92.55,91.91,25893,23.80,483,11313,43.69
COSMOFILMS,EQ,2014-12-18,92.55,95.10,98.05,95.10,96.10,96.45,96.80,8626,8.35,231,3670,42.55
COSMOFILMS,EQ,2014-12-19,96.45,98.40,102.45,97.45,98.50,97.90,99.77,19964,19.92,558,6707,33.60
COSMOFILMS,EQ,2014-12-22,97.90,97.10,101.90,97.10,100.30,99.75,99.58,12614,12.56,264,7465,59.18
COSMOFILMS,EQ,2014-12-23,99.75,100.90,101.95,95.55,96.00,96.25,98.29,13294,13.07,412,5664,42.61
COSMOFILMS,EQ,2014-12-24,96.25,96.25,98.05,94.75,95.30,95.70,96.05,17923,17.21,419,9246,51.59
COSMOFILMS,EQ,2014-12-26,95.70,95.70,97.70,95.00,97.60,96.10,95.56,16293,15.57,216,5123,31.44
COSMOFILMS,EQ,2014-12-29,96.10,97.00,97.40,90.65,92.30,92.20,93.77,39317,36.87,656,25204,64.10
