Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
COX&KINGS,EQ,2014-12-03,279.60,279.65,284.80,276.70,277.70,277.50,280.39,822981,2307.54,15489,622555,75.65
COX&KINGS,EQ,2014-12-04,277.50,280.30,286.20,278.00,279.95,281.85,282.48,762991,2155.29,16452,484666,63.52
COX&KINGS,EQ,2014-12-05,281.85,282.25,284.90,280.25,282.90,282.20,282.29,548982,1549.75,10817,356113,64.87
COX&KINGS,EQ,2014-12-08,282.20,284.95,285.10,277.25,279.80,279.50,280.99,223546,628.14,6456,110490,49.43
COX&KINGS,EQ,2014-12-09,279.50,276.70,285.00,262.10,284.25,277.25,273.27,567013,1549.45,8706,261467,46.11
COX&KINGS,EQ,2014-12-10,277.25,278.30,282.95,273.45,274.00,275.55,277.57,284754,790.40,7860,154554,54.28
COX&KINGS,EQ,2014-12-11,275.55,273.00,276.25,269.45,273.00,271.95,271.95,583032,1585.55,10557,419139,71.89
COX&KINGS,EQ,2014-12-12,271.95,270.10,275.50,263.10,264.00,265.10,267.95,278107,745.18,6687,164825,59.27
COX&KINGS,EQ,2014-12-15,265.10,262.20,275.65,251.20,272.80,271.25,268.61,585934,1573.88,21569,343086,58.55
COX&KINGS,EQ,2014-12-16,271.25,269.95,273.90,258.40,272.00,265.15,263.63,825111,2175.27,13917,437307,53.00
COX&KINGS,EQ,2014-12-17,265.15,264.80,273.75,264.00,266.35,266.40,267.57,572820,1532.72,16913,296200,51.71
COX&KINGS,EQ,2014-12-18,266.40,269.30,277.20,269.30,273.25,273.85,273.32,411553,1124.85,8986,262334,63.74
COX&KINGS,EQ,2014-12-19,273.85,276.10,298.85,275.95,285.90,283.35,290.82,1390504,4043.82,28709,519420,37.35
COX&KINGS,EQ,2014-12-22,283.35,281.35,297.40,281.35,295.50,295.25,292.25,438132,1280.46,9229,175814,40.13
COX&KINGS,EQ,2014-12-23,295.25,296.35,299.80,287.55,296.00,294.25,292.19,245380,716.97,7241,101359,41.31
COX&KINGS,EQ,2014-12-24,294.25,295.40,302.00,293.40,298.00,298.35,299.16,456845,1366.71,8623,170757,37.38
COX&KINGS,EQ,2014-12-26,298.35,300.00,304.00,292.50,295.90,294.95,297.49,212171,631.19,6079,57342,27.03
COX&KINGS,EQ,2014-12-29,294.95,294.20,295.80,284.20,287.00,286.20,288.95,317768,918.19,10040,163685,51.51
COX&KINGS,EQ,2014-12-30,286.20,285.65,291.00,285.05,287.25,288.35,287.54,170499,490.25,5331,82320,48.28
COX&KINGS,EQ,2014-12-31,288.35,287.10,296.20,286.65,295.00,295.45,292.81,325332,952.60,9547,166923,51.31
COX&KINGS,EQ,2015-01-01,295.45,293.00,295.55,289.00,291.50,292.20,291.84,138771,404.99,3130,72533,52.27
COX&KINGS,EQ,2015-01-02,292.20,295.75,307.80,295.50,306.50,305.90,304.59,834962,2543.22,15160,352128,42.17
COX&KINGS,EQ,2015-01-05,305.90,306.95,314.95,305.95,311.50,312.10,311.72,772027,2406.55,20053,285031,36.92
COX&KINGS,EQ,2015-01-06,312.10,310.80,310.80,295.00,298.00,297.00,301.09,264657,796.84,6179,148986,56.29
COX&KINGS,EQ,2015-01-07,297.00,298.40,307.70,295.50,297.35,297.45,301.23,362157,1090.91,6394,105072,29.01
COX&KINGS,EQ,2015-01-08,297.45,300.75,308.70,300.00,305.75,306.05,304.36,291263,886.49,5590,117456,40.33
COX&KINGS,EQ,2015-01-09,306.05,308.95,321.00,306.55,318.00,318.70,315.78,989224,3123.77,17495,425432,43.01
COX&KINGS,EQ,2015-01-12,318.70,320.00,321.00,311.25,317.95,316.45,315.99,445101,1406.47,8403,194410,43.68
COX&KINGS,EQ,2015-01-13,316.45,318.95,329.30,313.10,318.00,320.05,323.50,1290982,4176.30,18874,440962,34.16
COX&KINGS,EQ,2015-01-14,320.05,320.10,325.85,313.20,316.00,315.10,320.79,461591,1480.72,8004,142372,30.84
COX&KINGS,EQ,2015-01-15,315.10,319.55,320.90,314.00,317.00,317.05,317.29,205815,653.02,4667,77086,37.45
COX&KINGS,EQ,2015-01-16,317.05,317.60,322.80,313.20,318.60,318.80,320.09,240125,768.62,7085,125903,52.43
COX&KINGS,EQ,2015-01-19,318.80,319.40,323.65,317.50,322.00,321.65,320.25,256296,820.78,5237,156952,61.24
COX&KINGS,EQ,2015-01-20,321.65,323.00,330.85,321.20,325.55,324.85,325.82,1018091,3317.14,11291,682193,67.01
COX&KINGS,EQ,2015-01-21,324.85,326.40,326.95,316.45,318.30,318.90,319.19,517875,1652.98,14660,343480,66.32
COX&KINGS,EQ,2015-01-22,318.90,322.10,322.10,311.05,313.00,313.75,316.37,145127,459.14,4045,68282,47.05
COX&KINGS,EQ,2015-01-23,313.75,316.95,318.50,311.05,311.85,312.25,314.52,180259,566.95,4693,67862,37.65
COX&KINGS,EQ,2015-01-27,312.25,312.35,314.35,303.70,311.00,310.35,309.59,184985,572.69,5898,111480,60.26
COX&KINGS,EQ,2015-01-28,310.35,308.00,315.00,307.35,310.00,310.30,313.69,482490,1513.51,3220,393902,81.64
COX&KINGS,EQ,2015-01-29,310.30,307.90,314.00,306.60,309.05,307.75,309.17,123424,381.59,2881,54638,44.27
COX&KINGS,EQ,2015-01-30,307.75,309.90,311.45,303.25,303.25,304.70,307.07,91050,279.59,2700,51568,56.64
COX&KINGS,EQ,2015-02-02,304.70,303.05,313.30,291.00,311.05,306.40,300.21,471184,1414.52,12672,223558,47.45
COX&KINGS,EQ,2015-02-03,306.40,307.70,321.75,303.20,312.95,313.85,312.97,339960,1063.97,6106,116252,34.20
COX&KINGS,EQ,2015-02-04,313.85,315.00,315.70,310.15,311.30,312.70,313.46,173641,544.30,3099,80405,46.31
COX&KINGS,EQ,2015-02-05,312.70,311.00,315.00,305.00,311.10,311.80,311.46,189095,588.95,4936,110049,58.20
COX&KINGS,EQ,2015-02-06,311.80,310.00,313.90,303.00,305.35,304.80,307.49,94363,290.16,2738,40486,42.90
COX&KINGS,EQ,2015-02-09,304.80,302.00,320.80,297.05,317.50,317.35,315.53,328748,1037.29,7968,141761,43.12
COX&KINGS,EQ,2015-02-10,317.35,317.00,324.00,313.35,317.00,317.95,318.79,503572,1605.33,6915,380669,75.59
COX&KINGS,EQ,2015-02-11,317.95,319.00,321.90,315.00,319.15,319.00,318.86,89637,285.82,2800,45195,50.42
COX&KINGS,EQ,2015-02-12,319.00,319.85,319.85,312.00,317.50,316.85,315.32,218546,689.11,5711,103856,47.52
COX&KINGS,EQ,2015-02-13,316.85,317.90,324.00,316.85,319.00,319.35,320.38,168208,538.90,4549,80762,48.01
COX&KINGS,EQ,2015-02-16,319.35,315.00,338.00,307.50,321.20,322.90,326.15,836251,2727.43,17278,342535,40.96
COX&KINGS,EQ,2015-02-18,322.90,322.10,337.85,322.10,330.75,331.40,332.58,590152,1962.73,11572,341063,57.79
COX&KINGS,EQ,2015-02-19,331.40,331.05,337.00,329.50,334.00,334.65,333.60,308548,1029.30,9806,150880,48.90
COX&KINGS,EQ,2015-02-20,334.65,335.80,344.00,333.50,336.50,334.70,338.75,459593,1556.89,12018,222883,48.50
COX&KINGS,EQ,2015-02-23,334.70,336.25,342.35,335.05,336.50,336.05,338.57,296710,1004.58,6908,143585,48.39
COX&KINGS,EQ,2015-02-24,336.05,336.00,339.00,333.20,339.00,336.85,336.38,110804,372.73,3356,53678,48.44
COX&KINGS,EQ,2015-02-25,336.85,339.00,339.00,325.30,329.70,328.55,329.96,347242,1145.75,3202,301877,86.94
COX&KINGS,EQ,2015-02-26,328.55,329.35,331.00,315.55,331.00,327.00,325.22,361030,1174.13,6879,163597,45.31
COX&KINGS,EQ,2015-02-27,327.00,330.00,333.75,326.45,328.00,329.00,329.26,244491,805.01,7211,124493,50.92
COX&KINGS,EQ,2015-02-28,329.00,331.90,339.80,317.05,320.00,320.30,326.85,343679,1123.32,6087,104484,30.40
COX&KINGS,EQ,2015-03-02,320.30,323.00,327.20,316.15,322.30,322.25,321.66,166827,536.62,3751,48661,29.17
