Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CREST,EQ,2014-12-04,52.00,50.25,50.50,49.80,49.80,50.15,50.20,40,0.02,3,20,50.00
CREST,EQ,2014-12-05,50.15,50.10,50.10,46.85,47.10,47.10,47.89,436,0.21,7,430,98.62
CREST,EQ,2014-12-08,47.10,51.00,51.00,47.45,47.80,47.80,47.72,276,0.13,3,276,100.00
CREST,EQ,2014-12-10,47.80,45.60,52.50,45.00,48.50,48.50,47.13,2611,1.23,16,1501,57.49
CREST,EQ,2014-12-16,48.50,47.00,49.50,44.05,49.50,49.50,45.90,1200,0.55,6,300,25.00
CREST,EQ,2014-12-19,49.50,49.95,52.50,49.95,52.50,52.50,51.83,883,0.46,6,883,100.00
CREST,EQ,2014-12-22,52.50,50.00,51.00,50.00,51.00,51.00,50.77,354,0.18,3,277,78.25
CREST,EQ,2014-12-23,51.00,49.50,51.00,47.00,48.20,49.65,50.49,625,0.32,6,600,96.00
CREST,EQ,2014-12-24,49.65,49.00,49.00,49.00,49.00,49.00,49.00,2,0.00,1,2,100.00
CREST,EQ,2014-12-26,49.00,47.75,47.85,47.75,47.85,47.85,47.80,207,0.10,3,207,100.00
CREST,EQ,2014-12-30,47.85,49.00,50.25,49.00,50.25,50.25,50.15,207,0.10,3,207,100.00
CREST,EQ,2015-01-01,50.25,53.45,53.45,48.70,52.50,52.50,52.50,126,0.07,3,125,99.21
CREST,EQ,2015-01-02,52.50,50.00,50.20,50.00,50.20,50.20,50.10,100,0.05,2,100,100.00
CREST,EQ,2015-01-05,50.20,52.50,59.95,41.00,48.20,48.35,51.15,3452,1.77,49,1992,57.71
CREST,EQ,2015-01-06,48.35,45.75,47.80,44.05,47.80,46.45,45.51,1268,0.58,19,1133,89.35
CREST,EQ,2015-01-07,46.45,47.00,49.00,47.00,49.00,49.00,48.31,2139,1.03,7,1939,90.65
CREST,EQ,2015-01-08,49.00,47.00,49.00,47.00,49.00,49.00,48.90,105,0.05,2,105,100.00
CREST,EQ,2015-01-09,49.00,47.60,51.45,45.25,50.00,50.00,47.32,953,0.45,11,647,67.89
CREST,EQ,2015-01-12,50.00,54.95,54.95,50.00,50.00,50.05,50.93,285,0.15,4,200,70.18
CREST,EQ,2015-01-13,50.05,49.60,49.60,49.20,49.20,49.20,49.40,200,0.10,2,200,100.00
CREST,EQ,2015-01-14,49.20,49.50,51.00,45.00,51.00,51.00,49.49,1085,0.54,9,1082,99.72
CREST,EQ,2015-01-15,51.00,46.50,54.90,46.50,54.00,54.00,54.14,562,0.30,15,444,79.00
CREST,EQ,2015-01-16,54.00,50.00,52.80,50.00,52.80,52.80,51.40,100,0.05,2,0,0.00
