Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CRISIL,EQ,2014-12-03,1903.75,1892.10,1909.90,1885.55,1893.10,1894.35,1892.19,18369,347.58,772,15860,86.34
CRISIL,EQ,2014-12-04,1894.35,1901.00,1909.00,1881.10,1909.00,1902.10,1900.75,14261,271.07,1119,11486,80.54
CRISIL,EQ,2014-12-05,1902.10,1892.20,1974.35,1881.10,1898.90,1906.60,1938.13,45592,883.63,3882,24772,54.33
CRISIL,EQ,2014-12-08,1906.60,1918.00,1939.95,1887.00,1901.15,1908.40,1916.60,17551,336.38,2636,8996,51.26
CRISIL,EQ,2014-12-09,1908.40,1897.05,1939.40,1864.00,1899.95,1899.45,1895.70,12867,243.92,1188,9283,72.15
CRISIL,EQ,2014-12-10,1899.45,1885.00,1925.00,1874.60,1913.00,1917.40,1905.23,259828,4950.33,1052,257189,98.98
CRISIL,EQ,2014-12-11,1917.40,1905.00,1919.95,1879.95,1908.00,1909.95,1909.28,211702,4041.98,1127,208524,98.50
CRISIL,EQ,2014-12-12,1909.95,1892.95,1919.00,1869.00,1875.00,1875.20,1903.19,55056,1047.82,898,52351,95.09
CRISIL,EQ,2014-12-15,1875.20,1872.00,1892.00,1846.10,1847.00,1854.65,1866.61,6355,118.62,818,4178,65.74
CRISIL,EQ,2014-12-16,1854.65,1843.00,1865.90,1791.60,1818.00,1809.95,1820.62,8551,155.68,1124,5546,64.86
CRISIL,EQ,2014-12-17,1809.95,1798.00,1847.30,1798.00,1811.00,1810.65,1812.45,9033,163.72,1293,5074,56.17
CRISIL,EQ,2014-12-18,1810.65,1800.90,1848.90,1800.90,1814.95,1813.05,1818.91,7249,131.85,1000,4497,62.04
CRISIL,EQ,2014-12-19,1813.05,1823.00,1887.00,1823.00,1875.50,1875.80,1854.47,9415,174.60,1145,4270,45.35
