Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CUPID,EQ,2016-09-16,322.55,331.00,348.90,301.00,308.45,308.30,328.61,229821,755.22,5690,76939,33.48
CUPID,EQ,2016-09-19,308.30,314.50,321.70,310.00,314.10,317.00,316.62,51068,161.69,1626,31881,62.43
CUPID,EQ,2016-09-20,317.00,316.15,321.85,315.15,319.50,318.65,317.80,27511,87.43,615,20337,73.92
CUPID,EQ,2016-09-21,318.65,318.00,326.00,312.15,319.95,319.75,322.29,50781,163.66,955,36831,72.53
CUPID,EQ,2016-09-22,319.75,320.95,324.00,315.00,316.00,317.20,318.42,18350,58.43,531,11959,65.17
CUPID,EQ,2016-09-23,317.20,319.75,319.90,309.15,312.80,312.60,314.46,12837,40.37,340,10135,78.95
CUPID,EQ,2016-09-26,312.60,310.00,319.00,305.00,317.00,316.00,311.82,21190,66.07,637,15543,73.35
CUPID,EQ,2016-09-27,316.00,316.00,317.00,310.00,312.00,310.20,312.94,11379,35.61,337,9056,79.59
CUPID,EQ,2016-09-28,310.20,311.00,314.85,302.50,306.00,305.90,308.73,19224,59.35,611,14058,73.13
CUPID,EQ,2016-09-29,305.90,309.00,310.90,282.00,294.00,288.90,296.72,34734,103.06,937,26046,74.99
CUPID,EQ,2016-09-30,288.90,287.00,299.95,275.00,296.00,293.95,290.08,19738,57.26,828,12949,65.60
CUPID,EQ,2016-10-03,293.95,294.20,305.00,291.00,304.40,303.30,299.80,15717,47.12,966,8251,52.50
CUPID,EQ,2016-10-04,303.30,301.40,307.50,300.00,300.00,301.40,302.76,11048,33.45,342,7300,66.08
CUPID,EQ,2016-10-05,301.40,303.00,303.85,282.55,302.00,301.55,297.64,18265,54.36,467,13439,73.58
CUPID,EQ,2016-10-06,301.55,303.00,313.00,296.00,302.10,300.20,304.28,22796,69.36,577,14975,65.69
CUPID,EQ,2016-10-07,300.20,308.00,312.40,305.00,307.60,307.85,308.36,18311,56.46,505,10370,56.63
CUPID,EQ,2016-10-10,307.85,307.00,307.65,302.20,306.30,304.75,304.07,8830,26.85,289,6306,71.42
CUPID,EQ,2016-10-13,304.75,304.95,305.00,295.10,297.05,296.65,300.43,13823,41.53,414,9614,69.55
CUPID,EQ,2016-10-14,296.65,292.55,308.50,292.55,308.50,306.35,301.65,13776,41.56,344,10268,74.54
CUPID,EQ,2016-10-17,306.35,315.00,325.00,309.00,316.00,315.25,316.42,114134,361.14,2187,85685,75.07
CUPID,EQ,2016-10-18,315.25,315.00,324.00,314.95,318.55,319.75,319.16,45956,146.67,1039,35932,78.19
CUPID,EQ,2016-10-19,319.75,317.50,329.00,317.00,327.00,327.20,323.88,68185,220.84,1431,48159,70.63
CUPID,EQ,2016-10-20,327.20,331.50,333.95,319.00,322.25,322.55,325.28,63347,206.05,1846,44195,69.77
CUPID,EQ,2016-10-21,322.55,326.10,326.10,315.00,315.00,316.05,317.66,34864,110.75,707,27852,79.89
CUPID,EQ,2016-10-24,316.05,319.75,321.95,314.00,318.00,317.55,317.68,57779,183.55,827,36147,62.56
CUPID,EQ,2016-10-25,317.55,316.05,320.00,315.00,319.00,318.55,318.61,16976,54.09,344,11548,68.03
CUPID,EQ,2016-10-26,318.55,320.00,325.95,318.15,320.00,320.25,323.32,65353,211.30,814,40660,62.22
CUPID,EQ,2016-10-27,320.25,323.00,324.25,313.85,315.00,315.85,319.37,24429,78.02,682,17303,70.83
CUPID,EQ,2016-10-28,315.85,334.80,373.95,326.95,357.50,359.35,357.14,698984,2496.34,17920,196983,28.18
CUPID,EQ,2016-10-30,359.35,365.00,370.85,364.45,365.00,366.80,367.74,61826,227.36,1877,38075,61.58
CUPID,EQ,2016-11-01,366.80,369.50,374.85,350.00,350.50,352.55,359.63,110721,398.19,3633,67675,61.12
CUPID,EQ,2016-11-02,352.55,354.80,354.80,333.00,335.00,335.00,340.19,68205,232.03,2123,46018,67.47
CUPID,EQ,2016-11-03,335.00,337.75,337.75,316.00,319.80,320.15,327.49,73434,240.49,2201,51458,70.07
CUPID,EQ,2016-11-04,320.15,319.95,332.20,308.10,312.20,313.65,316.09,78978,249.64,2419,51920,65.74
CUPID,EQ,2016-11-07,313.65,319.85,332.00,312.00,315.00,315.10,320.68,81760,262.19,3898,47815,58.48
CUPID,EQ,2016-11-08,315.10,317.45,322.00,309.10,311.30,314.35,314.07,45892,144.13,1666,25064,54.62
CUPID,EQ,2016-11-09,314.35,289.50,310.00,275.00,306.00,305.35,299.32,116755,349.47,3449,77864,66.69
CUPID,EQ,2016-11-10,305.35,317.90,320.60,307.05,311.20,311.75,315.57,42264,133.37,2379,23074,54.59
CUPID,EQ,2016-11-11,311.75,309.80,309.95,301.05,304.90,303.55,304.61,41701,127.02,4151,30474,73.08
CUPID,EQ,2016-11-15,303.55,309.80,309.80,287.00,290.00,291.10,293.68,55315,162.45,1609,40373,72.99
CUPID,EQ,2016-11-16,291.10,300.00,305.00,292.00,292.50,295.70,299.29,34589,103.52,1316,19213,55.55
CUPID,EQ,2016-11-17,295.70,297.00,301.25,287.00,289.60,288.20,292.87,27371,80.16,822,17433,63.69
CUPID,EQ,2016-11-18,288.20,292.00,300.00,282.15,300.00,294.75,292.36,38756,113.31,1544,19974,51.54
CUPID,EQ,2016-11-21,294.75,299.95,305.05,280.05,288.00,286.90,290.59,36129,104.99,1305,20260,56.08
CUPID,EQ,2016-11-22,286.90,290.00,298.85,283.00,286.80,285.35,285.74,22106,63.17,915,13172,59.59
CUPID,EQ,2016-11-23,285.35,289.85,294.70,282.00,291.50,290.40,286.50,37261,106.75,1066,22915,61.50
CUPID,EQ,2016-11-24,290.40,288.60,300.00,285.00,295.00,293.85,292.95,26207,76.77,1084,14966,57.11
CUPID,EQ,2016-11-25,293.85,299.95,300.00,292.25,294.00,294.05,295.48,42279,124.93,3633,28935,68.44
CUPID,EQ,2016-11-28,294.05,294.00,299.00,291.25,292.30,292.85,293.96,42882,126.06,984,28345,66.10
CUPID,EQ,2016-11-29,292.85,294.05,300.00,290.00,295.50,296.75,295.88,28478,84.26,1033,16570,58.19
CUPID,EQ,2016-11-30,296.75,298.90,320.00,296.00,318.00,317.20,314.70,87482,275.31,3602,35034,40.05
CUPID,EQ,2016-12-01,317.20,317.95,322.55,309.50,311.25,312.35,314.71,31486,99.09,1424,17545,55.72
CUPID,EQ,2016-12-02,312.35,310.05,310.05,302.60,304.10,304.10,306.00,22319,68.30,921,13909,62.32
CUPID,EQ,2016-12-05,304.10,304.90,315.00,304.05,305.10,306.15,308.76,22260,68.73,672,11708,52.60
CUPID,EQ,2016-12-06,306.15,308.75,309.00,300.00,306.05,304.75,304.30,23583,71.76,776,14184,60.15
CUPID,EQ,2016-12-07,304.75,306.60,309.00,301.25,306.00,305.10,305.28,12642,38.59,560,6930,54.82
CUPID,EQ,2016-12-08,305.10,307.45,314.80,305.25,311.30,310.10,310.52,20962,65.09,1420,8394,40.04
CUPID,EQ,2016-12-09,310.10,311.00,314.45,304.00,307.00,307.25,307.03,19940,61.22,1089,11216,56.25
CUPID,EQ,2016-12-12,307.25,307.35,314.95,305.95,314.80,312.65,309.68,23187,71.81,530,15067,64.98
CUPID,EQ,2016-12-13,312.65,314.90,317.00,307.00,313.85,312.60,313.42,24596,77.09,784,16053,65.27
CUPID,EQ,2016-12-14,312.60,310.15,314.90,307.20,308.40,308.45,310.75,8460,26.29,373,5449,64.41
CUPID,EQ,2016-12-15,308.45,310.00,313.95,307.00,312.90,311.80,311.97,18837,58.77,646,12831,68.12
CUPID,EQ,2016-12-16,311.80,313.95,320.00,308.05,314.95,314.15,312.69,14760,46.15,880,7517,50.93
CUPID,EQ,2016-12-19,314.15,320.00,320.00,309.60,310.05,311.05,311.76,17208,53.65,686,12682,73.70
CUPID,EQ,2016-12-20,311.05,314.00,314.00,297.00,303.00,303.10,304.77,33791,102.98,1256,21054,62.31
CUPID,EQ,2016-12-21,303.10,305.35,308.00,290.00,293.50,294.10,299.58,54834,164.27,3354,36228,66.07
CUPID,EQ,2016-12-22,294.10,297.45,297.45,285.00,294.00,291.30,289.52,41796,121.01,1483,29674,71.00
CUPID,EQ,2016-12-23,291.30,293.25,297.00,288.50,291.45,290.85,290.86,15875,46.17,532,11077,69.78
CUPID,EQ,2016-12-26,290.85,290.05,291.95,282.80,284.65,283.85,286.17,24710,70.71,1244,15704,63.55
CUPID,EQ,2016-12-27,283.85,288.85,294.00,280.95,290.50,291.25,286.87,12013,34.46,740,7012,58.37
CUPID,EQ,2016-12-28,291.25,289.05,329.00,289.00,304.30,305.75,313.95,294021,923.08,9778,67250,22.87
CUPID,EQ,2016-12-29,305.75,304.95,314.85,304.90,305.30,306.30,309.01,63216,195.34,1885,22197,35.11
CUPID,EQ,2016-12-30,306.30,308.80,309.75,301.10,301.60,302.25,306.10,41921,128.32,1042,24303,57.97
CUPID,EQ,2017-01-02,302.25,303.90,308.80,297.95,298.50,299.25,300.35,26261,78.88,906,15154,57.71
CUPID,EQ,2017-01-03,299.25,302.80,304.80,297.00,301.50,302.00,301.67,25162,75.91,923,14510,57.67
CUPID,EQ,2017-01-04,302.00,303.95,311.00,300.45,306.10,306.80,306.20,44800,137.18,1114,21985,49.07
CUPID,EQ,2017-01-05,306.80,309.90,312.95,301.55,303.00,304.10,307.64,86214,265.23,2486,40665,47.17
CUPID,EQ,2017-01-06,304.10,305.05,305.05,288.00,294.90,294.70,296.35,61841,183.27,3025,33703,54.50
CUPID,EQ,2017-01-09,294.70,295.15,295.90,290.10,295.00,294.30,294.19,29234,86.00,978,17072,58.40
CUPID,EQ,2017-01-10,294.30,295.05,301.00,292.00,293.00,294.05,294.95,33198,97.92,1072,21088,63.52
CUPID,EQ,2017-01-11,294.05,296.30,304.30,294.05,299.90,298.90,298.41,45231,134.97,2593,25687,56.79
CUPID,EQ,2017-01-12,298.90,300.80,303.30,295.25,302.00,301.90,299.36,37374,111.88,1407,24347,65.14
CUPID,EQ,2017-01-13,301.90,300.55,302.40,296.00,297.10,296.80,297.70,11476,34.16,498,7300,63.61
CUPID,EQ,2017-01-16,296.80,296.00,301.00,296.00,297.00,297.05,297.66,19423,57.81,1236,15669,80.67
CUPID,EQ,2017-01-17,297.05,297.25,299.00,294.00,296.00,295.95,296.69,20760,61.59,844,13121,63.20
CUPID,EQ,2017-01-18,295.95,292.05,293.95,282.00,290.10,290.40,289.57,56906,164.79,1546,33481,58.84
CUPID,EQ,2017-01-19,290.40,290.00,301.90,285.00,289.40,290.55,291.06,27996,81.48,1164,20000,71.44
CUPID,EQ,2017-01-20,290.55,290.50,292.35,287.55,288.00,288.80,289.51,24346,70.48,1154,17725,72.80
CUPID,EQ,2017-01-23,288.80,290.00,292.45,286.15,287.00,287.55,289.62,18320,53.06,594,13838,75.53
CUPID,EQ,2017-01-24,287.55,287.55,291.80,287.35,290.25,290.65,290.00,22547,65.39,854,15459,68.56
CUPID,EQ,2017-01-25,290.65,293.50,298.55,289.15,295.10,294.75,294.68,27315,80.49,772,16163,59.17
CUPID,EQ,2017-01-27,294.75,296.90,300.00,292.50,295.00,294.60,295.23,27025,79.79,841,18435,68.21
CUPID,EQ,2017-01-30,294.60,295.95,299.00,292.00,299.00,298.20,297.44,32162,95.66,853,22164,68.91
CUPID,EQ,2017-01-31,298.20,299.95,299.95,294.00,294.65,295.30,297.07,28120,83.54,874,17406,61.90
CUPID,EQ,2017-02-01,295.30,305.00,327.80,301.00,324.00,322.60,317.03,447668,1419.23,10841,172674,38.57
