Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DALMIABHA,EQ,2014-12-03,511.70,512.45,518.80,507.25,516.00,514.05,511.91,13317,68.17,411,9801,73.60
DALMIABHA,EQ,2014-12-04,514.05,530.00,530.00,505.00,505.00,507.10,513.62,17618,90.49,424,14287,81.09
DALMIABHA,EQ,2014-12-05,507.10,510.00,514.50,498.00,498.00,500.80,504.24,6478,32.66,295,3212,49.58
DALMIABHA,EQ,2014-12-08,500.80,501.05,513.55,497.50,503.00,501.35,505.38,319161,1612.98,911,286607,89.80
DALMIABHA,EQ,2014-12-09,501.35,503.90,503.90,489.95,499.85,494.40,494.34,11278,55.75,350,8028,71.18
DALMIABHA,EQ,2014-12-10,494.40,495.00,504.85,486.05,487.00,487.55,492.05,10197,50.17,439,7759,76.09
DALMIABHA,EQ,2014-12-11,487.55,487.55,494.90,482.00,485.00,484.35,487.75,3463,16.89,115,3278,94.66
DALMIABHA,EQ,2014-12-12,484.35,487.00,504.00,480.00,481.00,483.90,490.94,12213,59.96,430,8036,65.80
DALMIABHA,EQ,2014-12-15,483.90,481.20,481.20,462.00,473.00,474.05,473.40,28660,135.68,229,24977,87.15
DALMIABHA,EQ,2014-12-16,474.05,477.00,477.00,430.60,432.00,436.60,449.85,11383,51.21,454,7794,68.47
DALMIABHA,EQ,2014-12-17,436.60,437.00,437.00,402.00,433.00,431.95,426.43,22896,97.64,930,17995,78.59
DALMIABHA,EQ,2014-12-18,431.95,435.00,449.95,427.00,433.50,431.75,439.06,5729,25.15,256,3724,65.00
DALMIABHA,EQ,2014-12-19,431.75,435.00,455.00,433.15,440.00,439.85,441.90,14084,62.24,321,9781,69.45
DALMIABHA,EQ,2014-12-22,439.85,440.00,469.00,434.75,439.50,437.45,442.64,20967,92.81,676,14902,71.07
DALMIABHA,EQ,2014-12-23,437.45,441.00,450.00,428.75,428.75,431.10,431.78,123569,533.55,1176,110400,89.34
DALMIABHA,EQ,2014-12-24,431.10,434.00,443.85,420.10,434.00,433.85,426.97,84446,360.56,293,80524,95.36
DALMIABHA,EQ,2014-12-26,433.85,437.00,445.00,431.00,444.90,442.25,438.76,10722,47.04,261,7432,69.32
DALMIABHA,EQ,2014-12-29,442.25,445.00,448.00,435.10,438.50,438.60,440.26,11467,50.48,328,9152,79.81
DALMIABHA,EQ,2014-12-30,438.60,442.00,480.00,436.50,440.00,440.00,446.52,28762,128.43,459,24711,85.92
DALMIABHA,EQ,2014-12-31,440.00,443.00,460.60,440.05,450.00,452.20,454.11,12528,56.89,499,8551,68.26
DALMIABHA,EQ,2015-01-01,452.20,454.95,455.10,435.05,450.00,448.70,449.14,6480,29.10,326,5038,77.75
DALMIABHA,EQ,2015-01-02,448.70,450.10,450.10,432.10,434.00,434.55,440.28,33644,148.13,1361,25771,76.60
DALMIABHA,EQ,2015-01-05,434.55,433.05,444.95,432.00,433.60,434.90,435.62,17492,76.20,312,16721,95.59
DALMIABHA,EQ,2015-01-06,434.90,443.90,443.90,415.00,418.00,417.80,419.46,53684,225.18,896,49492,92.19
DALMIABHA,EQ,2015-01-07,417.80,424.00,424.00,411.00,413.10,412.75,414.65,25100,104.08,263,22493,89.61
DALMIABHA,EQ,2015-01-08,412.75,427.50,427.50,411.00,412.90,413.90,414.99,30661,127.24,268,23760,77.49
DALMIABHA,EQ,2015-01-09,413.90,417.00,423.90,355.50,412.00,414.05,414.68,18953,78.59,288,17032,89.86
DALMIABHA,EQ,2015-01-12,414.05,426.00,462.70,401.85,456.00,456.75,417.67,483530,2019.55,4527,403438,83.44
DALMIABHA,EQ,2015-01-13,456.75,453.30,481.75,449.70,463.50,463.95,468.17,85097,398.39,2480,46050,54.11
DALMIABHA,EQ,2015-01-14,463.95,464.90,480.00,463.70,468.00,467.10,473.21,33800,159.94,1192,20430,60.44
DALMIABHA,EQ,2015-01-15,467.10,483.95,484.90,458.95,459.90,468.20,469.88,25162,118.23,1199,14783,58.75
DALMIABHA,EQ,2015-01-16,468.20,466.45,473.70,462.00,473.00,471.75,466.84,21530,100.51,488,17466,81.12
DALMIABHA,EQ,2015-01-19,471.75,475.95,479.65,458.70,463.00,464.50,471.22,8489,40.00,693,4086,48.13
DALMIABHA,EQ,2015-01-20,464.50,467.00,479.00,464.00,473.00,473.35,473.74,12419,58.83,731,5983,48.18
DALMIABHA,EQ,2015-01-21,473.35,466.25,474.00,465.00,465.10,466.50,469.26,7807,36.63,305,5725,73.33
DALMIABHA,EQ,2015-01-22,466.50,466.30,474.75,456.30,471.00,463.80,467.67,12613,58.99,794,7711,61.14
DALMIABHA,EQ,2015-01-23,463.80,464.35,484.00,464.35,470.00,469.60,476.40,14148,67.40,415,6595,46.61
DALMIABHA,EQ,2015-01-27,469.60,464.90,477.00,464.90,475.00,474.10,472.87,8510,40.24,439,6077,71.41
DALMIABHA,EQ,2015-01-28,474.10,473.00,493.00,473.00,490.00,486.05,480.42,28693,137.85,444,26623,92.79
DALMIABHA,EQ,2015-01-29,486.05,489.90,515.00,489.90,502.00,502.05,504.00,63536,320.22,2650,43870,69.05
DALMIABHA,EQ,2015-01-30,502.05,502.00,509.90,478.00,480.80,480.05,486.10,25597,124.43,966,14737,57.57
DALMIABHA,EQ,2015-02-02,480.05,478.60,491.05,478.60,481.60,481.95,484.73,21160,102.57,672,15564,73.55
