Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DEEPAKFERT,EQ,2014-12-03,132.25,135.00,135.00,132.30,134.00,134.35,134.23,83753,112.42,990,48278,57.64
DEEPAKFERT,EQ,2014-12-04,134.35,134.05,135.20,131.05,131.85,131.70,132.85,65605,87.15,897,44447,67.75
DEEPAKFERT,EQ,2014-12-05,131.70,137.50,140.25,134.00,135.75,135.85,137.32,235945,323.99,2640,105283,44.62
DEEPAKFERT,EQ,2014-12-08,135.85,135.00,137.40,132.50,133.00,132.90,135.27,87096,117.81,1258,46709,53.63
DEEPAKFERT,EQ,2014-12-09,132.90,132.50,135.00,131.25,131.60,131.80,132.92,82020,109.02,1217,50665,61.77
DEEPAKFERT,EQ,2014-12-10,131.80,131.05,132.95,130.30,132.70,132.20,131.64,42818,56.37,700,22270,52.01
DEEPAKFERT,EQ,2014-12-11,132.20,131.15,135.90,131.15,134.80,134.85,134.50,103891,139.74,1132,65765,63.30
DEEPAKFERT,EQ,2014-12-12,134.85,135.90,136.25,131.35,132.00,132.00,132.13,448604,592.73,1093,418654,93.32
DEEPAKFERT,EQ,2014-12-15,132.00,131.50,134.80,131.15,133.95,133.80,133.20,92941,123.80,1102,55824,60.06
DEEPAKFERT,EQ,2014-12-16,133.80,131.30,132.30,127.50,128.15,128.55,129.09,106075,136.93,1551,61811,58.27
DEEPAKFERT,EQ,2014-12-17,128.55,128.25,130.55,125.05,127.50,127.50,127.11,94772,120.46,1290,52448,55.34
DEEPAKFERT,EQ,2014-12-18,127.50,128.20,131.45,128.20,129.75,130.00,129.86,78525,101.97,1213,34863,44.40
DEEPAKFERT,EQ,2014-12-19,130.00,129.70,136.90,129.70,136.85,135.90,134.61,215430,290.00,2624,123806,57.47
DEEPAKFERT,EQ,2014-12-22,135.90,135.00,140.50,135.00,140.00,139.45,138.22,137067,189.46,2000,84421,61.59
DEEPAKFERT,EQ,2014-12-23,139.45,138.20,141.80,138.20,138.80,138.80,139.55,85833,119.78,1270,49410,57.57
DEEPAKFERT,EQ,2014-12-24,138.80,139.85,141.95,138.05,140.00,139.15,140.18,80208,112.43,1271,40392,50.36
DEEPAKFERT,EQ,2014-12-26,139.15,139.40,141.05,139.10,140.00,139.80,139.98,40659,56.91,637,22795,56.06
DEEPAKFERT,EQ,2014-12-29,139.80,141.75,141.75,139.20,140.60,140.15,139.96,68935,96.48,905,39935,57.93
DEEPAKFERT,EQ,2014-12-30,140.15,140.60,144.50,140.60,141.55,142.45,142.74,170116,242.82,2781,54472,32.02
DEEPAKFERT,EQ,2014-12-31,142.45,144.00,148.30,142.40,143.25,143.35,145.73,350850,511.30,4367,121681,34.68
DEEPAKFERT,EQ,2015-01-01,143.35,142.00,144.65,142.00,143.80,143.80,143.85,45176,64.98,680,18802,41.62
DEEPAKFERT,EQ,2015-01-02,143.80,143.85,146.40,142.50,142.50,142.85,144.45,87241,126.02,1621,43390,49.74
DEEPAKFERT,EQ,2015-01-05,142.85,144.85,148.30,143.00,147.00,146.45,146.42,418124,612.20,5077,162885,38.96
DEEPAKFERT,EQ,2015-01-06,146.45,144.80,145.25,141.40,142.30,142.40,143.66,101324,145.56,1393,51984,51.30
DEEPAKFERT,EQ,2015-01-07,142.40,142.00,145.95,140.60,142.20,142.40,143.71,249161,358.07,3041,72774,29.21
DEEPAKFERT,EQ,2015-01-08,142.40,144.50,144.70,143.15,143.50,143.70,143.86,40587,58.39,567,18284,45.05
DEEPAKFERT,EQ,2015-01-09,143.70,143.70,144.00,138.55,139.60,139.25,140.32,116417,163.35,1475,63603,54.63
DEEPAKFERT,EQ,2015-01-12,139.25,137.20,139.95,137.10,138.40,137.95,138.21,53490,73.93,1076,22853,42.72
DEEPAKFERT,EQ,2015-01-13,137.95,139.55,139.55,137.70,138.10,138.10,138.32,32325,44.71,497,22522,69.67
DEEPAKFERT,EQ,2015-01-14,138.10,138.20,143.95,136.95,137.65,137.65,139.06,77306,107.50,1051,33945,43.91
DEEPAKFERT,EQ,2015-01-15,137.65,138.25,141.00,136.75,137.65,137.85,138.02,80207,110.70,1081,41446,51.67
DEEPAKFERT,EQ,2015-01-16,137.85,137.20,139.75,137.05,138.30,138.35,138.08,41804,57.72,679,15543,37.18
DEEPAKFERT,EQ,2015-01-19,138.35,138.15,139.75,136.60,137.60,137.80,137.58,55908,76.92,716,28070,50.21
DEEPAKFERT,EQ,2015-01-20,137.80,137.15,139.80,135.60,136.70,136.45,137.53,157230,216.24,1702,103740,65.98
DEEPAKFERT,EQ,2015-01-21,136.45,138.80,144.40,136.80,139.00,139.55,141.30,502861,710.57,4620,199386,39.65
DEEPAKFERT,EQ,2015-01-22,139.55,139.20,142.15,136.90,137.95,137.90,139.33,111093,154.79,1744,48849,43.97
DEEPAKFERT,EQ,2015-01-23,137.90,138.15,139.90,137.10,139.85,139.25,138.91,92292,128.20,1078,66989,72.58
DEEPAKFERT,EQ,2015-01-27,139.25,140.00,141.90,139.00,141.00,141.00,140.12,81022,113.53,648,67616,83.45
DEEPAKFERT,EQ,2015-01-28,141.00,141.00,142.25,136.60,137.50,137.15,139.52,119291,166.43,1418,72606,60.86
DEEPAKFERT,EQ,2015-01-29,137.15,137.25,143.00,137.00,142.50,142.20,140.44,132824,186.54,1367,85695,64.52
DEEPAKFERT,EQ,2015-01-30,142.20,143.00,143.70,141.00,142.00,142.10,141.90,114675,162.73,1564,49598,43.25
DEEPAKFERT,EQ,2015-02-02,142.10,141.50,143.05,141.00,142.00,142.10,142.05,70879,100.68,631,44924,63.38
DEEPAKFERT,EQ,2015-02-03,142.10,143.00,148.00,139.75,145.10,145.80,145.24,173879,252.54,2945,90954,52.31
DEEPAKFERT,EQ,2015-02-04,145.80,146.90,147.40,140.65,140.65,142.30,144.37,94027,135.75,1303,32124,34.16
DEEPAKFERT,EQ,2015-02-05,142.30,142.00,145.65,140.00,140.00,140.85,142.93,76000,108.62,1472,26834,35.31
DEEPAKFERT,EQ,2015-02-06,140.85,138.65,141.75,136.90,137.65,137.60,138.93,71609,99.49,1007,47358,66.13
DEEPAKFERT,EQ,2015-02-09,137.60,137.60,138.75,136.10,136.70,136.65,137.57,50764,69.84,2007,24489,48.24
DEEPAKFERT,EQ,2015-02-10,136.65,136.00,142.50,135.00,140.50,139.05,139.68,80219,112.05,2679,27727,34.56
DEEPAKFERT,EQ,2015-02-11,139.05,138.30,140.00,126.65,132.90,131.75,131.32,881742,1157.89,12689,98668,11.19
DEEPAKFERT,EQ,2015-02-12,131.75,130.00,130.85,125.60,126.10,126.10,127.44,325463,414.76,5089,203312,62.47
DEEPAKFERT,EQ,2015-02-13,126.10,126.20,127.50,125.00,126.75,127.05,126.55,141946,179.64,3183,80299,56.57
DEEPAKFERT,EQ,2015-02-16,127.05,127.50,130.50,127.05,128.00,128.15,127.86,567065,725.05,2104,469361,82.77
DEEPAKFERT,EQ,2015-02-18,128.15,129.05,132.95,127.55,131.35,131.70,129.39,638680,826.36,3020,484839,75.91
DEEPAKFERT,EQ,2015-02-19,131.70,134.00,136.90,133.00,135.60,136.10,134.84,228093,307.56,2521,93470,40.98
DEEPAKFERT,EQ,2015-02-20,136.10,136.10,137.30,132.50,134.20,134.80,134.46,591829,795.77,2040,471620,79.69
DEEPAKFERT,EQ,2015-02-23,134.80,137.00,137.05,135.00,135.20,135.65,135.48,86658,117.41,1336,41824,48.26
DEEPAKFERT,EQ,2015-02-24,135.65,136.00,139.45,134.20,137.30,136.70,136.94,573563,785.45,2780,476395,83.06
DEEPAKFERT,EQ,2015-02-25,136.70,136.70,137.95,135.10,137.40,137.10,136.68,81685,111.64,1027,54425,66.63
DEEPAKFERT,EQ,2015-02-26,137.10,138.00,138.60,136.45,137.00,137.10,137.33,93419,128.29,1201,55335,59.23
DEEPAKFERT,EQ,2015-02-27,137.10,137.15,138.50,136.80,137.25,137.55,137.55,49055,67.47,898,32531,66.32
DEEPAKFERT,EQ,2015-02-28,137.55,139.00,139.40,135.60,137.00,137.30,137.55,72890,100.26,930,33975,46.61
DEEPAKFERT,EQ,2015-03-02,137.30,138.00,138.85,136.10,137.60,137.05,137.34,67226,92.33,1973,48761,72.53
DEEPAKFERT,EQ,2015-03-03,137.05,137.05,139.50,135.00,138.20,138.00,137.42,66900,91.93,2373,48542,72.56
DEEPAKFERT,EQ,2015-03-04,138.00,136.60,138.50,135.05,137.70,137.20,137.27,90243,123.88,3180,48719,53.99
DEEPAKFERT,EQ,2015-03-05,137.20,138.60,138.60,136.50,137.90,137.30,137.12,47464,65.08,1253,32345,68.15
DEEPAKFERT,EQ,2015-03-09,137.30,137.30,137.90,136.45,137.45,137.15,137.06,30427,41.70,764,22371,73.52
DEEPAKFERT,EQ,2015-03-10,137.15,137.15,138.00,136.80,137.20,137.00,137.08,77009,105.57,559,66358,86.17
DEEPAKFERT,EQ,2015-03-11,137.00,137.55,137.90,136.45,137.55,137.35,137.14,49342,67.67,687,41925,84.97
DEEPAKFERT,EQ,2015-03-12,137.35,137.20,138.10,137.00,137.65,137.55,137.31,56648,77.78,354,42991,75.89
DEEPAKFERT,EQ,2015-03-13,137.55,138.15,138.95,136.80,137.00,137.05,137.31,63717,87.49,675,50206,78.80
DEEPAKFERT,EQ,2015-03-16,137.05,134.80,138.90,134.80,138.00,137.65,137.19,57480,78.86,458,45389,78.96
DEEPAKFERT,EQ,2015-03-17,137.65,136.55,141.60,136.55,139.35,139.00,139.17,79156,110.16,1144,39647,50.09
DEEPAKFERT,EQ,2015-03-18,139.00,139.25,141.50,137.15,140.00,140.25,138.60,151326,209.73,823,121578,80.34
DEEPAKFERT,EQ,2015-03-19,140.25,140.60,142.25,138.60,139.05,139.10,140.06,61248,85.78,983,28372,46.32
DEEPAKFERT,EQ,2015-03-20,139.10,140.90,140.90,138.15,139.90,139.05,139.19,55884,77.78,654,36705,65.68
DEEPAKFERT,EQ,2015-03-23,139.05,139.50,141.85,138.20,140.05,140.05,139.91,340840,476.85,1105,308773,90.59
DEEPAKFERT,EQ,2015-03-24,140.05,141.80,143.50,139.85,142.30,141.85,141.00,220664,311.14,1759,143404,64.99
