Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DELTAMAGNT,EQ,2014-12-04,35.65,37.35,37.35,36.60,36.60,36.60,36.60,501,0.18,3,501,100.00
DELTAMAGNT,EQ,2014-12-05,36.60,35.30,35.30,35.30,35.30,35.30,35.30,100,0.04,1,100,100.00
DELTAMAGNT,EQ,2014-12-09,35.30,33.05,33.05,33.00,33.00,33.00,33.01,500,0.17,2,500,100.00
DELTAMAGNT,EQ,2014-12-11,33.00,33.25,33.25,33.25,33.25,33.25,33.25,200,0.07,1,200,100.00
DELTAMAGNT,EQ,2014-12-12,33.25,36.00,36.00,36.00,36.00,36.00,36.00,500,0.18,1,500,100.00
DELTAMAGNT,EQ,2014-12-15,36.00,34.00,34.00,34.00,34.00,34.00,34.00,1,0.00,1,1,100.00
DELTAMAGNT,EQ,2014-12-16,34.00,33.05,33.05,33.05,33.05,33.05,33.05,420,0.14,3,420,100.00
DELTAMAGNT,EQ,2014-12-17,33.05,32.00,32.00,32.00,32.00,32.00,32.00,228,0.07,3,228,100.00
DELTAMAGNT,EQ,2014-12-18,32.00,32.00,35.20,31.00,35.20,35.20,32.27,145,0.05,4,145,100.00
DELTAMAGNT,EQ,2014-12-24,35.20,33.00,33.00,33.00,33.00,33.00,33.00,100,0.03,1,100,100.00
DELTAMAGNT,EQ,2014-12-26,33.00,36.30,36.30,33.00,33.00,33.00,35.98,714,0.26,4,714,100.00
DELTAMAGNT,EQ,2015-01-06,33.00,30.35,35.00,30.35,35.00,35.00,32.68,100,0.03,2,50,50.00
DELTAMAGNT,EQ,2015-01-08,35.00,35.45,42.00,35.30,39.00,38.70,38.39,1838,0.71,14,1719,93.53
DELTAMAGNT,EQ,2015-01-09,38.70,40.50,42.00,38.25,38.25,38.25,40.27,1900,0.77,18,1900,100.00
DELTAMAGNT,EQ,2015-01-12,38.25,40.00,45.00,38.05,40.00,40.45,42.30,1544,0.65,18,823,53.30
DELTAMAGNT,EQ,2015-01-13,40.45,48.00,48.50,42.25,42.75,44.60,46.15,2680,1.24,32,1065,39.74
DELTAMAGNT,EQ,2015-01-14,44.60,45.00,48.00,42.50,48.00,48.00,44.60,200,0.09,5,150,75.00
DELTAMAGNT,EQ,2015-01-15,48.00,45.00,45.00,43.00,43.00,44.00,44.00,2,0.00,2,1,50.00
DELTAMAGNT,EQ,2015-01-16,44.00,52.00,52.00,36.50,44.70,44.70,44.97,510,0.23,18,350,68.63
DELTAMAGNT,EQ,2015-01-19,44.70,42.30,42.30,42.30,42.30,42.30,42.30,50,0.02,1,50,100.00
DELTAMAGNT,EQ,2015-01-21,42.30,43.00,45.00,41.70,42.05,42.05,42.78,301,0.13,12,244,81.06
DELTAMAGNT,EQ,2015-01-22,42.05,41.65,45.95,41.65,45.95,45.95,41.86,53,0.02,4,50,94.34
DELTAMAGNT,EQ,2015-01-23,45.95,40.00,42.55,40.00,42.55,42.55,41.12,450,0.19,5,450,100.00
