Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DEN,EQ,2014-12-03,157.80,159.80,165.30,158.00,163.30,164.15,162.90,284683,463.75,5164,138541,48.67
DEN,EQ,2014-12-04,164.15,164.00,166.05,162.35,164.35,164.20,164.24,237154,389.51,1776,195560,82.46
DEN,EQ,2014-12-05,164.20,163.00,164.85,157.95,160.50,159.80,162.39,103817,168.58,1431,77459,74.61
DEN,EQ,2014-12-08,159.80,158.25,159.50,151.95,153.00,153.65,155.97,97994,152.85,2542,57210,58.38
DEN,EQ,2014-12-09,153.65,153.65,163.35,151.50,152.55,153.30,157.97,167667,264.87,3312,44485,26.53
DEN,EQ,2014-12-10,153.30,152.10,155.00,150.75,154.00,152.10,152.43,77627,118.33,1793,44704,57.59
DEN,EQ,2014-12-11,152.10,153.10,159.45,153.10,156.00,157.00,157.32,233528,367.39,4300,118459,50.73
DEN,EQ,2014-12-12,157.00,158.00,158.00,148.45,149.85,149.80,152.15,126723,192.80,1359,94600,74.65
DEN,EQ,2014-12-15,149.80,148.15,150.00,142.10,143.50,144.00,146.77,124713,183.04,1721,89792,72.00
DEN,EQ,2014-12-16,144.00,142.95,142.95,135.05,136.55,136.65,138.44,124909,172.92,2128,72068,57.70
DEN,EQ,2014-12-17,136.65,136.00,138.25,132.00,132.95,132.65,134.26,115682,155.31,4716,65270,56.42
DEN,EQ,2014-12-18,132.65,134.10,137.90,134.10,135.90,135.80,135.89,100151,136.10,2886,75825,75.71
DEN,EQ,2014-12-19,135.80,136.00,142.35,128.70,132.00,130.75,135.32,370381,501.19,7507,276923,74.77
DEN,EQ,2014-12-22,130.75,133.40,136.55,130.10,134.80,135.00,134.09,116114,155.69,3107,65290,56.23
DEN,EQ,2014-12-23,135.00,136.00,136.90,132.15,133.70,133.35,134.61,61801,83.19,1515,28483,46.09
DEN,EQ,2014-12-24,133.35,132.15,134.65,131.00,131.30,131.75,132.45,111012,147.04,1942,79672,71.77
DEN,EQ,2014-12-26,131.75,132.00,136.50,130.10,134.25,135.10,133.79,604042,808.14,6395,490846,81.26
DEN,EQ,2014-12-29,135.10,135.10,135.10,133.05,133.55,133.80,134.39,70356,94.55,1473,42354,60.20
DEN,EQ,2014-12-30,133.80,134.75,135.00,132.15,133.40,133.25,133.77,75940,101.58,2977,42024,55.34
DEN,EQ,2014-12-31,133.25,131.90,134.90,131.90,134.75,133.95,133.47,78139,104.30,1609,45820,58.64
DEN,EQ,2015-01-01,133.95,134.10,140.30,134.10,139.10,139.00,138.44,139813,193.56,2059,48141,34.43
DEN,EQ,2015-01-02,139.00,138.90,139.00,135.20,138.50,137.75,137.46,158165,217.42,3452,60830,38.46
DEN,EQ,2015-01-05,137.75,138.10,149.00,138.10,141.55,142.20,144.93,634472,919.52,16068,239747,37.79
DEN,EQ,2015-01-06,142.20,141.80,141.80,133.20,134.85,134.10,137.52,173622,238.76,4696,84595,48.72
DEN,EQ,2015-01-07,134.10,134.00,136.70,130.25,132.55,132.55,133.06,101949,135.65,2207,46928,46.03
DEN,EQ,2015-01-08,132.55,134.95,139.50,131.50,132.70,132.65,136.06,401274,545.97,7531,116816,29.11
DEN,EQ,2015-01-09,132.65,133.50,135.50,131.20,131.55,131.70,133.06,132768,176.66,2810,68660,51.71
DEN,EQ,2015-01-12,131.70,132.20,133.45,129.55,130.25,130.05,130.56,146493,191.27,5297,97546,66.59
DEN,EQ,2015-01-13,130.05,130.50,131.25,127.00,127.80,128.10,128.88,125444,161.67,4663,76191,60.74
DEN,EQ,2015-01-14,128.10,127.50,127.50,123.50,125.00,124.30,125.59,200247,251.48,4170,132696,66.27
DEN,EQ,2015-01-15,124.30,127.00,127.25,120.60,121.45,122.50,123.36,416535,513.83,8018,236154,56.69
DEN,EQ,2015-01-16,122.50,123.00,124.65,120.10,120.50,120.70,122.07,271865,331.86,4937,157732,58.02
DEN,EQ,2015-01-19,120.70,121.45,126.70,121.10,125.00,124.55,124.11,257133,319.12,6255,133333,51.85
DEN,EQ,2015-01-20,124.55,126.05,131.65,122.55,123.35,123.35,126.46,468395,592.36,7484,281466,60.09
DEN,EQ,2015-01-21,123.35,123.95,125.10,121.30,122.00,121.75,122.95,119437,146.85,2446,74061,62.01
DEN,EQ,2015-01-22,121.75,122.05,124.80,121.10,121.95,122.60,123.20,173839,214.17,2933,96472,55.50
DEN,EQ,2015-01-23,122.60,123.00,124.05,119.15,120.65,120.25,121.49,130431,158.47,2852,70235,53.85
DEN,EQ,2015-01-27,120.25,121.40,123.00,119.50,120.00,119.90,120.48,116744,140.66,2086,73659,63.09
DEN,EQ,2015-01-28,119.90,119.50,120.50,116.00,116.65,117.05,117.75,226703,266.95,5754,143137,63.14
DEN,EQ,2015-01-29,117.05,116.85,117.00,109.15,110.00,109.95,111.37,409868,456.46,8255,289321,70.59
DEN,EQ,2015-01-30,109.95,111.20,111.20,104.70,108.55,108.20,108.03,558662,603.54,8488,419995,75.18
DEN,EQ,2015-02-02,108.20,109.00,109.60,106.55,107.60,107.85,108.22,297458,321.90,5246,223619,75.18
DEN,EQ,2015-02-03,107.85,107.90,107.90,103.95,104.25,104.45,105.94,518070,548.84,2605,446420,86.17
DEN,EQ,2015-02-04,104.45,105.20,116.50,100.25,110.65,109.95,109.61,1782164,1953.37,20731,732350,41.09
DEN,EQ,2015-02-05,109.95,110.50,119.45,110.00,115.00,115.50,116.33,1366448,1589.61,15670,640222,46.85
DEN,EQ,2015-02-06,115.50,115.55,118.45,110.50,111.00,111.10,113.19,351482,397.84,5558,175368,49.89
DEN,EQ,2015-02-09,111.10,110.95,112.85,107.70,109.60,109.60,110.62,225262,249.19,4198,143026,63.49
DEN,EQ,2015-02-10,109.60,109.00,112.65,108.10,110.75,111.70,111.63,211139,235.70,4345,148981,70.56
DEN,EQ,2015-02-11,111.70,110.50,112.85,109.00,110.00,109.55,110.34,79831,88.08,1660,47442,59.43
DEN,EQ,2015-02-12,109.55,110.00,113.50,109.55,112.00,111.50,111.56,170987,190.75,2303,104262,60.98
DEN,EQ,2015-02-13,111.50,112.75,121.40,110.40,121.00,120.20,118.99,1355922,1613.36,29998,868314,64.04
DEN,EQ,2015-02-16,120.20,121.00,124.90,116.00,122.50,122.00,120.73,465942,562.53,6200,207018,44.43
DEN,EQ,2015-02-18,122.00,123.00,132.70,121.25,130.15,131.00,128.72,633134,814.95,6814,293522,46.36
DEN,EQ,2015-02-19,131.00,130.35,131.45,126.20,128.50,129.60,129.05,190552,245.91,2620,88264,46.32
DEN,EQ,2015-02-20,129.60,129.00,131.70,123.55,124.40,125.40,127.18,146158,185.88,1578,88485,60.54
DEN,EQ,2015-02-23,125.40,125.40,129.90,122.75,123.00,123.75,125.42,135491,169.93,1258,84773,62.57
DEN,EQ,2015-02-24,123.75,125.00,126.95,118.80,119.45,119.75,121.49,141182,171.52,1938,81113,57.45
DEN,EQ,2015-02-25,119.75,120.20,125.35,112.65,124.20,124.05,122.58,338324,414.71,3876,152570,45.10
DEN,EQ,2015-02-26,124.05,128.10,129.80,118.00,119.00,120.50,124.59,281036,350.14,4246,119225,42.42
DEN,EQ,2015-02-27,120.50,120.05,123.60,119.55,120.80,121.25,121.48,101819,123.69,2029,46428,45.60
DEN,EQ,2015-02-28,121.25,122.00,124.60,118.10,122.00,121.05,121.30,98784,119.82,1348,44051,44.59
DEN,EQ,2015-03-02,121.05,119.50,121.95,117.15,117.30,118.20,119.87,103071,123.55,2406,69030,66.97
DEN,EQ,2015-03-03,118.20,118.50,120.90,117.30,118.75,118.65,119.27,109813,130.98,2732,70477,64.18
DEN,EQ,2015-03-04,118.65,119.35,124.50,116.00,119.00,117.75,121.45,206237,250.48,2226,119641,58.01
DEN,EQ,2015-03-05,117.75,119.80,119.95,115.10,116.75,117.25,117.56,128992,151.65,1527,73108,56.68
DEN,EQ,2015-03-09,117.25,117.65,119.50,113.10,113.40,113.90,115.33,205225,236.69,3268,159244,77.59
DEN,EQ,2015-03-10,113.90,113.05,115.10,112.00,112.00,112.15,113.78,142716,162.38,2437,107325,75.20
DEN,EQ,2015-03-11,112.15,113.15,114.30,110.80,113.80,113.15,112.58,148523,167.21,1393,114007,76.76
DEN,EQ,2015-03-12,113.15,118.40,122.35,115.55,118.45,117.55,118.50,553934,656.39,6403,187261,33.81
DEN,EQ,2015-03-13,117.55,116.35,118.55,114.00,114.15,114.55,115.39,185193,213.70,1182,142156,76.76
DEN,EQ,2015-03-16,114.55,113.55,125.50,113.40,122.50,122.65,122.30,840415,1027.84,11847,340022,40.46
DEN,EQ,2015-03-17,122.65,123.75,126.90,121.05,125.75,125.70,123.47,595952,735.83,8177,303199,50.88
DEN,EQ,2015-03-18,125.70,125.00,127.85,121.15,122.40,122.50,123.63,211181,261.09,2071,118317,56.03
DEN,EQ,2015-03-19,122.50,123.55,125.50,120.00,121.20,121.45,123.17,63782,78.56,1040,27375,42.92
DEN,EQ,2015-03-20,121.45,121.50,129.30,118.35,126.30,126.20,125.51,604526,758.77,7862,334245,55.29
DEN,EQ,2015-03-23,126.20,126.10,127.40,122.05,122.50,123.20,124.31,86139,107.08,1471,50544,58.68
DEN,EQ,2015-03-24,123.20,122.35,123.80,118.00,118.90,119.15,121.38,49118,59.62,787,27808,56.61
DEN,EQ,2015-03-25,119.15,118.70,120.20,117.00,117.05,117.30,118.46,55979,66.31,889,26694,47.69
DEN,EQ,2015-03-26,117.30,116.05,119.50,115.35,118.75,117.60,117.46,45673,53.65,983,19416,42.51
DEN,EQ,2015-03-27,117.60,117.00,120.40,114.60,117.75,116.05,118.01,75984,89.67,1698,33537,44.14
DEN,EQ,2015-03-30,116.05,117.00,121.90,116.30,118.70,119.90,119.46,42927,51.28,741,18005,41.94
DEN,EQ,2015-03-31,119.90,116.30,124.75,116.30,121.45,120.45,122.15,82875,101.23,1612,43437,52.41
DEN,EQ,2015-04-01,120.45,121.45,127.00,121.20,121.70,122.40,123.20,59512,73.32,1184,27063,45.47
DEN,EQ,2015-04-06,122.40,122.95,123.75,119.10,121.35,120.90,120.91,54449,65.84,818,22454,41.24
DEN,EQ,2015-04-07,120.90,122.25,122.75,120.50,120.60,121.75,121.88,23209,28.29,453,8233,35.47
DEN,EQ,2015-04-08,121.75,122.75,124.05,120.15,121.50,121.25,121.87,29609,36.09,464,15308,51.70
DEN,EQ,2015-04-09,121.25,121.85,122.80,119.10,120.40,120.25,121.17,65003,78.77,865,35316,54.33
DEN,EQ,2015-04-10,120.25,121.45,122.00,118.70,120.45,120.20,120.27,70149,84.37,778,31379,44.73
DEN,EQ,2015-04-13,120.20,121.85,122.00,120.15,120.25,120.70,121.32,39009,47.33,540,21989,56.37
DEN,EQ,2015-04-15,120.70,122.00,122.40,120.10,121.00,120.80,121.19,55963,67.82,759,26406,47.18
DEN,EQ,2015-04-16,120.80,121.85,122.00,119.30,119.60,120.25,120.40,73787,88.84,750,44918,60.88
DEN,EQ,2015-04-17,120.25,120.45,121.00,118.25,120.50,119.65,119.57,71947,86.03,539,42998,59.76
DEN,EQ,2015-04-20,119.65,120.50,121.50,116.35,117.05,116.80,119.12,35521,42.31,624,12729,35.84
DEN,EQ,2015-04-21,116.80,117.30,126.45,117.30,125.05,125.05,124.05,812048,1007.32,5478,509032,62.68
DEN,EQ,2015-04-22,125.05,125.80,129.70,122.65,129.70,128.90,126.22,663740,837.78,3421,485251,73.11
DEN,EQ,2015-04-23,128.90,130.00,134.00,126.00,126.95,127.45,131.43,350830,461.09,3543,142898,40.73
DEN,EQ,2015-04-24,127.45,127.45,129.45,125.30,126.00,126.10,126.82,119957,152.13,1720,64686,53.92
DEN,EQ,2015-04-27,126.10,127.40,128.60,123.10,125.30,124.60,125.50,79849,100.21,924,55874,69.97
DEN,EQ,2015-04-28,124.60,124.55,126.90,121.90,125.50,125.25,124.14,111014,137.82,1141,76235,68.67
DEN,EQ,2015-04-29,125.25,125.95,129.70,125.25,127.50,128.10,127.66,201353,257.05,1177,149952,74.47
DEN,EQ,2015-04-30,128.10,125.00,130.00,125.00,129.80,129.55,128.39,44867,57.61,731,26162,58.31
DEN,EQ,2015-05-04,129.55,131.40,135.00,130.05,134.30,133.90,132.54,139867,185.38,2203,97939,70.02
DEN,EQ,2015-05-05,133.90,134.80,136.90,131.30,134.20,134.20,134.50,74700,100.47,913,42382,56.74
DEN,EQ,2015-05-06,134.20,128.30,135.50,127.05,131.00,130.75,129.74,150716,195.54,1748,95802,63.56
DEN,EQ,2015-05-07,130.75,128.05,139.00,128.00,136.30,135.70,135.40,304596,412.43,3890,187870,61.68
DEN,EQ,2015-05-08,135.70,138.00,140.80,135.25,140.00,139.80,139.28,168863,235.18,3068,110665,65.54
DEN,EQ,2015-05-11,139.80,139.95,143.90,134.00,143.00,140.60,139.72,195948,273.77,2022,101526,51.81
DEN,EQ,2015-05-12,140.60,134.20,137.70,132.50,136.75,135.35,135.44,511947,693.36,1932,410170,80.12
DEN,EQ,2015-05-13,135.35,135.10,138.00,134.10,137.00,136.70,136.22,66424,90.48,651,49160,74.01
DEN,EQ,2015-05-14,136.70,139.95,139.95,134.00,137.00,137.20,135.99,75374,102.50,548,56979,75.60
DEN,EQ,2015-05-15,137.20,135.05,145.90,135.05,142.70,142.20,143.45,208461,299.05,3459,92849,44.54
DEN,EQ,2015-05-18,142.20,142.70,149.80,142.20,148.40,148.50,147.82,221532,327.46,3116,93434,42.18
DEN,EQ,2015-05-19,148.50,149.00,153.50,147.65,149.75,149.25,150.69,149709,225.59,1791,61189,40.87
DEN,EQ,2015-05-20,149.25,149.10,153.90,149.10,150.70,150.60,151.35,118270,179.00,1632,48174,40.73
DEN,EQ,2015-05-21,150.60,151.15,154.90,151.00,154.45,153.60,152.85,84146,128.62,843,50547,60.07
DEN,EQ,2015-05-22,153.60,151.25,153.80,150.25,151.00,152.05,152.02,29201,44.39,568,11024,37.75
DEN,EQ,2015-05-25,152.05,150.00,151.05,145.00,147.00,148.85,147.63,64243,94.84,947,29427,45.81
DEN,EQ,2015-05-26,148.85,148.05,154.70,144.65,149.35,150.50,149.89,98090,147.03,1906,20670,21.07
DEN,EQ,2015-05-27,150.50,149.00,154.00,146.15,151.50,150.75,151.07,87374,131.99,2031,32166,36.81
DEN,EQ,2015-05-28,150.75,151.05,152.70,150.35,152.70,151.55,151.75,35769,54.28,512,21926,61.30
DEN,EQ,2015-05-29,151.55,151.55,151.55,138.00,139.40,141.30,144.46,216013,312.06,3391,136982,63.41
DEN,EQ,2015-06-01,141.30,138.90,152.00,132.00,151.00,146.45,141.80,178944,253.74,2139,93375,52.18
DEN,EQ,2015-06-02,146.45,152.00,153.90,142.60,147.00,146.25,149.37,153714,229.60,2389,47904,31.16
DEN,EQ,2015-06-03,146.25,146.60,149.75,137.10,148.55,148.40,145.13,103659,150.44,1598,46341,44.71
DEN,EQ,2015-06-04,148.40,147.00,150.90,145.50,148.30,149.35,148.05,95984,142.11,1469,43696,45.52
