Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DHAMPURSUG,EQ,2014-12-03,46.25,45.65,46.90,44.70,45.35,45.30,45.47,168603,76.66,934,87619,51.97
DHAMPURSUG,EQ,2014-12-04,45.30,45.05,46.00,44.10,44.80,44.85,44.93,216060,97.08,698,139474,64.55
DHAMPURSUG,EQ,2014-12-05,44.85,45.10,45.70,44.25,45.05,45.10,44.95,55433,24.92,490,30027,54.17
DHAMPURSUG,EQ,2014-12-08,45.10,45.00,45.65,44.05,44.80,44.90,45.11,58088,26.20,403,42403,73.00
DHAMPURSUG,EQ,2014-12-09,44.90,45.35,46.00,44.25,44.30,44.55,44.92,47148,21.18,402,27012,57.29
DHAMPURSUG,EQ,2014-12-10,44.55,44.10,46.80,44.10,45.70,45.55,45.72,174736,79.89,1124,66529,38.07
DHAMPURSUG,EQ,2014-12-11,45.55,47.20,48.90,46.30,47.25,47.55,47.77,488653,233.43,3906,165212,33.81
DHAMPURSUG,EQ,2014-12-12,47.55,47.15,47.50,44.60,44.70,44.85,45.89,82017,37.63,765,48305,58.90
DHAMPURSUG,EQ,2014-12-15,44.85,44.50,45.40,44.50,44.65,44.65,44.90,46201,20.75,394,24883,53.86
DHAMPURSUG,EQ,2014-12-16,44.65,44.65,44.70,42.60,43.00,43.45,43.89,52558,23.07,412,41670,79.28
DHAMPURSUG,EQ,2014-12-17,43.45,43.40,43.80,42.10,43.50,43.25,43.10,53667,23.13,350,31519,58.73
DHAMPURSUG,EQ,2014-12-18,43.25,46.70,47.25,43.90,44.55,44.80,44.82,160884,72.10,1058,48000,29.84
DHAMPURSUG,EQ,2014-12-19,44.80,45.45,45.45,43.10,43.65,43.25,43.70,62326,27.24,429,41198,66.10
DHAMPURSUG,EQ,2014-12-22,43.25,42.80,43.70,41.70,42.20,42.20,42.58,154791,65.91,624,126774,81.90
DHAMPURSUG,EQ,2014-12-23,42.20,42.85,43.20,41.75,42.05,41.95,42.14,66735,28.12,435,50096,75.07
DHAMPURSUG,EQ,2014-12-24,41.95,42.00,42.55,41.65,41.90,41.85,41.79,54069,22.60,239,45163,83.53
DHAMPURSUG,EQ,2014-12-26,41.85,42.95,42.95,41.65,42.00,42.00,42.06,52435,22.05,275,39272,74.90
DHAMPURSUG,EQ,2014-12-29,42.00,42.15,42.95,41.65,42.50,42.35,42.53,32950,14.01,254,21958,66.64
DHAMPURSUG,EQ,2014-12-30,42.35,43.45,43.45,42.35,42.70,42.50,42.50,24494,10.41,154,20631,84.23
DHAMPURSUG,EQ,2014-12-31,42.50,42.65,43.40,42.20,42.85,42.90,42.76,94325,40.34,477,67822,71.90
DHAMPURSUG,EQ,2015-01-01,42.90,43.45,44.00,42.50,43.00,43.00,43.09,81868,35.28,386,51321,62.69
DHAMPURSUG,EQ,2015-01-02,43.00,43.10,44.65,42.70,44.30,44.35,44.14,96840,42.74,566,64493,66.60
