Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DICIND,EQ,2014-12-03,387.10,389.00,413.95,388.05,398.95,398.85,404.05,9066,36.63,353,7162,79.00
DICIND,EQ,2014-12-04,398.85,398.85,410.00,394.95,400.65,399.70,406.14,9045,36.74,288,7265,80.32
DICIND,EQ,2014-12-05,399.70,398.95,399.80,393.60,398.30,398.00,397.30,2165,8.60,152,1768,81.66
DICIND,EQ,2014-12-08,398.00,399.95,400.10,392.60,394.00,394.20,398.25,1841,7.33,94,1409,76.53
DICIND,EQ,2014-12-09,394.20,405.00,408.00,391.10,395.00,398.15,396.05,5284,20.93,224,3502,66.28
DICIND,EQ,2014-12-10,398.15,394.00,398.00,392.00,395.90,395.95,393.56,252,0.99,30,218,86.51
DICIND,EQ,2014-12-11,395.95,396.00,396.00,385.00,387.00,387.10,387.85,2924,11.34,114,2572,87.96
DICIND,EQ,2014-12-12,387.10,390.75,392.70,380.05,380.05,380.50,384.24,1994,7.66,169,1225,61.43
DICIND,EQ,2014-12-15,380.50,380.50,385.00,376.65,379.00,379.80,380.45,801,3.05,79,654,81.65
DICIND,EQ,2014-12-16,379.80,376.00,383.50,372.50,377.50,375.60,375.16,5498,20.63,199,3585,65.21
DICIND,EQ,2014-12-17,375.60,371.80,375.00,357.90,362.00,363.25,363.59,2245,8.16,122,1796,80.00
DICIND,EQ,2014-12-18,363.25,368.00,380.00,365.25,374.00,375.50,373.98,2006,7.50,115,1664,82.95
DICIND,EQ,2014-12-19,375.50,375.00,391.15,375.00,384.95,379.15,380.43,1121,4.26,199,510,45.50
DICIND,EQ,2014-12-22,379.15,378.50,382.00,375.00,378.80,377.95,377.85,1446,5.46,100,874,60.44
DICIND,EQ,2014-12-23,377.95,380.20,380.20,365.50,366.05,369.45,372.60,2541,9.47,113,2119,83.39
DICIND,EQ,2014-12-24,369.45,367.00,379.90,367.00,368.50,368.50,370.95,1268,4.70,46,673,53.08
DICIND,EQ,2014-12-26,368.50,370.95,379.90,365.00,370.00,371.60,368.59,3443,12.69,157,2667,77.46
DICIND,EQ,2014-12-29,371.60,369.00,384.85,366.00,371.00,370.25,373.10,5535,20.65,224,4254,76.86
DICIND,EQ,2014-12-30,370.25,368.00,380.00,368.00,373.00,376.30,376.13,4048,15.23,216,2008,49.60
DICIND,EQ,2014-12-31,376.30,375.25,375.50,372.10,372.50,372.50,374.12,1241,4.64,40,650,52.38
DICIND,EQ,2015-01-01,372.50,372.00,388.00,372.00,383.00,382.55,380.52,1337,5.09,127,782,58.49
DICIND,EQ,2015-01-02,382.55,383.15,389.00,376.00,387.80,386.45,385.74,4797,18.50,213,4014,83.68
DICIND,EQ,2015-01-05,386.45,389.00,389.00,376.00,377.30,379.70,381.08,672,2.56,78,330,49.11
DICIND,EQ,2015-01-06,379.70,382.00,382.00,355.20,370.00,369.35,370.36,5604,20.76,191,4599,82.07
DICIND,EQ,2015-01-07,369.35,370.95,379.85,367.00,367.40,370.15,370.92,5677,21.06,373,4349,76.61
DICIND,EQ,2015-01-08,370.15,369.85,385.05,369.85,373.00,376.50,377.92,4388,16.58,138,2139,48.75
DICIND,EQ,2015-01-09,376.50,384.20,385.05,375.15,382.00,380.50,380.79,9254,35.24,356,5798,62.65
DICIND,EQ,2015-01-12,380.50,390.20,397.90,380.00,384.95,383.30,384.11,1918,7.37,155,1469,76.59
DICIND,EQ,2015-01-13,383.30,387.55,389.95,375.60,381.65,381.60,383.24,4458,17.08,332,1419,31.83
DICIND,EQ,2015-01-14,381.60,385.90,385.90,377.70,378.85,380.25,382.77,3523,13.48,131,3074,87.26
