Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DISHMAN,EQ,2014-12-03,138.15,139.00,141.50,136.75,137.00,137.35,139.16,737388,1026.15,15952,391510,53.09
DISHMAN,EQ,2014-12-04,137.35,138.25,138.75,134.65,134.80,134.95,136.40,614136,837.70,9740,356018,57.97
DISHMAN,EQ,2014-12-05,134.95,134.60,137.80,132.00,133.25,132.60,135.09,811650,1096.42,11469,400293,49.32
DISHMAN,EQ,2014-12-08,132.60,133.50,135.60,132.15,133.80,133.90,133.80,400044,535.26,5757,164555,41.13
DISHMAN,EQ,2014-12-09,133.90,133.65,134.80,128.20,129.45,128.65,130.97,465143,609.22,7232,219197,47.12
DISHMAN,EQ,2014-12-10,128.65,128.15,130.00,128.15,129.00,128.65,128.90,260621,335.93,4847,104236,40.00
DISHMAN,EQ,2014-12-11,128.65,128.05,131.95,126.20,130.70,130.70,129.16,494173,638.27,8268,230188,46.58
DISHMAN,EQ,2014-12-12,130.70,131.80,132.70,127.10,127.45,127.40,129.31,311375,402.64,7106,152417,48.95
DISHMAN,EQ,2014-12-15,127.40,126.10,126.90,123.10,123.70,123.90,124.94,298421,372.85,4512,146802,49.19
DISHMAN,EQ,2014-12-16,123.90,123.40,123.75,115.20,116.50,116.70,118.38,622728,737.19,12887,312086,50.12
DISHMAN,EQ,2014-12-17,116.70,115.55,123.10,102.55,121.25,121.10,114.87,1560482,1792.49,20855,461463,29.57
DISHMAN,EQ,2014-12-18,121.10,125.70,128.90,123.35,126.50,126.65,125.64,533153,669.83,11949,198505,37.23
DISHMAN,EQ,2014-12-19,126.65,127.50,129.05,120.80,121.40,122.15,125.30,445633,558.36,8908,226654,50.86
DISHMAN,EQ,2014-12-22,122.15,122.60,124.50,122.20,123.75,123.70,123.54,261769,323.39,5681,91203,34.84
DISHMAN,EQ,2014-12-23,123.70,124.60,124.60,120.55,121.65,121.45,121.96,221093,269.65,5021,73577,33.28
DISHMAN,EQ,2014-12-24,121.45,121.10,124.60,121.10,123.25,122.90,123.09,271315,333.96,7982,95464,35.19
