Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DREDGECORP,EQ,2014-12-03,425.30,427.00,444.80,426.30,435.00,434.60,438.10,138134,605.16,3750,35655,25.81
DREDGECORP,EQ,2014-12-04,434.60,438.65,468.00,435.30,454.00,452.65,455.27,356840,1624.59,8722,97497,27.32
DREDGECORP,EQ,2014-12-05,452.65,458.00,479.40,453.00,455.00,457.20,467.47,430031,2010.28,10895,125365,29.15
DREDGECORP,EQ,2014-12-08,457.20,459.85,461.30,427.00,431.30,431.45,439.53,139024,611.06,5059,56928,40.95
DREDGECORP,EQ,2014-12-09,431.45,433.00,439.00,418.05,421.10,420.70,427.78,94098,402.54,2772,37908,40.29
DREDGECORP,EQ,2014-12-10,420.70,421.15,427.00,417.15,419.80,420.65,422.08,49070,207.11,1845,18865,38.45
DREDGECORP,EQ,2014-12-11,420.65,421.00,423.45,412.55,416.00,416.30,417.01,46120,192.33,1572,17583,38.12
DREDGECORP,EQ,2014-12-12,416.30,414.05,424.00,403.95,406.50,405.60,412.78,53122,219.28,2064,24413,45.96
DREDGECORP,EQ,2014-12-15,405.60,403.00,429.00,400.00,414.50,414.30,418.40,153671,642.97,6801,40236,26.18
DREDGECORP,EQ,2014-12-16,414.30,414.30,414.50,392.00,395.40,397.10,400.71,69777,279.60,3254,31537,45.20
DREDGECORP,EQ,2014-12-17,397.10,399.65,402.00,373.00,379.95,383.55,387.82,48649,188.67,2079,16355,33.62
DREDGECORP,EQ,2014-12-18,383.55,389.00,402.00,389.00,398.25,396.85,396.24,41446,164.23,2018,10902,26.30
DREDGECORP,EQ,2014-12-19,396.85,399.20,425.00,390.10,424.00,418.75,412.45,149858,618.08,5009,85441,57.01
DREDGECORP,EQ,2014-12-22,418.75,422.10,424.00,412.25,415.10,414.60,417.47,31538,131.66,1334,12121,38.43
DREDGECORP,EQ,2014-12-23,414.60,409.35,418.70,408.05,411.00,410.05,413.00,20009,82.64,872,10057,50.26
DREDGECORP,EQ,2014-12-24,410.05,412.85,412.85,405.10,406.50,406.85,409.22,19981,81.77,992,6576,32.91
DREDGECORP,EQ,2014-12-26,406.85,409.00,419.00,405.70,406.95,407.35,410.91,26863,110.38,1306,9251,34.44
DREDGECORP,EQ,2014-12-29,407.35,408.95,421.40,402.10,405.00,406.00,410.94,49222,202.27,1881,16651,33.83
DREDGECORP,EQ,2014-12-30,406.00,407.85,440.80,406.00,422.20,424.05,428.26,288267,1234.52,10139,44194,15.33
DREDGECORP,EQ,2014-12-31,424.05,422.00,434.00,420.00,423.10,424.60,427.22,90576,386.95,3471,24137,26.65
DREDGECORP,EQ,2015-01-01,424.60,426.00,433.35,424.00,431.00,430.00,428.77,93289,399.99,3026,18514,19.85
DREDGECORP,EQ,2015-01-02,430.00,432.00,436.80,426.25,427.00,427.40,431.98,73081,315.69,2421,19209,26.28
DREDGECORP,EQ,2015-01-05,427.40,431.30,435.10,421.00,422.75,422.25,427.56,51752,221.27,1877,17580,33.97
DREDGECORP,EQ,2015-01-06,422.25,420.60,420.60,404.15,406.80,406.30,411.97,55228,227.52,2261,23038,41.71
DREDGECORP,EQ,2015-01-07,406.30,408.10,414.00,404.50,406.25,406.35,407.70,33315,135.83,1557,10298,30.91
DREDGECORP,EQ,2015-01-08,406.35,408.90,424.90,408.90,410.50,411.05,415.62,81429,338.44,2836,20738,25.47
DREDGECORP,EQ,2015-01-09,411.05,415.10,418.70,407.15,411.40,409.45,412.11,33721,138.97,1170,12471,36.98
DREDGECORP,EQ,2015-01-12,409.45,411.95,418.50,407.15,412.00,415.10,413.47,33470,138.39,1194,13451,40.19
DREDGECORP,EQ,2015-01-13,415.10,415.25,432.50,411.25,417.05,416.55,423.93,176710,749.14,6127,35209,19.92
DREDGECORP,EQ,2015-01-14,416.55,415.00,420.65,409.50,410.35,410.70,414.35,41848,173.40,1790,13184,31.50
DREDGECORP,EQ,2015-01-15,410.70,416.00,418.95,411.50,413.30,413.15,414.27,37254,154.33,1522,12208,32.77
DREDGECORP,EQ,2015-01-16,413.15,413.25,420.00,408.80,409.95,409.50,414.06,38316,158.65,1531,11122,29.03
DREDGECORP,EQ,2015-01-19,409.50,411.00,419.15,411.00,412.35,412.05,414.86,39555,164.10,1331,16410,41.49
DREDGECORP,EQ,2015-01-20,412.05,413.05,422.75,412.00,413.70,413.00,416.94,57382,239.25,2040,14419,25.13
DREDGECORP,EQ,2015-01-21,413.00,415.25,417.75,408.10,409.50,409.15,412.34,28648,118.13,1205,9795,34.19
DREDGECORP,EQ,2015-01-22,409.15,412.00,416.50,406.60,409.60,408.40,411.08,32180,132.29,1307,9440,29.33
DREDGECORP,EQ,2015-01-23,408.40,412.00,413.25,396.00,400.05,401.20,404.85,58431,236.56,2977,15712,26.89
DREDGECORP,EQ,2015-01-27,401.20,403.90,417.50,402.35,406.25,406.40,409.55,48459,198.46,2278,17132,35.35
DREDGECORP,EQ,2015-01-28,406.40,408.95,411.50,398.10,402.10,401.80,404.55,30514,123.45,1246,11271,36.94
DREDGECORP,EQ,2015-01-29,401.80,404.70,404.70,396.00,397.80,397.70,398.67,20314,80.99,939,8812,43.38
DREDGECORP,EQ,2015-01-30,397.70,400.00,406.00,391.00,391.30,392.20,398.10,21112,84.05,1013,8797,41.67
DREDGECORP,EQ,2015-02-02,392.20,392.90,405.95,386.55,393.50,393.35,396.53,29847,118.35,1239,6529,21.87
DREDGECORP,EQ,2015-02-03,393.35,395.00,398.30,391.10,393.95,393.40,394.16,17000,67.01,710,8859,52.11
DREDGECORP,EQ,2015-02-04,393.40,395.10,402.25,394.00,396.50,395.80,397.19,35455,140.82,1059,12422,35.04
DREDGECORP,EQ,2015-02-05,395.80,399.25,402.00,385.45,389.20,387.90,395.33,19735,78.02,971,5103,25.86
DREDGECORP,EQ,2015-02-06,387.90,391.15,391.80,374.00,378.35,380.50,384.36,15846,60.90,714,8417,53.12
DREDGECORP,EQ,2015-02-09,380.50,381.00,381.90,369.80,369.80,371.00,376.20,14345,53.97,1070,7028,48.99
DREDGECORP,EQ,2015-02-10,371.00,372.80,380.15,367.00,371.05,369.70,373.47,14252,53.23,626,6563,46.05
DREDGECORP,EQ,2015-02-11,369.70,378.00,380.00,371.10,375.10,374.20,374.89,13661,51.21,710,4668,34.17
DREDGECORP,EQ,2015-02-12,374.20,372.05,382.50,370.00,373.00,373.25,374.27,27872,104.32,1291,13218,47.42
DREDGECORP,EQ,2015-02-13,373.25,374.15,380.55,372.00,374.00,372.90,375.71,20272,76.16,809,7377,36.39
DREDGECORP,EQ,2015-02-16,372.90,374.85,380.10,370.45,372.90,372.30,374.16,31623,118.32,1245,13104,41.44
DREDGECORP,EQ,2015-02-18,372.30,379.25,383.00,364.90,372.00,370.60,373.80,34907,130.48,1757,11901,34.09
DREDGECORP,EQ,2015-02-19,370.60,373.60,421.80,372.15,401.00,400.60,405.88,467338,1896.85,14849,78578,16.81
DREDGECORP,EQ,2015-02-20,400.60,404.00,443.90,394.00,423.65,421.65,427.63,579658,2478.81,15726,113591,19.60
DREDGECORP,EQ,2015-02-23,421.65,442.00,462.80,435.00,445.00,443.45,449.25,392149,1761.73,12135,133424,34.02
DREDGECORP,EQ,2015-02-24,443.45,446.70,451.00,428.00,430.05,430.75,436.29,97325,424.62,4714,41173,42.30
DREDGECORP,EQ,2015-02-25,430.75,434.70,441.00,422.00,423.00,423.15,429.91,50116,215.45,1980,20516,40.94
DREDGECORP,EQ,2015-02-26,423.15,424.05,436.00,413.05,416.50,418.50,424.78,78745,334.49,3225,17602,22.35
DREDGECORP,EQ,2015-02-27,418.50,421.95,440.05,420.00,430.50,432.95,428.50,118672,508.51,3704,44161,37.21
DREDGECORP,EQ,2015-02-28,432.95,438.45,452.55,410.95,416.50,416.40,433.56,214071,928.14,7006,62897,29.38
DREDGECORP,EQ,2015-03-02,416.40,420.20,424.65,411.60,418.80,416.35,416.61,49058,204.38,1732,22447,45.76
DREDGECORP,EQ,2015-03-03,416.35,419.45,452.90,413.00,451.00,448.05,438.37,493359,2162.76,13649,121771,24.68
DREDGECORP,EQ,2015-03-04,448.05,448.00,477.55,442.00,448.00,446.40,459.63,430031,1976.53,13142,133624,31.07
DREDGECORP,EQ,2015-03-05,446.40,448.90,463.60,444.55,462.00,459.65,455.74,145045,661.03,5762,44795,30.88
DREDGECORP,EQ,2015-03-09,459.65,458.95,476.00,451.00,454.00,453.50,465.29,151136,703.22,5036,65856,43.57
DREDGECORP,EQ,2015-03-10,453.50,458.70,463.00,440.00,444.00,443.65,450.03,83865,377.41,3094,41236,49.17
DREDGECORP,EQ,2015-03-11,443.65,445.40,447.55,427.00,430.00,429.55,434.47,54626,237.33,1864,27412,50.18
