Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ECEIND,EQ,2014-12-03,124.10,123.00,130.30,123.00,128.90,128.95,126.43,1825,2.31,91,1338,73.32
ECEIND,EQ,2014-12-04,128.95,126.40,131.25,123.95,124.40,127.40,126.96,4894,6.21,200,2360,48.22
ECEIND,EQ,2014-12-05,127.40,121.25,129.00,121.25,125.55,125.90,126.25,763,0.96,36,361,47.31
ECEIND,EQ,2014-12-08,125.90,125.85,125.90,120.55,121.05,123.20,123.02,3047,3.75,69,1716,56.32
ECEIND,EQ,2014-12-09,123.20,118.15,127.00,118.15,122.25,122.30,123.20,1323,1.63,95,592,44.75
ECEIND,EQ,2014-12-10,122.30,117.05,126.90,117.05,123.00,123.15,123.24,2120,2.61,100,897,42.31
ECEIND,EQ,2014-12-11,123.15,117.00,129.00,117.00,127.45,125.50,124.66,1435,1.79,107,981,68.36
ECEIND,EQ,2014-12-12,125.50,119.35,131.00,119.35,128.70,128.00,127.00,2473,3.14,100,1681,67.97
ECEIND,EQ,2014-12-15,128.00,124.00,127.75,123.20,123.20,123.35,123.99,573,0.71,20,463,80.80
ECEIND,EQ,2014-12-16,123.35,125.60,125.60,117.20,121.20,121.40,122.56,7266,8.91,129,5500,75.70
ECEIND,EQ,2014-12-17,121.40,126.95,127.00,118.30,120.60,120.65,123.03,350,0.43,22,209,59.71
ECEIND,EQ,2014-12-18,120.65,122.00,125.80,121.25,125.70,125.00,124.72,393,0.49,9,330,83.97
ECEIND,EQ,2014-12-19,125.00,129.90,129.90,122.55,124.20,124.10,125.92,210,0.26,18,132,62.86
ECEIND,EQ,2014-12-22,124.10,118.60,130.30,118.60,130.15,130.15,128.14,763,0.98,33,643,84.27
ECEIND,EQ,2014-12-23,130.15,128.00,131.00,128.00,131.00,130.85,128.41,976,1.25,38,802,82.17
ECEIND,EQ,2014-12-24,130.85,130.85,136.75,129.90,131.95,130.85,130.26,1169,1.52,48,929,79.47
ECEIND,EQ,2014-12-26,130.85,124.70,135.85,124.45,128.05,127.70,125.93,3481,4.38,101,2148,61.71
ECEIND,EQ,2014-12-29,127.70,126.40,132.10,126.40,128.70,129.35,128.32,883,1.13,33,653,73.95
ECEIND,EQ,2014-12-30,129.35,129.35,133.50,127.95,131.40,130.75,129.97,1507,1.96,96,1113,73.86
ECEIND,EQ,2014-12-31,130.75,133.30,136.25,130.15,134.85,133.20,132.77,757,1.01,36,525,69.35
ECEIND,EQ,2015-01-01,133.20,133.20,139.00,131.00,134.00,134.80,134.52,464,0.62,44,285,61.42
ECEIND,EQ,2015-01-02,134.80,134.10,143.00,134.10,136.65,136.65,139.50,1885,2.63,62,1639,86.95
ECEIND,EQ,2015-01-05,136.65,126.10,145.95,126.10,134.20,131.90,134.93,4591,6.19,98,1619,35.26
ECEIND,EQ,2015-01-06,131.90,125.05,138.95,125.05,127.10,129.95,130.72,4297,5.62,47,2014,46.87
ECEIND,EQ,2015-01-07,129.95,122.10,138.95,122.10,130.95,130.25,130.07,5034,6.55,169,1456,28.92
ECEIND,EQ,2015-01-08,130.25,143.00,143.00,126.10,138.35,135.85,136.41,1394,1.90,57,440,31.56
ECEIND,EQ,2015-01-09,135.85,128.20,149.40,128.20,149.40,144.90,143.91,9572,13.77,175,6615,69.11
ECEIND,EQ,2015-01-12,144.90,159.35,159.35,142.00,145.00,148.65,153.03,188938,289.13,1224,11117,5.88
ECEIND,EQ,2015-01-13,148.65,148.75,148.75,135.00,138.30,137.20,139.64,8483,11.85,237,5778,68.11
ECEIND,EQ,2015-01-14,137.20,138.50,139.95,134.00,136.80,136.05,135.52,513,0.70,32,420,81.87
ECEIND,EQ,2015-01-15,136.05,136.00,136.00,129.30,133.80,132.25,132.40,940,1.24,47,468,49.79
ECEIND,EQ,2015-01-16,132.25,127.10,141.50,127.10,127.20,131.85,133.59,8403,11.23,107,1873,22.29
ECEIND,EQ,2015-01-19,131.85,129.10,139.00,129.05,133.00,133.25,134.18,2446,3.28,128,1689,69.05
ECEIND,EQ,2015-01-20,133.25,129.30,136.00,129.20,131.90,132.95,132.81,1338,1.78,77,1051,78.55
ECEIND,EQ,2015-01-21,132.95,129.10,134.80,128.95,130.30,130.65,130.58,3718,4.85,130,2430,65.36
ECEIND,EQ,2015-01-22,130.65,130.55,143.00,130.55,137.00,136.95,134.72,4465,6.02,91,3496,78.30
ECEIND,EQ,2015-01-23,136.95,139.95,140.00,134.00,134.20,134.35,134.51,1433,1.93,60,1082,75.51
ECEIND,EQ,2015-01-27,134.35,132.25,144.90,132.25,136.00,134.30,136.93,5976,8.18,112,1554,26.00
ECEIND,EQ,2015-01-28,134.30,132.20,138.95,131.40,131.40,132.25,132.91,5208,6.92,152,1058,20.31
ECEIND,EQ,2015-01-29,132.25,132.30,134.40,131.30,132.10,133.60,132.71,1613,2.14,53,482,29.88
