Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MUDRA,EQ,2014-12-03,12.20,13.35,13.40,12.75,12.75,13.10,13.27,99909,13.26,199,87327,87.41
MUDRA,EQ,2014-12-04,13.10,13.00,13.70,12.30,12.80,12.85,12.77,104966,13.40,82,93718,89.28
MUDRA,EQ,2014-12-05,12.85,12.80,13.05,12.50,12.55,12.55,12.66,2681,0.34,26,2117,78.96
MUDRA,EQ,2014-12-08,12.55,12.50,12.95,12.05,12.50,12.50,12.70,9187,1.17,59,6129,66.71
MUDRA,EQ,2014-12-09,12.50,12.15,12.75,11.50,12.00,11.90,11.94,7612,0.91,49,7286,95.72
MUDRA,EQ,2014-12-10,11.90,11.55,12.90,11.55,12.20,12.10,11.96,6068,0.73,39,4507,74.27
MUDRA,EQ,2014-12-11,12.10,12.25,12.40,11.55,12.15,12.15,11.81,3730,0.44,28,2987,80.08
MUDRA,EQ,2014-12-12,12.15,12.45,12.45,11.40,11.90,11.90,11.70,2997,0.35,17,2350,78.41
MUDRA,EQ,2014-12-15,11.90,11.00,12.35,10.75,12.20,12.20,11.67,2367,0.28,46,1219,51.50
MUDRA,EQ,2014-12-16,12.20,11.20,11.80,11.20,11.80,11.80,11.69,804,0.09,7,802,99.75
MUDRA,EQ,2014-12-17,11.80,11.10,11.80,11.00,11.50,11.50,11.09,3341,0.37,22,3251,97.31
MUDRA,EQ,2014-12-18,11.50,12.00,12.40,12.00,12.25,12.20,12.14,3056,0.37,25,2586,84.62
MUDRA,EQ,2014-12-19,12.20,12.50,12.50,11.05,12.45,12.45,11.62,1214,0.14,38,896,73.81
MUDRA,EQ,2014-12-22,12.45,11.75,12.05,11.35,12.00,11.90,11.60,2628,0.30,19,2351,89.46
MUDRA,EQ,2014-12-23,11.90,11.20,11.70,11.20,11.45,11.20,11.27,16418,1.85,45,7935,48.33
MUDRA,EQ,2014-12-24,11.20,11.00,11.90,10.50,11.00,10.95,11.05,15155,1.67,93,14275,94.19
MUDRA,EQ,2014-12-26,10.95,11.50,11.90,11.15,11.50,11.30,11.29,2234,0.25,37,2026,90.69
MUDRA,EQ,2014-12-29,11.30,12.35,12.55,10.70,11.00,11.60,11.96,26738,3.20,80,22594,84.50
MUDRA,EQ,2014-12-30,11.60,11.00,12.05,10.85,11.70,11.95,11.91,18413,2.19,108,10582,57.47
MUDRA,EQ,2014-12-31,11.95,11.60,12.20,11.50,12.20,12.05,11.78,6360,0.75,21,5159,81.12
MUDRA,EQ,2015-01-01,12.05,11.60,11.85,11.40,11.65,11.65,11.51,11928,1.37,47,11103,93.08
MUDRA,EQ,2015-01-02,11.65,12.00,12.05,11.50,11.85,11.75,11.76,2741,0.32,30,2170,79.17
MUDRA,EQ,2015-01-05,11.75,11.95,12.25,11.20,12.00,12.00,12.14,12290,1.49,17,11884,96.70
MUDRA,EQ,2015-01-06,12.00,11.00,12.35,11.00,11.80,11.35,11.27,17658,1.99,101,10455,59.21
MUDRA,EQ,2015-01-07,11.35,11.25,11.90,11.25,11.90,11.90,11.65,2262,0.26,19,2085,92.18
